BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2131495062113774e8,2.2794710309174243e7,-2.6931368512729526e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.1717829241758233e8
t1,3117.4263565821843,8243.76812235143,-199.194478933613,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t2,18998.962601285042,0.0,-8442.962601285042,0.0,0.0,0.0,0.0,0.0,0.0,-10556.0
t3,3918.519095890901,7314.721752697071,-1128.2408485879723,0.0,0.0,0.0,0.0,0.0,0.0,-10105.0
t4,18320.962601285042,0.0,-8442.962601285042,0.0,0.0,0.0,0.0,0.0,0.0,-9878.0
t5,2189.5493916630076,8048.206604811017,-394.75599647402504,0.0,0.0,0.0,0.0,0.0,0.0,-9843.0
t6,17685.999660130805,386.98147057711907,-8055.9811307079235,0.0,0.0,0.0,0.0,0.0,0.0,-10017.0
t7,5195.79774322267,6818.582429031187,-1624.380172253856,0.0,0.0,0.0,0.0,0.0,0.0,-10390.0
t8,17022.223319252746,1073.8696410161488,-7369.092960268894,0.0,0.0,0.0,0.0,0.0,0.0,-10727.0
t9,8943.15960892939,5398.901496177827,-3044.0611051072165,0.0,0.0,0.0,0.0,0.0,0.0,-11298.0
t10,12870.366918212983,3715.7978415360294,-4727.164759749013,0.0,0.0,0.0,0.0,0.0,0.0,-11859.0
t11,17244.491619088167,1697.2354910984384,-6745.7271101866045,0.0,0.0,0.0,0.0,0.0,0.0,-12196.0
t12,19452.554568226802,655.7040165291204,-7787.258584755922,0.0,0.0,0.0,0.0,0.0,0.0,-12321.0
t13,18624.530962299814,1099.715819492614,-7343.246781792429,0.0,0.0,0.0,0.0,0.0,0.0,-12381.0
t14,17880.50975117701,1416.2264250540152,-7026.7361762310275,0.0,0.0,0.0,0.0,0.0,0.0,-12270.0
t15,15039.428755478248,2776.266922903397,-5666.695678381646,0.0,0.0,0.0,0.0,0.0,0.0,-12149.0
t16,9933.28318559515,5364.339707844946,-3078.6228934400965,0.0,0.0,0.0,0.0,0.0,0.0,-12219.0
t17,5904.6787455370595,7974.141927873991,-468.82067341105136,0.0,0.0,0.0,0.0,0.0,0.0,-13410.0
t18,6096.037398714957,8442.962601285042,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14539.0
t19,9223.363670074154,6836.799465605445,-1606.1631356795976,0.0,0.0,0.0,0.0,0.0,0.0,-14454.0
t20,21226.36474263661,614.298929324215,-7828.663671960828,0.0,0.0,0.0,0.0,0.0,0.0,-14012.0
t21,7194.285639959759,7371.338480662642,-1071.6241206224008,0.0,0.0,0.0,0.0,0.0,0.0,-13494.0
t22,21214.962601285046,0.0,-8442.962601285042,0.0,0.0,0.0,0.0,0.0,0.0,-12772.0
t23,4213.670198440122,8053.146201422461,-389.81639986258165,0.0,0.0,0.0,0.0,0.0,0.0,-11877.0
t24,18657.081399597664,329.94060084368914,-8113.022000441354,0.0,0.0,0.0,0.0,0.0,0.0,-10874.0
t25,4734.238958937917,6866.861821173563,-1576.1007801114797,0.0,0.0,0.0,0.0,0.0,0.0,-10025.0
t26,17913.69760482818,20.13249822843088,-8422.83010305661,0.0,0.0,0.0,0.0,0.0,0.0,-9511.0
t27,821.0373987149567,8442.962601285042,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9264.0
t28,17650.962601285046,0.0,-8442.962601285042,0.0,0.0,0.0,0.0,0.0,0.0,-9208.0
t29,9535.897819529415,4158.532390877814,-4284.4302104072285,0.0,0.0,0.0,0.0,0.0,0.0,-9410.0
t30,5139.09683140799,6613.9328849385265,-1829.0297163465166,0.0,0.0,0.0,0.0,0.0,0.0,-9924.0
t31,16444.143312631568,1347.4096443267376,-7095.552956958305,0.0,0.0,0.0,0.0,0.0,0.0,-10696.0
t32,7359.248340568115,6206.357130358464,-2236.605470926579,0.0,0.0,0.0,0.0,0.0,0.0,-11329.0
t33,16761.83686010053,1893.0628705922566,-6549.899730692786,0.0,0.0,0.0,0.0,0.0,0.0,-12105.0
t34,10254.292337168294,5543.835132058374,-2899.1274692266684,0.0,0.0,0.0,0.0,0.0,0.0,-12899.0
t35,17017.319621378138,2453.8214899534523,-5989.141111331591,0.0,0.0,0.0,0.0,0.0,0.0,-13482.0
t36,16962.483579388394,2600.7395109483246,-5842.223090336718,0.0,0.0,0.0,0.0,0.0,0.0,-13721.0
t37,17139.48862558293,2501.236987851056,-5941.725613433987,0.0,0.0,0.0,0.0,0.0,0.0,-13699.0
t38,16242.463052495359,2905.7497743948416,-5537.212826890201,0.0,0.0,0.0,0.0,0.0,0.0,-13611.0
t39,14031.400017828002,3989.78129172852,-4453.181309556522,0.0,0.0,0.0,0.0,0.0,0.0,-13568.0
t40,12499.612528813459,4858.675036235791,-3584.2875650492515,0.0,0.0,0.0,0.0,0.0,0.0,-13774.0
t41,6623.037398714958,8442.962601285042,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15066.0
t42,22349.74538287463,1233.6086092052055,-7209.353992079837,0.0,0.0,0.0,0.0,0.0,0.0,-16373.999999999998
t43,20326.846254348806,2173.058173468119,-6269.904427816924,0.0,0.0,0.0,0.0,0.0,0.0,-16230.0
t44,15233.780208121005,4523.591196582019,-3919.371404703024,0.0,0.0,0.0,0.0,0.0,0.0,-15838.0
t45,7580.860774302802,8029.55091349112,-413.4116877939231,0.0,0.0,0.0,0.0,0.0,0.0,-15197.0
t46,22631.962601285042,0.0,-8442.962601285042,0.0,0.0,0.0,0.0,0.0,0.0,-14189.0
t47,14668.062100072893,3357.4502506060744,-5085.512350678968,0.0,0.0,0.0,0.0,0.0,0.0,-12940.0
t48,3365.037398714957,8442.962601285042,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11808.0
t49,19499.962601285042,0.0,-8442.962601285042,0.0,0.0,0.0,0.0,0.0,0.0,-11057.0
t50,6536.229345235737,6294.3666280246525,-2148.5959732603897,0.0,0.0,0.0,0.0,0.0,0.0,-10682.0
t51,13604.305502343837,2670.328549470603,-5772.63405181444,0.0,0.0,0.0,0.0,0.0,0.0,-10502.0
t52,9195.047678373558,4885.957461455742,-3557.005139829301,0.0,0.0,0.0,0.0,0.0,0.0,-10524.0
t53,13322.664300582004,3010.6491503515203,-5432.313450933522,0.0,0.0,0.0,0.0,0.0,0.0,-10901.0
t54,15124.682557307895,2669.6400219885745,-5773.322579296469,0.0,0.0,0.0,0.0,0.0,0.0,-12021.0
t55,15848.242325197449,3298.860138043797,-5144.1024632412455,0.0,0.0,0.0,0.0,0.0,0.0,-14003.0
t56,10175.015255502709,6690.473672891167,-1752.488928393876,0.0,0.0,0.0,0.0,0.0,0.0,-15113.0
t57,18418.459687398852,2662.751456943095,-5780.211144341948,0.0,0.0,0.0,0.0,0.0,0.0,-15301.0
t58,14397.315682946326,4725.823459169359,-3717.139142115684,0.0,0.0,0.0,0.0,0.0,0.0,-15406.0
t59,17361.494954708283,3312.7338232883794,-5130.228777996664,0.0,0.0,0.0,0.0,0.0,0.0,-15544.0
t60,18960.540541516566,2526.211029884239,-5916.751571400804,0.0,0.0,0.0,0.0,0.0,0.0,-15570.0
t61,19353.551745779012,2298.2054277530156,-6144.757173532027,0.0,0.0,0.0,0.0,0.0,0.0,-15507.0
t62,18621.530876771092,2653.2158622569746,-5789.746739028068,0.0,0.0,0.0,0.0,0.0,0.0,-15485.0
t63,16512.470750080247,3678.2459256023976,-4764.716675682645,0.0,0.0,0.0,0.0,0.0,0.0,-15426.0
t64,21277.906523209196,1402.0280390379228,-7040.93456224712,0.0,0.0,0.0,0.0,0.0,0.0,-15639.0
t65,8417.037398714956,8442.962601285042,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16860.0
t66,9752.037398714958,8442.962601285042,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18195.0
t67,26672.962601285042,0.0,-8442.962601285042,0.0,0.0,0.0,0.0,0.0,0.0,-18230.0
t68,12074.715509829719,7146.123545727661,-1296.8390555573824,0.0,0.0,0.0,0.0,0.0,0.0,-17924.0
t69,25783.962601285042,0.0,-8442.962601285042,0.0,0.0,0.0,0.0,0.0,0.0,-17341.0
t70,9495.524329489435,7632.719135897805,-810.2434653872375,0.0,0.0,0.0,0.0,0.0,0.0,-16318.000000000002
t71,23394.962601285046,0.0,-8442.962601285042,0.0,0.0,0.0,0.0,0.0,0.0,-14952.0
t72,5313.037398714958,8442.962601285042,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13756.0
t73,21454.962601285042,0.0,-8442.962601285042,0.0,0.0,0.0,0.0,0.0,0.0,-13012.0
t74,15976.380795524909,2543.790902880067,-5899.171698404975,0.0,0.0,0.0,0.0,0.0,0.0,-12621.0
t75,3979.037398714958,8442.962601285042,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12422.0
t76,20886.962601285042,0.0,-8442.962601285042,0.0,0.0,0.0,0.0,0.0,0.0,-12444.0
t77,4629.8575756446735,8298.552512820186,-144.41008846485806,0.0,0.0,0.0,0.0,0.0,0.0,-12784.0
t78,22038.50520353173,122.22869887665588,-8320.733902408387,0.0,0.0,0.0,0.0,0.0,0.0,-13840.0
t79,18791.816932763737,2706.0728342606517,-5736.889767024391,0.0,0.0,0.0,0.0,0.0,0.0,-15761.0
t80,8364.037398714956,8442.962601285042,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16807.0
t81,23772.28812476062,749.337238262211,-7693.625363022832,0.0,0.0,0.0,0.0,0.0,0.0,-16828.0
t82,25225.962601285042,0.0,-8442.962601285042,0.0,0.0,0.0,0.0,0.0,0.0,-16783.0
t83,22660.764476955606,1263.5990621647184,-7179.363539120324,0.0,0.0,0.0,0.0,0.0,0.0,-16745.0
t84,22795.208842169803,1114.3768795576204,-7328.585721727422,0.0,0.0,0.0,0.0,0.0,0.0,-16581.0
t85,21330.55288182953,1728.2048597277555,-6714.757741557287,0.0,0.0,0.0,0.0,0.0,0.0,-16344.000000000002
t86,20075.425028845548,2285.768786219748,-6157.193815065295,0.0,0.0,0.0,0.0,0.0,0.0,-16204.0
t87,16105.66807553546,163.48345789852183,-193.15153343398134,0.0,0.0,0.0,0.0,0.0,0.0,-16076.0
t88,15688.715410265799,553.2845897342024,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16242.0
t89,9265.918338306332,8112.081661693669,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17378.0
t90,9878.341160164287,8423.658839835713,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18302.0
t91,14533.419819726088,3626.580180273912,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18160.0
t92,15972.21521106168,1764.784788938317,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17737.0
t93,17457.801523090762,0.0,-399.8015230907621,0.0,0.0,0.0,0.0,0.0,0.0,-17058.0
t94,15936.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15936.0
t95,14523.82149862242,0.0,-17.82149862241944,0.0,0.0,0.0,0.0,0.0,0.0,-14506.0
t96,13182.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13182.0
t97,12135.499266691282,200.50073330871854,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12336.0
t98,15940.802147516106,0.0,-4055.802147516106,0.0,0.0,0.0,0.0,0.0,0.0,-11885.0
t99,11656.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11656.0
