Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,5.099052357918322e7,9.192356155936134e7,0.0,1.4291408513854456e8
t1,0.0,0.0,24937.157801455945,0.0,24937.157801455945
t2,0.0,0.0,24584.851823959547,0.0,24584.851823959547
t3,0.0,0.0,25320.5916416156,0.0,25320.5916416156
t4,0.0,0.0,25074.33799778252,0.0,25074.33799778252
t5,0.0,0.0,21225.03772055093,0.0,21225.03772055093
t6,0.0,0.0,17668.313660470674,0.0,17668.313660470674
t7,0.0,0.0,15613.440890011858,0.0,15613.440890011858
t8,0.0,0.0,17005.20109593349,0.0,17005.20109593349
t9,0.0,5331.815003439021,11865.51374175907,0.0,17197.32874519809
t10,0.0,12857.496551294771,209.4184733679195,0.0,13066.91502466269
t11,0.0,17227.24712746908,71.08674832123688,0.0,17298.33387579032
t12,0.0,19433.102013658576,60.37211010353659,0.0,19493.474123762113
t13,0.0,18605.906431337513,124.77803693352931,0.0,18730.684468271043
t14,0.0,17862.629241425835,216.16884149019268,0.0,18078.798082916026
t15,0.0,15024.389326722769,2826.946174706476,0.0,17851.335501429247
t16,0.0,9923.349902409554,5656.85594412165,0.0,15580.205846531204
t17,0.0,1924.1288545294271,3974.6452122620954,0.0,5898.774066791522
t18,0.0,0.0,15888.50650373075,0.0,15888.50650373075
t19,0.0,0.0,26509.456328724136,0.0,26509.456328724136
t20,0.0,0.0,25863.07671078122,0.0,25863.07671078122
t21,0.0,0.0,26717.836568148334,0.0,26717.836568148334
t22,0.0,0.0,26025.986309389842,0.0,26025.986309389842
t23,0.0,0.0,23809.52013984057,0.0,23809.52013984057
t24,0.0,0.0,18638.424318198067,0.0,18638.424318198067
t25,0.0,0.0,14780.601471444535,0.0,14780.601471444535
t26,0.0,0.0,18152.292677833568,0.0,18152.292677833568
t27,0.0,0.0,17835.774578001015,0.0,17835.774578001015
t28,0.0,0.0,25626.912962295904,0.0,25626.912962295904
t29,0.0,0.0,24032.612258760815,0.0,24032.612258760815
t30,0.0,0.0,23114.51972798172,0.0,23114.51972798172
t31,0.0,0.0,16427.699169318937,0.0,16427.699169318937
t32,0.0,0.0,13615.141485953201,0.0,13615.141485953201
t33,0.0,4795.336709107607,15850.865206848537,0.0,20646.201915956146
t34,0.0,10244.038044831126,20797.621247440704,0.0,31041.65929227183
t35,0.0,14841.567114688043,26048.43879824284,0.0,40890.00591293089
t36,0.0,16945.521095809007,27651.74901877212,0.0,44597.27011458113
t37,0.0,17122.34913695735,27797.544686725225,0.0,44919.89382368258
t38,0.0,16226.220589442866,27628.74015642036,0.0,43854.96074586322
t39,0.0,14017.368617810174,27781.99438519478,0.0,41799.36300300495
t40,0.0,9569.693820112867,26669.665178443323,0.0,36239.35899855619
t41,0.0,3006.0766995218314,26950.272355441677,0.0,29956.34905496351
t42,0.0,0.0,22327.395637491754,0.0,22327.395637491754
t43,0.0,0.0,20306.519408094453,0.0,20306.519408094453
t44,0.0,0.0,15218.546427912883,0.0,15218.546427912883
t45,0.0,0.0,23127.155454998705,0.0,23127.155454998705
t46,0.0,0.0,25796.743095805232,0.0,25796.743095805232
t47,0.0,0.0,23122.62124013846,0.0,23122.62124013846
t48,0.0,0.0,22452.41218752808,0.0,22452.41218752808
t49,0.0,0.0,23489.922542039913,0.0,23489.922542039913
t50,0.0,0.0,18455.213071265072,0.0,18455.213071265072
t51,0.0,0.0,13590.701196841494,0.0,13590.701196841494
t52,0.0,0.0,16697.32031686134,0.0,16697.32031686134
t53,0.0,0.0,17417.955605937437,0.0,17417.955605937437
t54,0.0,0.0,19559.335002140044,0.0,19559.335002140044
t55,0.0,0.0,15832.39408287225,0.0,15832.39408287225
t56,0.0,0.0,10164.840240247206,0.0,10164.840240247206
t57,0.0,6434.74244653377,11965.298781177686,0.0,18400.041227711456
t58,0.0,13067.292532318228,24887.969924415396,0.0,37955.262456733624
t59,0.0,17344.133459753575,26704.805594642676,0.0,44048.93905439625
t60,0.0,18941.58000097505,27368.632056188322,0.0,46310.21205716337
t61,0.0,19334.198194033233,27975.772631360207,0.0,47309.97082539344
t62,0.0,18602.909345894324,27430.644496887555,0.0,46033.55384278188
t63,0.0,16495.958279330167,27817.419073166046,0.0,44313.377352496216
t64,0.0,11331.980060709915,27633.36843038419,0.0,38965.348491094104
t65,0.0,4109.004142616581,23865.68969453607,0.0,27974.693837152652
t66,0.0,0.0,25304.72821526684,0.0,25304.72821526684
t67,0.0,0.0,27843.37525028696,0.0,27843.37525028696
t68,0.0,0.0,23183.083410558902,0.0,23183.083410558902
t69,0.0,0.0,27047.460649713386,0.0,27047.460649713386
t70,0.0,0.0,26905.435615112412,0.0,26905.435615112412
