Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,1.5202140616340065e7,5.055712944137571e7,5.55556805634218e7,2.2794710309174243e7,1.4410966093031183e8
t1,0.0,-0.0,3117.4263565821843,8243.76812235143,11361.194478933614
t2,0.0,-0.0,18998.962601285042,-0.0,18998.962601285042
t3,0.0,-0.0,3918.519095890901,7314.721752697071,11233.240848587971
t4,0.0,-0.0,18320.962601285042,-0.0,18320.962601285042
t5,0.0,-0.0,2189.5493916630076,8048.206604811017,10237.755996474025
t6,0.0,-0.0,17685.999660130805,386.98147057711907,18072.981130707925
t7,0.0,-0.0,5195.79774322267,6818.582429031187,12014.380172253856
t8,0.0,-0.0,17022.223319252746,1073.8696410161488,18096.092960268896
t9,0.0,5337.152155594615,3606.007453334775,5398.901496177827,14342.061105107216
t10,0.0,12870.366918212983,0.0,3715.7978415360294,16586.164759749012
t11,0.0,17244.491619088167,0.0,1697.2354910984384,18941.727110186606
t12,0.0,19452.554568226802,0.0,655.7040165291204,20108.258584755924
t13,0.0,18624.530962299814,0.0,1099.715819492614,19724.246781792426
t14,0.0,17880.50975117701,0.0,1416.2264250540152,19296.736176231025
t15,0.0,15039.428755478248,0.0,2776.266922903397,17815.695678381646
t16,0.0,9933.28318559515,0.0,5364.339707844946,15297.622893440097
t17,0.0,1926.054909438866,3978.623836098194,7974.141927873991,13878.82067341105
t18,0.0,-0.0,6096.037398714957,8442.962601285042,14539.0
t19,0.0,-0.0,9223.363670074154,6836.799465605445,16060.163135679599
t20,0.0,-0.0,21226.36474263661,614.298929324215,21840.663671960825
t21,0.0,-0.0,7194.285639959759,7371.338480662642,14565.6241206224
t22,0.0,-0.0,21214.962601285046,0.0,21214.962601285046
t23,0.0,-0.0,4213.670198440122,8053.146201422461,12266.816399862582
t24,0.0,-0.0,18657.081399597664,329.94060084368914,18987.022000441353
t25,0.0,-0.0,4734.238958937917,6866.861821173563,11601.10078011148
t26,0.0,-0.0,17913.69760482818,20.13249822843088,17933.83010305661
t27,0.0,-0.0,821.0373987149567,8442.962601285042,9263.999999999998
t28,0.0,-0.0,17650.962601285046,-0.0,17650.962601285046
t29,0.0,-0.0,9535.897819529415,4158.532390877814,13694.430210407229
t30,0.0,-0.0,5139.09683140799,6613.9328849385265,11753.029716346517
t31,0.0,-0.0,16444.143312631568,1347.4096443267376,17791.552956958305
t32,0.0,-0.0,7359.248340568115,6206.357130358464,13565.605470926579
t33,0.0,4800.136845953561,11961.70001414697,1893.0628705922566,18654.89973069279
t34,0.0,10254.292337168294,0.0,5543.835132058374,15798.127469226667
t35,0.0,14856.423538226269,2160.8960831518702,2453.8214899534523,19471.14111133159
t36,0.0,16962.483579388394,0.0,2600.7395109483246,19563.22309033672
t37,0.0,17139.48862558293,0.0,2501.236987851056,19640.725613433984
t38,0.0,16242.463052495359,0.0,2905.7497743948416,19148.2128268902
t39,0.0,14031.400017828002,0.0,3989.78129172852,18021.181309556523
t40,0.0,9579.273093206073,2920.339435607387,4858.675036235791,17358.28756504925
t41,0.0,3009.0857853071384,3613.95161340782,8442.962601285042,15066.000000000002
t42,0.0,-0.0,22349.74538287463,1233.6086092052055,23583.353992079836
t43,0.0,-0.0,20326.846254348806,2173.058173468119,22499.904427816924
t44,0.0,-0.0,15233.780208121005,4523.591196582019,19757.371404703023
t45,0.0,-0.0,7580.860774302802,8029.55091349112,15610.411687793923
t46,0.0,-0.0,22631.962601285042,0.0,22631.962601285042
t47,0.0,-0.0,14668.062100072893,3357.4502506060744,18025.512350678968
t48,0.0,-0.0,3365.037398714957,8442.962601285042,11808.0
t49,0.0,-0.0,19499.962601285042,-0.0,19499.962601285042
t50,0.0,-0.0,6536.229345235737,6294.3666280246525,12830.59597326039
t51,0.0,-0.0,13604.305502343837,2670.328549470603,16274.63405181444
t52,0.0,-0.0,9195.047678373558,4885.957461455742,14081.0051398293
t53,0.0,-0.0,13322.664300582004,3010.6491503515203,16333.313450933525
t54,0.0,-0.0,15124.682557307895,2669.6400219885745,17794.32257929647
t55,0.0,-0.0,15848.242325197449,3298.860138043797,19147.102463241245
t56,0.0,-0.0,10175.015255502709,6690.473672891167,16865.488928393876
t57,0.0,6441.183630163934,11977.276057234918,2662.751456943095,21081.21114434195
t58,0.0,13080.372905223452,1316.9427777228736,4725.823459169359,19123.139142115684
t59,0.0,17361.494954708283,0.0,3312.7338232883794,20674.228777996665
t60,0.0,18960.540541516566,0.0,2526.211029884239,21486.751571400804
t61,0.0,19353.551745779012,0.0,2298.2054277530156,21651.757173532027
t62,0.0,18621.530876771092,0.0,2653.2158622569746,21274.746739028065
t63,0.0,16512.470750080247,0.0,3678.2459256023976,20190.716675682645
t64,0.0,11343.323384094008,9934.583139115188,1402.0280390379228,22679.93456224712
t65,0.0,4113.117259876457,4303.9201388385,8442.962601285042,16860.0
t66,0.0,-0.0,9752.037398714958,8442.962601285042,18195.0
t67,0.0,-0.0,26672.962601285042,0.0,26672.962601285042
t68,0.0,-0.0,12074.715509829719,7146.123545727661,19220.83905555738
t69,0.0,-0.0,25783.962601285042,0.0,25783.962601285042
t70,0.0,-0.0,9495.524329489435,7632.719135897805,17128.24346538724
t71,0.0,-0.0,23394.962601285046,0.0,23394.962601285046
t72,0.0,-0.0,5313.037398714958,8442.962601285042,13756.0
t73,0.0,-0.0,21454.962601285042,0.0,21454.962601285042
t74,0.0,-0.0,15976.380795524909,2543.790902880067,18520.171698404974
t75,0.0,-0.0,3979.037398714958,8442.962601285042,12422.0
t76,0.0,-0.0,20886.962601285042,-0.0,20886.962601285042
t77,0.0,-0.0,4629.8575756446735,8298.552512820186,12928.41008846486
t78,0.0,-0.0,22038.50520353173,122.22869887665588,22160.73390240839
t79,0.0,-0.0,18791.816932763737,2706.0728342606517,21497.88976702439
t80,0.0,-0.0,8364.037398714956,8442.962601285042,16807.0
t81,0.0,6831.194748897661,16941.093375862958,749.337238262211,24521.62536302283
t82,0.0,13506.38505030183,11719.577550983215,-0.0,25225.962601285042
t83,0.0,18138.517106647017,4522.247370308587,1263.5990621647184,23924.36353912032
t84,0.0,20373.580825544144,2421.628016625656,1114.3768795576204,23909.58572172742
t85,0.0,20184.575437234722,1145.977444594813,1728.2048597277555,23058.757741557292
t86,0.0,19446.554397169362,628.8706316761866,2285.768786219748,22361.193815065297
t87,0.0,15840.45159164675,265.21648388871085,163.48345789852183,16269.151533433982
t88,5280.0,10029.28592251422,379.4294877515781,553.2845897342024,16242.000000000002
t89,8250.0,840.023948041873,175.894390264458,8112.081661693669,17378.0
t90,8250.0,-0.0,1628.3411601642872,8423.658839835713,18302.0
t91,8250.0,-0.0,6283.4198197260885,3626.580180273912,18160.0
t92,8250.0,-0.0,7722.215211061682,1764.784788938317,17736.999999999996
t93,5769.921359544322,-0.0,11687.88016354644,0.0,17457.801523090762
t94,4982.688789095261,-0.0,10953.311210904738,0.0,15936.0
t95,1521.0000000000002,-0.0,13002.82149862242,0.0,14523.82149862242
t96,1411.777690519548,-0.0,11770.222309480452,0.0,13182.0
t97,3000.0,-0.0,9135.499266691282,200.50073330871854,12336.0
t98,1287.0000000000002,-0.0,14653.802147516104,0.0,15940.802147516104
t99,1396.7487213018596,-0.0,10259.25127869814,0.0,11656.0
t100,1287.0000000000002,-0.0,11896.390858559165,0.0,13183.390858559165
t101,1287.0000000000002,-0.0,12140.96536414995,0.0,13427.96536414995
t102,2718.1325634942295,-0.0,10171.86743650577,0.0,12890.0
t103,2750.0,-0.0,6394.810396487618,5602.189603512382,14747.0
t104,2750.0,-0.0,7147.920408079255,5937.079591920746,15835.0
t105,1920.0,3099.0883511687675,8335.310586868847,2596.6010619623867,15951.000000000002
t106,160.0,8412.239822533615,7429.05494128256,19.705236183826358,16021.000000000002
t107,0.0,13116.373931568103,6914.469382952665,-0.0,20030.843314520767
t108,0.0,17739.505731327128,5873.91666999695,277.7700999804829,23891.192501304562
t109,0.0,16047.457493128497,5978.371252763302,974.0669276966214,22999.89567358842
t110,0.0,14562.415156411615,9335.547444873431,-0.0,23897.962601285046
t111,0.0,11919.339805608433,11506.496859389028,175.06296814379053,23600.899633141253
t112,0.0,8844.252138669435,8411.933122345079,3309.3886701352635,20565.57393114978
t113,0.0,2691.076719262715,9906.68426246635,6128.600809777989,18726.361791507054
t114,0.0,-0.0,22703.96069890068,1612.0009511921812,24315.96165009286
t115,0.0,-0.0,18124.360840314876,3870.3008804850856,21994.661720799962
t116,3200.0,-0.0,12859.708323557794,966.2916764422072,17026.0
t117,2340.0000000000005,-0.0,13447.032986401042,602.9670135989597,16390.0
t118,5000.0,-0.0,2725.7204225306423,7614.279577469358,15340.0
t119,3454.9440824753256,-0.0,10459.757103219206,12.298814305466838,13926.999999999998
t120,5000.0,-0.0,4708.8407001679325,2999.1592998320675,12708.0
t121,2340.0000000000005,-0.0,9353.84025606209,215.15974393791026,11909.000000000002
t122,3100.405963731877,-0.0,8375.594036268125,0.0,11476.000000000002
t123,5000.0,-0.0,4264.719025934582,1989.2809740654177,11253.999999999998
t124,5000.0,-0.0,1956.7282141601174,4242.271785839883,11199.0
t125,5000.0,-0.0,4166.769758227843,2305.2302417721558,11472.0
t126,5000.0,-0.0,5862.568879923122,1579.4311200768777,12441.999999999998
t127,5000.0,-0.0,6780.965528407995,2484.034471592005,14265.000000000002
t128,3433.9999999999995,-0.0,6524.6146561848145,5399.385343815186,15358.0
t129,234.0,3069.0874958815575,12150.296049638697,30.616454479744704,15484.0
t130,0.0,8817.251368910947,14855.680515866963,-0.0,23672.93188477791
t131,0.0,15108.430722638832,7052.5032712582415,857.014303693985,23017.948297591058
t132,0.0,18600.530278070048,2745.1177797943665,1150.157271710314,22495.80532957473
t133,0.0,17841.50863930364,5553.453961981404,0.0,23394.962601285042
t134,0.0,12783.364437880075,8414.707919328657,1032.4451220381557,22230.51747924689
t135,0.0,10947.312094302839,4965.551190984211,3572.0496579989963,19484.912943286046
t136,2080.0,5976.170373212182,3735.607360051632,2893.2222667361866,14685.0
t137,3250.0,453.0129148368673,7896.630340840033,3941.3567443231004,15541.0
t138,3250.0,-0.0,11500.23547612434,1611.7645238756584,16361.999999999998
t139,3250.0,-0.0,9772.420544614255,3077.5794553857468,16100.000000000002
t140,3250.0,-0.0,4891.19891858595,7493.801081414049,15635.0
t141,3250.0,-0.0,8390.895388330546,3376.1046116694542,15017.0
t142,3250.0,-0.0,8847.076633393504,2114.9233666064956,14212.0
t143,1789.7430026730613,-0.0,10995.571231060612,330.68576626632614,13116.0
t144,1521.0000000000002,-0.0,11301.992790360278,0.0,12822.992790360278
t145,1521.0000000000002,-0.0,10057.46897496016,0.0,11578.46897496016
t146,1521.0000000000002,-0.0,12457.544656016915,0.0,13978.544656016915
t147,1521.0000000000002,-0.0,14416.890021188474,0.0,15937.890021188474
t148,1521.0000000000002,-0.0,13496.881858688597,0.0,15017.881858688597
t149,1521.0000000000002,-0.0,9422.63956214825,0.0,10943.63956214825
t150,3250.0,-0.0,2818.14074708642,4696.85925291358,10765.0
t151,3250.0,-0.0,1917.9269966064346,6310.073003393565,11478.0
t152,3250.0,-0.0,2044.305475036123,6935.6945249638775,12230.0
t153,2080.0,5649.161050581596,4474.476150189023,797.3627992293801,13001.0
t154,0.0,12201.347845308206,7285.486475455673,-0.0,19486.83432076388
t155,0.0,16434.4685263335,0.0,2802.747037475771,19237.215563809274
