Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,183.25892061892395
t2,0.0,0.0,0.0,7950.784513801163
t3,0.0,0.0,0.0,1037.9815807009347
t4,0.0,0.0,0.0,8805.507173883176
t5,0.0,0.0,0.0,420.63203323599896
t6,0.0,0.0,0.0,7411.502640251289
t7,0.0,0.0,0.0,1494.4297584735473
t8,0.0,0.0,0.0,7106.745672120769
t9,0.0,0.0,0.0,4038.9106973217713
t10,0.0,0.0,0.0,4348.991578969092
t11,0.0,0.0,0.0,8710.239334364203
t12,0.0,0.0,0.0,15161.795475242783
t13,0.0,0.0,0.0,20722.239232434633
t14,0.0,0.0,0.0,25647.459965595423
t15,0.0,0.0,0.0,27843.138551768065
t16,0.0,0.0,0.0,24844.667583466704
t17,0.0,0.0,0.0,16608.437029228797
t18,0.0,0.0,0.0,7431.30376696244
t19,0.0,0.0,0.0,1477.6700848252294
t20,0.0,0.0,0.0,8012.324435502871
t21,0.0,0.0,0.0,985.8941909726093
t22,0.0,0.0,0.0,8753.419784154848
t23,0.0,0.0,0.0,358.63108787357515
t24,0.0,0.0,0.0,7463.9802404060465
t25,0.0,0.0,0.0,1450.0127177025615
t26,0.0,0.0,0.0,9177.13326226635
t27,0.0,0.0,0.0,-0.0
t28,0.0,0.0,0.0,7767.525593182239
t29,0.0,0.0,0.0,7189.057483628832
t30,0.0,0.0,0.0,1682.707339038795
t31,0.0,0.0,0.0,6746.040359085287
t32,0.0,0.0,0.0,2057.677033252453
t33,0.0,0.0,0.0,6025.907752237364
t34,0.0,0.0,0.0,2667.1972716885352
t35,0.0,0.0,0.0,5510.009822425064
t36,0.0,0.0,0.0,8057.964292764927
t37,0.0,0.0,0.0,10805.616000764352
t38,0.0,0.0,0.0,12741.428133682857
t39,0.0,0.0,0.0,12501.636143117772
t40,0.0,0.0,0.0,10518.012185315485
t41,0.0,0.0,0.0,1340.8789230491366
t42,0.0,0.0,0.0,6632.60567271345
t43,0.0,0.0,0.0,10038.897992535325
t44,0.0,0.0,0.0,8727.772732055564
t45,0.0,0.0,0.0,380.33875277040966
t46,0.0,0.0,0.0,8147.864345952648
t47,0.0,0.0,0.0,9177.13326226635
t48,0.0,0.0,0.0,-0.0
t49,0.0,0.0,0.0,7767.525593182239
t50,0.0,0.0,0.0,2902.5310320332637
t51,0.0,0.0,0.0,5310.8233276692845
t52,0.0,0.0,0.0,3272.4447286429568
t53,0.0,0.0,0.0,4997.728374858841
t54,0.0,0.0,0.0,7407.402515215315
t55,0.0,0.0,0.0,8554.259240045309
t56,0.0,0.0,0.0,2894.2950618946684
t57,0.0,0.0,0.0,5317.794252794593
t58,0.0,0.0,0.0,3600.7976340091077
t59,0.0,0.0,0.0,4719.810475756931
t60,0.0,0.0,0.0,7417.340367223671
t61,0.0,0.0,0.0,10572.467588880729
t62,0.0,0.0,0.0,13015.104303724624
t63,0.0,0.0,0.0,13400.550247958747
t64,0.0,0.0,0.0,18354.266524532704
t65,0.0,0.0,0.0,9177.13326226635
t66,0.0,0.0,0.0,-0.0
t67,0.0,0.0,0.0,7767.525593182239
t68,0.0,0.0,0.0,1193.091931112792
t69,0.0,0.0,0.0,8960.617524295032
t70,0.0,0.0,0.0,1409.607669084111
t71,0.0,0.0,0.0,9177.13326226635
