Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,21.672397103638
t2,0.0,0.0,0.0,21.672397103638
t3,0.0,0.0,0.0,21.672397103638
t4,0.0,0.0,0.0,21.672397103638
t5,0.0,0.0,0.0,21.672397103638
t6,0.0,0.0,0.0,21.672397103638
t7,0.0,0.0,0.0,21.672397103638
t8,0.0,0.0,0.0,21.672397103638
t9,0.0,0.0,0.0,21.672397103638
t10,0.0,0.0,0.0,21.67239710363801
t11,0.0,0.0,0.0,21.67239710363801
t12,0.0,0.0,0.0,21.67239710363801
t13,0.0,0.0,0.0,21.67239710363801
t14,0.0,0.0,0.0,21.67239710363801
t15,0.0,0.0,0.0,21.67239710363801
t16,0.0,0.0,0.0,21.67239710363801
t17,0.0,0.0,0.0,21.67239710363801
t18,0.0,0.0,0.0,21.67239710363801
t19,0.0,0.0,0.0,21.672397103638
t20,0.0,0.0,0.0,21.672397103638
t21,0.0,0.0,0.0,21.672397103638005
t22,0.0,0.0,0.0,21.672397103638005
t23,0.0,0.0,0.0,21.672397103637998
t24,0.0,0.0,0.0,21.672397103638
t25,0.0,0.0,0.0,21.672397103638
t26,0.0,0.0,0.0,21.672397103638
t27,0.0,0.0,0.0,21.672397103638
t28,0.0,0.0,0.0,21.672397103638
t29,0.0,0.0,0.0,21.672397103638
t30,0.0,0.0,0.0,21.672397103638
t31,0.0,0.0,0.0,21.672397103638
t32,0.0,0.0,0.0,21.672397103638
t33,0.0,0.0,0.0,21.672397103637994
t34,0.0,0.0,0.0,21.672397103638
t35,0.0,0.0,0.0,21.672397103638
t36,0.0,0.0,0.0,21.672397103638
t37,0.0,0.0,0.0,21.672397103638
t38,0.0,0.0,0.0,21.672397103638
t39,0.0,0.0,0.0,21.672397103638
t40,0.0,0.0,0.0,21.672397103638
t41,0.0,0.0,0.0,21.672397103638
t42,0.0,0.0,0.0,21.67239710363801
t43,0.0,0.0,0.0,21.67239710363801
t44,0.0,0.0,0.0,21.67239710363801
t45,0.0,0.0,0.0,21.672397103638
t46,0.0,0.0,0.0,21.672397103638
t47,0.0,0.0,0.0,21.672397103638
t48,0.0,0.0,0.0,21.672397103638
t49,0.0,0.0,0.0,21.672397103638
t50,0.0,0.0,0.0,21.672397103638
t51,0.0,0.0,0.0,21.672397103638
t52,0.0,0.0,0.0,21.672397103638
t53,0.0,0.0,0.0,21.672397103638
t54,0.0,0.0,0.0,21.672397103638
t55,0.0,0.0,0.0,21.672397103638
t56,0.0,0.0,0.0,21.672397103638
t57,0.0,0.0,0.0,21.672397103638
t58,0.0,0.0,0.0,21.672397103638
t59,0.0,0.0,0.0,21.672397103638
t60,0.0,0.0,0.0,21.672397103638
t61,0.0,0.0,0.0,21.672397103638
t62,0.0,0.0,0.0,21.672397103638
t63,0.0,0.0,0.0,21.672397103638
t64,0.0,0.0,0.0,21.672397103638
t65,0.0,0.0,0.0,21.672397103638
t66,0.0,0.0,0.0,21.672397103638
t67,0.0,0.0,0.0,21.672397103638
t68,0.0,0.0,0.0,21.672397103638
