Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro,Total
Zone,1,1,1,1,1,0
AnnualSum,178945.08406260374,4.820167723944596e6,0.0,2.418779485548807e6,0.0,7.417892293556007e6
t1,0.0,-0.0,0.0,41.34470564,-0.0,41.34470564
t2,0.0,-0.0,-0.0,41.14978189,0.0,41.14978189
t3,0.0,-0.0,-0.0,41.03373842,0.0,41.03373842
t4,0.0,-0.0,-0.0,40.84366206,-0.0,40.84366206
t5,0.0,-0.0,0.0,40.74832931,0.0,40.74832931
t6,0.0,-0.0,-0.0,40.50977815,-0.0,40.50977815
t7,0.0,-0.0,0.0,40.36200541,0.0,40.36200541
t8,0.0,-0.0,-0.0,40.2308012,-0.0,40.2308012
t9,0.0,-0.0,-0.0,40.05464845,0.0,40.05464845
t10,0.0,-0.0,0.0,39.89656326,0.0,39.89656326
t11,0.0,-0.0,0.0,39.77735221,-0.0,39.77735221
t12,0.0,-0.0,0.0,39.61098927,0.0,39.61098927
t13,0.0,-0.0,0.0,39.39791508,-0.0,39.39791508
t14,0.0,-0.0,0.0,39.19314383,0.0,39.19314383
t15,0.0,-0.0,0.0,39.00379609,0.0,39.00379609
t16,0.0,-0.0,0.0,38.91536224,0.0,38.91536224
t17,0.0,-0.0,-0.0,38.72484482,-0.0,38.72484482
t18,0.0,-0.0,-0.0,38.64846145,-0.0,38.64846145
t19,0.0,-0.0,-0.0,38.54740042,0.0,38.54740042
t20,0.0,-0.0,-0.0,38.49453528,0.0,38.49453528
t21,0.0,-0.0,-0.0,38.43461938,-0.0,38.43461938
t22,0.0,-0.0,-0.0,38.40378783,-0.0,38.40378783
t23,0.0,-0.0,0.0,38.36253254,0.0,38.36253254
t24,0.0,-0.0,0.0,38.30849775,0.0,38.30849775
t25,0.0,-0.0,0.0,38.32541115,0.0,38.32541115
t26,0.0,-0.0,-0.0,38.26011059,0.0,38.26011059
t27,0.0,-0.0,-0.0,38.18731857,0.0,38.18731857
