Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro
Zone,1,1,1,1,1
t1,0.0,0.0,0.0,-3.128,-2.84
t2,0.0,0.0,0.0,-3.128,-2.84
t3,0.0,0.0,0.0,-3.128,-2.84
t4,0.0,0.0,0.0,-3.128,-2.84
t5,0.0,0.0,0.0,-3.128,-2.84
t6,0.0,0.0,0.0,-3.128,-2.84
t7,0.0,0.0,0.0,-3.128,-2.84
t8,0.0,0.0,0.0,-3.128,-2.84
t9,0.0,0.0,0.0,-3.128,-2.84
t10,0.0,0.0,0.0,-3.128,-2.84
t11,0.0,0.0,0.0,-3.128,-2.84
t12,0.0,0.0,0.0,-3.128,-2.84
t13,0.0,0.0,0.0,-3.128,-2.84
t14,0.0,0.0,0.0,-3.128,-2.84
t15,0.0,0.0,0.0,-3.128,-2.84
t16,0.0,0.0,0.0,-3.128,-2.84
t17,0.0,0.0,0.0,-3.128,-2.84
t18,0.0,0.0,0.0,-3.128,-2.84
t19,0.0,0.0,0.0,-3.128,-2.84
t20,0.0,0.0,0.0,-3.128,-2.84
t21,0.0,0.0,0.0,-3.128,-2.84
t22,0.0,0.0,0.0,-3.128,-2.84
t23,0.0,0.0,0.0,-3.128,-2.84
t24,0.0,0.0,0.0,-3.128,-2.84
t25,0.0,0.0,0.0,-3.128,-2.84
t26,0.0,0.0,0.0,-3.128,-2.84
t27,0.0,0.0,0.0,-3.128,-2.84
t28,0.0,0.0,0.0,-3.128,-2.84
t29,0.0,0.0,0.0,-3.128,-2.84
t30,0.0,0.0,0.0,-3.128,-2.84
t31,0.0,0.0,0.0,-3.128,-2.84
t32,0.0,0.0,0.0,-3.128,-2.84
t33,0.0,0.0,0.0,-3.128,-2.84
t34,0.0,0.0,0.0,-3.128,-2.84
t35,0.0,0.0,0.0,-3.128,-2.84
t36,0.0,0.0,0.0,-3.128,-2.84
t37,0.0,0.0,0.0,-3.128,-2.84
t38,0.0,0.0,0.0,-3.128,-2.84
t39,0.0,0.0,0.0,-3.128,-2.84
t40,0.0,0.0,0.0,-3.128,-2.84
t41,0.0,0.0,0.0,-3.128,-2.84
t42,0.0,0.0,0.0,-3.128,-2.84
t43,0.0,0.0,0.0,-3.128,-2.84
t44,0.0,0.0,0.0,-3.128,-2.84
t45,0.0,0.0,0.0,-3.128,-2.84
t46,0.0,0.0,0.0,-3.128,-2.84
t47,0.0,0.0,0.0,-3.128,-2.84
t48,0.0,0.0,0.0,-3.128,-2.84
t49,0.0,0.0,0.0,-3.128,-2.84
t50,0.0,0.0,0.0,-3.128,-2.84
t51,0.0,0.0,0.0,-3.128,-2.84
t52,0.0,0.0,0.0,-3.128,-2.84
t53,0.0,0.0,0.0,-3.128,-2.84
t54,0.0,0.0,0.0,-3.128,-2.84
t55,0.0,0.0,0.0,-3.128,-2.84
t56,0.0,0.0,0.0,-3.128,-2.84
t57,0.0,0.0,0.0,-3.128,-2.84
t58,0.0,0.0,0.0,-3.128,-2.84
t59,0.0,0.0,0.0,-3.128,-2.84
t60,0.0,0.0,0.0,-3.128,-2.84
t61,0.0,0.0,0.0,-3.128,-2.84
t62,0.0,0.0,0.0,-3.128,-2.84
t63,0.0,0.0,0.0,-3.128,-2.84
t64,0.0,0.0,0.0,-3.128,-2.84
t65,0.0,0.0,0.0,-3.128,-2.84
t66,0.0,0.0,0.0,-3.128,-2.84
t67,0.0,0.0,0.0,-3.128,-2.84
t68,0.0,0.0,0.0,-3.128,-2.84
t69,0.0,0.0,0.0,-3.128,-2.84
t70,0.0,0.0,0.0,-3.128,-2.84
t71,0.0,0.0,0.0,-3.128,-2.84
t72,0.0,0.0,0.0,-3.128,-2.84
t73,0.0,0.0,0.0,-3.128,-2.84
t74,0.0,0.0,0.0,-3.128,-2.84
t75,0.0,0.0,0.0,-3.128,-2.84
t76,0.0,0.0,0.0,-3.128,-2.84
t77,0.0,0.0,0.0,-3.128,-2.84
t78,0.0,0.0,0.0,-3.128,-2.84
t79,0.0,0.0,0.0,-3.128,-2.84
t80,0.0,0.0,0.0,-3.128,-2.84
t81,0.0,0.0,0.0,-3.128,-2.84
t82,0.0,0.0,0.0,-3.128,-2.84
t83,0.0,0.0,0.0,-3.128,-2.84
t84,0.0,0.0,0.0,-3.128,-2.84
t85,0.0,0.0,0.0,-3.128,-2.84
t86,0.0,0.0,0.0,-3.128,-2.84
t87,0.0,0.0,0.0,-0.16304347826086954,-2.84
t88,0.0,0.0,0.0,-0.16304347826086954,-2.84
t89,0.0,0.0,0.0,-0.16304347826086954,-2.84
t90,0.0,0.0,0.0,-0.16304347826086954,-0.0
t91,0.0,0.0,0.0,-0.16304347826086954,-0.0
t92,0.0,0.0,0.0,-0.16304347826086954,-0.0
t93,0.0,0.0,0.0,-0.16304347826086954,-0.0
t94,0.0,0.0,0.0,-0.16304347826086954,-0.0
t95,0.0,0.0,0.0,-0.16304347826086954,-0.0
t96,0.0,0.0,0.0,-0.16304347826086954,-0.0
t97,0.0,0.0,0.0,-0.16304347826086954,-0.0
t98,0.0,0.0,0.0,-0.16304347826086954,-0.0
t99,0.0,0.0,0.0,-0.16304347826086954,-0.0
t100,0.0,0.0,0.0,-0.16304347826086954,-0.0
t101,0.0,0.0,0.0,-0.16304347826086954,-0.0
t102,0.0,0.0,0.0,-0.16304347826086954,-0.0
t103,0.0,0.0,0.0,-0.16304347826086954,-0.0
t104,0.0,0.0,0.0,-0.16304347826086954,-0.0
t105,0.0,0.0,0.0,-0.16304347826086954,-0.0
t106,0.0,0.0,0.0,-0.16304347826086954,-0.0
t107,0.0,0.0,0.0,-0.16304347826086954,-0.0
t108,0.0,0.0,0.0,-0.16304347826086954,-0.0
t109,0.0,0.0,0.0,-0.16304347826086954,-0.0
t110,0.0,0.0,0.0,-0.16304347826086954,-0.0
t111,0.0,0.0,0.0,-0.16304347826086954,-0.0
t112,0.0,0.0,0.0,-0.16304347826086954,-0.0
t113,0.0,0.0,0.0,-0.16304347826086954,-0.0
t114,0.0,0.0,0.0,-0.16304347826086954,-0.0
t115,0.0,0.0,0.0,-0.16304347826086954,-0.0
t116,0.0,0.0,0.0,-0.16304347826086954,-0.0
t117,0.0,0.0,0.0,-0.16304347826086954,-0.0
t118,0.0,0.0,0.0,-0.16304347826086954,-0.0
t119,0.0,0.0,0.0,-0.16304347826086954,-0.0
t120,0.0,0.0,0.0,-0.16304347826086954,-0.0
t121,0.0,0.0,0.0,-0.16304347826086954,-0.0
t122,0.0,0.0,0.0,-0.16304347826086954,-0.0
t123,0.0,0.0,0.0,-0.16304347826086954,-0.0
t124,0.0,0.0,0.0,-0.16304347826086954,-0.0
t125,0.0,0.0,0.0,-0.16304347826086954,-0.0
t126,0.0,0.0,0.0,-0.16304347826086954,-0.0
t127,0.0,0.0,0.0,-0.16304347826086954,-0.0
t128,0.0,0.0,0.0,-0.16304347826086954,-0.0
t129,0.0,0.0,0.0,-0.16304347826086954,-0.0
t130,0.0,0.0,0.0,-0.16304347826086954,-0.0
t131,0.0,0.0,0.0,-0.16304347826086954,-0.0
t132,0.0,0.0,0.0,-0.16304347826086954,-0.0
t133,0.0,0.0,0.0,-0.16304347826086954,-0.0
t134,0.0,0.0,0.0,-0.16304347826086954,-0.0
t135,0.0,0.0,0.0,-0.16304347826086954,-0.0
t136,0.0,0.0,0.0,-0.16304347826086954,-0.0
t137,0.0,0.0,0.0,-0.16304347826086954,-0.0
t138,0.0,0.0,0.0,-0.16304347826086954,-0.0
t139,0.0,0.0,0.0,-0.16304347826086954,-0.0
t140,0.0,0.0,0.0,-0.16304347826086954,-0.0
t141,0.0,0.0,0.0,-0.16304347826086954,-0.0
t142,0.0,0.0,0.0,-0.16304347826086954,-0.0
t143,0.0,0.0,0.0,-0.16304347826086954,-0.0
t144,0.0,0.0,0.0,-0.16304347826086954,-0.0
t145,0.0,0.0,0.0,-0.16304347826086954,-0.0
t146,0.0,0.0,0.0,-0.16304347826086954,-0.0
t147,0.0,0.0,0.0,-0.16304347826086954,-0.0
t148,0.0,0.0,0.0,-0.16304347826086954,-0.0
t149,0.0,0.0,0.0,-0.16304347826086954,-0.0
t150,0.0,0.0,0.0,-0.16304347826086954,-0.0
t151,0.0,0.0,0.0,-0.16304347826086954,-0.0
t152,0.0,0.0,0.0,-0.16304347826086954,-0.0
t153,0.0,0.0,0.0,-0.16304347826086954,-0.0
t154,0.0,0.0,0.0,-0.16304347826086954,-0.0
t155,0.0,0.0,0.0,-0.16304347826086954,-0.0
t156,0.0,0.0,0.0,-0.16304347826086954,-0.0
t157,0.0,0.0,0.0,-0.16304347826086954,-0.0
t158,0.0,0.0,0.0,-0.16304347826086954,-0.0
t159,0.0,0.0,0.0,-0.16304347826086954,-0.0
t160,0.0,0.0,0.0,-0.16304347826086954,-0.0
t161,0.0,0.0,0.0,-0.16304347826086954,-0.0
t162,0.0,0.0,0.0,-0.16304347826086954,-0.0
t163,0.0,0.0,0.0,-0.16304347826086954,-0.0
t164,0.0,0.0,0.0,-0.16304347826086954,-0.0
t165,0.0,0.0,0.0,-0.16304347826086954,-0.0
t166,0.0,0.0,0.0,-0.16304347826086954,-0.0
t167,0.0,0.0,0.0,-0.16304347826086954,-0.0
t168,0.0,0.0,0.0,-0.16304347826086954,-0.0
t169,0.0,0.0,0.0,-0.16304347826086954,-0.0
t170,0.0,0.0,0.0,-0.16304347826086954,-0.0
t171,0.0,0.0,0.0,-0.16304347826086954,-0.0
t172,0.0,0.0,0.0,-0.16304347826086954,-0.0
t173,0.0,0.0,0.0,-0.16304347826086954,-0.0
t174,0.0,0.0,0.0,-0.16304347826086954,-0.0
t175,0.0,0.0,0.0,-0.16304347826086954,-0.0
t176,0.0,0.0,0.0,-0.16304347826086954,-0.0
t177,0.0,0.0,0.0,-0.16304347826086954,-0.0
t178,0.0,0.0,0.0,-0.16304347826086954,-0.0
t179,0.0,0.0,0.0,-0.16304347826086954,-0.0
t180,0.0,0.0,0.0,-0.16304347826086954,-0.0
t181,0.0,0.0,0.0,-0.16304347826086954,-0.0
t182,0.0,0.0,0.0,-0.16304347826086954,-0.0
t183,0.0,0.0,0.0,-0.16304347826086954,-0.0
t184,0.0,0.0,0.0,-0.16304347826086954,-0.0
t185,0.0,0.0,0.0,-0.16304347826086954,-0.0
t186,0.0,0.0,0.0,-0.16304347826086954,-0.0
t187,0.0,0.0,0.0,-0.16304347826086954,-0.0
t188,0.0,0.0,0.0,-0.16304347826086954,-0.0
t189,0.0,0.0,0.0,-0.16304347826086954,-0.0
t190,0.0,0.0,0.0,-0.16304347826086954,-0.0
t191,0.0,0.0,0.0,-0.16304347826086954,-0.0
t192,0.0,0.0,0.0,-0.16304347826086954,-0.0
t193,0.0,0.0,0.0,-0.16304347826086954,-0.0
t194,0.0,0.0,0.0,-0.16304347826086954,-0.0
t195,0.0,0.0,0.0,-0.16304347826086954,-0.0
