Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro,Total
Zone,1,1,1,1,1,0
AnnualSum,9.923744457202243e6,9.503676391893651e6,0.0,0.0,0.0,1.9427420849095896e7
t1,132.45830932230152,0.0,0.0,0.0,0.0,132.45830932230152
t2,134.3033752827522,0.0,0.0,0.0,0.0,134.3033752827522
t3,136.14844149821693,0.0,0.0,0.0,0.0,136.14844149821693
t4,137.99350745866758,0.0,0.0,0.0,0.0,137.99350745866758
t5,139.83857341911826,0.0,0.0,0.0,0.0,139.83857341911826
t6,141.683639634583,0.0,0.0,0.0,0.0,141.683639634583
t7,143.52870559503364,0.0,0.0,0.0,0.0,143.52870559503364
t8,145.37377155548432,0.0,0.0,0.0,0.0,145.37377155548432
t9,147.21883777094905,0.0,0.0,0.0,0.0,147.21883777094905
t10,149.0639037313997,0.0,0.0,0.0,0.0,149.0639037313997
t11,150.9089696918504,0.0,0.0,0.0,0.0,150.9089696918504
t12,152.75403590731509,0.0,0.0,0.0,0.0,152.75403590731509
t13,154.59910186776577,0.0,0.0,0.0,0.0,154.59910186776577
t14,155.24701292771203,0.0,0.0,0.0,0.0,155.24701292771203
t15,155.8949239876583,0.0,0.0,0.0,0.0,155.8949239876583
t16,156.54283504760454,0.0,0.0,0.0,0.0,156.54283504760454
t17,157.19074610755084,0.0,0.0,0.0,0.0,157.19074610755084
t18,157.83865716749708,0.0,0.0,0.0,0.0,157.83865716749708
t19,158.48656822744334,0.0,0.0,0.0,0.0,158.48656822744334
t20,159.13447903237562,0.0,0.0,0.0,0.0,159.13447903237562
t21,159.78239009232186,0.0,0.0,0.0,0.0,159.78239009232186
t22,160.43030115226813,0.0,0.0,0.0,0.0,160.43030115226813
t23,161.0782122122144,0.0,0.0,0.0,0.0,161.0782122122144
t24,161.72612327216066,0.0,0.0,0.0,0.0,161.72612327216066
t25,162.3740343321069,0.0,0.0,0.0,0.0,162.3740343321069
t26,159.33049555869746,0.0,0.0,0.0,0.0,159.33049555869746
t27,156.28695678528806,0.0,0.0,0.0,0.0,156.28695678528806
t28,153.24341826689263,0.0,0.0,0.0,0.0,153.24341826689263
t29,150.1998794934832,0.0,0.0,0.0,0.0,150.1998794934832
t30,147.15634072007373,0.0,0.0,0.0,0.0,147.15634072007373
t31,144.1128019466643,0.0,0.0,0.0,0.0,144.1128019466643
t32,141.06926317325488,0.0,0.0,0.0,0.0,141.06926317325488
t33,138.02572439984544,0.0,0.0,0.0,0.0,138.02572439984544
t34,134.98218588145002,0.0,0.0,0.0,0.0,134.98218588145002
t35,131.93864710804058,0.0,0.0,0.0,0.0,131.93864710804058
t36,128.89510833463112,0.0,0.0,0.0,0.0,128.89510833463112
t37,125.8515695612217,0.0,0.0,0.0,0.0,125.8515695612217
t38,124.25417270677605,0.0,0.0,0.0,0.0,124.25417270677605
t39,122.65677559731637,0.0,0.0,0.0,0.0,122.65677559731637
t40,121.05937848785668,0.0,0.0,0.0,0.0,121.05937848785668
t41,119.46198163341103,0.0,0.0,0.0,0.0,119.46198163341103
t42,117.86458477896538,0.0,0.0,0.0,0.0,117.86458477896538
t43,116.2671876695057,0.0,0.0,0.0,0.0,116.2671876695057
t44,114.66979056004602,0.0,0.0,0.0,0.0,114.66979056004602
t45,113.07239370560036,0.0,0.0,0.0,0.0,113.07239370560036
t46,111.47499685115471,0.0,0.0,0.0,0.0,111.47499685115471
t47,109.87759974169504,0.0,0.0,0.0,0.0,109.87759974169504
t48,108.28020263223536,0.0,0.0,0.0,0.0,108.28020263223536
t49,106.68280577778971,0.0,0.0,0.0,0.0,106.68280577778971
t50,106.78261928519683,0.0,0.0,0.0,0.0,106.78261928519683
t51,106.88243279260396,0.0,0.0,0.0,0.0,106.88243279260396
t52,106.98224604499707,0.0,0.0,0.0,0.0,106.98224604499707
t53,107.08205955240422,0.0,0.0,0.0,0.0,107.08205955240422
t54,107.18187305981134,0.0,0.0,0.0,0.0,107.18187305981134
t55,107.28168656721846,0.0,0.0,0.0,0.0,107.28168656721846
t56,107.38149981961158,0.0,0.0,0.0,0.0,107.38149981961158
t57,107.48131332701871,0.0,0.0,0.0,0.0,107.48131332701871
t58,107.58112683442585,0.0,0.0,0.0,0.0,107.58112683442585
t59,107.68094034183298,0.0,0.0,0.0,0.0,107.68094034183298
t60,107.78075359422608,0.0,0.0,0.0,0.0,107.78075359422608
t61,107.88056710163322,0.0,0.0,0.0,0.0,107.88056710163322
t62,109.62755900530584,0.0,0.0,0.0,0.0,109.62755900530584
t63,111.37455090897846,0.0,0.0,0.0,0.0,111.37455090897846
t64,113.1215428126511,0.0,0.0,0.0,0.0,113.1215428126511
t65,114.86853471632372,0.0,0.0,0.0,0.0,114.86853471632372
t66,116.55829289166039,0.0,0.0,0.0,0.0,116.55829289166039
t67,118.36251877868301,0.0,0.0,0.0,0.0,118.36251877868301
t68,120.10951068235563,0.0,0.0,0.0,0.0,120.10951068235563
t69,121.85650258602827,0.0,0.0,0.0,0.0,121.85650258602827
t70,123.60349448970089,0.0,0.0,0.0,0.0,123.60349448970089
t71,81.62141070337351,0.0,0.0,0.0,0.0,81.62141070337351
t72,127.09747829704615,0.0,0.0,0.0,0.0,127.09747829704615
t73,83.96694728071878,0.0,0.0,0.0,0.0,83.96694728071878
t74,128.71407362695868,0.0,0.0,0.0,0.0,128.71407362695868
t75,128.58367730821263,0.0,0.0,0.0,0.0,128.58367730821263
t76,128.45328073445253,0.0,0.0,0.0,0.0,128.45328073445253
t77,128.32288416069244,0.0,0.0,0.0,0.0,128.32288416069244
t78,128.19248758693234,0.0,0.0,0.0,0.0,128.19248758693234
t79,80.58634152818627,0.0,0.0,0.0,0.0,80.58634152818627
t80,127.93169469442616,0.0,0.0,0.0,0.0,127.93169469442616
t81,127.80129812066606,0.0,0.0,0.0,0.0,127.80129812066606
t82,127.67090154690597,0.0,0.0,0.0,0.0,127.67090154690597
t83,78.83578368815989,0.0,0.0,0.0,0.0,78.83578368815989
