Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro
Zone,1,1,1,1,1
t1,0.0,0.0,-0.0,3460.7400314433985,-0.0
t2,0.0,0.0,-0.0,3416.01200764992,-0.0
t3,0.0,0.0,-0.0,3371.4101180629636,-0.0
t4,0.0,0.0,-0.0,3327.0148332151375,-0.0
t5,0.0,0.0,-0.0,3282.7231709216594,-0.0
t6,0.0,0.0,-0.0,3238.6908033673117,-0.0
t7,0.0,0.0,-0.0,3194.819058356442,-0.0
t8,0.0,0.0,-0.0,3151.0899266173114,-0.0
t9,0.0,0.0,-0.0,3107.552265258616,-0.0
t10,0.0,0.0,-0.0,3064.1864356281812,-0.0
t11,0.0,0.0,-0.0,3020.9501832260075,-0.0
t12,0.0,0.0,-0.0,2977.8947601064424,-0.0
t13,0.0,0.0,-0.0,2935.070939367312,-0.0
t14,0.0,0.0,-0.0,2892.469696073834,-0.0
t15,0.0,0.0,-0.0,2850.074265541225,-0.0
t16,0.0,0.0,-0.0,2807.7749587586163,-0.0
t17,0.0,0.0,-0.0,2765.6827361281817,-0.0
t18,0.0,0.0,-0.0,2723.673538899921,-0.0
t19,0.0,0.0,-0.0,2681.7741906173123,-0.0
t20,0.0,0.0,-0.0,2639.9323044433995,-0.0
t21,0.0,0.0,-0.0,2598.1555442477475,-0.0
t22,0.0,0.0,-0.0,2556.4122966064433,-0.0
t23,0.0,0.0,-0.0,2514.713891671661,-0.0
t24,0.0,0.0,-0.0,2473.0742202042693,-0.0
t25,0.0,0.0,-0.0,2431.416164606443,-0.0
t26,0.0,0.0,-0.0,2389.8290878781822,-0.0
t27,0.0,0.0,-0.0,2348.3211329107908,-0.0
t28,0.0,0.0,-0.0,2306.9248710738343,-0.0
t29,0.0,0.0,-0.0,2265.534445454269,-0.0
t30,0.0,0.0,-0.0,2224.112015769487,-0.0
t31,0.0,0.0,-0.0,2182.7706239325303,-0.0
t32,0.0,0.0,-0.0,2141.543493215139,-0.0
t33,0.0,0.0,-0.0,2100.3650018129647,-0.0
t34,0.0,0.0,-0.0,2059.181502704269,-0.0
t35,0.0,0.0,-0.0,2018.075952628182,-0.0
t36,0.0,0.0,-0.0,1976.999973476008,-0.0
t37,0.0,0.0,-0.0,1935.835254378182,-0.0
t38,0.0,0.0,-0.0,1894.6761594107907,-0.0
t39,0.0,0.0,-0.0,1853.5432851933992,-0.0
t40,0.0,0.0,-0.0,1812.3552031933993,-0.0
t41,0.0,0.0,-0.0,1771.2253207042688,-0.0
