Period_Index,Rep_Period,Rep_Period_Index
1,1,1
2,3,2
3,3,2
4,1,1
5,3,2
6,3,2
7,1,1
8,1,1
9,3,2
10,13,3
11,13,3
12,3,2
13,13,3
14,13,3
15,1,1
16,13,3
17,59,10
18,13,3
19,20,4
20,20,4
21,70,12
22,20,4
23,20,4
24,1,1
25,35,6
26,33,5
27,33,5
28,35,6
29,35,6
30,33,5
31,35,6
32,33,5
33,33,5
34,33,5
35,35,6
36,35,6
37,35,6
38,33,5
39,44,8
40,35,6
41,44,8
42,42,7
43,44,8
44,44,8
45,44,8
46,44,8
47,44,8
48,44,8
49,44,8
50,44,8
51,44,8
52,44,8
53,53,9
54,20,4
55,44,8
56,13,3
57,59,10
58,1,1
59,59,10
60,59,10
61,1,1
62,59,10
63,70,12
64,13,3
65,1,1
66,1,1
67,67,11
68,1,1
69,59,10
70,70,12
71,70,12
72,70,12
73,1,1
