Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro,Total
Zone,1,1,1,1,1,0
AnnualSum,1.1750448522577572e8,2.3402376433134773e8,0.0,0.0,0.0,3.515282495571234e8
t1,1703.067501418005,0.0,0.0,0.0,0.0,1703.067501418005
t2,1710.2757861307864,0.0,0.0,0.0,0.0,1710.2757861307864
t3,1717.4840681542128,0.0,0.0,0.0,0.0,1717.4840681542128
t4,1724.692352866994,0.0,0.0,0.0,0.0,1724.692352866994
t5,1731.9006348904202,0.0,0.0,0.0,0.0,1731.9006348904202
t6,1739.108919603202,0.0,0.0,0.0,0.0,1739.108919603202
t7,1746.3172016266278,0.0,0.0,0.0,0.0,1746.3172016266278
t8,1753.5254863394093,0.0,0.0,0.0,0.0,1753.5254863394093
t9,1760.7337683628352,0.0,0.0,0.0,0.0,1760.7337683628352
t10,1767.9420503862616,0.0,0.0,0.0,0.0,1767.9420503862616
t11,1775.150335099043,0.0,0.0,0.0,0.0,1775.150335099043
t12,1782.3586198118246,0.0,0.0,0.0,0.0,1782.3586198118246
t13,1789.5669018352505,0.0,0.0,0.0,0.0,1789.5669018352505
t14,1670.131221069601,0.0,0.0,0.0,0.0,1670.131221069601
t15,1550.6955403039517,0.0,0.0,0.0,0.0,1550.6955403039517
t16,1431.259859538302,0.0,0.0,0.0,0.0,1431.259859538302
t17,1311.824181462008,0.0,0.0,0.0,0.0,1311.824181462008
t18,1192.3885006963585,0.0,0.0,0.0,0.0,1192.3885006963585
t19,1072.952819930709,0.0,0.0,0.0,0.0,1072.952819930709
t20,953.5171391650595,0.0,0.0,0.0,0.0,953.5171391650595
t21,834.0814583994099,0.0,0.0,0.0,0.0,834.0814583994099
t22,714.6457776337603,0.0,0.0,0.0,0.0,714.6457776337603
t23,595.2100995574663,0.0,0.0,0.0,0.0,595.2100995574663
t24,475.7744187918168,0.0,0.0,0.0,0.0,475.7744187918168
t25,356.33873802616733,0.0,0.0,0.0,0.0,356.33873802616733
t26,335.2799152125704,0.0,0.0,0.0,0.0,335.2799152125704
t27,314.22109239897355,0.0,0.0,0.0,0.0,314.22109239897355
t28,293.1622695853767,0.0,0.0,0.0,0.0,293.1622695853767
t29,272.10344677177983,0.0,0.0,0.0,0.0,272.10344677177983
t30,251.0446239581829,0.0,0.0,0.0,0.0,251.0446239581829
t31,229.98580114458605,0.0,0.0,0.0,0.0,229.98580114458605
t32,208.92697564163376,0.0,0.0,0.0,0.0,208.92697564163376
t33,187.8681528280369,0.0,0.0,0.0,0.0,187.8681528280369
t34,166.80933001444,0.0,0.0,0.0,0.0,166.80933001444
t35,145.75050720084312,0.0,0.0,0.0,0.0,145.75050720084312
t36,124.69168438724626,0.0,0.0,0.0,0.0,124.69168438724626
t37,103.63286157364936,0.0,0.0,0.0,0.0,103.63286157364936
t38,105.59762127398615,0.0,0.0,0.0,0.0,105.59762127398615
t39,107.56237828496751,0.0,0.0,0.0,0.0,107.56237828496751
t40,109.5271379853043,0.0,0.0,0.0,0.0,109.5271379853043
t41,111.49189499628567,0.0,0.0,0.0,0.0,111.49189499628567
t42,113.45665469662245,0.0,0.0,0.0,0.0,113.45665469662245
t43,115.42141170760381,0.0,0.0,0.0,0.0,115.42141170760381
t44,117.38616871858515,0.0,0.0,0.0,0.0,117.38616871858515
t45,119.35092841892194,0.0,0.0,0.0,0.0,119.35092841892194
t46,121.31568811925872,0.0,0.0,0.0,0.0,121.31568811925872
t47,123.28044513024008,0.0,0.0,0.0,0.0,123.28044513024008
t48,125.24520483057687,0.0,0.0,0.0,0.0,125.24520483057687
t49,127.20996184155824,0.0,0.0,0.0,0.0,127.20996184155824
t50,165.26452392046536,0.0,0.0,0.0,0.0,165.26452392046536
t51,203.31908331001708,0.0,0.0,0.0,0.0,203.31908331001708
t52,241.37364538892422,0.0,0.0,0.0,0.0,241.37364538892422
t53,279.4282047784759,0.0,0.0,0.0,0.0,279.4282047784759
t54,317.482766857383,0.0,0.0,0.0,0.0,317.482766857383
t55,355.5373289362902,0.0,0.0,0.0,0.0,355.5373289362902
t56,393.59188832584186,0.0,0.0,0.0,0.0,393.59188832584186
t57,431.6464504047489,0.0,0.0,0.0,0.0,431.6464504047489
t58,469.7010097943007,0.0,0.0,0.0,0.0,469.7010097943007
t59,507.75557187320777,0.0,0.0,0.0,0.0,507.75557187320777
t60,545.8101312627596,0.0,0.0,0.0,0.0,545.8101312627596
t61,583.8646933416666,0.0,0.0,0.0,0.0,583.8646933416666
t62,636.0373063944404,0.0,0.0,0.0,0.0,636.0373063944404
t63,688.2099194472141,0.0,0.0,0.0,0.0,688.2099194472141
t64,740.382532499988,0.0,0.0,0.0,0.0,740.382532499988
t65,792.5551455527617,0.0,0.0,0.0,0.0,792.5551455527617
t66,844.7277586055354,0.0,0.0,0.0,0.0,844.7277586055354
t67,896.9003716583093,0.0,0.0,0.0,0.0,896.9003716583093
t68,949.072984711083,0.0,0.0,0.0,0.0,949.072984711083
t69,1001.2455977638568,0.0,0.0,0.0,0.0,1001.2455977638568
t70,1053.4182108166306,0.0,0.0,0.0,0.0,1053.4182108166306
t71,1105.5908238694042,0.0,0.0,0.0,0.0,1105.5908238694042
t72,1157.763436922178,0.0,0.0,0.0,0.0,1157.763436922178
t73,1209.9360499749519,0.0,0.0,0.0,0.0,1209.9360499749519
t74,1202.0340783036688,0.0,0.0,0.0,0.0,1202.0340783036688
t75,1194.1321039430304,0.0,0.0,0.0,0.0,1194.1321039430304
t76,1186.2301322717474,0.0,0.0,0.0,0.0,1186.2301322717474
t77,1178.328157911109,0.0,0.0,0.0,0.0,1178.328157911109
t78,1170.426186239826,0.0,0.0,0.0,0.0,1170.426186239826
t79,1162.524214568543,0.0,0.0,0.0,0.0,1162.524214568543
t80,1154.6222402079045,0.0,0.0,0.0,0.0,1154.6222402079045
t81,1146.7202685366217,0.0,0.0,0.0,0.0,1146.7202685366217
t82,1138.818294175983,0.0,0.0,0.0,0.0,1138.818294175983
t83,1130.9163225047002,0.0,0.0,0.0,0.0,1130.9163225047002
t84,1123.0143481440618,0.0,0.0,0.0,0.0,1123.0143481440618
t85,1115.1123764727786,0.0,0.0,0.0,0.0,1115.1123764727786
t86,1065.648237468379,44.98054606967176,0.0,0.0,0.0,1110.6287835380508
t87,1016.1840984639789,121.7711804060122,0.0,0.0,0.0,1137.9552788699912
t88,966.7199594595792,198.59529880005485,0.0,0.0,0.0,1165.315258259634
t89,917.2558177658238,275.5654101863953,0.0,0.0,0.0,1192.821227952219
t90,867.7916787614241,352.40640467273573,0.0,0.0,0.0,1220.1980834341598
t91,818.3275397570242,429.21214540907613,0.0,0.0,0.0,1247.5396851661003
t92,768.8634007526243,527.5889598969973,0.0,0.0,0.0,1296.4523606496216
t93,719.3992617482245,626.1182468749182,0.0,0.0,0.0,1345.5175086231427
t94,669.9351227438245,724.6722114928393,0.0,0.0,0.0,1394.607334236664
t95,620.4709810500693,823.1638444907604,0.0,0.0,0.0,1443.6348255408298
t96,571.0068420456695,921.7436118686813,0.0,0.0,0.0,1492.7504539143508
t97,521.5427030412695,1020.0567726766025,0.0,0.0,0.0,1541.5994757178719
t98,492.35490006532945,1071.5825218861187,0.0,0.0,0.0,1563.9374219514482
t99,463.1670944000338,1123.3709045733376,0.0,0.0,0.0,1586.5379989733715
t100,433.9792914240936,1175.1892599928537,0.0,0.0,0.0,1609.1685514169474
t101,404.7914857587981,1227.2511380823703,0.0,0.0,0.0,1632.0426238411683
t102,375.6036827828579,1279.387923389589,0.0,0.0,0.0,1654.991606172447
t103,346.41587980691776,1331.3559383491056,0.0,0.0,0.0,1677.7718181560233
t104,317.22807414162213,1507.991538645569,0.0,0.0,0.0,1825.2196127871912
t105,288.040271165682,1684.7240797797347,0.0,0.0,0.0,1972.7643509454167
t106,258.98492701227696,1861.3605614161984,0.0,0.0,0.0,2120.345488428475
t107,229.66466252444624,2037.896677522662,0.0,0.0,0.0,2267.5613400471084
t108,200.47685685915064,2214.3257033168275,0.0,0.0,0.0,2414.802560175978
t109,171.2890538832105,2390.622534523291,0.0,0.0,0.0,2561.9115884065013
t110,175.88887629700264,2439.1504274175113,0.0,0.0,0.0,2615.039303714514
t111,180.4886987107948,2487.782759561731,0.0,0.0,0.0,2668.2714582725257
t112,185.08852112458695,2536.4388950082493,0.0,0.0,0.0,2721.527416132836
t113,189.68834353837914,2585.118118802469,0.0,0.0,0.0,2774.806462340848
t114,194.2881659521713,2633.725953726689,0.0,0.0,0.0,2828.0141196788604
t115,198.88798836596345,2682.342602100909,0.0,0.0,0.0,2881.2305904668724
t116,203.4878080904002,2699.129866910945,0.0,0.0,0.0,2902.617675001345
t117,208.08763050419236,2716.1198408309806,0.0,0.0,0.0,2924.207471335173
t118,212.68745291798453,2732.8608350910167,0.0,0.0,0.0,2945.548288009001
t119,217.2872753317767,2749.6308423410524,0.0,0.0,0.0,2966.918117672829
t120,221.88709774556884,2766.382782061088,0.0,0.0,0.0,2988.269879806657
t121,226.486920159361,2783.1118068411247,0.0,0.0,0.0,3009.5987270004857
t122,217.17511307460146,2811.964744429699,0.0,0.0,0.0,3029.1398575043004
t123,207.86330598984193,2840.8868605359758,0.0,0.0,0.0,3048.750166525818
t124,198.55149621572696,2869.8341019445497,0.0,0.0,0.0,3068.3855981602765
