Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro,Total
Zone,1,1,1,1,1,0
AnnualSum,0.0,8.25191403172823e6,0.0,7.337041756610284e6,4.498535975401302e6,2.0087491763739817e7
t1,0.0,0.0,0.0,0.0,40.96837175,40.96837175
t2,0.0,0.0,0.0,0.0,40.74216029,40.74216029
t3,0.0,0.0,0.0,0.0,40.51066075,40.51066075
t4,0.0,0.0,0.0,0.0,40.30472021,40.30472021
t5,0.0,0.0,0.0,0.0,40.16796428,40.16796428
t6,0.0,0.0,0.0,0.0,39.99331056,39.99331056
t7,0.0,0.0,0.0,0.0,39.82526691,39.82526691
t8,0.0,0.0,0.0,0.0,39.7006728,39.7006728
t9,0.0,0.0,0.0,0.0,39.60604435,39.60604435
t10,0.0,0.0,0.0,0.0,39.47484016,39.47484016
t11,0.0,0.0,0.0,0.0,39.41071311,39.41071311
t12,0.0,0.0,0.0,0.0,39.29238342,39.29238342
t13,0.0,0.0,0.0,0.0,39.16259623,39.16259623
t14,0.0,0.0,0.0,0.0,39.11117883,39.11117883
t15,0.0,0.0,0.0,0.0,39.01040618,39.01040618
t16,0.0,0.0,0.0,0.0,39.02376756,39.02376756
t17,0.0,0.0,0.0,0.0,39.03595924,39.03595924
t18,0.0,0.0,0.0,0.0,39.01598188,39.01598188
t19,0.0,0.0,0.0,0.0,38.99556385,38.99556385
t20,0.0,0.0,0.0,0.0,38.91052964,38.91052964
t21,0.0,0.0,0.0,0.0,38.86603726,38.86603726
t22,0.0,0.0,0.0,0.0,38.77351163,38.77351163
t23,0.0,0.0,0.0,0.0,38.75561195,38.75561195
t24,0.0,0.0,0.0,0.0,38.74123765,38.74123765
t25,0.0,0.0,0.0,0.0,38.78150667,38.78150667
t26,0.0,0.0,0.0,0.0,38.79067968,38.79067968
t27,0.0,0.0,0.0,0.0,38.77737839,38.77737839
t28,0.0,0.0,0.0,0.0,38.7138405,38.7138405
t29,0.0,0.0,0.0,0.0,38.70935252,38.70935252
t30,0.0,0.0,0.0,0.0,38.67666153,38.67666153
t31,0.0,0.0,0.0,0.0,38.66644481,38.66644481
t32,0.0,0.0,0.0,0.0,38.66708586,38.66708586
t33,0.0,0.0,0.0,0.0,38.71003142,38.71003142
t34,0.0,0.0,0.0,0.0,38.76179042,38.76179042
t35,0.0,0.0,0.0,0.0,51.16923069220927,51.16923069220927
t36,0.0,0.0,0.0,0.0,79.49958147700505,79.49958147700505
t37,0.0,0.0,0.0,0.0,107.87737798513427,107.87737798513427
t38,0.0,0.0,0.0,0.0,105.35331094468525,105.35331094468525
t39,0.0,0.0,0.0,0.0,102.93530257671013,102.93530257671013
t40,0.0,0.0,0.0,0.0,100.76847366292768,100.76847366292768
t41,0.0,0.0,0.0,0.0,98.38182764495255,98.38182764495255
t42,0.0,0.0,0.0,0.0,95.93935958783675,95.93935958783675
t43,0.0,0.0,0.0,0.0,93.78436017652832,93.78436017652832
