BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,8.25191403172823e6,1.183557773201162e7,-1.5697490056803418e7,0.0,0.0,0.0,0.0,0.0,0.0,-4.3900017069362905e6
t1,0.0,40.96837175,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.96837175
t2,0.0,40.74216029,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.74216029
t3,0.0,40.51066075,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.51066075
t4,0.0,40.30472021,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.30472021
t5,0.0,40.16796428,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.16796428
t6,0.0,39.99331056,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.99331056
t7,0.0,39.82526691,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.82526691
t8,0.0,39.7006728,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.7006728
t9,0.0,39.60604435,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.60604435
t10,0.0,39.47484016,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.47484016
t11,0.0,39.41071311,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.41071311
t12,0.0,39.29238342,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.29238342
t13,0.0,39.16259623,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.16259623
t14,0.0,39.11117883,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.11117883
t15,0.0,39.01040618,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.01040618
t16,0.0,39.02376756,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.02376756
t17,0.0,39.03595924,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.03595924
t18,0.0,39.01598188,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.01598188
