Resource,onshore_wind,solar_pv_sat,hydro,battery,pumped_hydro
Zone,1,1,1,1,1
t1,0.0,0.0,-0.0,-0.0,4475.098292260692
t2,0.0,0.0,0.0,-0.0,4424.170591898192
t3,0.0,0.0,-0.0,-0.0,4373.532265960692
t4,0.0,0.0,0.0,-0.0,4323.1513656981915
t5,0.0,0.0,-0.0,-0.0,4272.941410348191
t6,0.0,0.0,-0.0,-0.0,4222.949772148191
t7,0.0,0.0,0.0,-0.0,4173.168188510691
t8,0.0,0.0,-0.0,-0.0,4123.542347510691
t9,0.0,0.0,0.0,0.0,4074.034792073191
t10,0.0,0.0,-0.0,-0.0,4024.691241873191
t11,0.0,0.0,0.0,-0.0,3975.4278504856907
t12,0.0,0.0,-0.0,-0.0,3926.312371210691
t13,0.0,0.0,0.0,-0.0,3877.3591259231907
t14,0.0,0.0,-0.0,-0.0,3828.4701523856907
t15,0.0,0.0,-0.0,-0.0,3779.7071446606906
t16,0.0,0.0,0.0,-0.0,3730.9274352106904
t17,0.0,0.0,-0.0,-0.0,3682.1324861606904
t18,0.0,0.0,0.0,-0.0,3633.3625088106905
t19,0.0,0.0,-0.0,-0.0,3584.6180539981906
t20,0.0,0.0,0.0,-0.0,3535.9798919481905
t21,0.0,0.0,-0.0,-0.0,3487.3973453731905
t22,0.0,0.0,0.0,-0.0,3438.9304558356907
t23,0.0,0.0,-0.0,-0.0,3390.4859408981906
t24,0.0,0.0,-0.0,-0.0,3342.0593938356906
t25,0.0,0.0,0.0,-0.0,3293.5825104981905
t26,0.0,0.0,-0.0,-0.0,3245.0941608981902
t27,0.0,0.0,0.0,-0.0,3196.62243791069
t28,0.0,0.0,-0.0,-0.0,3148.23013728569
t29,0.0,0.0,0.0,-0.0,3099.84344663569
t30,0.0,0.0,-0.0,-0.0,3051.49761972319
t31,0.0,0.0,0.0,-0.0,3003.16456371069
t32,0.0,0.0,-0.0,-0.0,2954.83070638569
t33,0.0,0.0,-0.0,-0.0,2906.44316711069
t34,0.0,0.0,0.0,-0.0,2857.99092908569
t35,0.0,0.0,-0.0,11.413116278432527,2794.029390720428
t36,0.0,0.0,0.0,48.853560530877175,2694.654913874172
t37,0.0,0.0,-0.0,112.3580907072007,2559.808191392754
t38,0.0,0.0,0.0,173.52659022391114,2428.1165527118974
t39,0.0,0.0,-0.0,232.44122716288445,2299.4474244910098
t40,0.0,0.0,0.0,289.2965989803779,2173.48683241235
t41,0.0,0.0,-0.0,343.92240578813426,2050.5095478561593
t42,0.0,0.0,-0.0,396.2753996749441,1930.5853483713636
t43,0.0,0.0,0.0,446.57829371255013,1813.354898150703
t44,0.0,0.0,-0.0,494.8245971169524,1698.8286697566782
t45,0.0,0.0,0.0,541.2889100046749,1586.5636084923813
t46,0.0,0.0,-0.0,585.4912170519842,1477.3341956036459
t47,0.0,0.0,0.0,627.6944826308898,1370.716151779046
t48,0.0,0.0,-0.0,667.9830304461823,1266.5734240050072
t49,0.0,0.0,0.0,706.7287674426709,1164.305959457604
t50,0.0,0.0,-0.0,706.7287674426709,1114.484560357604
t51,0.0,0.0,-0.0,706.7287674426709,1064.492002632604
t52,0.0,0.0,0.0,706.7287674426709,1014.366845082604
t53,0.0,0.0,-0.0,706.7287674426709,963.9655079451039
t54,0.0,0.0,0.0,706.7287674426709,913.429557107604
t55,0.0,0.0,-0.0,662.5601128991926,913.429557107604
t56,0.0,0.0,0.0,618.2267251057144,913.429557107604
t57,0.0,0.0,-0.0,618.2267251057144,862.239091020104
t58,0.0,0.0,0.0,573.5011229535405,862.239091020104
t59,0.0,0.0,-0.0,573.5011229535405,810.479182870104
t60,0.0,0.0,-0.0,528.1936868557144,810.479182870104
t61,0.0,0.0,0.0,528.1936868557144,757.7813557701039
t62,0.0,0.0,-0.0,528.1936868557144,704.5332894576039
t63,0.0,0.0,0.0,528.1936868557144,650.801084720104
t64,0.0,0.0,-0.0,528.1936868557144,596.5489369576039
t65,0.0,0.0,0.0,528.1936868557144,541.7991099076039
t66,0.0,0.0,-0.0,528.1936868557144,486.4353763201039
