Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,6.877306192435825e6,4.312756528725277e6,1.2493059090287476e-12,1.1190062721161101e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t7,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t9,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t10,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t19,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t20,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
t21,0.0,0.0,0.0,0.0,4.572510778783604,0.0,0.0,4.572510778783604
t22,0.0,0.0,0.0,0.0,15.723585156199537,0.0,0.0,15.723585156199537
t23,0.0,0.0,0.0,0.0,32.550963224031534,0.0,0.0,32.550963224031534
t24,0.0,0.0,0.0,0.0,54.18787670339802,0.0,0.0,54.18787670339802
t25,0.0,0.0,0.0,0.0,34.110194927331236,0.0,0.0,34.110194927331236
t26,0.0,0.0,0.0,0.0,110.16640285748953,0.0,0.0,110.16640285748953
t27,0.0,0.0,0.0,0.0,129.96389077472847,0.0,0.0,129.96389077472847
t28,0.0,0.0,0.0,0.0,37.93433669305837,0.0,0.0,37.93433669305837
t29,0.0,0.0,0.0,0.0,181.34430808820218,0.0,0.0,181.34430808820218
t30,0.0,0.0,0.0,0.0,40.49526566137645,0.0,0.0,40.49526566137645
t31,0.0,0.0,0.0,0.0,229.5528858764289,0.0,0.0,229.5528858764289
t32,0.0,0.0,0.0,0.0,43.096219581660904,0.0,0.0,43.096219581660904
t33,0.0,0.0,0.0,0.0,44.46590988106991,0.0,0.0,44.46590988106991
t34,0.0,0.0,0.0,0.0,45.84837966847896,0.0,0.0,45.84837966847896
t35,0.0,0.0,0.0,0.0,47.158523600888,0.0,0.0,47.158523600888
t36,0.0,0.0,0.0,0.0,395.650811253554,0.0,0.0,395.650811253554
t37,0.0,0.0,0.0,0.0,49.89957765920608,0.0,0.0,49.89957765920608
t38,0.0,0.0,0.0,0.0,49.79948745577821,0.0,0.0,49.79948745577821
t39,0.0,0.0,0.0,0.0,49.723678452316754,0.0,0.0,49.723678452316754
t40,0.0,0.0,0.0,0.0,49.70537697788888,0.0,0.0,49.70537697788888
t41,0.0,0.0,0.0,0.0,49.636748301927405,0.0,0.0,49.636748301927405
t42,0.0,0.0,0.0,0.0,556.1143821116077,0.0,0.0,556.1143821116077
t43,0.0,0.0,0.0,0.0,49.53974617603808,0.0,0.0,49.53974617603808
t44,0.0,0.0,0.0,0.0,49.522234248576595,0.0,0.0,49.522234248576595
t45,0.0,0.0,0.0,0.0,556.1296480964322,0.0,0.0,556.1296480964322
