Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro
Zone,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,-0.0,186.2148161295579,5755.9215956633625,-0.0
t2,0.0,0.0,0.0,-0.0,141.92985929260138,5755.9215956633625,-0.0
t3,0.0,0.0,0.0,-0.0,141.92985929260138,5711.888268761189,-0.0
t4,0.0,0.0,0.0,-0.0,141.92985929260138,5668.0787902720585,-0.0
t5,0.0,0.0,0.0,-0.0,141.92985929260138,5624.417959532928,-0.0
t6,0.0,0.0,0.0,-0.0,141.92985929260138,5580.9469697937975,-0.0
t7,0.0,0.0,0.0,-0.0,141.92985929260138,5537.658636195972,-0.0
t8,0.0,0.0,0.0,-0.0,141.92985929260138,5494.505730978581,-0.0
t9,0.0,0.0,0.0,-0.0,98.87981108607964,5494.505730978581,-0.0
t10,0.0,0.0,0.0,-0.0,98.87981108607964,5451.598296022059,-0.0
t11,0.0,0.0,0.0,-0.0,98.87981108607964,5408.760564380755,-0.0
t12,0.0,0.0,0.0,-0.0,98.87981108607964,5366.051451967711,-0.0
t13,0.0,0.0,0.0,-0.0,98.87981108607964,5323.483412587276,-0.0
t14,0.0,0.0,0.0,-0.0,56.36766018390573,5323.483412587276,-0.0
t15,0.0,0.0,0.0,-0.0,13.965044770862255,5323.483412587276,-0.0
t16,0.0,0.0,0.0,-0.0,13.965044770862255,5281.066273935102,-0.0
t17,0.0,0.0,0.0,-0.0,13.965044770862255,5238.635883456841,-0.0
t18,0.0,0.0,0.0,-0.0,13.965044770862255,5196.227207500319,-0.0
t19,0.0,0.0,0.0,-0.0,3.0196072695324787,5164.786162555997,-0.0
t20,0.0,0.0,0.0,-0.0,-0.0,5125.511715869008,-0.0
t21,0.0,0.0,0.0,-0.0,4.206709916480916,5078.295902783374,-0.0
t22,0.0,0.0,0.0,-0.0,14.465698343703579,5023.266637932246,0.0
t23,0.0,0.0,0.0,-0.0,29.946886166109014,4960.225189347655,-0.0
t24,0.0,0.0,0.0,-0.0,49.85284656712619,4889.162168607897,-0.0
t25,0.0,0.0,0.0,-0.0,81.23422590027093,4809.932058176015,-0.0
t26,0.0,0.0,0.0,-0.0,101.35309062889037,4729.256411752927,-0.0
t27,0.0,0.0,0.0,-0.0,119.56677951275017,4647.195079376678,-0.0
t28,0.0,0.0,0.0,-0.0,154.46636927036388,4563.881843297267,-0.0
t29,0.0,0.0,0.0,-0.0,166.83676344114602,4479.159451036976,-0.0
t30,0.0,0.0,0.0,-0.0,204.09240784961236,4393.103008437653,-0.0
t31,0.0,0.0,0.0,-0.0,211.18865500631458,4305.652665541147,-0.0
t32,0.0,0.0,0.0,-0.0,250.8371770214426,4216.779507452386,-0.0
t33,0.0,0.0,0.0,-0.0,291.74581411202695,4126.370875603397,-0.0
t34,0.0,0.0,0.0,-0.0,333.9263234070276,4034.4032994202676,-0.0
t35,0.0,0.0,0.0,-0.0,377.3121651198445,3941.0096112453894,-0.0
t36,0.0,0.0,0.0,-0.0,363.9987463532697,3846.0888875896317,-0.0
t37,0.0,0.0,0.0,-0.0,409.90635779973934,3749.62117844919,-0.0
t38,0.0,0.0,0.0,-0.0,455.7218862590553,3653.245853529866,-0.0
t39,0.0,0.0,0.0,-0.0,501.4676704351867,3556.918318549087,-0.0
t40,0.0,0.0,0.0,-0.0,547.1966172548445,3460.5329561057297,-0.0
t41,0.0,0.0,0.0,-0.0,592.8624256926176,3364.182196342765,-0.0
t42,0.0,0.0,0.0,-0.0,553.8800027346357,3267.889510015592,-0.0
t43,0.0,0.0,0.0,-0.0,599.4565692165908,3171.53402347642,-0.0
t44,0.0,0.0,0.0,-0.0,645.0170247252812,3075.119259532315,-0.0
t45,0.0,0.0,0.0,-0.0,606.0652399351037,2978.4961801511754,-0.0
t46,0.0,0.0,0.0,-0.0,651.6122846310669,2881.9253087726743,-0.0
t47,0.0,0.0,0.0,-0.0,697.1588645329456,2785.263925764784,-0.0
t48,0.0,0.0,0.0,-0.0,742.7279058912707,2688.4662636845324,-0.0
t49,0.0,0.0,0.0,-0.0,788.4205201633712,2591.3304754254345,-0.0
t50,0.0,0.0,0.0,-0.0,832.1504335013132,2496.341743058301,-0.0
t51,0.0,0.0,0.0,-0.0,873.8894289438657,2403.5563957896898,-0.0
t52,0.0,0.0,0.0,-0.0,913.5963563860597,2313.0565808097817,-0.0
t53,0.0,0.0,0.0,-0.0,866.1467312701793,2224.536410616983,-0.0
t54,0.0,0.0,0.0,-0.0,827.0200387641285,2138.2974822835404,-0.0
t55,0.0,0.0,0.0,-0.0,860.919968969896,2054.07692532304,-0.0
t56,0.0,0.0,0.0,-0.0,892.8484946187341,1972.0207992866056,-0.0
t57,0.0,0.0,0.0,-0.0,922.8244269713737,1892.0915514214832,-0.0
t58,0.0,0.0,0.0,-0.0,950.8871525447638,1814.2105551608615,-0.0
t59,0.0,0.0,0.0,-0.0,977.1236365529155,1738.204203073726,-0.0
t60,0.0,0.0,0.0,-0.0,1001.5532783775377,1664.0337686008736,-0.0
t61,0.0,0.0,0.0,-0.0,1024.4435525755414,1591.1652963140073,-0.0
t62,0.0,0.0,0.0,-0.0,1044.941076832827,1520.6453281390477,-0.0
t63,0.0,0.0,0.0,-0.0,975.9015554583839,1452.6146874928427,-0.0
t64,0.0,0.0,0.0,-0.0,991.5107049825136,1386.9970950101751,-0.0
t65,0.0,0.0,0.0,-0.0,1004.6710126139654,1323.8399821318058,-0.0
t66,0.0,0.0,0.0,-0.0,1015.5065160739393,1262.8957342816477,-0.0
t67,0.0,0.0,0.0,-0.0,1024.1700580522552,1203.8592339722009,-0.0
t68,0.0,0.0,0.0,-0.0,1030.646618162473,1146.7604661675955,-0.0
t69,0.0,0.0,0.0,-0.0,1034.843902920913,1091.783674915658,-0.0
t70,0.0,0.0,0.0,-0.0,1036.895943629735,1038.6612956098663,-0.0
t71,0.0,0.0,0.0,-0.0,1036.7612556486197,987.4348441127207,-0.0
t72,0.0,0.0,0.0,-0.0,1034.1744047180975,937.9235969997646,-0.0
t73,0.0,0.0,0.0,-0.0,1029.5798947528424,889.3764959324111,-0.0
t74,0.0,0.0,0.0,-0.0,1026.8649236432386,838.0213788681019,-0.0
t75,0.0,0.0,0.0,-0.0,1025.7454257745758,784.3382188671997,-0.0
t76,0.0,0.0,0.0,-0.0,1026.0865662223428,728.4502366774939,-0.0
t77,0.0,0.0,0.0,-0.0,1027.536241905022,670.7170594952167,-0.0
t78,0.0,0.0,0.0,-0.0,1029.9951049399647,611.3370138301144,-0.0
t79,0.0,0.0,0.0,-0.0,1033.7365085754907,549.7644088387085,-0.0
t80,0.0,0.0,0.0,-0.0,1037.9396081380569,487.0865855766974,-0.0
t81,0.0,0.0,0.0,-0.0,1042.338103303335,423.8351541465484,-0.0
t82,0.0,0.0,0.0,-0.0,1047.0084167309335,359.8575542784028,-0.0
t83,0.0,0.0,0.0,-0.0,1051.8462428072432,295.362009523311,-0.0
t84,0.0,0.0,0.0,-0.0,1056.860398311474,230.33091823381346,-0.0
t85,0.0,0.0,0.0,-0.0,1062.673424252216,163.52151231280453,-0.0
t86,0.0,0.0,0.0,-0.0,1058.3439133251397,107.21309276161972,-0.0
t87,0.0,0.0,0.0,-0.0,1042.127274026659,62.57097360357855,-0.0
t88,0.0,0.0,0.0,-0.0,1013.9707229451475,29.684341576394488,-0.0
t89,0.0,0.0,0.0,-0.0,973.6441722274709,8.941964957114548,-0.0
t90,0.0,0.0,0.0,-0.0,921.3511211628463,-0.0,-0.0
t91,0.0,0.0,0.0,-0.0,859.9116971628463,-0.0,-0.0
t92,0.0,0.0,0.0,-0.0,798.2893441737158,-0.0,-0.0
t93,0.0,0.0,0.0,-0.0,736.6497931628462,-0.0,-0.0
t94,0.0,0.0,0.0,-0.0,675.0198676519767,-0.0,-0.0
t95,0.0,0.0,0.0,-0.0,613.3318158802376,-0.0,-0.0
t96,0.0,0.0,0.0,-0.0,551.6814360867594,-0.0,-0.0
t97,0.0,0.0,0.0,-0.0,489.778938521542,-0.0,-0.0
t98,0.0,0.0,0.0,-0.0,427.70642168458545,-0.0,-0.0
t99,0.0,0.0,0.0,-0.0,365.7493643584985,-0.0,-0.0
t100,0.0,0.0,0.0,-0.0,303.9403379780637,-0.0,-0.0
t101,0.0,0.0,0.0,-0.0,242.5440411084985,-0.0,-0.0
t102,0.0,0.0,0.0,-0.0,181.64190223893328,-0.0,-0.0
t103,0.0,0.0,0.0,-0.0,129.59186650496633,-0.0,-0.0
t104,0.0,0.0,0.0,-0.0,129.59186650496633,-0.0,-0.0
t105,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t106,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t107,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t108,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t109,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t110,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t111,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t112,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t113,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t114,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t115,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t116,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t117,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t118,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t119,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t120,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t121,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t122,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t123,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t124,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t125,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t126,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t127,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t128,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t129,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t130,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t131,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t132,0.0,0.0,0.0,-0.0,69.7082014832272,-0.0,-0.0
t133,0.0,0.0,0.0,-0.0,69.7082014832272,200.34395261669985,-0.0
t134,0.0,0.0,0.0,-0.0,69.7082014832272,207.2340229799339,-0.0
t135,0.0,0.0,0.0,-0.0,69.7082014832272,404.5411351218438,-0.0
t136,0.0,0.0,0.0,-0.0,69.7082014832272,600.3787998176251,-0.0
t137,0.0,0.0,0.0,-0.0,69.7082014832272,794.7167418009865,-0.0
t138,0.0,0.0,0.0,-0.0,69.7082014832272,987.6082074867265,-0.0
t139,0.0,0.0,0.0,-0.0,69.7082014832272,1179.0545111064093,-0.0
t140,0.0,0.0,0.0,-0.0,69.7082014832272,1371.2179101668833,-0.0
t141,0.0,0.0,0.0,-0.0,69.7082014832272,1564.185176245905,-0.0
t142,0.0,0.0,0.0,-0.0,69.7082014832272,1757.976686901755,-0.0
t143,0.0,0.0,0.0,-0.0,69.7082014832272,1952.5186684857342,-0.0
t144,0.0,0.0,0.0,-0.0,69.7082014832272,2147.8814586216586,-0.0
t145,0.0,0.0,0.0,-0.0,69.7082014832272,2343.8724512733684,-0.0
t146,0.0,0.0,0.0,-0.0,69.7082014832272,2543.696044621367,-0.0
t147,0.0,0.0,0.0,-0.0,69.7082014832272,2747.507374339322,-0.0
t148,0.0,0.0,0.0,-0.0,69.7082014832272,2955.1026603534715,-0.0
t149,0.0,0.0,0.0,-0.0,69.7082014832272,3166.7270508177307,-0.0
t150,0.0,0.0,0.0,-0.0,69.7082014832272,3382.208976206322,-0.0
t151,0.0,0.0,0.0,-0.0,69.7082014832272,3601.5175402656664,-0.0
t152,0.0,0.0,0.0,-0.0,69.7082014832272,3822.1615925648607,-0.0
t153,0.0,0.0,0.0,-0.0,69.7082014832272,4044.243680251899,-0.0
t154,0.0,0.0,0.0,-0.0,69.7082014832272,4267.698725535564,-0.0
t155,0.0,0.0,0.0,-0.0,69.7082014832272,4492.269657090398,-0.0
