Constraint,CapRes_1
t1,7.276452542755111e-14
t2,7.040076820257593e-14
t3,6.830056201232436e-14
t4,6.618838768289619e-14
t5,6.436342439201325e-14
t6,6.260204202290402e-14
t7,6.085756526095405e-14
t8,5.922860400789476e-14
t9,5.766672240499151e-14
t10,5.616367364104667e-14
t11,5.4970705435560604e-14
t12,5.3607869184497675e-14
t13,5.22471067571907e-14
t14,5.159535911613326e-14
t15,5.099597022425244e-14
t16,5.076400293033031e-14
t17,5.019538161330973e-14
t18,4.9706478958506705e-14
t19,4.9215731823489977e-14
t20,4.876391670242371e-14
t21,4.858824876401971e-14
t22,4.8161495192391634e-14
t23,4.772959346639129e-14
t24,4.728537789829371e-14
t25,4.69568063308674e-14
t26,4.861924783120813e-14
t27,5.0135998628792125e-14
t28,5.1720534956759054e-14
t29,5.3560412790888236e-14
t30,5.5494343312902725e-14
t31,5.781380575971814e-14
t32,5.992849840737381e-14
t33,6.23389692255549e-14
t34,6.495142390250872e-14
t35,6.771261467723709e-14
t36,7.106330833276121e-14
t37,7.468556575276864e-14
t38,7.65735787608408e-14
t39,7.857625472483824e-14
t40,8.085287949853649e-14
t41,8.329313702291237e-14
t42,8.57161855383143e-14
t43,8.848714193734992e-14
t44,9.133767976474097e-14
t45,9.441050760386269e-14
t46,9.790437565420656e-14
t47,1.0118938907273599e-13
t48,1.050993422287738e-13
t49,1.0944907906050442e-13
t50,1.0954891046703138e-13
t51,1.1012240366373797e-13
t52,1.1024842003088976e-13
t53,1.1047361487105764e-13
t54,1.1067833923130478e-13
t55,1.1096651398141806e-13
t56,1.1177055368271193e-13
t57,1.1219630623216594e-13
t58,1.1265982797225687e-13
t59,1.1335096840300668e-13
t60,1.1430699041597294e-13
t61,1.1611118475938438e-13
t62,1.1262178830181531e-13
t63,1.092296711802336e-13
t64,1.061402903485987e-13
t65,1.0345577387035693e-13
t66,1.0144731793388666e-13
t67,9.93150966646248e-14
t68,9.723919737105121e-14
t69,9.527948020996462e-14
t70,9.358667666976714e-14
t71,9.243761676957137e-14
t72,9.103467523053324e-14
t73,9.000622872446621e-14
t74,9.208654765460164e-14
t75,9.411108394830718e-14
t76,9.688804167853487e-14
t77,9.873637467276623e-14
t78,1.0097462222935285e-13
t79,1.0349214057930573e-13
t80,1.061790359823515e-13
t81,1.1071432807118936e-13
t82,1.1440710394919312e-13
t83,1.1840183228433965e-13
t84,1.2393662835050494e-13
t85,1.3216688634016394e-13
t86,0.43629489603018345
t87,2.5575153922997526e-12
t88,1.9578799431297117e-13
t89,9.559224984900269e-14
t90,6.292357879957847e-14
t91,4.6397306083826855e-14
t92,3.698347469388144e-14
t93,3.049830942225889e-14
t94,2.5786133381663498e-14
t95,2.2159840530879898e-14
t96,1.9234960836632688e-14
t97,1.702368380298845e-14
t98,1.5840817449035613e-14
t99,1.4835688911799772e-14
t100,1.3906366399367712e-14
t101,1.3041384832084214e-14
t102,1.2257730206685722e-14
t103,1.1552093462081189e-14
t104,1.1248525123685105e-14
t105,1.0976869636396808e-14
t106,1.0673163651927924e-14
t107,1.0418964565262265e-14
t108,1.0160460811939942e-14
t109,9.953259926340201e-15
t110,9.741275170082061e-15
t111,9.561255901275304e-15
t112,9.370780240679732e-15
t113,9.262810423591919e-15
t114,9.03908049551417e-15
t115,8.888971978934122e-15
t116,8.922890141336083e-15
t117,8.994401827025973e-15
t118,8.969890049910289e-15
t119,9.007821032640029e-15
t120,9.059123384700907e-15
t121,9.146367064864145e-15
t122,9.226116576997082e-15
t123,9.359332419222265e-15
t124,9.50292641440094e-15
t125,9.690092182520677e-15
t126,9.779041635102027e-15
t127,9.930915832658424e-15
t128,9.925282412849109e-15
t129,9.957241432954155e-15
t130,9.874757834101641e-15
t131,9.869080094187556e-15
t132,9.86921918456618e-15
t133,9.91158244934383e-15
t134,9.926920827221538e-15
t135,9.97436151324666e-15
t136,1.006952630753908e-14
t137,1.0181902594385766e-14
t138,1.0200077465516563e-14
t139,1.0258313569884042e-14
t140,1.0391366629724431e-14
t141,1.0548591171049385e-14
t142,1.0617342247213554e-14
t143,1.0743629132592954e-14
t144,1.0889312245199836e-14
t145,1.1067364043359754e-14
t146,1.0967001928131393e-14
t147,1.0911864403148822e-14
t148,1.0879771168316669e-14
t149,1.0868134407993076e-14
t150,1.0758887195765732e-14
t151,1.0724935477632597e-14
t152,1.0576755667202743e-14
t153,1.0458141735291929e-14
t154,1.026325926394495e-14
t155,1.0125881836391924e-14
t156,1.0012606776267103e-14
t157,9.925192249958821e-15
t158,9.814063987013e-15
t159,9.754338164483036e-15
t160,9.712099877780965e-15
t161,9.70554702989153e-15
t162,9.597498341262303e-15
t163,9.543456081874815e-15
t164,9.513527889389176e-15
t165,9.491539019478651e-15
t166,9.415963863509563e-15
t167,9.367278665258526e-15
t168,9.33808426089837e-15
t169,9.331413951838219e-15
t170,9.361139395574417e-15
t171,9.478741526831864e-15
t172,9.578269060704938e-15
t173,9.70417761849664e-15
t174,9.7472709322708e-15
t175,9.856894978489772e-15
t176,9.990393015130099e-15
t177,1.012421883648929e-14
t178,1.0180416651993274e-14
t179,1.0285340661717244e-14
t180,1.0411075334677449e-14
t181,1.0590121316914414e-14
t182,1.0687246722176773e-14
t183,1.0856545550946079e-14
t184,1.1012640149655757e-14
t185,1.1254728331634119e-14
t186,1.1401730788019236e-14
t187,1.1602203964196218e-14
t188,1.2801098174437853e-14
t189,1.430240874669634e-14
t190,1.5947956581895604e-14
t191,1.8049764543520633e-14
t192,2.0609496448153792e-14
t193,2.3850823253719122e-14
t194,2.934790311785369e-14
t195,3.752282375754947e-14
t196,5.102995452685903e-14
t197,7.795956813648635e-14
t198,1.6210928353631065e-13
t199,1.065557364207682e-11
t200,0.4362948960299692
t201,0.436294896030132
t202,0.43629489603018534
t203,0.436294896030213
t204,0.436294896030222
t205,1.0129694666411391e-13
t206,9.4759995039476e-14
t207,8.877412286303005e-14
t208,8.379683172895078e-14
t209,7.939478560247172e-14
t210,7.550034613559085e-14
t211,7.25287836156229e-14
t212,6.960233794239203e-14
t213,6.688420648372171e-14
t214,6.447379465233117e-14
t215,6.231103417466605e-14
t216,6.058483235869549e-14
t217,5.892065279688887e-14
t218,6.029981474889724e-14
t219,6.154854621393567e-14
t220,6.265912904153559e-14
t221,6.379083802306155e-14
t222,6.445672857001782e-14
t223,6.530279251658462e-14
t224,6.601623282995479e-14
t225,6.680450544859653e-14
t226,6.804122960409578e-14
t227,6.87158230321387e-14
t228,6.941233872567178e-14
t229,7.009587796635879e-14
t230,7.22806191560244e-14
t231,7.49582284657707e-14
t232,7.76363739402471e-14
t233,8.029327856315753e-14
t234,8.330011903663568e-14
t235,8.676077669438522e-14
t236,9.054853814649392e-14
t237,9.447154740145258e-14
t238,9.877383746904404e-14
t239,1.0340379178574066e-13
t240,1.0843181765384912e-13
t241,1.145381639856331e-13
t242,1.1562856028693304e-13
t243,1.1664075635217574e-13
t244,1.176801853234473e-13
t245,1.190139397787395e-13
t246,1.2063031298820553e-13
t247,1.2176402351521265e-13
t248,1.2286589345907212e-13
t249,1.2403673683960582e-13
t250,1.2490826369012875e-13
t251,1.2642277609092457e-13
t252,1.2721719323625082e-13
t253,1.2817539174967728e-13
t254,1.2763888703225376e-13
t255,1.2739492937130902e-13
t256,1.277948855945411e-13
t257,1.2733543424424637e-13
t258,1.264738900791781e-13
t259,1.2593819779191642e-13
t260,1.254165286595914e-13
t261,1.2535849824910775e-13
t262,1.2423447635028029e-13
t263,1.2363219941289653e-13
t264,1.225426095146248e-13
t265,1.2145808074242745e-13
t266,1.1643674581347718e-13
t267,1.1140249667223011e-13
