Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,6.0580849913486235e7,1.7125358707770896e8,0.0,97971.59904547001,0.0,0.0,0.0,0.0,2.3193240859024066e8
t1,814.8265607466923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.8265607466923
t2,826.1766131412666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.1766131412666
t3,837.5266671045774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.5266671045774
t4,848.8767194991515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.8767194991515
t5,860.2267718937258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.2267718937258
t6,871.5768258570365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.5768258570365
t7,882.9268782516107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.9268782516107
t8,894.276930646185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.276930646185
t9,905.6269846094957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.6269846094957
t10,916.9770370040699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916.9770370040699
t11,928.327089398644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.327089398644
t12,939.6771433619549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.6771433619549
t13,951.027195756529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.027195756529
t14,955.01286599003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.01286599003
t15,958.998536223531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.998536223531
t16,962.984206457032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.984206457032
t17,966.969876690533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.969876690533
t18,970.955546924034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.955546924034
t19,974.9412171575349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.9412171575349
t20,978.9268858222995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.9268858222995
t21,982.9125560558005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.9125560558005
t22,986.8982262893013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986.8982262893013
t23,990.8838965228024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.8838965228024
t24,994.8695667563034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.8695667563034
t25,998.8552369898043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.8552369898043
t26,980.1326952034515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.1326952034515
t27,961.4101534170986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961.4101534170986
t28,942.6876131994823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.6876131994823
t29,923.9650714131294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.9650714131294
t30,905.2425296267764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.2425296267764
t31,886.5199878404236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.5199878404236
t32,867.7974460540707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.7974460540707
t33,849.0749042677179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.0749042677179
t34,830.3523640501015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.3523640501015
t35,811.6298222637487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.6298222637487
t36,792.9072804773957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.9072804773957
t37,774.1847386910429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.1847386910429
t38,764.3582401367811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.3582401367811
t39,754.5317400137827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.5317400137827
t40,744.7052398907844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.7052398907844
t41,734.8787413365226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.8787413365226
t42,725.0522427822608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0522427822608
t43,715.2257426592624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.2257426592624
t44,705.3992425362641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.3992425362641
t45,695.5727439820024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.5727439820024
t46,685.7462454277406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.7462454277406
t47,675.9197453047423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.9197453047423
t48,666.0932451817439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0932451817439
t49,656.2667466274821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.2667466274821
t50,656.8807564043902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.8807564043902
t51,657.4947661812985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.4947661812985
t52,658.10877438947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.10877438947
t53,658.7227841663782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.7227841663782
t54,659.3367939432864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.3367939432864
t55,659.9508037201945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.9508037201945
t56,660.564811928366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.564811928366
t57,661.1788217052741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.1788217052741
t58,661.7928314821824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.7928314821824
t59,662.4068412590905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.4068412590905
t60,663.0208494672621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.0208494672621
t61,663.6348592441702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.6348592441702
t62,674.3816022141277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.3816022141277
t63,685.1283451840852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.1283451840852
t64,695.8750881540427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.8750881540427
t65,706.6218311240002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.6218311240002
t66,717.3685740939577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.3685740939577
t67,728.1153186326519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.1153186326519
t68,738.8620616026094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.8620616026094
t69,749.6088045725669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.6088045725669
t70,760.3555475425244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.3555475425244
t71,771.1022905124819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.1022905124819
t72,781.8490334824394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.8490334824394
t73,792.5957764523968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.5957764523968
t74,791.7936328022649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.7936328022649
t75,790.9914907208697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.9914907208697
t76,790.1893470707379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.1893470707379
t77,789.3872034206059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.3872034206059
t78,788.585059770474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.585059770474
t79,787.7829176890787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.7829176890787
t80,786.9807740389468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.9807740389468
t81,786.1786303888149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.1786303888149
t82,785.376486738683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.376486738683
t83,784.5743446572876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.5743446572876
t84,783.7722010071558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.7722010071558
t85,782.970057357024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.970057357024
t86,773.2392062414909,195.82149862160847,0.0,0.07926209273582921,0.0,0.0,0.0,0.0,969.1399669558352
t87,763.5083535572205,407.26973311340674,0.0,0.16279397475166013,0.0,0.0,0.0,0.0,1170.940880645379
t88,753.7775024416868,620.0106290949047,0.0,0.24251885139572477,0.0,0.0,0.0,0.0,1374.0306503879874
t89,744.0466513261529,839.0300528291342,0.0,0.3281945504189309,0.0,0.0,0.0,0.0,1583.404898705706
t90,734.3157986418825,1059.7797195628143,0.0,0.4072363764006811,0.0,0.0,0.0,0.0,1794.5027545810976
t91,724.5849475263486,1282.228013285741,0.0,0.4921516284657462,0.0,0.0,0.0,0.0,2007.3051124405556
t92,714.8540964108149,1493.3512101578424,0.0,0.566482794490796,0.0,0.0,0.0,0.0,2208.771789363148
t93,705.1232437265445,1704.6231536586413,0.0,0.6412228034788889,0.0,0.0,0.0,0.0,2410.3876201886646
t94,695.3923926110106,1915.0783400448172,0.0,0.7161679020874457,0.0,0.0,0.0,0.0,2611.186900557915
t95,685.6615414954767,2126.541360121131,0.0,0.7903832810156833,0.0,0.0,0.0,0.0,2812.9932848976237
t96,675.9306888112063,2342.0741843438855,0.0,0.8679729675343786,0.0,0.0,0.0,0.0,3018.8728461226265
t97,666.1998376956725,2557.6048066148287,0.0,0.9490435053650709,0.0,0.0,0.0,0.0,3224.753687815866
t98,671.2180158415756,2668.68472557725,0.0,1.0141611020262122,0.0,0.0,0.0,0.0,3340.916902520852
t99,676.2361939874788,2782.4302826389294,0.0,1.0864451538763031,0.0,0.0,0.0,0.0,3459.752921780285
t100,681.2543721333819,2896.0669622663117,0.0,1.1561017856097147,0.0,0.0,0.0,0.0,3578.4774361853033
t101,686.2725502792852,3014.6524264830095,0.0,1.2342199618377463,0.0,0.0,0.0,0.0,3702.1591967241325
t102,691.2907284251884,3127.3708992301263,0.0,1.306718264215231,0.0,0.0,0.0,0.0,3819.96834591953
t103,696.3089081398281,3241.204867557643,0.0,1.3787623666942201,0.0,0.0,0.0,0.0,3938.8925380641654
t104,701.3270862857312,3286.8665347529613,0.0,1.4423359058186005,0.0,0.0,0.0,0.0,3989.6359569445112
t105,706.3452644316344,3334.3360075853734,0.0,1.5071893127979596,0.0,0.0,0.0,0.0,4042.1884613298057
t106,711.3634425775375,3382.704515975029,0.0,1.5823880882848909,0.0,0.0,0.0,0.0,4095.6503466408517
t107,716.3816207234406,3428.558510075061,0.0,1.6481501367444351,0.0,0.0,0.0,0.0,4146.588280935246
t108,721.3997988693438,3474.1794853452457,0.0,1.7114438954063542,0.0,0.0,0.0,0.0,4197.290728109996
t109,726.417977015247,3521.677346619689,0.0,1.7765390854181424,0.0,0.0,0.0,0.0,4249.871862720354
t110,716.5434108030813,3566.4832077449746,0.0,1.8336876745606303,0.0,0.0,0.0,0.0,4284.860306222617
t111,706.6688445909156,3617.3556669005793,0.0,1.9012211046309153,0.0,0.0,0.0,0.0,4325.925732596126
t112,696.7942783787498,3663.4641500813495,0.0,1.9541573918692348,0.0,0.0,0.0,0.0,4362.2125858519685
t113,686.9197121665841,3714.5349588054496,0.0,2.03525864020077,0.0,0.0,0.0,0.0,4403.489929612235
t114,677.0451459544183,3757.0156249020483,0.0,2.068632528891513,0.0,0.0,0.0,0.0,4436.129403385358
t115,667.1705797422527,3803.7703498947503,0.0,2.125696773506226,0.0,0.0,0.0,0.0,4473.066626410509
t116,657.2960135300868,3802.087779909432,0.0,2.1853916177549046,0.0,0.0,0.0,0.0,4461.569185057273
t117,647.4214473179212,3798.0339726708926,0.0,2.26243956193723,0.0,0.0,0.0,0.0,4447.717859550751
t118,637.5468811057555,3787.179442998953,0.0,2.290573342023897,0.0,0.0,0.0,0.0,4427.016897446732
t119,627.6723148935898,3780.0400350447308,0.0,2.342096869299006,0.0,0.0,0.0,0.0,4410.05444680762
t120,617.797748681424,3774.5384598981573,0.0,2.3927362092537177,0.0,0.0,0.0,0.0,4394.728944788835
t121,607.9231824692583,3773.550187530346,0.0,2.4789889135499728,0.0,0.0,0.0,0.0,4383.952358913155
t122,605.4994059983691,3731.9753926644,0.0,2.496448731329932,0.0,0.0,0.0,0.0,4339.971247394099
t123,603.0756295274798,3693.7894506854777,0.0,2.5332075613397387,0.0,0.0,0.0,0.0,4299.398287774297
t124,600.6518530565905,3657.1268350302857,0.0,2.5696136356580253,0.0,0.0,0.0,0.0,4260.348301722534
t125,598.2280765857012,3621.6879070560362,0.0,2.6296266713209917,0.0,0.0,0.0,0.0,4222.545610313058
t126,595.8043001148119,3582.914578906794,0.0,2.66024648603191,0.0,0.0,0.0,0.0,4181.379125507638
t127,593.3805236439226,3544.575515682525,0.0,2.696849403620295,0.0,0.0,0.0,0.0,4140.652888730068
t128,590.9567471730334,3547.4696311538955,0.0,2.7197436829903068,0.0,0.0,0.0,0.0,4141.146122009919
t129,588.5329707021442,3551.776595677335,0.0,2.762419428485448,0.0,0.0,0.0,0.0,4143.071985807965
t130,586.109194231255,3549.476530756298,0.0,2.768395573470412,0.0,0.0,0.0,0.0,4138.354120561024
t131,583.6854177603657,3554.1335449259923,0.0,2.8068468036472587,0.0,0.0,0.0,0.0,4140.625809490005
t132,581.2616412894763,3556.7001171872766,0.0,2.828706696987464,0.0,0.0,0.0,0.0,4140.790465173741
t133,578.837864818587,3560.8532653283714,0.0,2.869294696710703,0.0,0.0,0.0,0.0,4142.560424843669
t134,570.5060631950348,3544.9077312074905,0.0,2.8684718407680956,0.0,0.0,0.0,0.0,4118.282266243294
t135,562.1742600027459,3532.282132868108,0.0,2.8804163986277413,0.0,0.0,0.0,0.0,4097.336809269482
t136,553.8424583791937,3523.768656404801,0.0,2.908443408438819,0.0,0.0,0.0,0.0,4080.5195581924336
t137,545.5106567556414,3513.831528939232,0.0,2.9356875756597436,0.0,0.0,0.0,0.0,4062.2778732705333
t138,537.1788551320891,3498.030684780105,0.0,2.9377450529130575,0.0,0.0,0.0,0.0,4038.1472849651072
t139,528.8470519398004,3485.4882966517257,0.0,2.9506144955003752,0.0,0.0,0.0,0.0,4017.285963087026
t140,520.5152503162481,3464.86273489155,0.0,2.9498725656042626,0.0,0.0,0.0,0.0,3988.3278577734027
t141,512.1834486926957,3447.516827054781,0.0,2.976110680084634,0.0,0.0,0.0,0.0,3962.6763864275617
t142,503.85164706914355,3422.2028659125026,0.0,2.967226609016832,0.0,0.0,0.0,0.0,3929.021739590663
t143,495.5198454455913,3400.0592413484173,0.0,2.966694436779072,0.0,0.0,0.0,0.0,3898.5457812307877
t144,487.18804225330234,3379.379702264518,0.0,2.966253324578984,0.0,0.0,0.0,0.0,3869.5339978423995
t145,478.8562406297501,3359.4004738064887,0.0,2.979253629197381,0.0,0.0,0.0,0.0,3841.2359680654363
t146,479.84084403285385,3365.9210333011147,0.0,2.97206935270117,0.0,0.0,0.0,0.0,3848.7339466866697
t147,480.8254474359576,3373.1142554110925,0.0,2.9594827212271184,0.0,0.0,0.0,0.0,3856.899185568277
t148,481.81005083906126,3381.7335782391115,0.0,2.947457584102991,0.0,0.0,0.0,0.0,3866.491086662276
t149,482.79465424216505,3391.221062000887,0.0,2.948302302872881,0.0,0.0,0.0,0.0,3876.964018545925
t150,483.77925764526873,3394.9745542301457,0.0,2.925608216744195,0.0,0.0,0.0,0.0,3881.679420092159
t151,484.76386104837246,3404.986136704254,0.0,2.9295700418239687,0.0,0.0,0.0,0.0,3892.67956779445
t152,485.74846445147614,3435.640156952227,0.0,2.903597780885606,0.0,0.0,0.0,0.0,3924.2922191845887
t153,486.73306785458,3467.457763444331,0.0,2.89206100319663,0.0,0.0,0.0,0.0,3957.082892302107
t154,487.7176712576837,3493.7019196156816,0.0,2.8574550651835353,0.0,0.0,0.0,0.0,3984.277045938549
t155,488.70227466078734,3522.943303856658,0.0,2.831682456241309,0.0,0.0,0.0,0.0,4014.4772609736865
t156,489.68687806389113,3556.3536366025937,0.0,2.821600785908903,0.0,0.0,0.0,0.0,4048.8621154523935
t157,490.67148146699486,3587.9800360730787,0.0,2.8105551375228806,0.0,0.0,0.0,0.0,4081.4620726775966
t158,487.6801423722022,3600.166088753193,0.0,2.7650287710437143,0.0,0.0,0.0,0.0,4090.6112598964387
t159,484.68880170867305,3615.4282953387005,0.0,2.729999429356431,0.0,0.0,0.0,0.0,4102.847096476729
t160,481.69746261388036,3632.305230489781,0.0,2.694718881109868,0.0,0.0,0.0,0.0,4116.697411984771
t161,478.70612195035125,3652.4434649237014,0.0,2.6881887285641772,0.0,0.0,0.0,0.0,4133.837775602617
t162,475.7147828555586,3664.514686859125,0.0,2.6415227261703995,0.0,0.0,0.0,0.0,4142.870992440854
t163,472.72344376076603,3679.7398761849395,0.0,2.6066454241703734,0.0,0.0,0.0,0.0,4155.069965369876
t164,469.73210309723686,3695.2541466735024,0.0,2.5601093381455313,0.0,0.0,0.0,0.0,4167.546359108885
t165,466.7407640024442,3711.2047040692946,0.0,2.534324207392311,0.0,0.0,0.0,0.0,4180.479792279131
