Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,2740.0705916380884,5.693051886235345e6,777809.9918735257,98721.55367994263,3.648054190516695e-11,3.2067699056421197e6,3.2227941855928972e6,1.3716395536760788e-5,1.3001887593629185e7
t1,9.050719798730606e-12,0.0,0.0,0.0,3.0168273751175847e-16,1.741072816382881,39.60363282384046,1.1147223507192207e-10,41.34470564034386
t2,9.050980767788845e-12,0.0,0.0,0.0,2.758615820361638e-16,1.7306648011430996,39.41911708908454,1.0960207541483847e-10,41.14978189034629
t3,9.051836510851996e-12,0.0,0.0,0.0,2.631058000200083e-16,1.7203586172058103,39.313379803026,1.0783924435257169e-10,41.033738420348705
t4,9.053949929558025e-12,0.0,0.0,0.0,3.0068109160130696e-16,1.7123845071109869,39.13127755312511,1.0609540995539666e-10,40.84366206035124
t5,9.055123731026012e-12,0.0,0.0,0.0,3.0085396213115844e-16,1.7056133945333527,39.04271591570736,1.0428107748496668e-10,40.748329310354045
t6,9.051459855186395e-12,0.0,0.0,0.0,2.774854927995377e-16,1.6967468132368704,38.813031336984245,1.12512114935736e-10,40.50977815034268
t7,9.051967126180446e-12,0.0,0.0,0.0,2.6491778458708573e-16,1.6974908350333695,38.66451457519249,1.1040795886934486e-10,40.36200541034532
t8,9.053518989941903e-12,0.0,0.0,0.0,3.0150671402249745e-16,1.701570120825099,38.5292310794053,1.0846886773366768e-10,40.23080120034792
t9,9.054031588665142e-12,0.0,0.0,0.0,3.0101114999410437e-16,1.7080020940577827,38.34664635617717,1.0658374949261342e-10,40.054648450350584
t10,9.054053155217098e-12,0.0,0.0,0.0,2.7589003181834315e-16,1.719831535672701,38.17673172456711,1.0466976124184003e-10,39.89656326035354
t11,9.050428768845922e-12,0.0,0.0,0.0,2.659077600354388e-16,1.7256278251805548,38.05172438503988,1.1283569509461845e-10,39.77735221034233
t12,9.051969962475646e-12,0.0,0.0,0.0,3.0241089314605534e-16,1.7381348469309839,37.87285442329433,1.1065941956875891e-10,39.61098927034502
t13,9.052493629375409e-12,0.0,0.0,0.0,3.0165054750460614e-16,1.7498513484344544,37.64806373179548,1.0866023202255245e-10,39.39791508034765
t14,9.052137406616524e-12,0.0,0.0,0.0,2.7632762416189596e-16,1.764912924387503,37.428230905847116,1.0673788928641682e-10,39.19314383035041
t15,9.05259581928524e-12,0.0,0.0,0.0,2.638189319505996e-16,1.7812289446698688,37.22256714556968,1.0478661355213482e-10,39.00379609035338
t16,9.050126846941614e-12,0.0,0.0,0.0,3.0271732646267907e-16,1.7952375357055015,37.12012470451472,1.1293410442078366e-10,38.91536224034221
t17,9.051014197588543e-12,0.0,0.0,0.0,3.0211071842932544e-16,1.8095255972842892,36.91531922294083,1.1073141668659427e-10,38.724844820344906
t18,9.050629591899173e-12,0.0,0.0,0.0,2.768501957361174e-16,1.825946537542513,36.82251491268732,1.0872038566602926e-10,38.648461450347604
t19,9.050844822348514e-12,0.0,0.0,0.0,2.645291512221007e-16,1.8420208476148512,36.70537957261967,1.0678192960591216e-10,38.54740042035036
t20,9.052568543994573e-12,0.0,0.0,0.0,3.0093427868134796e-16,1.8569666590261276,36.63756862121332,1.0482131289473582e-10,38.49453528035332
t21,9.049831225243552e-12,0.0,0.0,0.0,3.0203683379774704e-16,1.8682530781280136,36.566366302092135,1.1295943839671343e-10,38.43461938034216
t22,9.049755138169798e-12,0.0,0.0,0.0,2.772593790949377e-16,1.8820912380585206,36.52169659216658,1.1075449585048448e-10,38.4037878303449
t23,9.050174368217376e-12,0.0,0.0,0.0,2.6529590477992885e-16,1.8942840847969542,36.46824845543283,1.0873635997568306e-10,38.36253254034757
t24,9.051834564583696e-12,0.0,0.0,0.0,3.013714524185341e-16,1.9037435326030892,36.40475421763139,1.0679555711684435e-10,38.30849775035033
t25,9.052817274049488e-12,0.0,0.0,0.0,3.0142734674402033e-16,1.9139167183816117,36.411494431857804,1.0482930759911072e-10,38.3254111503533
t26,9.049895194865174e-12,0.0,0.0,0.0,2.7805742906036973e-16,1.9236047483621201,36.33650584185802,1.1296896963474479e-10,38.260110590342165
t27,9.050685622076047e-12,0.0,0.0,0.0,2.663602051588922e-16,1.9368639048718126,36.25045466535328,1.1076146311649729e-10,38.18731857034491
t28,9.052498909499215e-12,0.0,0.0,0.0,3.023879014844707e-16,1.9473524547599625,36.13720843546981,1.087441172560247e-10,38.08456089034757
t29,9.053543033345066e-12,0.0,0.0,0.0,3.018631513565725e-16,1.960323325451404,36.118868244783044,1.0679939146294797e-10,38.079191570350304
t30,9.054218548312569e-12,0.0,0.0,0.0,2.768246945383913e-16,1.9684066917582879,36.14022861848113,1.0483923753843886e-10,38.108635310353314
t31,9.051269925394571e-12,0.0,0.0,0.0,2.6747723623240176e-16,1.9815728909227814,36.05250759929736,1.129723868303667e-10,38.03408049034216
t32,9.053420796731597e-12,0.0,0.0,0.0,3.0372875074762097e-16,1.9902069564917202,35.93875330373333,1.1076720062738378e-10,37.928960260344866
t33,9.05463551111082e-12,0.0,0.0,0.0,3.0284146580882987e-16,2.0028835550763078,35.88132853515343,1.0874599779990515e-10,37.88421209034753
t34,9.054891055360093e-12,0.0,0.0,0.0,2.776909696688715e-16,2.009221043524545,35.87959813670991,1.0680852522359717e-10,37.88881918035032
t35,9.056102211124982e-12,0.0,0.0,0.0,2.6562889811842765e-16,2.019477942123094,35.7976281281163,1.0484699020360155e-10,37.817106070353304
t36,9.053992569506783e-12,0.0,0.0,0.0,3.040407160117472e-16,2.032242506057653,35.757658314162455,1.1297832536806233e-10,37.78990082034214
t37,9.049392793649239e-12,0.0,0.0,0.0,3.0361754518395964e-16,2.0740928155605096,35.79744875466452,1.1076250209399749e-10,37.871541570344846
t38,9.055518781083469e-12,0.0,0.0,0.0,2.7841146218103815e-16,2.0530098506146333,35.81335751961512,1.0875580602794414e-10,37.86636737034756
t39,9.056041374570699e-12,0.0,0.0,0.0,2.6669257504396946e-16,2.0678052746033875,35.77443900563106,1.068147152718595e-10,37.84224428035032
t40,9.057731388413236e-12,0.0,0.0,0.0,3.027768025407517e-16,2.083578872723998,35.809456567515376,1.0485418731525458e-10,37.89303544035329
t41,9.05527495021811e-12,0.0,0.0,0.0,3.036869429879698e-16,2.104213643032231,35.73527824718787,1.1297412883679987e-10,37.83949189034213
t42,9.055434960742009e-12,0.0,0.0,0.0,2.7938998895109977e-16,2.114213122866164,35.72770055735889,1.1077448678566916e-10,37.841913680344874
t43,9.055975496832724e-12,0.0,0.0,0.0,2.6776952968249384e-16,2.1303397376513873,35.78538460257834,1.0875926659371594e-10,37.915724340347545
t44,9.057483302679597e-12,0.0,0.0,0.0,3.0290477010375905e-16,2.1459928109807205,35.805643579253704,1.0682285018991687e-10,37.95163639035031
t45,9.051862052863652e-12,0.0,0.0,0.0,3.030261088527521e-16,2.201050430576121,35.768871139663226,1.0485070562529089e-10,37.96992157035325
t46,9.055467070548289e-12,0.0,0.0,0.0,2.8003453550236626e-16,2.1796094612092327,35.82754616901088,1.1298442580201232e-10,38.00715563034215
t47,9.055941767705417e-12,0.0,0.0,0.0,2.688263020009851e-16,2.2041353577220844,35.77486549250296,1.1078057013374038e-10,37.97900085034489
t48,9.057266275110686e-12,0.0,0.0,0.0,3.038385938998168e-16,2.2237712326716856,35.83636148755803,1.0876821521824399e-10,38.06013272034754
t49,9.051335311133582e-12,0.0,0.0,0.0,3.0318835014734147e-16,2.286069817538966,35.86224553269542,1.0682117594703186e-10,38.14831535035026
t50,9.058085752641835e-12,0.0,0.0,0.0,2.784404164507568e-16,2.2688543734771858,35.98025276676217,1.0487278013540559e-10,38.24910714035329
t51,9.055054258344034e-12,0.0,0.0,0.0,2.6980977855480167e-16,2.312848745848748,36.03264348437133,1.1299381290079694e-10,38.345492230342124
t52,9.056381932025875e-12,0.0,0.0,0.0,3.050687868035201e-16,2.341426295913202,36.090315554311786,1.1079757963935798e-10,38.43174185034484
t53,9.050625389172532e-12,0.0,0.0,0.0,3.0406183534385906e-16,2.4179722959463192,36.10251161428334,1.0877900828794132e-10,38.52048391034749
t54,9.05680024336055e-12,0.0,0.0,0.0,2.7914379440940522e-16,2.401933112094585,36.23858057813976,1.0685537688394888e-10,38.64051369035026
t55,9.057252735068373e-12,0.0,0.0,0.0,2.6761926346067396e-16,2.4403837096964915,36.32104112054279,1.0490269833447468e-10,38.76142483035324
t56,9.054979746276037e-12,0.0,0.0,0.0,3.0552524138167264e-16,2.50013816862818,36.403587131591784,1.1303779769333777e-10,38.90372530034205
t57,9.049484129501765e-12,0.0,0.0,0.0,3.046626321544809e-16,2.590383766099582,36.44947261412527,1.108403125545996e-10,39.039856380344744
t58,9.055500431951938e-12,0.0,0.0,0.0,2.7986590252384243e-16,2.578029134325731,36.63277141590378,1.088494584899952e-10,39.210800550347415
t59,9.055676074297444e-12,0.0,0.0,0.0,2.6832996587909256e-16,2.6245468164492802,36.79374562378489,1.0692944393753166e-10,39.418292440350164
t60,9.057079999954906e-12,0.0,0.0,0.0,3.0361340727481097e-16,2.6699191220215908,37.01447457821745,1.0499518936283376e-10,39.6843937003531
t61,9.047872091885907e-12,0.0,0.0,0.0,3.0455028259756487e-16,2.811699349057896,37.20269306116175,1.1316200122743539e-10,40.014392410341856
t62,9.053935558482093e-12,0.0,0.0,0.0,2.804178857994059e-16,2.8154669491850335,37.48884767103946,1.1100710680625127e-10,40.30431462034455
t63,9.053942227072398e-12,0.0,0.0,0.0,2.6897626373381727e-16,2.885393200568928,37.66874248966013,1.0904096073440487e-10,40.55413569034715
t64,9.054862396583278e-12,0.0,0.0,0.0,3.0421401596024127e-16,2.955226406375199,37.87649270385837,1.0716439818729824e-10,40.83171911034978
t65,9.055192696396568e-12,0.0,0.0,0.0,3.038711979022703e-16,3.03695708215434,38.12768598808394,1.0527225122439262e-10,41.164643070352604
t66,9.05184904408274e-12,0.0,0.0,0.0,2.8121209124105265e-16,3.154205632008935,38.37993720820975,1.1359445802756863e-10,41.53414284034133
t67,9.051887928252875e-12,0.0,0.0,0.0,2.6970517482459074e-16,3.2377793123603427,38.724913327862936,1.1151742831639874e-10,41.962692640343846
t68,9.052614492438824e-12,0.0,0.0,0.0,3.048234142801481e-16,3.322509548966692,39.054388551260836,1.0965982807617733e-10,42.37689810034624
t69,9.052708867078813e-12,0.0,0.0,0.0,3.0397212166558563e-16,3.4265565193412155,39.36322501089044,1.0790838865817652e-10,42.78978153034861
t70,9.052707198381927e-12,0.0,0.0,0.0,2.7926212508029277e-16,3.509317906162189,39.760329204073756,1.0618493743231456e-10,43.26964711035118
t71,9.04956016753777e-12,0.0,0.0,0.0,2.700860851640968e-16,3.7076736509445505,40.02140203927098,1.1498234497807305e-10,43.72907569033956
t72,9.05066902066879e-12,0.0,0.0,0.0,3.0557166566898447e-16,3.823887514142041,40.42631082607733,1.1318694318777718e-10,44.250198340341605
t73,9.051344543735425e-12,0.0,0.0,0.0,3.0448791330572865e-16,3.9692292031675307,40.908293717055116,1.1167692446752939e-10,44.877522920343374
t74,9.05151833714046e-12,0.0,0.0,0.0,2.794164580774647e-16,4.073067413195885,41.36781095702976,1.103675606367415e-10,45.44087837034507
t75,9.05227271731247e-12,0.0,0.0,0.0,2.673533159295362e-16,4.214979851186664,41.71698374904173,1.0917933902263874e-10,45.93196360034663
t76,9.049345342775853e-12,0.0,0.0,0.0,3.050121920083241e-16,4.547428804456977,41.81348527574836,1.1963134755407195e-10,46.36091408033403
t77,9.044185825224777e-12,0.0,0.0,0.0,3.0461929915401367e-16,4.8204487141342955,41.85376165607246,1.188086936077198e-10,46.674210370334606
t78,9.04966701585574e-12,0.0,0.0,0.0,2.792146638315976e-16,4.928762366382403,42.14247196382463,1.185829086286654e-10,47.07123433033467
t79,9.049568324719204e-12,0.0,0.0,0.0,2.6704063196978527e-16,5.161526355621446,42.31422338458469,1.1889837041254522e-10,47.47574974033409
t80,9.051404264689724e-12,0.0,0.0,0.0,3.0187222553557888e-16,5.422512875744515,42.43070459445951,1.1979706711511985e-10,47.85321747033288
t81,9.048441691158834e-12,0.0,0.0,0.0,3.029226022210538e-16,6.150827092726981,41.97189347744448,1.370038619148835e-10,48.12272057031751
t82,9.048441119567518e-12,0.0,0.0,0.0,2.7801695340317305e-16,6.477346109320822,41.99331718084372,1.4068501356436733e-10,48.47066329031427
t83,9.049460105019531e-12,0.0,0.0,0.0,2.6472645923343044e-16,6.993472892337603,41.71124864781602,1.4683179404279138e-10,48.70472154030951
t84,9.052102587301669e-12,0.0,0.0,0.0,3.0115643441027303e-16,7.630133054253626,41.36549341588373,1.5653971481960724e-10,48.99562647030295
t85,9.054433277415081e-12,0.0,0.0,0.0,3.0161972147867994e-16,8.62539787068282,40.810521349430275,1.720625497739637e-10,49.43591922029421
t86,8.223898961024032e-12,33.300097440501936,0.6630126423699999,0.08840102330417077,2.405463782723175e-16,1.333234682146494e-10,15.787634943894764,2.37378451140839e-10,49.8391460504498
t87,8.220509104272373e-12,50.97345901081406,1.3260252847399998,0.17253225732833982,2.701444986029692e-16,8.876612162870247e-11,8.852092450402572e-11,7.254018099403309e-11,52.47201655314045
t88,8.221290256841913e-12,67.35416451257495,1.9890379271099998,0.2604704967242752,3.0265446693980924e-16,8.880675274770666e-11,8.865018988300142e-11,8.431964730150137e-11,69.60367293667922
t89,8.220729998019878e-12,77.45633684045598,2.6520505373699996,0.342457905621069,3.0280406786180294e-16,8.880383331892308e-11,8.862966521080614e-11,9.315840218182992e-11,80.45084528372585
t90,8.21470920561142e-12,85.82826616888623,3.31506317974,0.43107919567931885,2.806848405699579e-16,8.877888970415223e-11,8.864682088497779e-11,9.972873833816912e-11,89.57440854459091
t91,8.212849413419183e-12,92.50156850806992,3.97807582211,0.5138270596542537,2.693874525668239e-16,8.877600367899552e-11,8.867657591142636e-11,1.184970093059732e-10,96.99347139013834
t92,8.214125764656343e-12,100.04228483044763,4.588846618330001,0.5939480538692041,3.0647096621408952e-16,8.878185564587241e-11,8.869155928194349e-11,1.2209094050428693e-10,105.22507950295461
t93,8.214191650495466e-12,107.43425452412764,5.19961738244,0.6736601970011109,3.05589017400419e-16,8.87844118511423e-11,8.870359156930057e-11,1.244144279947571e-10,113.30753210387887
t94,8.21310968377078e-12,115.64298133243074,5.810388146549999,0.7531672505125541,2.832025749899135e-16,8.878284422304697e-11,8.873869234696576e-11,1.2554953121247433e-10,122.20653672980458
t95,8.212889924809972e-12,122.8438744505957,6.42115894277,0.8334040318243164,2.69129393336035e-16,8.878378788910033e-11,8.874531708829898e-11,1.2554947481553343e-10,130.09843742550132
t96,8.21175906202914e-12,125.97496342232014,7.03192970688,0.9102664974256212,3.076626389729649e-16,8.878511384493897e-11,8.876882001111856e-11,1.4059268091803376e-10,133.91715962695213
t97,8.210733216497148e-12,129.10825434585635,7.6427005031,0.9836481198349291,3.057979420432633e-16,8.879681991344738e-11,8.873879387746085e-11,1.3900256974012478e-10,137.73460296911603
t98,8.210448977832242e-12,134.11686457588652,8.228990378439999,1.0667919304537874,2.84000095830926e-16,8.879678416662545e-11,8.87718819387273e-11,1.3727320754792804e-10,143.41264688510336
t99,8.209728000628413e-12,136.45983128551111,8.815280285890001,1.1427692940036969,2.699953051644508e-16,8.88043042063934e-11,8.877210723593213e-11,1.3527183576698926e-10,146.41788086572586
t100,8.210453449672118e-12,138.9116808505802,9.40157016123,1.221374069550285,3.0769786449291493e-16,8.881026084941745e-11,8.877466817031021e-11,1.3285878152183804e-10,149.53462508167917
