BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,6.572323502379867e6,6.429564091248978e6,-7.596365892312691e6,0.0,0.0,0.0,7.778736967467382e-11,0.0,0.0,-5.405521701316869e6
t1,9.051021481468119e-12,41.34470564033481,-3.438494470372397e-10,0.0,0.0,0.0,0.0,0.0,0.0,-41.34470564
t2,9.051256629370882e-12,41.14978189033724,-3.462802316293735e-10,0.0,0.0,0.0,0.0,0.0,0.0,-41.14978189
t3,9.052099616652016e-12,41.03373842033965,-3.4869900952820366e-10,0.0,0.0,0.0,0.0,0.0,0.0,-41.03373842
t4,9.054250610649627e-12,40.8436620603422,-3.512509048763859e-10,0.0,0.0,0.0,0.0,0.0,0.0,-40.84366206
t5,9.055424584988143e-12,40.74832931034499,-3.540528730687311e-10,0.0,0.0,0.0,0.0,0.0,0.0,-40.74832931
t6,9.051737340679195e-12,40.50977815033363,-3.426856907328715e-10,0.0,0.0,0.0,0.0,0.0,0.0,-40.50977815
t7,9.052232043965034e-12,40.36200541033627,-3.4531898945935894e-10,0.0,0.0,0.0,0.0,0.0,0.0,-40.36200541
t8,9.053820496655926e-12,40.23080120033887,-3.479151634638909e-10,0.0,0.0,0.0,0.0,0.0,0.0,-40.2308012
t9,9.054332599815137e-12,40.05464845034153,-3.5058748843375286e-10,0.0,0.0,0.0,0.0,0.0,0.0,-40.05464845
t10,9.054329045248917e-12,39.896563260344486,-3.53548135281011e-10,0.0,0.0,0.0,0.0,0.0,0.0,-39.89656326
t11,9.050694676605957e-12,39.77735221033327,-3.4232496432251323e-10,0.0,0.0,0.0,0.0,0.0,0.0,-39.77735221
t12,9.052272373368793e-12,39.61098927033597,-3.45021891769157e-10,0.0,0.0,0.0,0.0,0.0,0.0,-39.61098927
t13,9.052795279922913e-12,39.3979150803386,-3.4765056547106123e-10,0.0,0.0,0.0,0.0,0.0,0.0,-39.39791508
t14,9.052413734240685e-12,39.193143830341356,-3.504104597829898e-10,0.0,0.0,0.0,0.0,0.0,0.0,-39.19314383
t15,9.052859638217192e-12,39.00379609034433,-3.533824919062985e-10,0.0,0.0,0.0,0.0,0.0,0.0,-39.00379609
t16,9.050429564268077e-12,38.91536224033316,-3.4220826538127135e-10,0.0,0.0,0.0,0.0,0.0,0.0,-38.91536224
t17,9.051316308306972e-12,38.72484482033585,-3.449054749248432e-10,0.0,0.0,0.0,0.0,0.0,0.0,-38.72484482
t18,9.05090644209491e-12,38.64846145033855,-3.475937161168594e-10,0.0,0.0,0.0,0.0,0.0,0.0,-38.64846145
t19,9.051109351499736e-12,38.547400420341305,-3.503448541954813e-10,0.0,0.0,0.0,0.0,0.0,0.0,-38.54740042
t20,9.052869478273256e-12,38.494535280344266,-3.5332692653444186e-10,0.0,0.0,0.0,0.0,0.0,0.0,-38.49453528
t21,9.05013326207735e-12,38.43461938033311,-3.421526142962218e-10,0.0,0.0,0.0,0.0,0.0,0.0,-38.43461938
