Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro
Zone,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,3687.2808959421577,276.95258940572586,6743.679861183547,1.0207203621047151e-8
t2,0.0,0.0,0.0,0.0,3682.182743403564,274.7211358180883,6707.705030106973,1.0206979956532496e-8
t3,0.0,0.0,0.0,0.0,3677.0733436124992,272.4914692778255,6671.854546189533,1.0221063306592206e-8
t4,0.0,0.0,0.0,0.0,3671.9526109270296,270.25791775604193,6636.214551992723,1.0253891055761476e-8
t5,0.0,0.0,0.0,0.0,3666.820496540137,268.01906805037515,6600.683478534117,1.030872590903229e-8
t6,0.0,0.0,0.0,0.0,3661.6769555529545,265.757820327946,6565.434097831525,1.02547204130017e-8
t7,0.0,0.0,0.0,0.0,3656.5219566780356,263.4865205465808,6530.355391731317,1.0226527754709826e-8
t8,0.0,0.0,0.0,0.0,3651.355672715307,261.21660298433414,6495.417916683705,1.0222405994115772e-8
t9,0.0,0.0,0.0,0.0,3646.1780092777485,258.94345031937024,6460.675147119217,1.0243332458224035e-8
t10,0.0,0.0,0.0,0.0,3640.988901617477,256.666031808915,6426.108475128453,1.0290533096332841e-8
t11,0.0,0.0,0.0,0.0,3635.788293228983,254.3663187902104,6391.6936748743165,1.023146861817166e-8
t12,0.0,0.0,0.0,0.0,3630.576139024625,252.05802541879874,6357.468284255461,1.0202445324695868e-8
t13,0.0,0.0,0.0,0.0,3625.352615073643,249.75092870135487,6323.47329936305,1.0195943998011964e-8
t14,0.0,0.0,0.0,0.0,3620.1212062988357,247.44251438645867,6289.702209513713,1.021618594366765e-8
t15,0.0,0.0,0.0,0.0,3614.8818502460636,245.13151236467445,6256.139520132103,1.0264062758994677e-8
t16,0.0,0.0,0.0,0.0,3609.6345418736505,242.80064543643687,6222.692819407062,1.0206652673212593e-8
t17,0.0,0.0,0.0,0.0,3604.379252038947,240.46671880944115,6189.456262532923,1.0177030358823006e-8
t18,0.0,0.0,0.0,0.0,3599.1160176696044,238.12990041577308,6156.305622827601,1.0173703841610871e-8
t19,0.0,0.0,0.0,0.0,3593.844986027556,235.7900173269858,6123.267896763022,1.0196422029663398e-8
t20,0.0,0.0,0.0,0.0,3588.5664110093476,233.4463742970533,6090.291392748253,1.0246132992312836e-8
t21,0.0,0.0,0.0,0.0,3583.280020803064,231.08019877289564,6057.402547206087,1.0189951841451847e-8
t22,0.0,0.0,0.0,0.0,3577.987890719257,228.7085726218399,6024.552664845137,1.0159875408117963e-8
t23,0.0,0.0,0.0,0.0,3572.6857952706587,226.33263408728422,5991.751937574183,1.0155217851024597e-8
t24,0.0,0.0,0.0,0.0,3567.373940446094,223.9522025255629,5959.014436797758,1.0175848927064881e-8
t25,0.0,0.0,0.0,0.0,3562.052884442466,221.5663674192048,5926.263955435506,1.0222359684077601e-8
t26,0.0,0.0,0.0,0.0,3556.732165671935,219.16030097595495,5893.604684279825,1.0165154069534792e-8
t27,0.0,0.0,0.0,0.0,3551.4120615667985,216.75310978520181,5861.025659632483,1.0136402414723547e-8
t28,0.0,0.0,0.0,0.0,3546.092711949293,214.34539684347948,5828.558849866517,1.0134132117064e-8
t29,0.0,0.0,0.0,0.0,3540.7741633031355,211.93697130105863,5796.098588918612,1.0157741718283225e-8
t30,0.0,0.0,0.0,0.0,3535.4563744359757,209.527221762062,5763.607647902034,1.0207943441165715e-8
t31,0.0,0.0,0.0,0.0,3530.1392879416076,207.09466320803435,5731.220553748429,1.0153161305547525e-8
t32,0.0,0.0,0.0,0.0,3524.8229087199425,204.65754005166966,5698.952285316687,1.0130243192890027e-8
t33,0.0,0.0,0.0,0.0,3519.506790735248,202.22473995631302,5666.728333139134,1.0127632527891162e-8
t34,0.0,0.0,0.0,0.0,3514.1908317903076,199.7933910814509,5634.497922034535,1.0149858684116651e-8
t35,0.0,0.0,0.0,0.0,3508.8750744430317,197.36240266963225,5602.345099499472,1.0197974205207266e-8
t36,0.0,0.0,0.0,0.0,3503.5596334516945,194.9110141080047,5570.242248038244,1.0142132120699743e-8
t37,0.0,0.0,0.0,0.0,3498.2447621319457,192.45657451620897,5538.053707661492,1.01201912703771e-8
t38,0.0,0.0,0.0,0.0,3492.9359276591817,190.00436858485605,5505.868557754712,1.0115777670612231e-8
t39,0.0,0.0,0.0,0.0,3487.6334046799047,187.5502093286811,5473.711581922726,1.0136662515596077e-8
t40,0.0,0.0,0.0,0.0,3482.334429480595,185.09419902224735,5441.501249358356,1.0184858743010786e-8
t41,0.0,0.0,0.0,0.0,3477.0470052014302,182.61313060536472,5409.374174415418,1.0129620701740322e-8
t42,0.0,0.0,0.0,0.0,3471.7662615397257,180.12222012423192,5377.254309156258,1.010442580821616e-8
t43,0.0,0.0,0.0,0.0,3466.4920506884896,177.63638856922722,5345.049135992687,1.0099064151711706e-8
t44,0.0,0.0,0.0,0.0,3461.224084012577,175.14947559749623,5312.806009408856,1.011888264763839e-8
t45,0.0,0.0,0.0,0.0,3455.962348315394,172.66088369210817,5280.544686562997,1.016454409521079e-8
t46,0.0,0.0,0.0,0.0,3450.7069264929596,170.1482952455876,5248.266888454036,1.0105594652384827e-8
t47,0.0,0.0,0.0,0.0,3445.4579036351283,167.62801285945898,5216.027387306384,1.0077394025722787e-8
t48,0.0,0.0,0.0,0.0,3440.2156016169392,165.11758028712853,5183.6898495296955,1.0070401281735433e-8
t49,0.0,0.0,0.0,0.0,3434.9799815558513,162.61105716342513,5151.2525516195665,1.008941965486007e-8
t50,0.0,0.0,0.0,0.0,3429.7652024896174,160.09032188729645,5118.7199095683545,1.0133884808117083e-8
t51,0.0,0.0,0.0,0.0,3424.571245659246,157.5298275002842,5086.122260225967,1.0073630440891728e-8
t52,0.0,0.0,0.0,0.0,3419.3980737096563,154.94561159128492,5053.454582818574,1.0043570272715389e-8
t53,0.0,0.0,0.0,0.0,3414.245863236233,152.35335950425346,5020.698482828321,1.0034261708132385e-8
t54,0.0,0.0,0.0,0.0,3409.1144979068217,149.74517873996632,4987.8278443631225,1.0050258180772217e-8
t55,0.0,0.0,0.0,0.0,3404.0039032203,147.11920018363077,4954.843578537768,1.0092030624424442e-8
t56,0.0,0.0,0.0,0.0,3398.9140229874893,144.44509950433329,4921.752760411576,1.0029696747807427e-8
t57,0.0,0.0,0.0,0.0,3393.8447950728255,141.74331929280123,4888.541653252365,9.99770967062812e-9
t58,0.0,0.0,0.0,0.0,3388.796358880563,139.03046391481308,4855.155812379154,9.986163374728294e-9
t59,0.0,0.0,0.0,0.0,3383.768610286014,136.29905858697035,4821.5629867927255,9.999693139914292e-9
t60,0.0,0.0,0.0,0.0,3378.7614857241515,133.5476746705542,4787.70089929484,1.0038672905027178e-8
t61,0.0,0.0,0.0,0.0,3373.7749399942327,130.73936010645198,4753.537048194755,9.973771017973444e-9
t62,0.0,0.0,0.0,0.0,3368.8261900127563,127.87365694497083,4719.115452855059,9.938030871932553e-9
t63,0.0,0.0,0.0,0.0,3363.915371975767,124.97017308020529,4684.460093577325,9.921062611777662e-9
t64,0.0,0.0,0.0,0.0,3359.0424000747007,122.01771505723245,4649.55198734908,9.927427539732765e-9
t65,0.0,0.0,0.0,0.0,3354.2072235675187,119.01415615577922,4614.333108129726,9.957316258333266e-9
t66,0.0,0.0,0.0,0.0,3349.4098062444114,115.90462265176758,4578.818573328263,9.881277677884375e-9
t67,0.0,0.0,0.0,0.0,3344.650112824963,112.72867777193693,4542.904634902587,9.83273509293794e-9
t68,0.0,0.0,0.0,0.0,3339.9281107653246,109.50331190233554,4506.58989414058,9.80011478670914e-9
t69,0.0,0.0,0.0,0.0,3335.2437058457485,106.21553253009567,4469.888780544235,9.787589344976208e-9
t70,0.0,0.0,0.0,0.0,3330.596851488768,102.86085127596314,4432.7329758080205,9.794594573092724e-9
t71,0.0,0.0,0.0,0.0,3325.987507762375,99.35380753173027,4395.230154670723,9.689883501538682e-9
t72,0.0,0.0,0.0,0.0,3321.415644915629,95.75460459959623,4357.25305505826,9.605800106012944e-9
t73,0.0,0.0,0.0,0.0,3316.8814457464887,92.08091366723872,4318.668568902534,9.530946678433771e-9
t74,0.0,0.0,0.0,0.0,3312.364363054016,88.34280111604808,4279.536161485194,9.468260115635849e-9
t75,0.0,0.0,0.0,0.0,3307.8643477233663,84.53307931932832,4239.941575019892,9.415403326504878e-9
t76,0.0,0.0,0.0,0.0,3303.3813674610888,80.51438077048381,4200.089714785114,9.233335735777254e-9
t77,0.0,0.0,0.0,0.0,3298.9153968128726,76.38406781097349,4160.008929515339,9.05554635702878e-9
