Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro
Zone,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,-0.16304347826288115,-0.1630434782608805,-0.37864147444907476
t2,0.0,0.0,0.0,0.0,0.0,-0.16304347826288226,-0.16304347826088042,-0.3831681058759536
t3,0.0,0.0,0.0,0.0,0.0,-0.1630434782628831,-0.1630434782608803,-0.3874253561217475
t4,0.0,0.0,0.0,0.0,0.0,-0.16304347826288368,-0.1630434782608802,-0.3916363877664186
t5,0.0,0.0,0.0,0.0,0.0,-0.16304347826288396,-0.1630434782608801,-0.3959429584277102
t6,0.0,0.0,0.0,0.0,0.0,-0.16304347826286647,-0.1630434782608794,-0.38060969078901946
t7,0.0,0.0,0.0,0.0,0.0,-0.16304347826286622,-0.16304347826087928,-0.3847528350572693
t8,0.0,0.0,0.0,0.0,0.0,-0.1630434782628657,-0.16304347826087917,-0.3887097273184016
t9,0.0,0.0,0.0,0.0,0.0,-0.1630434782628649,-0.163043478260879,-0.3926643717827166
t10,0.0,0.0,0.0,0.0,0.0,-0.1630434782628638,-0.16304347826087887,-0.3967470500322063
t11,0.0,0.0,0.0,0.0,0.0,-0.16304347826284418,-0.16304347826087812,-0.38112408322168256
t12,0.0,0.0,0.0,0.0,0.0,-0.16304347826284254,-0.16304347826087795,-0.38509881628835557
t13,0.0,0.0,0.0,0.0,0.0,-0.16304347826284063,-0.16304347826087778,-0.38892548211545774
t14,0.0,0.0,0.0,0.0,0.0,-0.1630434782628384,-0.16304347826087762,-0.3927871932273895
t15,0.0,0.0,0.0,0.0,0.0,-0.163043478262836,-0.16304347826087745,-0.3968100689398366
t16,0.0,0.0,0.0,0.0,0.0,-0.16304347826281418,-0.16304347826087665,-0.38111549058772554
t17,0.0,0.0,0.0,0.0,0.0,-0.16304347826281113,-0.16304347826087645,-0.38508274080220983
t18,0.0,0.0,0.0,0.0,0.0,-0.16304347826280777,-0.16304347826087626,-0.38896874506891455
t19,0.0,0.0,0.0,0.0,0.0,-0.16304347826280416,-0.16304347826087606,-0.3929029102693348
t20,0.0,0.0,0.0,0.0,0.0,-0.16304347826280022,-0.16304347826087587,-0.39701885177535906
t21,0.0,0.0,0.0,0.0,0.0,-0.16304347826277613,-0.163043478260875,-0.38159153380136146
t22,0.0,0.0,0.0,0.0,0.0,-0.16304347826277157,-0.16304347826087479,-0.3857047213496133
t23,0.0,0.0,0.0,0.0,0.0,-0.16304347826276672,-0.16304347826087454,-0.3897476624802745
