Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,3.8820050874962322e6,3.6704602988144592e6,2.4046027324394452e-5,7.552465386334737e6
t1,0.0,0.0,0.0,0.0,0.0,1.0228451793062495e-10,9.911685039090715e-11,1.8287141755196304e-10,3.8427278587349513e-10
t2,0.0,0.0,0.0,0.0,0.0,1.0221789056360116e-10,9.914308724707596e-11,1.8452284994521643e-10,3.8588382775589355e-10
t3,0.0,0.0,0.0,0.0,0.0,1.023600393155823e-10,9.897540451721532e-11,1.8600538179765657e-10,3.873408256304542e-10
t4,0.0,0.0,0.0,0.0,0.0,1.0237585788907103e-10,9.899472414375075e-11,1.880208534741774e-10,3.893914355069992e-10
t5,0.0,0.0,0.0,0.0,0.0,1.0237456864592417e-10,9.903397897085597e-11,1.90340761022356e-10,3.9174930863913615e-10
t6,0.0,0.0,0.0,0.0,0.0,1.0187462516518963e-10,9.881334852920569e-11,1.7892520013507574e-10,3.7961317382947106e-10
t7,0.0,0.0,0.0,0.0,0.0,1.0188541196715582e-10,9.901638683443954e-11,1.8142825106211161e-10,3.82330049863707e-10
t8,0.0,0.0,0.0,0.0,0.0,1.018926019902482e-10,9.894220052702443e-11,1.8359044586926798e-10,3.844252483865406e-10
t9,0.0,0.0,0.0,0.0,0.0,1.019243247127261e-10,9.901391312751106e-11,1.8606239646651522e-10,3.870006343067524e-10
t10,0.0,0.0,0.0,0.0,0.0,1.0194152314783159e-10,9.907557022708046e-11,1.8871609129083344e-10,3.897331846657455e-10
t11,0.0,0.0,0.0,0.0,0.0,1.0145986534249692e-10,9.889899466678674e-11,1.7795751839506218e-10,3.7831637840434585e-10
t12,0.0,0.0,0.0,0.0,0.0,1.0154847908072128e-10,9.909040401540812e-11,1.806014953272671e-10,3.812403784233965e-10
