Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,5.394535493242077e7,2.0596456831700853e8,973895.8389541699,0.0,0.0,0.0,0.0,2.6088381908838347e8
t1,793.0013112564869,0.0,0.0,0.0,0.0,0.0,0.0,793.0013112564869
t2,796.3577132924522,0.0,0.0,0.0,0.0,0.0,0.0,796.3577132924522
t3,799.71411407617,0.0,0.0,0.0,0.0,0.0,0.0,799.71411407617
t4,803.0705161121352,0.0,0.0,0.0,0.0,0.0,0.0,803.0705161121352
t5,806.426916895853,0.0,0.0,0.0,0.0,0.0,0.0,806.426916895853
t6,809.7833189318184,0.0,0.0,0.0,0.0,0.0,0.0,809.7833189318184
t7,813.1397197155359,0.0,0.0,0.0,0.0,0.0,0.0,813.1397197155359
t8,816.4961217515013,0.0,0.0,0.0,0.0,0.0,0.0,816.4961217515013
t9,819.8525225352189,0.0,0.0,0.0,0.0,0.0,0.0,819.8525225352189
t10,823.2089233189366,0.0,0.0,0.0,0.0,0.0,0.0,823.2089233189366
t11,826.565325354902,0.0,0.0,0.0,0.0,0.0,0.0,826.565325354902
t12,829.9217273908674,0.0,0.0,0.0,0.0,0.0,0.0,829.9217273908674
t13,833.2781281745849,0.0,0.0,0.0,0.0,0.0,0.0,833.2781281745849
t14,777.6651525414337,0.0,0.0,0.0,0.0,0.0,0.0,777.6651525414337
t15,722.0521769082826,0.0,0.0,0.0,0.0,0.0,0.0,722.0521769082826
t16,666.4392012751313,0.0,0.0,0.0,0.0,0.0,0.0,666.4392012751313
t17,610.8262268942278,0.0,0.0,0.0,0.0,0.0,0.0,610.8262268942278
t18,555.2132512610766,0.0,0.0,0.0,0.0,0.0,0.0,555.2132512610766
t19,499.60027562792544,0.0,0.0,0.0,0.0,0.0,0.0,499.60027562792544
t20,443.98729999477416,0.0,0.0,0.0,0.0,0.0,0.0,443.98729999477416
t21,388.37432436162294,0.0,0.0,0.0,0.0,0.0,0.0,388.37432436162294
t22,332.7613487284717,0.0,0.0,0.0,0.0,0.0,0.0,332.7613487284717
t23,277.1483743475682,0.0,0.0,0.0,0.0,0.0,0.0,277.1483743475682
t24,221.535398714417,0.0,0.0,0.0,0.0,0.0,0.0,221.535398714417
t25,165.9224230812658,0.0,0.0,0.0,0.0,0.0,0.0,165.9224230812658
t26,156.116778800698,0.0,0.0,0.0,0.0,0.0,0.0,156.116778800698
t27,146.3111345201302,0.0,0.0,0.0,0.0,0.0,0.0,146.3111345201302
t28,136.50549023956242,0.0,0.0,0.0,0.0,0.0,0.0,136.50549023956242
t29,126.69984595899462,0.0,0.0,0.0,0.0,0.0,0.0,126.69984595899462
t30,116.89420167842681,0.0,0.0,0.0,0.0,0.0,0.0,116.89420167842681
t31,107.08855739785902,0.0,0.0,0.0,0.0,0.0,0.0,107.08855739785902
t32,97.28291186504353,0.0,0.0,0.0,0.0,0.0,0.0,97.28291186504353
t33,87.47726758447574,0.0,0.0,0.0,0.0,0.0,0.0,87.47726758447574
t34,77.67162330390794,0.0,0.0,0.0,0.0,0.0,0.0,77.67162330390794
t35,67.86597902334015,0.0,0.0,0.0,0.0,0.0,0.0,67.86597902334015
t36,58.06033474277235,0.0,0.0,0.0,0.0,0.0,0.0,58.06033474277235
t37,48.25469046220455,0.0,0.0,0.0,0.0,0.0,0.0,48.25469046220455
t38,49.169543817913414,0.0,0.0,0.0,0.0,0.0,0.0,49.169543817913414
t39,50.08439592137457,0.0,0.0,0.0,0.0,0.0,0.0,50.08439592137457
t40,50.999249277083436,0.0,0.0,0.0,0.0,0.0,0.0,50.999249277083436
t41,51.914101380544594,0.0,0.0,0.0,0.0,0.0,0.0,51.914101380544594
t42,52.82895473625346,0.0,0.0,0.0,0.0,0.0,0.0,52.82895473625346
t43,53.743806839714615,0.0,0.0,0.0,0.0,0.0,0.0,53.743806839714615
t44,54.65865894317576,0.0,0.0,0.0,0.0,0.0,0.0,54.65865894317576
t45,55.57351229888462,0.0,0.0,0.0,0.0,0.0,0.0,55.57351229888462
t46,56.48836565459349,0.0,0.0,0.0,0.0,0.0,0.0,56.48836565459349
t47,57.403217758054645,0.0,0.0,0.0,0.0,0.0,0.0,57.403217758054645
t48,58.31807111376351,0.0,0.0,0.0,0.0,0.0,0.0,58.31807111376351
t49,59.232923217224666,0.0,0.0,0.0,0.0,0.0,0.0,59.232923217224666
t50,76.95231343677764,0.0,0.0,0.0,0.0,0.0,0.0,76.95231343677764
t51,94.67170240408292,0.0,0.0,0.0,0.0,0.0,0.0,94.67170240408292
t52,112.39109262363591,0.0,0.0,0.0,0.0,0.0,0.0,112.39109262363591
t53,130.11048159094116,0.0,0.0,0.0,0.0,0.0,0.0,130.11048159094116
t54,147.82987181049415,0.0,0.0,0.0,0.0,0.0,0.0,147.82987181049415
t55,165.54926203004715,0.0,0.0,0.0,0.0,0.0,0.0,165.54926203004715
t56,183.2686509973524,0.0,0.0,0.0,0.0,0.0,0.0,183.2686509973524
t57,200.9880412169054,0.0,0.0,0.0,0.0,0.0,0.0,200.9880412169054
t58,218.7074301842107,0.0,0.0,0.0,0.0,0.0,0.0,218.7074301842107
t59,236.42682040376366,0.0,0.0,0.0,0.0,0.0,0.0,236.42682040376366
t60,254.14620937106895,0.0,0.0,0.0,0.0,0.0,0.0,254.14620937106895
t61,271.8655995906219,0.0,0.0,0.0,0.0,0.0,0.0,271.8655995906219
t62,296.15879438652934,0.0,0.0,0.0,0.0,0.0,0.0,296.15879438652934
t63,320.4519891824367,0.0,0.0,0.0,0.0,0.0,0.0,320.4519891824367
t64,344.74518397834413,0.0,0.0,0.0,0.0,0.0,0.0,344.74518397834413
t65,369.0383787742515,0.0,0.0,0.0,0.0,0.0,0.0,369.0383787742515
t66,393.33157357015887,0.0,0.0,0.0,0.0,0.0,0.0,393.33157357015887
t67,417.62476836606635,0.0,0.0,0.0,0.0,0.0,0.0,417.62476836606635
t68,441.9179631619737,0.0,0.0,0.0,0.0,0.0,0.0,441.9179631619737
t69,466.21115795788114,0.0,0.0,0.0,0.0,0.0,0.0,466.21115795788114
t70,490.5043527537885,0.0,0.0,0.0,0.0,0.0,0.0,490.5043527537885
t71,514.7975475496959,0.0,0.0,0.0,0.0,0.0,0.0,514.7975475496959
t72,539.0907423456033,0.0,0.0,0.0,0.0,0.0,0.0,539.0907423456033
t73,563.3839371415107,0.0,0.0,0.0,0.0,0.0,0.0,563.3839371415107
t74,559.7045328362665,0.0,0.0,0.0,0.0,0.0,0.0,559.7045328362665
t75,556.0251272787744,0.0,0.0,0.0,0.0,0.0,0.0,556.0251272787744
t76,552.3457229735302,0.0,0.0,0.0,0.0,0.0,0.0,552.3457229735302
t77,548.6663174160382,0.0,0.0,0.0,0.0,0.0,0.0,548.6663174160382
t78,544.9869131107939,0.0,0.0,0.0,0.0,0.0,0.0,544.9869131107939
t79,541.3075088055497,0.0,0.0,0.0,0.0,0.0,0.0,541.3075088055497
t80,537.6281032480576,3.654607965973646,0.022553300069999997,0.0,0.0,0.0,0.0,541.3052645141013
t81,533.9486989428134,7.309222423465611,0.045106600139999994,0.0,0.0,0.0,0.0,541.303027966419
t82,530.2692933853214,10.963830389439257,0.06765990021,0.0,0.0,0.0,0.0,541.3007836749706
t83,526.5898890800771,14.618438355412904,0.09021320027999999,0.0,0.0,0.0,0.0,541.29854063577
t84,522.9104835225851,18.27305281290487,0.11276650034999999,0.0,0.0,0.0,0.0,541.2963028358399
t85,519.2310792173407,21.927660778878515,0.13531980042,0.0,0.0,0.0,0.0,541.2940597966392
t86,496.1990343582834,92.68212048757424,0.8892698281199999,0.0,0.0,0.0,0.0,589.7704246739777
t87,473.1669894992261,163.43658019626997,1.6432198155899997,0.0,0.0,0.0,0.0,638.246789511086
t88,450.1349446401687,234.1910334134474,2.3971698030599997,0.0,0.0,0.0,0.0,686.7231478566762
t89,427.10289852886365,304.94549312214315,3.15111983076,0.0,0.0,0.0,0.0,735.1995114817669
t90,404.07085366980635,375.69995283083887,3.90506981823,0.0,0.0,0.0,0.0,783.6758763188752
t91,381.03880881074895,446.45441253953453,4.6590198057,0.0,0.0,0.0,0.0,832.1522411559835
t92,358.0067639516916,537.1732512099048,5.430979597499999,0.0,0.0,0.0,0.0,900.6109947590965
t93,334.9747190926342,627.892089880275,6.2029393893,0.0,0.0,0.0,0.0,969.0697483622091
t94,311.94267423357684,718.6109285506453,6.9748991811,0.0,0.0,0.0,0.0,1037.5285019653222
t95,288.91062812227176,809.3297672210156,7.7468589326699995,0.0,0.0,0.0,0.0,1105.9872542759574
t96,265.8785832632144,900.0486058913858,8.51881872447,0.0,0.0,0.0,0.0,1174.4460078790703
t97,242.84653840415706,990.7674445617561,9.290778516269999,0.0,0.0,0.0,0.0,1242.9047614821832
t98,229.2557875893216,1039.1483540813135,8.72364389589,0.0,0.0,0.0,0.0,1277.127785566525
t99,215.66503552223844,1087.529257109353,8.15650923528,0.0,0.0,0.0,0.0,1311.3508018668715
t100,202.07428470740297,1135.9101666289105,7.5893746149,0.0,0.0,0.0,0.0,1345.5738259512134
t101,188.4835326403198,1184.291076148468,7.02223999452,0.0,0.0,0.0,0.0,1379.7968487833077
t102,174.89278182548432,1232.6719791765072,6.45510533391,0.0,0.0,0.0,0.0,1414.0198663359015
t103,161.30203101064888,1273.1948018313144,5.88797071353,0.0,0.0,0.0,0.0,1440.3848035554934
t104,147.7112789435657,1388.8671850571934,6.145465443479999,0.0,0.0,0.0,0.0,1542.723929444239
t105,134.12052812873026,1607.6155143268036,6.4029601734299995,0.0,0.0,0.0,0.0,1748.139002628964
t106,120.59145427025172,1716.0818399379323,6.66045494361,0.0,0.0,0.0,0.0,1843.333749151794
t107,106.93902524681162,1879.5407718490608,6.917949673559999,0.0,0.0,0.0,0.0,1993.3977467694324
t108,93.34827317972845,2042.892613958671,7.17544440351,0.0,0.0,0.0,0.0,2143.4163315419096
t109,79.75752236489299,2206.1122609597996,7.4329391736899995,0.0,0.0,0.0,0.0,2293.3027224983825
t110,81.89934305176949,2250.1814650151223,8.53677369531,0.0,0.0,0.0,0.0,2340.6175817622016
t111,84.04116373864599,2294.3551083204447,9.64060821693,0.0,0.0,0.0,0.0,2388.036880276021
t112,86.18298442552249,2338.5525544072857,10.74444277878,0.0,0.0,0.0,0.0,2435.4799816115883
t113,88.32480511239902,2382.773089362608,11.8482773004,0.0,0.0,0.0,0.0,2482.946171775407
t114,90.46662579927552,2426.922235437931,12.952111822019999,0.0,0.0,0.0,0.0,2530.340973059226
t115,92.60844648615202,2471.080194973253,14.055946343639999,0.0,0.0,0.0,0.0,2577.7445878030453
t116,94.7502659207808,2486.202510250236,14.59414276065,0.0,0.0,0.0,0.0,2595.546918931667
t117,96.8920866076573,2501.527534647219,15.132339137429998,0.0,0.0,0.0,0.0,2613.5519603923062
t118,99.03390729453383,2516.603579374202,15.670535554439999,0.0,0.0,0.0,0.0,2631.308022223176
t119,101.17572798141033,2531.7086370911848,16.20873193122,0.0,0.0,0.0,0.0,2649.0930970038153
t120,103.31754866828683,2546.795627288168,16.746928308,0.0,0.0,0.0,0.0,2666.8601042644545
t121,105.45936935516333,2561.8597025351514,17.28512472501,0.0,0.0,0.0,0.0,2684.604196615325
t122,101.12350173850487,2588.588710166311,17.30922494904,0.0,0.0,0.0,0.0,2707.021436853856
t123,96.78763412184641,2615.386896815953,17.3333252133,0.0,0.0,0.0,0.0,2729.5078561510995
t124,92.45176525294025,2642.210208267113,17.35742543733,0.0,0.0,0.0,0.0,2752.019398957383
t125,88.11589763628177,2668.9444302882735,17.38152570159,0.0,0.0,0.0,0.0,2774.441853626145
t126,83.78003001962331,2695.701560747915,17.40562592562,0.0,0.0,0.0,0.0,2796.8872166931587
t127,79.44416240296486,2722.4512062790754,17.429726189879997,0.0,0.0,0.0,0.0,2819.32509487192
t128,75.10829478630639,2843.0325743206345,17.501939039879996,0.0,0.0,0.0,0.0,2935.6428081468207
t129,70.77242716964793,2963.674755112194,17.574151889879996,0.0,0.0,0.0,0.0,3052.0213341717217
t130,66.43655955298946,3084.2512757337536,17.64636473988,0.0,0.0,0.0,0.0,3168.334200026623
t131,62.1006906840833,3204.831654953795,17.71857758988,0.0,0.0,0.0,0.0,3284.650923227758
t132,57.764823067424835,3325.389566365354,17.79079043988,0.0,0.0,0.0,0.0,3400.9451798726586
t133,53.428955450766374,3228.198176109196,17.86300333011,0.0,0.0,0.0,0.0,3299.4901348900726
t134,54.859584592402875,3417.1225155416855,17.97329604753,0.0,0.0,0.0,0.0,3489.955396181618
t135,56.290214986287076,3188.8641612529304,18.083588764949997,0.0,0.0,0.0,0.0,3263.2379650041676
t136,57.72084412792358,3169.1767493491834,18.193881522599998,0.0,0.0,0.0,0.0,3245.091474999707
t137,59.15147326956007,3149.5019497235803,18.30417428025,0.0,0.0,0.0,0.0,3226.9575972733905
t138,60.58210241119658,3129.80497449167,18.414466997669997,0.0,0.0,0.0,0.0,3208.801543900536
t139,62.01273280508078,3110.1074455756716,18.52475971509,0.0,0.0,0.0,0.0,3190.6449380958425
t140,63.44336194671728,3116.463240075238,19.07618226759,0.0,0.0,0.0,0.0,3198.982784289545
t141,64.87399108835378,3122.782892823978,19.62760482009,0.0,0.0,0.0,0.0,3207.284488732422
t142,66.30462022999028,3129.0940504013292,20.17902737259,0.0,0.0,0.0,0.0,3215.5776980039095
t143,67.73525062387448,3135.435941067267,20.73044992509,0.0,0.0,0.0,0.0,3223.9016416162312
t144,69.16587976551098,3141.748536195793,21.28187247759,0.0,0.0,0.0,0.0,3232.196288438894
t145,70.59650890714748,3148.1413623199305,21.83329503009,0.0,0.0,0.0,0.0,3240.571166257168
t146,84.00088519112157,3181.935283789194,21.861080402579997,0.0,0.0,0.0,0.0,3287.797249382895
t147,97.40526147509566,3215.664571624693,21.8888658153,0.0,0.0,0.0,0.0,3334.958698915089
t148,110.80963775906976,3249.4787577118855,21.91665118779,0.0,0.0,0.0,0.0,3382.2050466587452
t149,124.21401279079613,3283.19081219287,21.94443660051,0.0,0.0,0.0,0.0,3429.349261584176
t150,137.61838907477022,3316.9743463903483,21.972221972999996,0.0,0.0,0.0,0.0,3476.5649574381187
t151,151.0227653587443,3350.7707454106326,22.00000738572,0.0,0.0,0.0,0.0,3523.793518155097
t152,164.4271416427184,3356.1358156139395,21.71430450621,0.0,0.0,0.0,0.0,3542.277261762868
t153,177.83151792669247,3361.458159874429,21.4286016267,0.0,0.0,0.0,0.0,3560.7182794278215
t154,191.23589421066654,3366.8076208360208,21.142898747189996,0.0,0.0,0.0,0.0,3579.1864137938774
t155,204.64026924239298,3372.264168229853,20.857195867679998,0.0,0.0,0.0,0.0,3597.761633339926
t156,218.04464552636705,3377.6686907174258,20.571493028399995,0.0,0.0,0.0,0.0,3616.284829272193
t157,231.44902181034115,3383.100044188201,20.285790148889998,0.0,0.0,0.0,0.0,3634.834856147432
t158,240.6511252721258,3380.8139179209934,20.099846203829998,0.0,0.0,0.0,0.0,3641.564889396949
t159,249.85322748166274,3378.526964249241,19.913902258769998,0.0,0.0,0.0,0.0,3648.2940939896735
t160,259.0553309434474,3376.2917733686772,19.727958313709998,0.0,0.0,0.0,0.0,3655.0750626258346
t161,268.25743440523206,3374.0217592031836,19.542014368649998,0.0,0.0,0.0,0.0,3661.8212079770656
t162,277.459536614769,3371.747917761288,19.356070423589998,0.0,0.0,0.0,0.0,3668.563524799647
t163,286.6616400765537,3369.50144193051,19.170126478529998,0.0,0.0,0.0,0.0,3675.3332084855933
t164,295.8637435383383,3344.019071119134,19.21694152608,0.0,0.0,0.0,0.0,3659.0997561835525
t165,305.06584574787524,3318.502737523928,19.263756573629998,0.0,0.0,0.0,0.0,3642.832339845433
t166,314.26794920965995,3293.0151636278383,19.31057162118,0.0,0.0,0.0,0.0,3626.593684458678
t167,323.4700526714446,3267.515529638697,19.35738670896,0.0,0.0,0.0,0.0,3610.3429690191015
t168,332.67215488098157,3242.020283194399,19.40420171628,0.0,0.0,0.0,0.0,3594.0966397916604
t169,341.87425834276615,3216.5795261321155,19.45101680406,0.0,0.0,0.0,0.0,3577.9048012789417
