Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,712.0341126465707,7.064620249290839e6,3001.915953739934,0.0,5.820951961277668e6,3.650317125913084e6,0.0,1.6539603286547977e7
t1,0.0,-0.0,-0.0,-0.0,40.96837175,0.0,0.0,40.96837175
t2,0.0,-0.0,-0.0,-0.0,40.74216029,0.0,0.0,40.74216029
t3,0.0,-0.0,-0.0,-0.0,0.0,40.51066075,0.0,40.51066075
t4,0.0,-0.0,-0.0,-0.0,0.0,40.30472021,0.0,40.30472021
t5,0.0,-0.0,-0.0,-0.0,0.0,40.16796428,0.0,40.16796428
t6,0.0,-0.0,-0.0,-0.0,0.0,39.99331056,0.0,39.99331056
t7,0.0,-0.0,-0.0,-0.0,0.0,39.82526691,0.0,39.82526691
t8,0.0,-0.0,-0.0,-0.0,0.0,39.7006728,0.0,39.7006728
t9,0.0,-0.0,-0.0,-0.0,39.60604435,0.0,0.0,39.60604435
t10,0.0,-0.0,-0.0,-0.0,0.0,39.47484016,0.0,39.47484016
t11,0.0,-0.0,-0.0,-0.0,0.0,39.41071311,0.0,39.41071311
t12,0.0,-0.0,-0.0,-0.0,0.0,39.29238342,0.0,39.29238342
t13,0.0,-0.0,-0.0,-0.0,0.0,39.16259623,0.0,39.16259623
t14,0.0,-0.0,-0.0,-0.0,39.11117883,0.0,0.0,39.11117883
t15,0.0,-0.0,-0.0,-0.0,39.01040618,0.0,0.0,39.01040618
t16,0.0,-0.0,-0.0,-0.0,0.0,39.02376756,0.0,39.02376756
t17,0.0,-0.0,-0.0,-0.0,0.0,39.03595924,0.0,39.03595924
t18,0.0,-0.0,-0.0,-0.0,0.0,39.01598188,0.0,39.01598188
t19,0.0,-0.0,-0.0,-0.0,10.069802501223394,28.92576134877661,0.0,38.99556385
t20,0.0,-0.0,-0.0,-0.0,2.7780386879698806,36.13249095203012,0.0,38.91052964
t21,0.0,0.0,0.0,0.0,0.0,43.4385480387836,-0.0,43.4385480387836
t22,0.0,0.0,0.0,0.0,3.8701731231624428,50.62692366303709,-0.0,54.497096786199535
t23,0.0,0.0,0.0,-0.0,13.308442476207293,57.998132697824246,-0.0,71.30657517403154
t24,0.0,0.0,0.0,0.0,27.551135272820293,65.37797908057773,-0.0,92.92911435339802
t25,0.0,0.0,0.0,-0.0,0.0,72.89170159733123,-0.0,72.89170159733123
t26,0.0,0.0,0.0,0.0,74.73548782824926,74.22159470924026,-0.0,148.95708253748953
t27,0.0,0.0,0.0,0.0,93.24484337857915,75.49642578614933,-0.0,168.74126916472846
t28,0.0,0.0,0.0,0.0,0.0,76.64817719305837,-0.0,76.64817719305837
t29,0.0,0.0,0.0,-0.0,142.1090597287348,77.9446008794674,-0.0,220.0536606082022
t30,0.0,0.0,0.0,-0.0,0.0,79.17192719137645,-0.0,79.17192719137645
t31,0.0,0.0,0.0,-0.0,187.76501522164338,80.4543154647855,-0.0,268.21933068642886
t32,0.0,0.0,0.0,-0.0,0.0,81.7633054416609,-0.0,81.7633054416609
t33,0.0,0.0,0.0,-0.0,0.0,83.17594130106991,-0.0,83.17594130106991
t34,0.0,0.0,0.0,0.0,0.0,84.61017008847895,-0.0,84.61017008847895
t35,0.0,0.0,0.0,0.0,0.0,85.92219312088801,-0.0,85.92219312088801
t36,0.0,0.0,0.0,0.0,347.12719191025695,87.32706576329707,-0.0,434.454257673554
t37,0.0,0.0,0.0,0.0,0.0,88.75029240920608,-0.0,88.75029240920608
t38,0.0,0.0,0.0,0.0,0.0,88.66529892577822,-0.0,88.66529892577822
t39,0.0,0.0,0.0,0.0,0.0,88.62133218231676,-0.0,88.62133218231676
t40,0.0,0.0,0.0,0.0,0.0,88.67453344788888,-0.0,88.67453344788888
t41,0.0,0.0,0.0,0.0,0.0,88.6426989819274,-0.0,88.6426989819274
t42,0.0,0.0,0.0,0.0,506.5590421406082,88.58927142099952,-0.0,595.1483135616077
t43,0.0,0.0,0.0,0.0,0.0,88.64704761603808,-0.0,88.64704761603808
t44,0.0,0.0,0.0,0.0,0.0,88.70158282857659,-0.0,88.70158282857659
t45,0.0,0.0,0.0,0.0,506.54377615578363,88.89323303064862,-0.0,595.4370091864323
t46,0.0,0.0,0.0,0.0,0.0,88.84520166822088,-0.0,88.84520166822088
t47,0.0,0.0,0.0,0.0,0.0,88.92847236725939,-0.0,88.92847236725939
t48,0.0,0.0,0.0,0.0,0.0,89.05384911383155,-0.0,89.05384911383155
t49,0.0,0.0,0.0,0.0,0.0,89.36492519837006,-0.0,89.36492519837006
t50,0.0,0.0,0.0,0.0,0.0,87.389633777763,-0.0,87.389633777763
t51,0.0,0.0,0.0,-0.0,0.0,85.36251948712228,-0.0,85.36251948712228
t52,0.0,0.0,0.0,-0.0,0.0,83.25982978151522,-0.0,83.25982978151522
t53,0.0,0.0,0.0,0.0,510.77796869242076,81.43855657737447,-0.0,592.2165252697953
t54,0.0,0.0,0.0,-0.0,448.7687024778048,79.33981406676742,-0.0,528.1085165445722
t55,0.0,0.0,0.0,-0.0,0.0,77.48291240366041,-0.0,77.48291240366041
t56,0.0,0.0,0.0,-0.0,0.0,75.49163595351968,-0.0,75.49163595351968
t57,0.0,0.0,0.0,-0.0,0.0,73.53490803591262,-0.0,73.53490803591262
t58,0.0,0.0,0.0,-0.0,0.0,71.65051655977193,-0.0,71.65051655977193
t59,0.0,0.0,0.0,0.0,0.0,69.92584392016485,-0.0,69.92584392016485
t60,0.0,0.0,0.0,-0.0,0.0,68.23679971502415,-0.0,68.23679971502415
t61,0.0,0.0,0.0,0.0,0.0,67.03899450391711,-0.0,67.03899450391711
t62,0.0,0.0,0.0,-0.0,0.0,64.87837072096278,-0.0,64.87837072096278
t63,0.0,0.0,0.0,0.0,521.5354993238536,62.58818939450862,-0.0,584.1236887183622
t64,0.0,0.0,0.0,0.0,0.0,60.36818508405413,0.0,60.36818508405413
t65,0.0,0.0,0.0,0.0,0.0,58.10454384809982,0.0,58.10454384809982
t66,0.0,0.0,0.0,-0.0,0.0,56.06870802214548,0.0,56.06870802214548
t67,0.0,0.0,0.0,0.0,0.0,54.31358028469116,0.0,54.31358028469116
t68,0.0,0.0,0.0,-0.0,0.0,52.530866380236844,0.0,52.530866380236844
t69,0.0,0.0,0.0,-0.0,0.0,50.57864795178255,0.0,50.57864795178255
t70,0.0,0.0,0.0,-0.0,0.0,48.87258896132819,0.0,48.87258896132819
t71,0.0,0.0,0.0,-0.0,0.12391294262612247,47.12833537737388,0.0,47.25224832
t72,0.0,0.0,0.0,-0.0,2.3799028560804327,45.55034734391957,0.0,47.9302502
t73,0.0,0.0,0.0,-0.0,4.226949168034758,44.66333298196524,0.0,48.89028215
t74,0.0,0.0,0.0,0.0,2.497773420835508,47.246707699164496,0.0,49.74448112
t75,0.0,0.0,0.0,0.0,1.0299380391699133,49.388507200830084,0.0,50.41844524
t76,0.0,0.0,0.0,0.0,0.0,51.4169436145293,0.0,51.4169436145293
t77,0.0,0.0,0.0,-0.0,0.0,53.11452300769491,0.0,53.11452300769491
t78,0.0,0.0,0.0,0.0,0.0,54.62964201189415,0.0,54.62964201189415
t79,0.0,0.0,0.0,-0.0,0.0,56.646796592093395,0.0,56.646796592093395
t80,0.0,0.0,0.0,-0.0,0.0,57.66359740105024,0.0,57.66359740105024
t81,0.0,0.0,0.0,-0.0,0.0,58.191316915737104,0.0,58.191316915737104
t82,0.0,0.0,0.0,-0.0,0.0,58.85939187869396,0.0,58.85939187869396
t83,0.0,0.0,0.0,-0.0,0.0,59.33590117468447,0.0,59.33590117468447
