BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,7.0683341993572265e6,9.471269087190785e6,-1.1190062721161002e7,0.0,0.0,0.0,0.0,0.0,0.0,-5.34954056538688e6
t1,0.0,40.96837175,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.96837175
t2,0.0,40.74216029,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.74216029
t3,0.0,40.51066075,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.51066075
t4,0.0,40.30472021,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.30472021
t5,0.0,40.16796428,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.16796428
t6,0.0,39.99331056,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.99331056
t7,0.0,39.82526691,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.82526691
t8,0.0,39.7006728,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.7006728
t9,0.0,39.60604435,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.60604435
t10,0.0,39.47484016,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.47484016
t11,0.0,39.41071311,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.41071311
t12,0.0,39.29238342,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.29238342
t13,0.0,39.16259623,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.16259623
t14,0.0,39.11117883,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.11117883
t15,0.0,39.01040618,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.01040618
t16,0.0,39.02376756,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.02376756
t17,0.0,39.03595924,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.03595924
t18,0.0,39.01598188,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.01598188
t19,0.0,38.99556385,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.99556385
t20,0.0,38.91052964,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.91052964
t21,0.0,43.4385480387836,-4.572510778783604,0.0,0.0,0.0,0.0,0.0,0.0,-38.86603726
t22,0.0,54.497096786199535,-15.723585156199537,0.0,0.0,0.0,0.0,0.0,0.0,-38.77351163
t23,0.0,71.30657517403154,-32.550963224031534,0.0,0.0,0.0,0.0,0.0,0.0,-38.75561195
t24,0.0,92.92911435339802,-54.18787670339802,0.0,0.0,0.0,0.0,0.0,0.0,-38.74123765
t25,0.0,72.89170159733123,-34.110194927331236,0.0,0.0,0.0,0.0,0.0,0.0,-38.78150667
t26,0.0,148.95708253748953,-110.16640285748953,0.0,0.0,0.0,0.0,0.0,0.0,-38.79067968
t27,0.0,168.74126916472846,-129.96389077472847,0.0,0.0,0.0,0.0,0.0,0.0,-38.77737839
t28,0.0,76.64817719305837,-37.93433669305837,0.0,0.0,0.0,0.0,0.0,0.0,-38.7138405
t29,0.0,220.0536606082022,-181.34430808820218,0.0,0.0,0.0,0.0,0.0,0.0,-38.70935252
t30,0.0,79.17192719137645,-40.49526566137645,0.0,0.0,0.0,0.0,0.0,0.0,-38.67666153
t31,0.0,268.21933068642886,-229.5528858764289,0.0,0.0,0.0,0.0,0.0,0.0,-38.66644481
t32,0.0,81.7633054416609,-43.096219581660904,0.0,0.0,0.0,0.0,0.0,0.0,-38.66708586
t33,0.0,83.17594130106991,-44.46590988106991,0.0,0.0,0.0,0.0,0.0,0.0,-38.71003142
t34,0.0,84.61017008847895,-45.84837966847896,0.0,0.0,0.0,0.0,0.0,0.0,-38.76179042
t35,0.0,85.92219312088801,-47.158523600888,0.0,0.0,0.0,0.0,0.0,0.0,-38.76366952
t36,0.0,434.454257673554,-395.650811253554,0.0,0.0,0.0,0.0,0.0,0.0,-38.80344642
t37,0.0,88.75029240920608,-49.89957765920608,0.0,0.0,0.0,0.0,0.0,0.0,-38.85071475
t38,0.0,88.66529892577822,-49.79948745577821,0.0,0.0,0.0,0.0,0.0,0.0,-38.86581147
t39,0.0,88.62133218231676,-49.723678452316754,0.0,0.0,0.0,0.0,0.0,0.0,-38.89765373
t40,0.0,88.67453344788888,-49.70537697788888,0.0,0.0,0.0,0.0,0.0,0.0,-38.96915647
t41,0.0,88.6426989819274,-49.636748301927405,0.0,0.0,0.0,0.0,0.0,0.0,-39.00595068
t42,0.0,595.1483135616077,-556.1143821116077,0.0,0.0,0.0,0.0,0.0,0.0,-39.03393145
t43,0.0,88.64704761603808,-49.53974617603808,0.0,0.0,0.0,0.0,0.0,0.0,-39.10730144
t44,0.0,88.70158282857659,-49.522234248576595,0.0,0.0,0.0,0.0,0.0,0.0,-39.17934858
t45,0.0,595.4370091864323,-556.1296480964322,0.0,0.0,0.0,0.0,0.0,0.0,-39.30736109
t46,0.0,88.84520166822088,-49.507657278220876,0.0,0.0,0.0,0.0,0.0,0.0,-39.33754439
t47,0.0,88.92847236725939,-49.50715206725938,0.0,0.0,0.0,0.0,0.0,0.0,-39.4213203
t48,0.0,89.05384911383155,-49.53156669383154,0.0,0.0,0.0,0.0,0.0,0.0,-39.52228242
t49,0.0,89.36492519837006,-49.66588507837007,0.0,0.0,0.0,0.0,0.0,0.0,-39.69904012
t50,0.0,87.389633777763,-47.532514497762996,0.0,0.0,0.0,0.0,0.0,0.0,-39.85711928
t51,0.0,85.36251948712228,-45.36847330712228,0.0,0.0,0.0,0.0,0.0,0.0,-39.99404618
t52,0.0,83.25982978151522,-43.15970374151522,0.0,0.0,0.0,0.0,0.0,0.0,-40.10012604
t53,0.0,592.2165252697953,-551.8954555597952,0.0,0.0,0.0,0.0,0.0,0.0,-40.32106971
t54,0.0,528.1085165445722,-487.67975587457227,0.0,0.0,0.0,0.0,0.0,0.0,-40.42876067
t55,0.0,77.48291240366041,-36.8477502236604,0.0,0.0,0.0,0.0,0.0,0.0,-40.63516218
t56,0.0,75.49163595351968,-34.70491918351967,0.0,0.0,0.0,0.0,0.0,0.0,-40.78671677
t57,0.0,73.53490803591262,-32.58253516591263,0.0,0.0,0.0,0.0,0.0,0.0,-40.95237287
t58,0.0,71.65051655977193,-30.50296257977193,0.0,0.0,0.0,0.0,0.0,0.0,-41.14755398
t59,0.0,69.92584392016485,-28.51791740016486,0.0,0.0,0.0,0.0,0.0,0.0,-41.40792652
t60,0.0,68.23679971502415,-26.553958505024156,0.0,0.0,0.0,0.0,0.0,0.0,-41.68284121
t61,0.0,67.03899450391711,-24.8807328239171,0.0,0.0,0.0,0.0,0.0,0.0,-42.15826168
t62,0.0,64.87837072096278,-22.279917670962778,0.0,0.0,0.0,0.0,0.0,0.0,-42.59845305
t63,0.0,584.1236887183622,-541.1379249283623,0.0,0.0,0.0,0.0,0.0,0.0,-42.98576379
t64,0.0,60.36818508405413,-16.96646687405413,0.0,0.0,0.0,0.0,0.0,0.0,-43.40171821
t65,0.0,58.10454384809982,-14.304682208099821,0.0,0.0,0.0,0.0,0.0,0.0,-43.79986164
t66,0.0,56.06870802214548,-11.777721152145483,0.0,0.0,0.0,0.0,0.0,0.0,-44.29098687
t67,0.0,54.31358028469116,-9.416893454691163,0.0,0.0,0.0,0.0,0.0,0.0,-44.89668683
t68,0.0,52.530866380236844,-7.039739250236845,0.0,0.0,0.0,0.0,0.0,0.0,-45.49112713
t69,0.0,50.57864795178255,-4.562266041782551,0.0,0.0,0.0,0.0,0.0,0.0,-46.01638191
t70,0.0,48.87258896132819,-2.2304790313281946,0.0,0.0,0.0,0.0,0.0,0.0,-46.64210993
t71,0.0,47.25224832,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.25224832
t72,0.0,47.9302502,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.9302502
t73,0.0,48.89028215,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.89028215
t74,0.0,49.74448112,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.74448112
