Resource,onshore_wind,solar_pv_sat,solar_btm,hydro,battery4,battery8,pumped_hydro
Zone,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t2,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t3,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t4,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t5,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t6,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t7,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t8,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t9,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t10,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t11,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t12,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t13,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t14,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t15,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t16,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t17,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t18,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t19,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t20,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086954,-0.4090264650283554
t21,0.0,0.0,0.0,0.0,1.796875000000001,-0.16304347826086954,-0.43220463137996207
t22,0.0,0.0,0.0,0.0,1.796875000000001,-0.16304347826086954,-0.43220463137996207
t23,0.0,0.0,0.0,0.0,1.796875000000001,-0.16304347826086954,-0.4322046313799628
t24,0.0,0.0,0.0,0.0,1.796875000000001,-0.16304347826086954,-0.4322046313799628
t25,0.0,0.0,0.0,0.0,1.796875000000001,-0.16304347826086954,-0.4322046313799628
t26,0.0,0.0,0.0,0.0,1.796875000000001,-0.16304347826086954,-0.4322046313799628
t27,0.0,0.0,0.0,0.0,1.796875000000001,-0.16304347826086954,-0.4322046313799628
t28,0.0,0.0,0.0,0.0,1.796875000000001,-0.16304347826086954,-0.4322046313799628
t29,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t30,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t31,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t32,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t33,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t34,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t35,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t36,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t37,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t38,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t39,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t40,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t41,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t42,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t43,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t44,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t45,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t46,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t47,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t48,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t49,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t50,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t51,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t52,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t53,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t54,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t55,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t56,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t57,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t58,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t59,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t60,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t61,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t62,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t63,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t64,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t65,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.4322046313799628
t66,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t67,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t68,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t69,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t70,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t71,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t72,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t73,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t74,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t75,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t76,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t77,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t78,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t79,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t80,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t81,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t82,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t83,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t84,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t85,0.0,0.0,0.0,0.0,1.7968750000000013,-0.16304347826086954,-0.6753197365311917
t86,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.6753197365311917
t87,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.6753197365311917
t88,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.449929111531191
t89,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.449929111531191
t90,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.449929111531191
t91,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.449929111531191
t92,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.449929111531191
t93,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.449929111531191
t94,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.449929111531191
t95,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.449929111531191
t96,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.449929111531191
t97,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.449929111531191
t98,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.449929111531191
t99,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.449929111531191
t100,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t101,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t102,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t103,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t104,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t105,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t106,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t107,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t108,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t109,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t110,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t111,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t112,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t113,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t114,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t115,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t116,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t117,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t118,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t119,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t120,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
t121,0.0,0.0,0.0,0.0,0.13799999999999998,-0.16304347826086954,-0.4322046313799628
