Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,3.7887168072334034e6,3.8076490850577797e6,2.1431867955475814e-5,7.596365892312614e6
t1,0.0,0.0,0.0,0.0,0.0,8.885071321910262e-11,8.870278013138926e-11,1.662959536867478e-10,3.438494470372397e-10
t2,0.0,0.0,0.0,0.0,0.0,8.885001601253434e-11,8.872531935609593e-11,1.6870489626074323e-10,3.462802316293735e-10
t3,0.0,0.0,0.0,0.0,0.0,8.885089384508848e-11,8.872726767398838e-11,1.711208480091268e-10,3.4869900952820366e-10
t4,0.0,0.0,0.0,0.0,0.0,8.885296419612937e-11,8.872745827789746e-11,1.736704824023591e-10,3.512509048763859e-10
t5,0.0,0.0,0.0,0.0,0.0,8.885679714369474e-11,8.87073636200501e-11,1.7648871230498626e-10,3.540528730687311e-10
t6,0.0,0.0,0.0,0.0,0.0,8.886386340371367e-11,8.872266792080438e-11,1.6509915940835344e-10,3.426856907328715e-10
t7,0.0,0.0,0.0,0.0,0.0,8.886700125818286e-11,8.872495325492511e-11,1.6772703494625097e-10,3.4531898945935894e-10
t8,0.0,0.0,0.0,0.0,0.0,8.886837128216955e-11,8.872562846100373e-11,1.7032116372071763e-10,3.479151634638909e-10
t9,0.0,0.0,0.0,0.0,0.0,8.887022253055857e-11,8.870647355704247e-11,1.7301079234615182e-10,3.5058748843375286e-10
t10,0.0,0.0,0.0,0.0,0.0,8.886913019193566e-11,8.873242913459809e-11,1.7594657595447724e-10,3.53548135281011e-10
t11,0.0,0.0,0.0,0.0,0.0,8.887238984895188e-11,8.872515602737816e-11,1.647274184461832e-10,3.4232496432251323e-10
t12,0.0,0.0,0.0,0.0,0.0,8.887144730839024e-11,8.872687839513987e-11,1.6742356606562689e-10,3.45021891769157e-10
t13,0.0,0.0,0.0,0.0,0.0,8.887209463803967e-11,8.870857568593307e-11,1.700698951470885e-10,3.4765056547106123e-10
t14,0.0,0.0,0.0,0.0,0.0,8.887042902986973e-11,8.873376753353023e-11,1.7280626321958984e-10,3.504104597829898e-10
t15,0.0,0.0,0.0,0.0,0.0,8.886842284666424e-11,8.873853618862921e-11,1.7577553287100507e-10,3.533824919062985e-10
t16,0.0,0.0,0.0,0.0,0.0,8.88668419366754e-11,8.87292047327475e-11,1.6461221871184846e-10,3.4220826538127135e-10
t17,0.0,0.0,0.0,0.0,0.0,8.886624463427662e-11,8.871204330638503e-11,1.6732718698418156e-10,3.449054749248432e-10
t18,0.0,0.0,0.0,0.0,0.0,8.886407416634101e-11,8.873670570353153e-11,1.6999293624698686e-10,3.475937161168594e-10
t19,0.0,0.0,0.0,0.0,0.0,8.886216714702966e-11,8.874068183861196e-11,1.727420052098397e-10,3.503448541954813e-10
t20,0.0,0.0,0.0,0.0,0.0,8.886068405991305e-11,8.87431999261295e-11,1.7572304254839932e-10,3.5332692653444186e-10
t21,0.0,0.0,0.0,0.0,0.0,8.886150706119639e-11,8.871511737414808e-11,1.645759898608773e-10,3.421526142962218e-10
t22,0.0,0.0,0.0,0.0,0.0,8.886082661754e-11,8.873960994630726e-11,1.672994692243535e-10,3.4489990578820077e-10
t23,0.0,0.0,0.0,0.0,0.0,8.886098522308377e-11,8.874332635665114e-11,1.6996975661285767e-10,3.475740681925926e-10
t24,0.0,0.0,0.0,0.0,0.0,8.886180422567346e-11,8.874513451628139e-11,1.727238735748226e-10,3.5033081231677745e-10
t25,0.0,0.0,0.0,0.0,0.0,8.886264842173201e-11,8.872522513424282e-11,1.7570665534000607e-10,3.532945288959809e-10
t26,0.0,0.0,0.0,0.0,0.0,8.886268339410443e-11,8.873985431253156e-11,1.6456723841085255e-10,3.4216977611748854e-10
t27,0.0,0.0,0.0,0.0,0.0,8.886121551402014e-11,8.874245222075144e-11,1.6729201984555468e-10,3.4489568758032626e-10
t28,0.0,0.0,0.0,0.0,0.0,8.885987199384078e-11,8.8742714344368e-11,1.69964511270064e-10,3.475670976082728e-10
t29,0.0,0.0,0.0,0.0,0.0,8.885799633509877e-11,8.872248828816648e-11,1.7271812028589192e-10,3.502986049091572e-10
t30,0.0,0.0,0.0,0.0,0.0,8.885789418750626e-11,8.874745032385583e-11,1.7570429254514335e-10,3.5330963705650544e-10
t31,0.0,0.0,0.0,0.0,0.0,8.885504290320157e-11,8.873876602311656e-11,1.6456559112670187e-10,3.4215940005302e-10
t32,0.0,0.0,0.0,0.0,0.0,8.88538953932903e-11,8.873907282637693e-11,1.6729182460959713e-10,3.4488479282926436e-10
t33,0.0,0.0,0.0,0.0,0.0,8.885186268197574e-11,8.871986168279543e-11,1.6996318110029518e-10,3.4753490546506635e-10
t34,0.0,0.0,0.0,0.0,0.0,8.885117505145241e-11,8.874297988437285e-11,1.7271973982998986e-10,3.503138947658151e-10
t35,0.0,0.0,0.0,0.0,0.0,8.884957204571248e-11,8.874594205004828e-11,1.7570534043284948e-10,3.5330085452861024e-10
t36,0.0,0.0,0.0,0.0,0.0,8.884929413334221e-11,8.873497262276677e-11,1.645672107836355e-10,3.421514775397445e-10
t37,0.0,0.0,0.0,0.0,0.0,8.88366580438079e-11,8.87181868562526e-11,1.672910115336184e-10,3.448458564336789e-10
t38,0.0,0.0,0.0,0.0,0.0,8.884802446951248e-11,8.873968404795977e-11,1.6996543544131907e-10,3.475531439587913e-10
t39,0.0,0.0,0.0,0.0,0.0,8.884587292837753e-11,8.874262405235817e-11,1.727206789775683e-10,3.50309175958304e-10
t40,0.0,0.0,0.0,0.0,0.0,8.884519008689743e-11,8.874355896010822e-11,1.7570649051207638e-10,3.5329523955908203e-10
t41,0.0,0.0,0.0,0.0,0.0,8.884200586320682e-11,8.871724474019509e-11,1.645655709837389e-10,3.4212482158714083e-10
t42,0.0,0.0,0.0,0.0,0.0,8.884533405838863e-11,8.873892002984384e-11,1.6729230592090057e-10,3.4487656000913304e-10
t43,0.0,0.0,0.0,0.0,0.0,8.884518682178394e-11,8.87414888623947e-11,1.6996461973774653e-10,3.4755129542192517e-10
t44,0.0,0.0,0.0,0.0,0.0,8.884563200590133e-11,8.87415578385276e-11,1.727202483572659e-10,3.5030743820169485e-10
t45,0.0,0.0,0.0,0.0,0.0,8.883121247764065e-11,8.872408857501007e-11,1.7570224098389636e-10,3.532575420365471e-10
t46,0.0,0.0,0.0,0.0,0.0,8.884520805844758e-11,8.8737642807686e-11,1.6456437240442289e-10,3.4214722327055647e-10
t47,0.0,0.0,0.0,0.0,0.0,8.884393411689384e-11,8.874067517719248e-11,1.6728860474603822e-10,3.4487321404012454e-10
t48,0.0,0.0,0.0,0.0,0.0,8.88440025136165e-11,8.87406154612721e-11,1.6995983325906097e-10,3.4754445123394957e-10
t49,0.0,0.0,0.0,0.0,0.0,8.882969103704094e-11,8.872249994728631e-11,1.727099123879589e-10,3.5026210337228615e-10
t50,0.0,0.0,0.0,0.0,0.0,8.884256316855763e-11,8.874646861134234e-11,1.7569349510599182e-10,3.532825268858918e-10
t51,0.0,0.0,0.0,0.0,0.0,8.883888335143832e-11,8.873979710126857e-11,1.6454931887837296e-10,3.4212799933107984e-10
t52,0.0,0.0,0.0,0.0,0.0,8.883854759115972e-11,8.873994330778855e-11,1.6726947922711153e-10,3.448479701260598e-10
t53,0.0,0.0,0.0,0.0,0.0,8.882413074245799e-11,8.872211711028466e-11,1.699319823514141e-10,3.4747823020415675e-10
t54,0.0,0.0,0.0,0.0,0.0,8.883725800752795e-11,8.874491120210477e-11,1.726790205126659e-10,3.5026118972229863e-10
t55,0.0,0.0,0.0,0.0,0.0,8.8835737597386e-11,8.874869012235933e-11,1.7565085914897468e-10,3.5323528686872e-10
t56,0.0,0.0,0.0,0.0,0.0,8.883301736251249e-11,8.873884631362771e-11,1.6449738712299692e-10,3.4206925079913713e-10
t57,0.0,0.0,0.0,0.0,0.0,8.881904607778356e-11,8.872195173062302e-11,1.6720032289326414e-10,3.447413207016707e-10
t58,0.0,0.0,0.0,0.0,0.0,8.883200965443543e-11,8.8744099417867e-11,1.6984848511877979e-10,3.474245941910822e-10
t59,0.0,0.0,0.0,0.0,0.0,8.883076388580714e-11,8.874710968945352e-11,1.72569753759513e-10,3.501476273347737e-10
t60,0.0,0.0,0.0,0.0,0.0,8.883068033704066e-11,8.874765781751089e-11,1.7551165302817593e-10,3.5308999118272747e-10
t61,0.0,0.0,0.0,0.0,0.0,8.881468482163413e-11,8.872161669262116e-11,1.6432303264125776e-10,3.4185933415551304e-10
t62,0.0,0.0,0.0,0.0,0.0,8.882645165900429e-11,8.8743936987115e-11,1.6698337721076263e-10,3.445537658568819e-10
t63,0.0,0.0,0.0,0.0,0.0,8.882447871732557e-11,8.874709814499333e-11,1.695699328579708e-10,3.471415097202897e-10
t64,0.0,0.0,0.0,0.0,0.0,8.882321464035806e-11,8.874789073930264e-11,1.722155323188654e-10,3.497866376985261e-10
t65,0.0,0.0,0.0,0.0,0.0,8.88209622322981e-11,8.87290516624929e-11,1.7505655375821296e-10,3.5260656765300396e-10
t66,0.0,0.0,0.0,0.0,0.0,8.882054151823711e-11,8.87437429767132e-11,1.6376991387619147e-10,3.413341983711418e-10
t67,0.0,0.0,0.0,0.0,0.0,8.882005297656531e-11,8.874628133586743e-11,1.6627976665110964e-10,3.438461009635424e-10
t68,0.0,0.0,0.0,0.0,0.0,8.881988780562367e-11,8.874630146518687e-11,1.686773002048656e-10,3.4624348947567613e-10
t69,0.0,0.0,0.0,0.0,0.0,8.881808243444904e-11,8.872682460520425e-11,1.7107780517342114e-10,3.4862271221307443e-10
t70,0.0,0.0,0.0,0.0,0.0,8.882070569457513e-11,8.875123553007507e-11,1.7361066181957507e-10,3.5118260304422527e-10
t71,0.0,0.0,0.0,0.0,0.0,8.881827617116323e-11,8.874310561256687e-11,1.6200115959105458e-10,3.395625413747847e-10
t72,0.0,0.0,0.0,0.0,0.0,8.881851668264234e-11,8.874304260205393e-11,1.640436449812724e-10,3.416052042659687e-10
t73,0.0,0.0,0.0,0.0,0.0,8.881699102187715e-11,8.872309967530207e-11,1.6584311444587154e-10,3.4338320514305077e-10
t74,0.0,0.0,0.0,0.0,0.0,8.882095456706186e-11,8.874598473856991e-11,1.6748767699644538e-10,3.4505461630207715e-10
t75,0.0,0.0,0.0,0.0,0.0,8.882167358265479e-11,8.874846034568942e-11,1.6905343456843552e-10,3.4662356849677974e-10
t76,0.0,0.0,0.0,0.0,0.0,8.881917750440413e-11,8.873699513063064e-11,1.5646200825718644e-10,3.340181808922212e-10
t77,0.0,0.0,0.0,0.0,0.0,8.880973351089621e-11,8.871953551854234e-11,1.5708477544168416e-10,3.346140444711227e-10
t78,0.0,0.0,0.0,0.0,0.0,8.882094096487409e-11,8.873947319062025e-11,1.5710771200128452e-10,3.3466812615677886e-10
t79,0.0,0.0,0.0,0.0,0.0,8.882111714812665e-11,8.87410310330887e-11,1.5652655323258028e-10,3.3408870141379563e-10
t80,0.0,0.0,0.0,0.0,0.0,8.882226895945238e-11,8.874020562828734e-11,1.5532043996080418e-10,3.328829145485439e-10
t81,0.0,0.0,0.0,0.0,0.0,8.882065146200111e-11,8.87097906626853e-11,1.3998380155283446e-10,3.1751424367752086e-10
t82,0.0,0.0,0.0,0.0,0.0,8.882886907698113e-11,8.87297636368978e-11,1.3672848218214015e-10,3.142871148960191e-10
