Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro
Zone,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,1.083596450861483e-12,283.4877737584831,6967.1695361251395,1.3880285525406848e-9
t2,0.0,0.0,0.0,0.0,1.083556344465336e-12,281.606616366018,6924.322669724041,1.3859898789231235e-9
t3,0.0,0.0,0.0,0.0,1.0835420682750358e-12,279.7366613473978,6881.590735155616,1.3880875018897104e-9
t4,0.0,0.0,0.0,0.0,1.0834093424983933e-12,277.8753738397502,6839.056737815345,1.3944046253673518e-9
t5,0.0,0.0,0.0,0.0,1.0832953078539963e-12,276.0214462370783,6796.6190031244405,1.4052442483551324e-9
t6,0.0,0.0,0.0,0.0,1.0832327820926452e-12,274.1771562227721,6754.430925584322,1.3966834322121452e-9
t7,0.0,0.0,0.0,0.0,1.0831959027128528e-12,272.332057489122,6712.40427930702,1.3928551146179252e-9
t8,0.0,0.0,0.0,0.0,1.0830429107337717e-12,270.4825247491765,6670.524680307749,1.3935259609274147e-9
t9,0.0,0.0,0.0,0.0,1.0829098064461324e-12,268.62600073397806,6628.8435429641595,1.3987049079385694e-9
t10,0.0,0.0,0.0,0.0,1.0828346485274184e-12,266.75661863006775,6587.347095437538,1.4086249671498512e-9
t11,0.0,0.0,0.0,0.0,1.0827767194820693e-12,264.880936211475,6545.986525453881,1.3993622830385248e-9
t12,0.0,0.0,0.0,0.0,1.08260314754354e-12,262.9916592040231,6504.820379341686,1.3949768644654553e-9
t13,0.0,0.0,0.0,0.0,1.0824503919946875e-12,261.08964686885,6463.898570937642,1.3952074905549356e-9
t14,0.0,0.0,0.0,0.0,1.0823568190609343e-12,259.17126325546707,6423.215711257455,1.4000301395225865e-9
t15,0.0,0.0,0.0,0.0,1.0822902769905156e-12,257.2351448374294,6382.756399142787,1.409667298879222e-9
t16,0.0,0.0,0.0,0.0,1.082101134003028e-12,255.2837996900052,6342.408437507526,1.4001894433227213e-9
t17,0.0,0.0,0.0,0.0,1.081934916664467e-12,253.3169240408649,6302.28309052615,1.3956369250872564e-9
t18,0.0,0.0,0.0,0.0,1.0818276055835027e-12,251.33219954361783,6262.25861779505,1.3957307920023093e-9
t19,0.0,0.0,0.0,0.0,1.0817467243226138e-12,249.33000297020516,6222.361466085762,1.4004469841627908e-9
t20,0.0,0.0,0.0,0.0,1.0815518846286782e-12,247.31156094960633,6182.5380219323515,1.4099987770830905e-9
t21,0.0,0.0,0.0,0.0,1.0551211905344195e-12,245.28085108215762,6142.791971604072,1.4004602709759006e-9
t22,0.0,0.0,0.0,0.0,1.0550004078755948e-12,243.2350997365237,6103.0944753083195,1.3958567295775432e-9
t23,0.0,0.0,0.0,0.0,1.0549053083339902e-12,241.17609529660874,6063.455074813366,1.3959120848982256e-9
t24,0.0,0.0,0.0,0.0,1.0546965295571647e-12,239.10680884820886,6023.884689794283,1.4005967373620282e-9
t25,0.0,0.0,0.0,0.0,1.0545083733764252e-12,237.02646458918014,5984.306978455389,1.4101254271351448e-9
t26,0.0,0.0,0.0,0.0,1.0543766804292907e-12,234.9355898627813,5944.810776453452,1.4005680058203958e-9
t27,0.0,0.0,0.0,0.0,1.0542737695346188e-12,232.83030300974153,5905.408108339017,1.3959497958366195e-9
t28,0.0,0.0,0.0,0.0,1.0540605075811448e-12,230.71361555899722,5866.128533952719,1.3959912582826398e-9
t29,0.0,0.0,0.0,0.0,1.0538725010611952e-12,228.58282933576223,5826.868894556298,1.4006665151826683e-9
t30,0.0,0.0,0.0,0.0,1.0537472291043192e-12,226.44325684480236,5787.586037362379,1.4101809022957344e-9
t31,0.0,0.0,0.0,0.0,1.0536429315614172e-12,224.28937326779413,5748.3985291023555,1.4006178916591375e-9
t32,0.0,0.0,0.0,0.0,1.0534278368591182e-12,222.12610483690662,5709.33466681577,1.3959923535979898e-9
t33,0.0,0.0,0.0,0.0,1.0532391959039597e-12,219.9490574945141,5670.333222755902,1.3960304012283445e-9
t34,0.0,0.0,0.0,0.0,1.053112939118689e-12,217.76512157772135,5631.333659563908,1.4006955365628399e-9
t35,0.0,0.0,0.0,0.0,1.0530164878001315e-12,215.57003685810406,5592.423194207342,1.4102010711546175e-9
t36,0.0,0.0,0.0,0.0,1.0528015767368034e-12,213.36107761247095,5553.556174300726,1.400631933071448e-9
t37,0.0,0.0,0.0,0.0,1.0526127617929531e-12,211.10662889998693,5514.6459039153015,1.3960116177162296e-9
t38,0.0,0.0,0.0,0.0,1.0524883310021646e-12,208.87509645374843,5475.718341394063,1.3960392085343547e-9
t39,0.0,0.0,0.0,0.0,1.052394658875412e-12,206.62748202491343,5436.833081605415,1.4006973576265849e-9
t40,0.0,0.0,0.0,0.0,1.0521926297236562e-12,204.36272238072996,5397.909759249502,1.4101948158921777e-9
t41,0.0,0.0,0.0,0.0,1.0520128131521272e-12,202.07553363838537,5359.067065502641,1.400629611633169e-9
t42,0.0,0.0,0.0,0.0,1.0518953196654437e-12,199.77747589622123,5320.232608375157,1.3959953509231796e-9
t43,0.0,0.0,0.0,0.0,1.0518084158123612e-12,197.46188922494278,5281.3354511985235,1.396017963471232e-9
t44,0.0,0.0,0.0,0.0,1.0516154159061907e-12,195.12928834352374,5242.416273395069,1.4006655994196486e-9
t45,0.0,0.0,0.0,0.0,1.0514482746750212e-12,192.73684222341402,5203.537065634647,1.410164010175152e-9
t46,0.0,0.0,0.0,0.0,1.051338596027261e-12,190.36770150479006,5164.594080668412,1.400584975846175e-9
t47,0.0,0.0,0.0,0.0,1.0512586027677028e-12,187.97190220299998,5125.708357307077,1.3959401500111765e-9
t48,0.0,0.0,0.0,0.0,1.0510725032425685e-12,185.55475955887337,5086.7557904728565,1.3959477475956203e-9
t49,0.0,0.0,0.0,0.0,1.0509140393332226e-12,183.06990106163013,5047.775088806965,1.4005892075721976e-9
t50,0.0,0.0,0.0,0.0,1.050825012252834e-12,180.6037550035845,5008.666118408392,1.410053028487734e-9
t51,0.0,0.0,0.0,0.0,1.0507627224454132e-12,178.08978897556977,4969.500201577635,1.4004502174644362e-9
t52,0.0,0.0,0.0,0.0,1.0505995556377084e-12,175.54476039313712,4930.271597714334,1.3957688293323296e-9
t53,0.0,0.0,0.0,0.0,1.0504709033314612e-12,172.91652963675546,4891.029737264108,1.3957406548535341e-9
t54,0.0,0.0,0.0,0.0,1.0504113141068326e-12,170.3057327758648,4851.639975766212,1.4003146501587307e-9
t55,0.0,0.0,0.0,0.0,1.0503879546191364e-12,167.653141787146,4812.1605832439645,1.4097069645598172e-9
t56,0.0,0.0,0.0,0.0,1.050254509960365e-12,164.9356002995884,4772.5914667966645,1.4000076271415426e-9
t57,0.0,0.0,0.0,0.0,1.0501563712426999e-12,162.11996577130105,4732.97247482487,1.3952174977983354e-9
t58,0.0,0.0,0.0,0.0,1.0501268314109334e-12,159.31776019059393,4693.154245025056,1.3950344627808653e-9
t59,0.0,0.0,0.0,0.0,1.0501334252738106e-12,156.46499191192643,4653.161043260155,1.3994284608665612e-9
t60,0.0,0.0,0.0,0.0,1.0500392028618825e-12,153.56290590981075,4612.927918718696,1.4085937965855597e-9
t61,0.0,0.0,0.0,0.0,1.0499727808918696e-12,150.50671096526432,4572.490208869689,1.3985997211642717e-9
t62,0.0,0.0,0.0,0.0,1.0499805796170411e-12,147.4464208031884,4531.741461401248,1.3934275424604376e-9
t63,0.0,0.0,0.0,0.0,1.0500312327026542e-12,144.31012384612998,4490.797176086482,1.3927822878288081e-9
t64,0.0,0.0,0.0,0.0,1.0499873914140221e-12,141.09792123058648,4449.6270753215,1.3965992159497777e-9
t65,0.0,0.0,0.0,0.0,1.0499836193221503e-12,137.7968809239787,4408.1839383780125,1.4050541449258573e-9
t66,0.0,0.0,0.0,0.0,1.050048644208032e-12,134.368396541442,4366.466615325692,1.3940770034923496e-9
t67,0.0,0.0,0.0,0.0,1.0501568105120816e-12,130.84907120200162,4324.374318230271,1.3877040344531242e-9
t68,0.0,0.0,0.0,0.0,1.0501706237532659e-12,127.23764777929345,4281.923895892025,1.385571089521795e-9
t69,0.0,0.0,0.0,0.0,1.0502251685299743e-12,123.5131298235695,4239.137781749835,1.3875478478378113e-9
t70,0.0,0.0,0.0,0.0,1.0503560387350515e-12,119.69865383869231,4195.920032615054,1.3937052055030782e-9
t71,0.0,0.0,0.0,0.0,1.0505220169919084e-12,115.66857378339951,4152.418508659406,1.3795782019533305e-9
t72,0.0,0.0,0.0,0.0,1.050593032051691e-12,111.51217431158771,4108.476866457229,1.3693294419890117e-9
t73,0.0,0.0,0.0,0.0,1.050705572392044e-12,107.19779474300907,4064.0113298083384,1.3624077779612973e-9
t74,0.0,0.0,0.0,0.0,1.0508865767527947e-12,102.77054755483438,4019.046317898605,1.3584384687625268e-9
t75,0.0,0.0,0.0,0.0,1.0511039966857617e-12,98.18904771666972,3973.7017703453807,1.3572070426389768e-9
t76,0.0,0.0,0.0,0.0,1.05121073585693e-12,93.24619032060255,3928.252329828345,1.332837464802136e-9
t77,0.0,0.0,0.0,0.0,1.051349743557494e-12,88.006572153147,3882.7591106370423,1.3099944211812114e-9
t78,0.0,0.0,0.0,0.0,1.0515581464096984e-12,82.64922175498697,3836.9520758938365,1.2874519549964072e-9
t79,0.0,0.0,0.0,0.0,1.0518030698180432e-12,77.03886702069754,3790.958354823718,1.26405023456679e-9
t80,0.0,0.0,0.0,0.0,1.051947161483942e-12,71.14483128627434,3744.8380237428655,1.2385602526415334e-9
t81,0.0,0.0,0.0,0.0,1.0521171438167554e-12,64.45914966382672,3699.2164003978987,1.1792924664901966e-9
t82,0.0,0.0,0.0,0.0,1.0523555366982976e-12,57.4185560668206,3653.571490418803,1.1128189883157698e-9
t83,0.0,0.0,0.0,0.0,1.0526335440490387e-12,49.81695509697015,3608.2331766712587,1.0348378530289578e-9
t84,0.0,0.0,0.0,0.0,1.0528049945946835e-12,41.52333221199358,3563.2706838279883,9.394904418733496e-10
t85,0.0,0.0,0.0,0.0,1.0530081005593919e-12,32.14789974394182,3518.911421491732,8.177497277500723e-10
t86,0.0,0.0,0.0,0.0,1.0533371024520226e-12,32.14789974404183,3501.750948726711,5.968962019330687e-10
t87,0.0,0.0,0.0,0.0,1.053580036497061e-12,33.83398643499358,3502.2896532065365,7.834539890530407e-10
t88,0.0,0.0,0.0,0.0,1.0537064309677316e-12,43.86712645413769,3510.125251373052,9.323274096522635e-10
t89,0.0,0.0,0.0,0.0,1.0538391217828524e-12,54.56022674412548,3527.1855226300245,1.0547723469222096e-9
t90,0.0,0.0,0.0,0.0,1.0540092962265764e-12,64.89008343448289,3552.898220449035,1.1589084050414818e-9
t91,0.0,0.0,0.0,0.0,1.054189241250373e-12,73.40227151183818,3587.1200339261836,1.2112539192657358e-9
t92,0.0,0.0,0.0,0.0,1.0542376476271405e-12,81.26689275777879,3629.4559073745418,1.2551130887284207e-9
t93,0.0,0.0,0.0,0.0,1.054296463169959e-12,88.64918905920672,3679.671891493066,1.29372049137566e-9
t94,0.0,0.0,0.0,0.0,1.0543934443846692e-12,95.6772184036697,3738.2845311840083,1.330000487807579e-9
t95,0.0,0.0,0.0,0.0,1.0545093829148213e-12,102.38389750356727,3804.3978436311563,1.366734754248908e-9
t96,0.0,0.0,0.0,0.0,1.0544874118722299e-12,108.57698187611028,3874.4312077682125,1.368283420523407e-9
t97,0.0,0.0,0.0,0.0,1.0544806147068835e-12,114.43627484906384,3948.1185058680476,1.3734473104884889e-9
t98,0.0,0.0,0.0,0.0,1.0545144228051997e-12,120.16226697984763,4027.122382552358,1.3826250628629409e-9
t99,0.0,0.0,0.0,0.0,1.0545714636582508e-12,125.67032096813375,4109.018218089736,1.3965367235287406e-9
t100,0.0,0.0,0.0,0.0,1.0544990904043376e-12,130.98896492232905,4193.923858980279,1.4162669997444409e-9
