Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro
Zone,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,-0.1630434782613733,-0.16304347826087598,-0.35566713344028433
t2,0.0,0.0,0.0,0.0,0.0,-0.16304347826137364,-0.16304347826087595,-0.3592535540112681
t3,0.0,0.0,0.0,0.0,0.0,-0.1630434782613739,-0.16304347826087592,-0.3630330061165116
t4,0.0,0.0,0.0,0.0,0.0,-0.16304347826137405,-0.1630434782608759,-0.367059358527892
t5,0.0,0.0,0.0,0.0,0.0,-0.16304347826137416,-0.16304347826087587,-0.3713936624202388
t6,0.0,0.0,0.0,0.0,0.0,-0.16304347826137,-0.1630434782608757,-0.3561185874053922
t7,0.0,0.0,0.0,0.0,0.0,-0.16304347826136997,-0.16304347826087567,-0.3604007235822351
t8,0.0,0.0,0.0,0.0,0.0,-0.1630434782613699,-0.16304347826087565,-0.3645399246643317
t9,0.0,0.0,0.0,0.0,0.0,-0.16304347826136972,-0.16304347826087562,-0.3686717487905659
t10,0.0,0.0,0.0,0.0,0.0,-0.1630434782613695,-0.1630434782608756,-0.37298019704617735
t11,0.0,0.0,0.0,0.0,0.0,-0.16304347826136473,-0.16304347826087537,-0.3575078005414167
t12,0.0,0.0,0.0,0.0,0.0,-0.1630434782613644,-0.16304347826087534,-0.36163963879462224
t13,0.0,0.0,0.0,0.0,0.0,-0.16304347826136398,-0.1630434782608753,-0.3655954705379427
t14,0.0,0.0,0.0,0.0,0.0,-0.16304347826136348,-0.16304347826087529,-0.3695665374624015
t15,0.0,0.0,0.0,0.0,0.0,-0.16304347826136292,-0.16304347826087523,-0.3737332048961963
t16,0.0,0.0,0.0,0.0,0.0,-0.16304347826135768,-0.163043478260875,-0.3580288517638602
t17,0.0,0.0,0.0,0.0,0.0,-0.16304347826135698,-0.16304347826087498,-0.3620596394012577
t18,0.0,0.0,0.0,0.0,0.0,-0.1630434782613562,-0.16304347826087492,-0.36598272976502566
t19,0.0,0.0,0.0,0.0,0.0,-0.16304347826135537,-0.16304347826087487,-0.36996291155197136
