Constraint,CapRes_1
t1,3.4801844476921134e-13
t2,3.3640951515615757e-13
t3,3.2639695574746896e-13
t4,3.1648737773236456e-13
t5,3.074710587909843e-13
t6,2.990560289889514e-13
t7,2.9121530219324027e-13
t8,2.830062453990648e-13
t9,2.7532371468136176e-13
t10,2.683184839428974e-13
t11,2.621938704127297e-13
t12,2.5551266059790173e-13
t13,2.4919800780134407e-13
t14,2.4594469108488863e-13
t15,2.4322879541475614e-13
t16,2.4200903515315087e-13
t17,2.389926522443119e-13
t18,2.368384753444161e-13
t19,2.349136465458713e-13
t20,2.3291262052875857e-13
t21,2.3151225062903327e-13
t22,2.2988734820084463e-13
t23,2.281490866643492e-13
t24,2.2651705713526144e-13
t25,2.2514347692098038e-13
t26,2.3239489746983054e-13
t27,2.3985476737986383e-13
t28,2.477122648190622e-13
t29,2.5634734084948855e-13
t30,2.6597676595139706e-13
t31,2.772077487720715e-13
t32,2.8723140013933584e-13
t33,2.9899414179826123e-13
t34,3.1247798785554246e-13
t35,3.255327201159242e-13
t36,3.425419786489579e-13
t37,3.6113184502497315e-13
t38,3.698020155670312e-13
t39,3.798791848375151e-13
t40,3.9145745972043624e-13
t41,4.033283712813683e-13
t42,4.154652793943161e-13
t43,4.301736498493799e-13
t44,4.430838351885624e-13
t45,4.580753922577636e-13
t46,4.772883243937599e-13
t47,4.923361926681034e-13
t48,5.119399681740144e-13
t49,5.345769464672655e-13
t50,5.338401761033941e-13
t51,5.373927917223941e-13
t52,5.3939390840172e-13
t53,5.385963628482199e-13
t54,5.403155709367348e-13
t55,5.433428365926681e-13
t56,5.459035494724032e-13
t57,5.480215895170246e-13
t58,5.522408570992011e-13
t59,5.538940551146289e-13
t60,5.590613762617243e-13
t61,5.700622594213684e-13
t62,5.51221153881349e-13
t63,5.345344671721102e-13
t64,5.205824341717262e-13
t65,5.053924948774561e-13
t66,4.964655848387425e-13
t67,4.869640214360781e-13
t68,4.752971554458438e-13
t69,4.655138873876975e-13
t70,4.571869768881566e-13
t71,4.517012302041336e-13
t72,4.445853340459262e-13
t73,4.395541587684068e-13
t74,4.488949868317679e-13
t75,4.591518685222634e-13
t76,4.750675976446621e-13
t77,4.829651058203059e-13
t78,4.941795121881088e-13
t79,5.070035940069877e-13
t80,5.182198362398565e-13
t81,5.428935424933185e-13
t82,5.633128576935288e-13
t83,5.781835780993803e-13
t84,6.069274481093293e-13
t85,6.49221412908921e-13
t86,0.43629489602992766
t87,1.3183924266572433e-11
t88,9.647457970292173e-13
t89,4.682505841520596e-13
t90,3.038892641179593e-13
t91,2.2205395573359495e-13
t92,1.7759165383872542e-13
t93,1.4494887805057047e-13
t94,1.2206480258402846e-13
t95,1.0538362920314199e-13
t96,9.101530571078799e-14
t97,7.953702688647603e-14
t98,7.468240208436491e-14
t99,6.985867370610832e-14
t100,6.506059106330127e-14
t101,6.104204896432995e-14
t102,5.742073270453632e-14
t103,5.3827570857993556e-14
t104,5.2823946137375317e-14
t105,5.157896624364852e-14
t106,4.971059001169604e-14
t107,4.8900116693123165e-14
t108,4.784001266837576e-14
t109,4.66222410942341e-14
t110,4.599878112005207e-14
t111,4.4909739218811396e-14
t112,4.3872227095093285e-14
t113,4.339406009115568e-14
t114,4.265540978786888e-14
t115,4.170076214768534e-14
t116,4.188985989889053e-14
t117,4.190192051687068e-14
t118,4.2014243401986966e-14
t119,4.2467005819340986e-14
t120,4.2528454539174536e-14
t121,4.2465156835661987e-14
t122,4.3359839168372775e-14
t123,4.387605111679038e-14
t124,4.4491817992199253e-14
t125,4.5448195272813504e-14
t126,4.582175689137489e-14
t127,4.652593639583133e-14
t128,4.673607123462352e-14
t129,4.653520645184175e-14
t130,4.640981662787562e-14
t131,4.643374104916757e-14
t132,4.6267981446635e-14
t133,4.622139763497618e-14
t134,4.681104573315525e-14
t135,4.7001145026501224e-14
t136,4.712346662830323e-14
t137,4.773195104689703e-14
t138,4.79181567415563e-14
t139,4.8242055248725976e-14
t140,4.907761476374754e-14
t141,4.932026868636205e-14
t142,4.985976317515006e-14
t143,5.075468373446766e-14
t144,5.125521220311278e-14
t145,5.1895699894826044e-14
t146,5.176602341408972e-14
t147,5.137485167278254e-14
t148,5.1109464648753224e-14
t149,5.1152655106294145e-14
t150,5.077564288744518e-14
t151,5.034287607462746e-14
t152,4.99015243990558e-14
t153,4.901063013002496e-14
t154,4.82938367754703e-14
t155,4.79184288989532e-14
t156,4.69964121463292e-14
t157,4.6377874906772587e-14
t158,4.6359014405024424e-14
t159,4.5958981867727124e-14
t160,4.56677175034353e-14
t161,4.553683715711171e-14
t162,4.51435079395194e-14
t163,4.484976199194477e-14
t164,4.49010476372986e-14
t165,4.45404780324714e-14
t166,4.415347731927552e-14
t167,4.421414189634345e-14
t168,4.387126847180328e-14
t169,4.3653872227391907e-14
t170,4.435320950597768e-14
t171,4.4487550829186624e-14
t172,4.488125885962251e-14
t173,4.561433891257855e-14
t174,4.5928744785550257e-14
t175,4.638586388686108e-14
t176,4.700928096405258e-14
t177,4.731151520495618e-14
t178,4.776669749086222e-14
t179,4.859259723599269e-14
t180,4.8938330364143636e-14
t181,4.9276464425716025e-14
t182,5.0338427334145944e-14
t183,5.0910951640936125e-14
t184,5.160999014853155e-14
t185,5.2807523729012214e-14
t186,5.349048221864418e-14
t187,5.4066231726327264e-14
t188,6.029403136742711e-14
t189,6.723068661244367e-14
t190,7.503390445632002e-14
t191,8.546198934047135e-14
t192,9.793590442480286e-14
t193,1.128016135117751e-13
t194,1.4048633455581176e-13
t195,1.7948121534897475e-13
t196,2.4494147653582106e-13
t197,3.780987556156156e-13
t198,8.003658776014501e-13
t199,5.8044688459490745e-11
t200,0.4362948960288579
t201,0.4362948960296732
t202,0.4362948960299405
