Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,6.0580849913485534e7,1.7125173305360022e8,0.0,99825.6231559667,0.0,0.0,0.0,0.0,2.3193240859024173e8
t1,814.8265607466668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.8265607466668
t2,826.1766131412406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.1766131412406
t3,837.5266671045509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.5266671045509
t4,848.8767194991245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.8767194991245
t5,860.2267718936984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.2267718936984
t6,871.5768258570087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.5768258570087
t7,882.9268782515823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.9268782515823
t8,894.2769306461561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.2769306461561
t9,905.6269846094664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.6269846094664
t10,916.9770370040401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916.9770370040401
t11,928.3270893986138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.3270893986138
t12,939.6771433619241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.6771433619241
t13,951.0271957564978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.0271957564978
t14,955.0128659899987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0128659899987
t15,958.9985362234995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.9985362234995
t16,962.9842064570003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.9842064570003
t17,966.9698766905011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.9698766905011
t18,970.955546924002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.955546924002
t19,974.9412171575027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.9412171575027
t20,978.9268858222671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.9268858222671
t21,982.9125560557679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.9125560557679
t22,986.8982262892686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986.8982262892686
t23,990.8838965227696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.8838965227696
t24,994.8695667562703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.8695667562703
t25,998.855236989771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.855236989771
t26,980.1326952034191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.1326952034191
t27,961.410153417067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961.410153417067
t28,942.6876131994516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.6876131994516
t29,923.9650714130994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.9650714130994
t30,905.2425296267471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.2425296267471
t31,886.5199878403952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.5199878403952
t32,867.7974460540431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.7974460540431
t33,849.074904267691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.074904267691
t34,830.3523640500754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.3523640500754
t35,811.6298222637233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.6298222637233
t36,792.907280477371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.907280477371
t37,774.1847386910191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.1847386910191
t38,764.3582401367577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.3582401367577
t39,754.5317400137598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.5317400137598
t40,744.7052398907617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.7052398907617
t41,734.8787413365004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.8787413365004
t42,725.0522427822391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0522427822391
t43,715.2257426592413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.2257426592413
t44,705.3992425362433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.3992425362433
t45,695.5727439819818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.5727439819818
t46,685.7462454277206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.7462454277206
t47,675.9197453047226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.9197453047226
t48,666.0932451817247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0932451817247
t49,656.2667466274635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.2667466274635
t50,656.8807564043714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.8807564043714
t51,657.4947661812796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.4947661812796
t52,658.1087743894511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.1087743894511
t53,658.7227841663592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.7227841663592
t54,659.3367939432674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.3367939432674
t55,659.9508037201756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.9508037201756
t56,660.564811928347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.564811928347
t57,661.1788217052551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.1788217052551
t58,661.7928314821635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.7928314821635
t59,662.4068412590714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.4068412590714
t60,663.020849467243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.020849467243
t61,663.6348592441512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.6348592441512
t62,674.3816022141082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.3816022141082
t63,685.1283451840652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.1283451840652
t64,695.8750881540224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.8750881540224
t65,706.6218311239793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.6218311239793
t66,717.3685740939363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.3685740939363
t67,728.1153186326302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.1153186326302
t68,738.8620616025871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.8620616025871
t69,749.6088045725442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.6088045725442
t70,760.3555475425012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.3555475425012
t71,771.1022905124584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.1022905124584
t72,781.8490334824153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.8490334824153
t73,792.5957764523722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.5957764523722
t74,791.7936328022404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.7936328022404
t75,790.9914907208453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.9914907208453
t76,790.1893470707134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.1893470707134
t77,789.3872034205816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.3872034205816
