region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
SD,onshore_wind,1,1,1,5.628779389698947e6,0.0,1.6317005222860782e6,0.0,8629.933275787169,0.0,0.0,0.0,0.0,80885.97201417928,0.0,7.18822387324667e6,0.0,0.0,0.0,7.269109845260849e6,7.269109845260812e6,3.725290298461914e-8
SD,solar_pv_sat,1,1,2,1.632489251635447e7,0.0,9.540656279409295e6,0.0,1525.0593678574953,0.0,0.0,0.0,0.0,19395.60237041604,0.0,2.584767825276145e7,0.0,0.0,0.0,2.5867073855131865e7,2.5867073855131622e7,2.421438694000244e-7
SD,solar_btm,1,1,3,0.0,0.0,0.0,0.0,779.7212754186686,0.0,0.0,0.0,0.0,1319.76791614422,0.0,1.381808816240358e6,0.0,0.0,0.0,1.383128584156502e6,779.7212754186686,1.3823488628810833e6
SD,solar_btm_curt,1,1,4,0.0,0.0,0.0,0.0,197.17647948924278,0.0,0.0,0.0,0.0,333.74386418844824,0.0,349432.81183032406,0.0,0.0,0.0,349766.5556945125,197.17647948924278,349569.37921502325
SD,hydro,1,1,5,583200.0,0.0,259230.0,0.0,2796.693691407952,0.0,0.0,0.0,0.0,81915.99180143992,0.0,4.1378050423856806e6,0.0,0.0,0.0,4.21972103418712e6,845226.6936914079,3.3744943404957126e6
SD,battery4,1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,battery8,1,1,7,561826.1489701252,1.3189298939884279e7,240607.08654494863,2.2107342848714218e6,6314.523402354358,0.0,7460.448254199383,0.0,23415.626061307037,234119.00038938926,0.0,1.6005538057599306e7,0.0,0.0,0.0,1.6239657057988696e7,1.6239657057988634e7,6.146728992462158e-8
SD,pumped_hydro_long,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,pumped_hydro_short,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,geothermal,1,1,10,1.86468e7,0.0,8.0e6,0.0,4.339659445307093e6,0.0,0.0,0.0,0.0,363739.09772305784,0.0,1.6384771193145728e8,0.0,0.0,0.0,1.6421145102918035e8,3.098645944530709e7,1.3322499158387326e8
