Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
SD,onshore_wind,1,1,7.18822387324667e6,7.18822387324667e6
SD,solar_pv_sat,1,1,2.584767825276145e7,2.584767825276145e7
SD,solar_btm,1,1,1.381808816240358e6,1.381808816240358e6
SD,solar_btm_curt,1,1,349432.81183032406,349432.81183032406
SD,hydro,1,1,4.1378050423856806e6,4.1378050423856806e6
SD,battery4,1,1,0.0,0.0
SD,battery8,1,1,1.6005538057599306e7,1.6005538057599306e7
SD,pumped_hydro_long,1,1,0.0,0.0
SD,pumped_hydro_short,1,1,0.0,0.0
SD,geothermal,1,1,1.6384771193145728e8,1.6384771193145728e8
