Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,1.776114470181791e6,1.2087608235833613e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3863722706015404e7
t1,16.363407756348117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.363407756348117
t2,16.764557223279496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.764557223279496
t3,17.170994704942856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.170994704942856
t4,17.551873251874227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.551873251874227
t5,17.863567123537585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.863567123537585
t6,18.213158850468965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.213158850468965
t7,18.55614044213231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.55614044213231
t8,18.8556725590637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8556725590637
t9,19.125238950727052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.125238950727052
t10,19.43138108239041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.43138108239041
t11,19.670446139321783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.670446139321783
t12,19.963713836253163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.963713836253163
t13,20.268438967916516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.268438967916516
t14,17.421269424952598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.421269424952598
t15,14.623455131988692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.623455131988692
t16,11.711506809024769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.711506809024769
t17,8.800728251328877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.800728251328877
t18,5.922118668364963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.922118668364963
t19,3.043949755401041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.043949755401041
t20,0.23039702243712767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23039702243712767
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
