Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,1.0355920345181415e6,1.5250593678574953e6,779721.2754186686,197176.47948924277,167801.61812844477,0.0,505161.8721883486,0.0,0.0,1.735863778122837e6,5.946376425723177e6
t1,24.968371750000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.96837175
t2,24.74216029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.74216029
t3,24.51066075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.51066075
t4,24.30472021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.30472021
t5,24.16796428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.16796428
t6,23.993310559999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.99331056
t7,23.825266910000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.82526691
t8,23.7006728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.7006728
t9,23.606044349999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.60604435
t10,23.47484016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.47484016
t11,23.410713110000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.41071311
t12,23.29238342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.29238342
t13,23.16259623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.16259623
t14,23.11117883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.11117883
t15,23.010406179999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.01040618
t16,23.023767560000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.02376756
t17,23.035959239999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.03595924
t18,23.01598188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.01598188
t19,22.995563850000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.99556385
t20,22.91052964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.91052964
t21,20.242339719473215,0.0,0.0,0.0,2.623697540526784,0.0,0.0,0.0,0.0,16.0,38.86603726
t22,17.343752776509294,0.0,0.0,0.0,5.429758853490707,0.0,0.0,0.0,0.0,16.0,38.77351163
t23,14.445165898813402,0.0,0.0,0.0,6.0,0.0,2.3104460511866005,0.0,0.0,16.0,38.75561195
t24,11.546578955849485,0.0,0.0,0.0,6.0,0.0,5.194658694150517,0.0,0.0,16.0,38.74123765
t25,8.647992012885572,0.0,0.0,0.0,6.0,0.0,8.133514657114427,0.0,0.0,16.0,38.78150667
t26,8.136915017716483,0.0,0.0,0.0,6.0,0.0,8.653764662283514,0.0,0.0,16.0,38.79067968
t27,7.625838022547396,0.0,0.0,0.0,6.0,0.0,9.151540367452608,0.0,0.0,16.0,38.77737839
t28,7.114761027378309,0.0,0.0,0.0,6.0,0.0,9.599079472621694,0.0,0.0,16.0,38.7138405
t29,6.603684032209221,0.0,0.0,0.0,6.0,0.0,10.105668487790782,0.0,0.0,16.0,38.70935252
t30,6.092607037040134,0.0,0.0,0.0,6.0,0.0,10.584054492959863,0.0,0.0,16.0,38.67666153
t31,5.581530041871046,0.0,0.0,0.0,6.0,0.0,11.084914768128955,0.0,0.0,16.0,38.66644481
t32,5.070452981433938,0.0,0.0,0.0,6.0,0.0,11.596632878566062,0.0,0.0,16.0,38.66708586
t33,4.55937598626485,0.0,0.0,0.0,6.0,0.0,12.15065543373515,0.0,0.0,16.0,38.71003142
t34,4.048298991095763,0.0,0.0,0.0,6.0,0.0,12.713491428904234,0.0,0.0,16.0,38.76179042
t35,3.5372219959266755,0.0,0.0,0.0,6.0,0.0,13.226447524073325,0.0,0.0,16.0,38.76366952
t36,3.0261450007575883,0.0,0.0,0.0,6.0,0.0,13.777301419242413,0.0,0.0,16.0,38.80344642
t37,2.5150680055885006,0.0,0.0,0.0,6.0,0.0,14.335646744411502,0.0,0.0,16.0,38.85071475
t38,2.5627507983431412,0.0,0.0,0.0,6.0,0.0,14.303060671656855,0.0,0.0,16.0,38.86581147
t39,2.610433525829761,0.0,0.0,0.0,6.0,0.0,14.287220204170241,0.0,0.0,16.0,38.89765373
t40,2.6581163185844017,0.0,0.0,0.0,6.0,0.0,14.3110401514156,0.0,0.0,16.0,38.96915647
t41,2.7057990460710215,0.0,0.0,0.0,6.0,0.0,14.300151633928976,0.0,0.0,16.0,39.00595068
t42,2.7534818388256626,0.0,0.0,0.0,6.0,0.0,14.280449611174335,0.0,0.0,16.0,39.03393145
t43,2.8011645663122824,0.0,0.0,0.0,6.0,0.0,14.306136873687718,0.0,0.0,16.0,39.10730144
t44,2.848847293798902,0.0,0.0,0.0,6.0,0.0,14.330501286201102,0.0,0.0,16.0,39.17934858
t45,2.8965300865535424,0.0,0.0,0.0,6.0,0.0,14.410831003446457,0.0,0.0,16.0,39.30736109
t46,2.944212879308183,0.0,0.0,0.0,6.0,0.0,14.393331510691816,0.0,0.0,16.0,39.33754439
t47,2.9918956067948033,0.0,0.0,0.0,6.0,0.0,14.429424693205195,0.0,0.0,16.0,39.4213203
t48,3.039578399549444,0.0,0.0,0.0,6.0,0.0,14.482704020450559,0.0,0.0,16.0,39.52228242
t49,3.0872611270360637,0.0,0.0,0.0,6.0,0.0,14.611778992963936,0.0,0.0,16.0,39.69904012
t50,4.010808060875405,0.0,0.0,0.0,6.0,0.0,13.846311219124594,0.0,0.0,16.0,39.85711928
t51,4.934354929446725,0.0,0.0,0.0,6.0,0.0,13.059691250553273,0.0,0.0,16.0,39.99404618
t52,5.857901863286066,0.0,0.0,0.0,6.0,0.0,12.242224176713933,0.0,0.0,16.0,40.10012604
t53,6.7814487318573855,0.0,0.0,0.0,6.0,0.0,11.539620978142619,0.0,0.0,16.0,40.32106971
t54,7.7049956656967264,0.0,0.0,0.0,6.0,0.0,10.723765004303276,0.0,0.0,16.0,40.42876067
t55,8.628542599536068,0.0,0.0,0.0,6.0,0.0,10.006619580463934,0.0,0.0,16.0,40.63516218
t56,9.552089468107388,0.0,0.0,0.0,6.0,0.0,9.23462730189261,0.0,0.0,16.0,40.78671677
t57,10.475636401946728,0.0,0.0,0.0,6.0,0.0,8.47673646805327,0.0,0.0,16.0,40.95237287
t58,11.399183270518048,0.0,0.0,0.0,6.0,0.0,7.74837070948195,0.0,0.0,16.0,41.14755398
t59,12.322730204357388,0.0,0.0,0.0,6.0,0.0,7.085196315642609,0.0,0.0,16.0,41.40792652
t60,13.24627707292871,0.0,0.0,0.0,6.0,0.0,6.43656413707129,0.0,0.0,16.0,41.68284121
t61,14.16982400676805,0.0,0.0,0.0,6.0,0.0,5.988437673231953,0.0,0.0,16.0,42.15826168
t62,15.436002204151194,0.0,0.0,0.0,6.0,0.0,5.162450845848809,0.0,0.0,16.0,42.59845305
t63,16.70218040153434,0.0,0.0,0.0,6.0,0.0,4.283583388465662,0.0,0.0,16.0,42.98576379
t64,17.968358598917483,0.0,0.0,0.0,6.0,0.0,3.4333596110825155,0.0,0.0,16.0,43.40171821
t65,19.234536796300628,0.0,0.0,0.0,6.0,0.0,2.5653248436993756,0.0,0.0,16.0,43.79986164
