BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,5.441214553534583e6,505161.8721883486,-596835.8603359506,0.0,0.0,0.0,0.0,0.0,0.0,-5.34954056538688e6
t1,40.96837175,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.96837175
t2,40.74216029,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.74216029
t3,40.51066075,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.51066075
t4,40.30472021,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.30472021
t5,40.16796428,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.16796428
t6,39.99331056,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.99331056
t7,39.82526691,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.82526691
t8,39.7006728,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.7006728
t9,39.60604435,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.60604435
t10,39.47484016,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.47484016
t11,39.41071311,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.41071311
t12,39.29238342,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.29238342
t13,39.16259623,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.16259623
t14,39.11117883,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.11117883
t15,39.01040618,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.01040618
t16,39.02376756,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.02376756
t17,39.03595924,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.03595924
t18,39.01598188,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.01598188
t19,38.99556385,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.99556385
t20,38.91052964,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.91052964
t21,38.86603726,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.86603726
t22,38.77351163,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.77351163
t23,36.4451658988134,2.3104460511866005,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.75561195
t24,33.54657895584948,5.194658694150517,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.74123765
t25,30.647992012885574,8.133514657114427,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.78150667
t26,30.136915017716483,8.653764662283514,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.79067968
t27,29.625838022547395,9.151540367452608,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.77737839
t28,29.114761027378307,9.599079472621694,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.7138405
t29,28.603684032209223,10.105668487790782,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.70935252
t30,28.092607037040132,10.584054492959863,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.67666153
t31,27.581530041871048,11.084914768128955,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.66644481
