Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal
Zone,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,1707.3406161780001,0.0,1323.683544979312,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,1708.497036792,0.0,1323.683544979312,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,1709.6452659660001,0.0,1323.683544979312,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,1710.785303694,0.0,1323.683544979312,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,1711.917149976,0.0,1323.683544979312,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,1713.040804812,0.0,1323.683544979312,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0,1714.156268202,0.0,1323.683544979312,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,1715.2635401460002,0.0,1323.683544979312,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,1716.3626206500003,0.0,1323.683544979312,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,1717.4535097080002,0.0,1323.683544979312,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,1718.5362073200001,0.0,1323.683544979312,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,1719.6107134860001,0.0,1323.683544979312,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,1720.6770282060002,0.0,1323.683544979312,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,1721.7382989540001,0.0,1323.683544979312,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,1722.79452573,0.0,1323.683544979312,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0,1723.845708534,0.0,1323.683544979312,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0,1724.8918473600002,0.0,1323.683544979312,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,1725.9329422140001,0.0,1323.683544979312,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0,1726.968993096,0.0,1323.683544979312,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0,1728.0,0.0,1323.683544979312,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0,1726.4022653914733,0.0,1323.683544979312,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0,1721.9934254979826,0.0,1323.683544979312,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0,1717.0093004859825,0.0,1321.1721905758484,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0,1712.0201314959825,0.0,1315.5258224300326,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0,1707.0259185339826,0.0,1306.6850456288212,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0,1702.0329189579825,0.0,1297.2787796915566,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0,1697.0411327739826,0.0,1287.331453205195,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0,1692.0505599759827,0.0,1276.8976711697367,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0,1687.0612005639825,0.0,1265.913248900399,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0,1682.0730545379824,0.0,1254.408841842834,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0,1677.0861219039825,0.0,1242.3600214426938,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0,1672.1004026499825,0.0,1229.754985705122,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0,1667.1158967819824,0.0,1216.5477515380185,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0,1662.1326043059823,0.0,1202.7287391152965,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,1657.1505252099823,0.0,1188.3521657195647,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0,1652.1696595059823,0.0,1173.3768380899535,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0,1647.1900071879822,0.0,1157.7946133677672,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0,1642.2140741139822,0.0,1142.2478082898792,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0,1637.2418602779821,0.0,1126.7182211114334,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0,1632.273365685982,0.0,1111.1627426859816,0.0,0.0,0.0
t41,0.0,0.0,0.0,0.0,1627.308590337982,0.0,1095.619099605624,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0,1622.347534233982,0.0,1080.096871767391,0.0,0.0,0.0
t43,0.0,0.0,0.0,0.0,1617.3901973739821,0.0,1064.5467229916433,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0,1612.4365797519822,0.0,1048.9700911588159,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0,1607.4866813739823,0.0,1033.3061444159393,0.0,0.0,0.0
t46,0.0,0.0,0.0,0.0,1602.5405022399823,0.0,1017.6612188608395,0.0,0.0,0.0
t47,0.0,0.0,0.0,0.0,1597.5980423499823,0.0,1001.9770615856165,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0,1592.6593016979823,0.0,986.2349919981702,0.0,0.0,0.0
t49,0.0,0.0,0.0,0.0,1587.7242802899823,0.0,970.3526235275573,0.0,0.0,0.0
t50,0.0,0.0,0.0,0.0,1582.8054406359822,0.0,955.3022852459001,0.0,0.0,0.0
t51,0.0,0.0,0.0,0.0,1577.9027827299822,0.0,941.1069686692117,0.0,0.0,0.0
t52,0.0,0.0,0.0,0.0,1573.016306571982,0.0,927.8002032597401,0.0,0.0,0.0
t53,0.0,0.0,0.0,0.0,1568.146012167982,0.0,915.2571369791503,0.0,0.0,0.0
t54,0.0,0.0,0.0,0.0,1563.291899511982,0.0,903.600870670125,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0,1558.4539686039818,0.0,892.7241102565772,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0,1553.632219449982,0.0,882.6864718849548,0.0,0.0,0.0
t57,0.0,0.0,0.0,0.0,1548.826652043982,0.0,873.4726278979404,0.0,0.0,0.0
t58,0.0,0.0,0.0,0.0,1544.037266391982,0.0,865.0504858224165,0.0,0.0,0.0
t59,0.0,0.0,0.0,0.0,1539.264062487982,0.0,857.3491854793267,0.0,0.0,0.0
t60,0.0,0.0,0.0,0.0,1534.5070403319821,0.0,850.3529201129448,0.0,0.0,0.0
t61,0.0,0.0,0.0,0.0,1529.7661999299821,0.0,843.8437487289971,0.0,0.0,0.0
t62,0.0,0.0,0.0,0.0,1525.0578161319822,0.0,838.232389113944,0.0,0.0,0.0
t63,0.0,0.0,0.0,0.0,1520.3818889319823,0.0,833.5763202134378,0.0,0.0,0.0
t64,0.0,0.0,0.0,0.0,1515.7384183419822,0.0,829.844407592696,0.0,0.0,0.0
t65,0.0,0.0,0.0,0.0,1511.1274043499823,0.0,827.0560110234576,0.0,0.0,0.0
t66,0.0,0.0,0.0,0.0,1506.5488469619822,0.0,825.1100633318096,0.0,0.0,0.0
t67,0.0,0.0,0.0,0.0,1502.0027461719822,0.0,823.8820267677519,0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0,1497.4891019919821,0.0,823.3841400921541,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0,1493.2907820858154,0.0,823.3841400921541,0.0,0.0,0.0
t70,0.0,0.0,0.0,0.0,1489.7653689610318,0.0,823.3841400921541,0.0,0.0,0.0
t71,0.0,0.0,0.0,0.0,1486.9284522476312,0.0,823.3841400921541,0.0,0.0,0.0
t72,0.0,0.0,0.0,0.0,1484.712168455614,0.0,823.3841400921541,0.0,0.0,0.0
t73,0.0,0.0,0.0,0.0,1482.8344875089797,0.0,823.3841400921541,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0,1479.9199877526414,0.0,823.3841400921541,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0,1476.148903965331,0.0,823.3841400921541,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0,1471.8250025973311,0.0,823.1042533540949,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0,1467.510254493331,0.0,822.0804286106313,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0,1463.2046596533312,0.0,820.3936154544458,0.0,0.0,0.0
t79,0.0,0.0,0.0,0.0,1458.9082180833311,0.0,817.8210829290168,0.0,0.0,0.0
t80,0.0,0.0,0.0,0.0,1454.6209297773312,0.0,814.7587177098612,0.0,0.0,0.0
t81,0.0,0.0,0.0,0.0,1450.3427947353312,0.0,811.4235033840216,0.0,0.0,0.0
t82,0.0,0.0,0.0,0.0,1446.0738129633312,0.0,807.7531705818468,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0,1441.8139844553311,0.0,803.832708504715,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0,1437.5633092113312,0.0,799.6549326847384,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0,1433.3217872373311,0.0,794.71259095937,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0,1429.0461437853312,0.0,793.5028566205449,0.0,0.0,0.0
