Constraint,CapRes_1
t1,1.9885200029703597e-15
t2,1.9792265651798937e-15
t3,1.9695603058370137e-15
t4,1.9610197635045908e-15
t5,1.954754249553556e-15
t6,1.947214609125255e-15
t7,1.940095251052853e-15
t8,1.9343392721500632e-15
t9,1.929524345758208e-15
t10,1.9236985924638113e-15
t11,1.919759449760116e-15
t12,1.9144083756752178e-15
t13,1.908784238184819e-15
t14,1.941610864456282e-15
t15,1.9735618248940687e-15
t16,2.010056986491574e-15
t17,2.0481054940190275e-15
t18,2.0864405151858465e-15
t19,2.126189766935185e-15
t20,2.1649313001727318e-15
t21,2.2064655696067964e-15
t22,2.247830545670793e-15
t23,2.2941936076369337e-15
t24,2.3430654845928196e-15
t25,2.388962045096766e-15
t26,2.4059330182588726e-15
t27,2.4147803142985702e-15
t28,2.4213147620770848e-15
t29,2.423593275293738e-15
t30,2.4389043324527033e-15
t31,2.44857145896103e-15
t32,2.4586710728818233e-15
t33,2.4629620225424606e-15
t34,2.4838000887275443e-15
t35,2.4941559069438533e-15
t36,2.5068102743866884e-15
t37,2.510898827106137e-15
t38,2.5202187170594677e-15
t39,2.521440671951501e-15
t40,2.524631903412234e-15
t41,2.515955300575879e-15
t42,2.5260413839213034e-15
t43,2.5288138886754235e-15
t44,2.5314831879191006e-15
t45,2.527890989095941e-15
t46,2.5366489478328576e-15
t47,2.5394827377333047e-15
t48,2.5431854904659334e-15
t49,2.5421507939599275e-15
t50,2.540166898614608e-15
t51,2.528339482342441e-15
t52,2.5151213815082475e-15
t53,2.5000414439734096e-15
t54,2.495232216780849e-15
t55,2.4876842135202384e-15
t56,2.477008890286952e-15
t57,2.458545692497765e-15
t58,2.4590976096765644e-15
t59,2.454166229257741e-15
t60,2.4498855768381304e-15
t61,2.448429242703793e-15
t62,2.4523868246306267e-15
t63,2.4469413772696467e-15
t64,2.443379543219427e-15
t65,2.433951756601712e-15
t66,2.4387075678308772e-15
t67,2.4442194418695895e-15
t68,2.449200693306065e-15
t69,2.4507150687811304e-15
t70,2.4572158239068653e-15
t71,2.462593714142935e-15
t72,2.4714367986184355e-15
t73,2.4943034888668842e-15
t74,2.5417912907066383e-15
t75,2.5816966649906736e-15
t76,2.6198157456330672e-15
t77,2.651646015531185e-15
t78,2.6801895716982396e-15
t79,2.7216807782153915e-15
t80,2.8204178353532422e-15
t81,2.9091059064726593e-15
t82,3.018279061580191e-15
t83,3.1239458206103655e-15
t84,3.238437381951442e-15
t85,3.3981972616223366e-15
t86,8.227816573302335e-15
t87,0.43629489603018523
t88,0.4362948960301952
t89,0.43629489603012106
t90,0.43629489602911414
t91,8.907611070929754e-13
t92,1.7983871013900467e-13
t93,8.50414345073969e-14
t94,5.593729685141012e-14
t95,4.3429360137089295e-14
t96,3.4970367239541815e-14
t97,3.1516094203723433e-14
t98,3.060781568343996e-14
t99,2.8027348921184994e-14
t100,2.575430215155732e-14
t101,2.2874337962619362e-14
t102,2.0560338144617934e-14
t103,1.9099596198337904e-14
t104,1.635548393814798e-14
t105,1.4419790720683024e-14
t106,1.300345044471345e-14
t107,1.2045658046625465e-14
t108,1.1313717549860873e-14
t109,1.075347797013509e-14
t110,1.0580650220445858e-14
t111,1.0298165482797977e-14
t112,1.0101468385450762e-14
t113,9.92010703549594e-15
t114,9.776810332956345e-15
t115,9.620414612915791e-15
t116,9.428811778762336e-15
t117,9.27840056095963e-15
t118,9.193672114435463e-15
t119,9.113994606272677e-15
t120,9.031316211663664e-15
t121,8.886850806439618e-15
t122,8.792818117350239e-15
t123,8.673595021906625e-15
t124,8.559090923800604e-15
t125,8.45827935835677e-15
t126,8.307375163955141e-15
t127,8.214631748394807e-15
t128,7.951026561376348e-15
t129,7.677133996976625e-15
t130,7.455224748707826e-15
t131,7.19449855927376e-15
t132,7.000558584641718e-15
t133,6.809281420770839e-15
t134,6.811017348255449e-15
t135,6.802814574502783e-15
t136,6.747404767134608e-15
t137,6.738212966965631e-15
t138,6.7341731849982114e-15
t139,6.733284433718113e-15
t140,6.7214204549367154e-15
t141,6.6500845546452494e-15
t142,6.633279577995307e-15
t143,6.618456496000097e-15
t144,6.602485363546495e-15
t145,6.5980703574326414e-15
t146,6.477040921278504e-15
t147,6.388786437976381e-15
t148,6.322854535259333e-15
t149,6.224226800722526e-15
t150,6.15907676430648e-15
t151,6.0635704613644114e-15
t152,6.0280043580796965e-15
t153,5.978322803077335e-15
t154,5.943662453764203e-15
t155,5.92687097869389e-15
t156,5.865729172054498e-15
t157,5.839626475942482e-15
t158,5.832345844343241e-15
t159,5.817909138532379e-15
t160,5.812114817599625e-15
t161,5.771492428415228e-15
t162,5.770354603523116e-15
t163,5.7620967782854346e-15
t164,5.792597230613606e-15
t165,5.807617080483898e-15
t166,5.807797961611647e-15
t167,5.840347243775277e-15
t168,5.870911922780973e-15
t169,5.909132088785312e-15
t170,5.819918917736434e-15
t171,5.713930259220669e-15
t172,5.649118680785937e-15
t173,5.578027643568274e-15
t174,5.5193949390249165e-15
t175,5.477708985853325e-15
t176,5.4576068272729454e-15
t177,5.4698458906355784e-15
t178,5.484459182533814e-15
t179,5.498187726770705e-15
t180,5.508434794330033e-15
t181,5.509722699264279e-15
t182,5.532996100975569e-15
t183,5.554981924769289e-15
t184,5.585788730690334e-15
t185,5.626948008170735e-15
t186,5.650133616504435e-15
t187,5.706000982649566e-15
t188,5.8333307356288266e-15
t189,5.977532332424566e-15
t190,6.1381250622854605e-15
t191,6.2990086154683254e-15
t192,6.500932367577706e-15
t193,6.737386717034042e-15
t194,7.176613296065433e-15
t195,7.68912784713055e-15
t196,8.322790702241189e-15
t197,9.108754771080356e-15
t198,1.0108922347963427e-14
t199,1.1441981768007723e-14
t200,1.317805053677294e-14
t201,1.5665832758410045e-14
t202,1.961194085442291e-14
t203,2.6639910815785382e-14
t204,4.1689970400194176e-14
t205,7.001532876200491e-15
t206,6.1070947864135065e-15
t207,5.3186904636869966e-15
t208,4.691014293248896e-15
t209,4.170727756932445e-15
t210,3.7295303731784945e-15
t211,3.3864887664021255e-15
t212,3.484116943763806e-15
t213,3.557721899417355e-15
t214,3.6525493394700005e-15
t215,3.753469529003174e-15
t216,3.846546677399253e-15
t217,3.950105991107689e-15
t218,3.966869277967392e-15
t219,3.962137442240072e-15
t220,3.978965133257625e-15
t221,3.985214012939396e-15
t222,4.014482646621851e-15
t223,4.0379125438374e-15
t224,4.006917678291005e-15
t225,3.967413964364487e-15
t226,3.934748823669257e-15
t227,3.901925116357272e-15
t228,3.852800936296037e-15
t229,3.78193965512937e-15
t230,3.756322293119814e-15
t231,3.739578542645132e-15
t232,3.720751282620619e-15
t233,3.696406748595784e-15
t234,3.689731245585754e-15
t235,3.676686952620159e-15
t236,3.649239623063758e-15
t237,3.6290229177306004e-15
t238,3.61966731903894e-15
t239,3.6015434989177806e-15
t240,3.588225637503177e-15
t241,3.5574095232432885e-15
t242,3.5569114843098944e-15
t243,3.5502705349827913e-15
t244,3.5465477232148678e-15
t245,3.5294847243592227e-15
t246,3.523421544377476e-15
t247,3.5147946922656365e-15
t248,3.4996194849223185e-15
t249,3.4739643900820567e-15
t250,3.469144106005454e-15
t251,3.4521896345282496e-15
t252,3.4369762300460198e-15
t253,3.410354133600828e-15
t254,3.355770891616651e-15
t255,3.2836987126843106e-15
t256,3.2223660770944003e-15
t257,3.147215684160832e-15
t258,3.0900818556528116e-15
t259,3.03143629246808e-15
t260,2.9749290682100038e-15
t261,2.9187084191556837e-15
t262,2.8668794927237208e-15
t263,2.8085745381700105e-15
t264,2.753147650279679e-15
t265,2.6975504416142182e-15
t266,2.6521784563426392e-15
t267,2.612358037782337e-15
t268,2.5739926973314494e-15
t269,2.537132163421181e-15
t270,2.5011204941037438e-15
t271,2.4661342094991405e-15
t272,2.4339622027758716e-15
t273,2.393761166356253e-15
t274,2.3650854248751643e-15
t275,2.333044812440078e-15
t276,2.3010465643534867e-15
t277,2.2619414902007126e-15
t278,2.248511266143626e-15
t279,2.233366285900196e-15
t280,2.2236138167420537e-15
t281,2.214482376206733e-15
t282,2.201795274408979e-15
t283,2.195815665789991e-15
t284,2.1868132239915395e-15
t285,2.1755655752496378e-15
t286,2.1680140023216314e-15
t287,2.160649213005346e-15
t288,2.1499151197638507e-15
t289,2.1372295288844023e-15
t290,2.1334532034265094e-15
t291,2.1330951495580694e-15
t292,2.1342435356174027e-15
t293,2.133797938413229e-15
t294,2.1335230324738487e-15
t295,2.133143800671737e-15
t296,2.1373620906996637e-15
t297,2.1414013151074648e-15
t298,2.1444802322450737e-15
t299,2.147314692311106e-15
t300,2.1531505186193382e-15
t301,2.155392662892917e-15
t302,2.14778456774523e-15
t303,2.1454616254297403e-15
t304,2.1407400810865555e-15
t305,2.1399974945575446e-15
t306,2.1386153366609767e-15
t307,2.1363981087659448e-15
t308,2.135214471419386e-15
t309,2.132305599298346e-15
t310,2.128088145929502e-15
t311,2.129479196830841e-15
t312,2.1272695405102605e-15
t313,2.1275833627437394e-15
t314,2.138745828544402e-15
t315,2.1498989071392534e-15
t316,2.1578695884359702e-15
t317,2.1712648502197353e-15
t318,2.1811613052671875e-15
t319,2.194841606738488e-15
t320,2.2060152275931573e-15
t321,2.2189668466475072e-15
t322,2.2329935844450022e-15
t323,2.2471285973002562e-15
t324,2.258804728531476e-15
t325,2.2728181912192694e-15
t326,2.2710295643795276e-15
t327,2.265311049065707e-15
t328,2.258853692947619e-15
t329,2.251076292762482e-15
t330,2.2476633355085267e-15
t331,2.243782614812604e-15
t332,2.238697945166672e-15
t333,2.2350823561235643e-15
t334,2.231238730238644e-15
t335,2.227430735869758e-15
t336,2.2272982902849307e-15
t337,2.2287642685343465e-15
t338,2.234609396319165e-15
t339,2.2371043814803886e-15
t340,2.237986230098782e-15
