Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,4297.582870849359,837738.5566853137,1.7439955306601163e-6,0.0,842036.1395579071
t1,0.0,0.0,0.0,0.0,0.0,1.574890715695126e-11,1.4602951716259606e-11,1.657827926606513e-11,0.0,4.6930138139275995e-11
t2,0.0,0.0,0.0,0.0,0.0,1.5784434391068643e-11,1.4605512022609078e-11,1.690894665165164e-11,0.0,4.729889306532936e-11
t3,0.0,0.0,0.0,0.0,0.0,1.5829988810738128e-11,1.4898508607085132e-11,1.654766449148136e-11,0.0,4.727616190930462e-11
t4,0.0,0.0,0.0,0.0,0.0,1.585299071882614e-11,1.4942172868173398e-11,1.6853485288183225e-11,0.0,4.764864887518276e-11
t5,0.0,0.0,0.0,0.0,0.0,1.5873687151763585e-11,1.497495340338327e-11,1.7182109881869744e-11,0.0,4.80307504370166e-11
t6,0.0,0.0,0.0,0.0,0.0,1.5786683633713545e-11,1.4940891671224115e-11,1.6207330860745312e-11,0.0,4.693490616568297e-11
t7,0.0,0.0,0.0,0.0,0.0,1.5836428167550344e-11,1.4995158081900092e-11,1.653436932229958e-11,0.0,4.7365955571750016e-11
t8,0.0,0.0,0.0,0.0,0.0,1.5881564452489146e-11,1.5034706686888313e-11,1.684746462893854e-11,0.0,4.7763735768316e-11
t9,0.0,0.0,0.0,0.0,0.0,1.592394051957681e-11,1.5049350039994663e-11,1.715674399136889e-11,0.0,4.8130034550940364e-11
t10,0.0,0.0,0.0,0.0,0.0,1.598584877700807e-11,1.5087794578832302e-11,1.7516344197729426e-11,0.0,4.85899875535698e-11
t11,0.0,0.0,0.0,0.0,0.0,1.5883679485920076e-11,1.501482126374493e-11,1.6507885527829704e-11,0.0,4.740638627749471e-11
t12,0.0,0.0,0.0,0.0,0.0,1.595114803335006e-11,1.5019140631199306e-11,1.679616178312475e-11,0.0,4.7766450447674115e-11
t13,0.0,0.0,0.0,0.0,0.0,1.6011813495708517e-11,1.499119578193902e-11,1.7036183668835238e-11,0.0,4.8039192946482774e-11
t14,0.0,0.0,0.0,0.0,0.0,1.60727162723466e-11,1.4596301713189473e-11,1.785850796760892e-11,0.0,4.8527525953144993e-11
t15,0.0,0.0,0.0,0.0,0.0,1.6134351259439316e-11,1.4530740054128154e-11,1.7960565881074058e-11,0.0,4.862565719464153e-11
t16,0.0,0.0,0.0,0.0,0.0,1.6003883992090954e-11,1.4303765050418274e-11,1.6680347606307324e-11,0.0,4.698799664881655e-11
