Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,0
AnnualSum,1.0503848233104767e7,3.1064035882724736e7,0.0,107873.43806889822,0.0,0.0,0.0,0.0,0.0,4.16757575538984e7
t1,154.56682813763192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.56682813763192
t2,155.22103691293879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.22103691293879
t3,155.87524544416544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.87524544416544
t4,156.5294542194723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.5294542194723
t5,157.18366275069897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.18366275069897
t6,157.83787152600584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.83787152600584
t7,158.49208005723247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.49208005723247
t8,159.14628883253937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.14628883253937
t9,159.800497363766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.800497363766
t10,160.45470589499266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.45470589499266
t11,161.10891467029955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.10891467029955
t12,161.76312344560642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.76312344560642
t13,162.41733197683305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.41733197683305
t14,151.577600535164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.577600535164
t15,140.737869093495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.737869093495
t16,129.89813765182598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.89813765182598
t17,119.0584064542372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0584064542372
t18,108.21867501256817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.21867501256817
t19,97.37894357089915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.37894357089915
t20,86.53921212923012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.53921212923012
t21,75.69948068756112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.69948068756112
t22,64.8597492458921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8597492458921
t23,54.02001804830339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.02001804830339
t24,43.180286606634404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.180286606634404
t25,32.340555164965465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.340555164965465
t26,30.42930065279847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.42930065279847
t27,28.518046140631508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.518046140631508
t28,26.606791628464535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.606791628464535
t29,24.695537116297587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.695537116297587
t30,22.7842826041306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7842826041306
t31,20.873028091963636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.873028091963636
t32,18.96177333571643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.96177333571643
t33,17.050518823549467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.050518823549467
t34,15.139264311382517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.139264311382517
t35,13.228009799215576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.228009799215576
t36,11.316755287048654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.316755287048654
t37,9.405500774881663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.405500774881663
t38,9.583818237155524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.583818237155524
t39,9.762135455348984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.762135455348984
