Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,0
AnnualSum,10979.855017284654,1.2429132031261055e6,779721.2754186686,89303.04142034463,202359.9414408727,3637.474141885848,709061.9143784629,1.1161589725869253e-6,3.1536000000017183e6,6.19157670494646e6
t1,1.91508503109605e-12,0.0,0.0,0.0,1.7899057296411371,0.04688288004709098,9.131583140346018,1.0227041256800358e-11,30.000000000000547,40.968371750046934
t2,1.9252446129274773e-12,0.0,0.0,0.0,1.754646158182408,0.04672018449817238,8.94079394735418,1.0074375429829409e-11,30.000000000000547,40.74216029004731
t3,1.9349686226518683e-12,0.0,0.0,0.0,1.7479960358814217,0.04660596529929322,8.716058748853463,1.0614377031496003e-11,30.000000000000547,40.51066075004728
t4,1.936274932320648e-12,0.0,0.0,0.0,1.7424460342425414,0.046599136650775086,8.515675039141387,1.0453694451739437e-11,30.000000000000547,40.30472021004764
t5,1.935467631767409e-12,0.0,0.0,0.0,1.7663136885523119,0.046588406273634295,8.355062185209315,1.0276710997760263e-11,30.000000000000547,40.16796428004802
t6,1.932172806475093e-12,0.0,0.0,0.0,1.7297293215364908,0.0470094281256588,8.216571810371297,1.1005014575045648e-11,30.000000000000547,39.99331056004693
t7,1.931183806334554e-12,0.0,0.0,0.0,1.7221422113423392,0.04705841119779937,8.056066287493932,1.0806627115227433e-11,30.000000000000547,39.825266910047354
t8,1.931100597157971e-12,0.0,0.0,0.0,1.7174818926079176,0.04708695993090575,7.936103947495832,1.0628179518898678e-11,30.000000000000547,39.70067280004776
t9,1.9324073189388853e-12,0.0,0.0,0.0,1.7422803503103401,0.04710314246307975,7.8166608572617715,1.0458243497569025e-11,30.000000000000547,39.60604435004813
t10,1.936102869456554e-12,0.0,0.0,0.0,1.7077928796656678,0.04705505697297033,7.7199922233971705,1.0286413968696676e-11,30.000000000000547,39.47484016004858
t11,1.9319181079745694e-12,0.0,0.0,0.0,1.6987928430424817,0.04748242261624719,7.664437844375163,1.1034697398194747e-11,30.000000000000547,39.4107131100474
t12,1.936698690103953e-12,0.0,0.0,0.0,1.692155776648639,0.04746045393905579,7.552767189446722,1.0860485796001374e-11,30.000000000000547,39.29238342004776
t13,1.9438075843607896e-12,0.0,0.0,0.0,1.714517422549276,0.04742372541744244,7.400655082068111,1.071757816595748e-11,30.000000000000547,39.16259623004804
t14,1.9512565010841255e-12,0.0,0.0,0.0,1.6772255443645454,0.04734946334454708,7.386603822327036,9.90266073797497e-12,30.000000000000547,39.11117883004853
t15,1.9598888119109607e-12,0.0,0.0,0.0,1.668293584742197,0.04719540591823336,7.294917189375952,9.730861316370917e-12,30.000000000000547,39.01040618004862
t16,1.959339697858858e-12,0.0,0.0,0.0,1.6622197758027724,0.047302671684356715,7.3142451125469545,1.0414507649386997e-11,30.000000000000547,39.023767560047006
t17,1.9651099815857983e-12,0.0,0.0,0.0,1.6894737116925571,0.04726356869131138,7.299221959650405,1.0215122691872534e-11,30.000000000000547,39.035959240047
t18,1.9697034181105225e-12,0.0,0.0,0.0,1.6561889554220692,0.04716426723578202,7.312628657376689,1.0027927189673615e-11,30.000000000000547,39.015981880047086
t19,1.9731433181771995e-12,0.0,0.0,0.0,1.6521427605800088,0.047065608320941615,7.296355481133731,9.858684365538036e-12,30.000000000000547,38.99556385004706
t20,1.97424903233295e-12,0.0,0.0,0.0,1.6481607784170667,0.04696426472760455,7.215404596890101,9.689420562336918e-12,30.000000000000547,38.91052964004698
t21,1.9661503231089042e-12,0.0,0.0,0.0,1.6729695485472582,0.046870666019992145,7.146197045465086,1.0375810985744795e-11,30.000000000000547,38.866037260045225
t22,1.95382116315205e-12,0.0,0.0,0.0,1.6400834315667936,0.04686235689098132,7.086565841574759,1.020993866339178e-11,30.000000000000547,38.77351163004525
t23,1.89821109940229e-12,0.0,0.0,0.0,1.637818437774376,0.04702707467774749,7.07076643758072,1.0016263181582122e-11,30.000000000000547,38.75561195004531
t24,1.861749045539836e-12,0.0,0.0,0.0,1.636996559687138,0.047269246741264585,7.056971843604807,9.806275452162195e-12,30.000000000000547,38.74123765004543
t25,1.7811321001001504e-12,0.0,0.0,0.0,1.6680716137276512,0.04761240822041164,7.065822648085589,9.636549982098691e-12,30.000000000000547,38.781506670045616
t26,1.79267628346944e-12,0.0,0.0,0.0,1.6401173971918426,0.047533146707550926,7.103029136132311,1.0387728381975602e-11,30.000000000000547,38.790679680044434
t27,1.7768249459811657e-12,0.0,0.0,0.0,1.637997750515952,0.047586796039035976,7.0917938434770695,1.0202252251086548e-11,30.000000000000547,38.77737839004458
t28,1.7657655292240962e-12,0.0,0.0,0.0,1.6347865966795585,0.047690848474801845,7.0313630548779775,1.0034588287618042e-11,30.000000000000547,38.71384050004468
t29,1.7351768593660995e-12,0.0,0.0,0.0,1.6633384448752977,0.0477754826167705,6.998238592540786,9.837527368682634e-12,30.000000000000547,38.70935252004497
t30,1.735671098375893e-12,0.0,0.0,0.0,1.6318435534640892,0.04798801187722695,6.996829964691677,9.665229647012335e-12,30.000000000000547,38.67666153004494
t31,1.7161025064015804e-12,0.0,0.0,0.0,1.629963364130444,0.04802619247414935,6.988455253426704,1.0428455600485746e-11,30.000000000000547,38.66644481004399
t32,1.6960180998864727e-12,0.0,0.0,0.0,1.6286316436023038,0.04829903685236557,6.990155179576987,1.0224866581812576e-11,30.000000000000547,38.667085860044125
t33,1.6753384996267816e-12,0.0,0.0,0.0,1.660333481228803,0.04851255783256216,7.001185380970634,1.0100061012486497e-11,30.000000000000547,38.710031420044324
t34,1.6405376999241487e-12,0.0,0.0,0.0,1.631329202816859,0.04883388857030651,7.08162732864497,9.995534362657576e-12,30.000000000000547,38.76179042004432
t35,1.599649840534226e-12,0.0,0.0,0.0,1.6297688087068918,0.04910603674108608,7.084794674584427,9.897961133673516e-12,30.000000000000547,38.76366952004445
