BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,5.4788773164231675e6,712699.3885214501,-842036.1395579093,0.0,0.0,0.0,5.638421069064998e-11,0.0,0.0,-5.34954056538688e6
t1,31.7899057296436,9.178466020403336,-4.6930138139275995e-11,0.0,0.0,0.0,0.0,0.0,0.0,-40.96837175
t2,31.75464615818488,8.987514131862426,-4.729889306532936e-11,0.0,0.0,0.0,0.0,0.0,0.0,-40.74216029
t3,31.747996035883904,8.76266471416337,-4.727616190930462e-11,0.0,0.0,0.0,0.0,0.0,0.0,-40.51066075
t4,31.742446034245024,8.562274175802616,-4.764864887518276e-11,0.0,0.0,0.0,0.0,0.0,0.0,-40.30472021
t5,31.766313688554796,8.401650591493226,-4.80307504370166e-11,0.0,0.0,0.0,0.0,0.0,0.0,-40.16796428
t6,31.72972932153897,8.26358123850796,-4.693490616568297e-11,0.0,0.0,0.0,0.0,0.0,0.0,-39.99331056
t7,31.722142211344817,8.103124698702539,-4.7365955571750016e-11,0.0,0.0,0.0,0.0,0.0,0.0,-39.82526691
t8,31.717481892610397,7.983190907437366,-4.7763735768316e-11,0.0,0.0,0.0,0.0,0.0,0.0,-39.7006728
t9,31.742280350312818,7.863763999735309,-4.8130034550940364e-11,0.0,0.0,0.0,0.0,0.0,0.0,-39.60604435
t10,31.70779287966815,7.767047280380427,-4.85899875535698e-11,0.0,0.0,0.0,0.0,0.0,0.0,-39.47484016
t11,31.69879284304496,7.711920267002445,-4.740638627749471e-11,0.0,0.0,0.0,0.0,0.0,0.0,-39.41071311
t12,31.692155776651123,7.6002276433966385,-4.7766450447674115e-11,0.0,0.0,0.0,0.0,0.0,0.0,-39.29238342
t13,31.71451742255177,7.448078807496271,-4.8039192946482774e-11,0.0,0.0,0.0,0.0,0.0,0.0,-39.16259623
t14,31.677225544367044,7.433953285681485,-4.8527525953144993e-11,0.0,0.0,0.0,0.0,0.0,0.0,-39.11117883
t15,31.668293584744703,7.342112595303917,-4.862565719464153e-11,0.0,0.0,0.0,0.0,0.0,0.0,-39.01040618
t16,31.66221977580528,7.361547784241726,-4.698799664881655e-11,0.0,0.0,0.0,0.0,0.0,0.0,-39.02376756
t17,31.68947371169507,7.346485528351931,-4.701610071360262e-11,0.0,0.0,0.0,0.0,0.0,0.0,-39.03595924
t18,31.656188955424586,7.359792924622499,-4.7091829123712336e-11,0.0,0.0,0.0,0.0,0.0,0.0,-39.01598188
t19,31.652142760582528,7.343421089464532,-4.7053362424500945e-11,0.0,0.0,0.0,0.0,0.0,0.0,-38.99556385
t20,31.648160778419587,7.262368861627395,-4.69727978416624e-11,0.0,0.0,0.0,0.0,0.0,0.0,-38.91052964
t21,31.672969548549773,7.193067711495454,-4.521493660334967e-11,0.0,0.0,0.0,0.0,0.0,0.0,-38.86603726
t22,31.640083431569295,7.133428198475951,-4.5242158174020146e-11,0.0,0.0,0.0,0.0,0.0,0.0,-38.77351163
t23,31.637818437776822,7.1177935122684834,-4.529633968832917e-11,0.0,0.0,0.0,6.610250899926515e-16,0.0,0.0,-38.75561195
t24,31.636996559689546,7.104241090355878,-4.5431413791219995e-11,0.0,0.0,0.0,6.887427437487717e-16,0.0,0.0,-38.74123765
t25,31.66807161372998,7.1134350563156366,-4.5623380288135396e-11,0.0,0.0,0.0,7.714611840659515e-16,0.0,0.0,-38.78150667
t26,31.64011739719418,7.15056228285025,-4.4431174757530184e-11,0.0,0.0,0.0,7.336764203479109e-16,0.0,0.0,-38.79067968
t27,31.637997750518277,7.139380639526308,-4.458390805672207e-11,0.0,0.0,0.0,7.416385688746602e-16,0.0,0.0,-38.77737839
t28,31.63478659668187,7.079053903362814,-4.4682912671289865e-11,0.0,0.0,0.0,7.427852183442051e-16,0.0,0.0,-38.7138405
t29,31.66333844487758,7.046014075167394,-4.497088564809251e-11,0.0,0.0,0.0,7.376312317960697e-16,0.0,0.0,-38.70935252
t30,31.63184355346637,7.044817976578569,-4.494530339347257e-11,0.0,0.0,0.0,7.303415694628808e-16,0.0,0.0,-38.67666153
t31,31.629963364132706,7.036481445911281,-4.399286308333423e-11,0.0,0.0,0.0,7.277716960248172e-16,0.0,0.0,-38.66644481
t32,31.628631643604546,7.038454216439577,-4.4124157829204246e-11,0.0,0.0,0.0,7.110640176135997e-16,0.0,0.0,-38.66708586
t33,31.660333481231024,7.0496979388132965,-4.4319378868398555e-11,0.0,0.0,0.0,7.243099829994441e-16,0.0,0.0,-38.71003142
t34,31.631329202819046,7.130461217225272,-4.4324305158195144e-11,0.0,0.0,0.0,6.628290829021458e-16,0.0,0.0,-38.76179042
t35,31.629768808709038,7.133900711335411,-4.445146453731156e-11,0.0,0.0,0.0,6.344125655836398e-16,0.0,0.0,-38.76366952
t36,31.627669775784828,7.175776644258954,-4.378535512921016e-11,0.0,0.0,0.0,6.219308067764486e-16,0.0,0.0,-38.80344642
t37,31.657639282265396,7.193075467777658,-4.304993573120325e-11,0.0,0.0,0.0,6.824169245458113e-16,0.0,0.0,-38.85071475
t38,31.630191560164597,7.2356199098796194,-4.420813487732649e-11,0.0,0.0,0.0,6.12787120281617e-16,0.0,0.0,-38.86581147
t39,31.630607236077473,7.26704649396689,-4.43592087947619e-11,0.0,0.0,0.0,6.067439038493061e-16,0.0,0.0,-38.89765373
t40,31.6317130502682,7.337443419776295,-4.449803772487566e-11,0.0,0.0,0.0,6.024060849350517e-16,0.0,0.0,-38.96915647
t41,31.663975776265385,7.3419749037781346,-4.351303536237538e-11,0.0,0.0,0.0,6.72831677633045e-16,0.0,0.0,-39.00595068
t42,31.63376787935445,7.400163570689622,-4.4079036017256025e-11,0.0,0.0,0.0,5.955360742031228e-16,0.0,0.0,-39.03393145
t43,31.634694446307574,7.472606993736678,-4.4256238052740956e-11,0.0,0.0,0.0,5.965647434840155e-16,0.0,0.0,-39.10730144
t44,31.636422526989755,7.542926053054687,-4.4437053742421304e-11,0.0,0.0,0.0,6.000564314778421e-16,0.0,0.0,-39.17934858
t45,31.670362870535612,7.636998219508931,-4.454237235367289e-11,0.0,0.0,0.0,6.801131092843739e-16,0.0,0.0,-39.30736109
t46,31.64309806897746,7.694446321066497,-4.395622556002108e-11,0.0,0.0,0.0,6.034835113104599e-16,0.0,0.0,-39.33754439
t47,31.645185192115115,7.776135107929077,-4.419056295576494e-11,0.0,0.0,0.0,6.087279561164239e-16,0.0,0.0,-39.4213203
t48,31.64834669630976,7.873935723734646,-4.4395517758888413e-11,0.0,0.0,0.0,6.182666112217967e-16,0.0,0.0,-39.52228242
t49,31.683388624517818,8.015651495526752,-4.4572833813058166e-11,0.0,0.0,0.0,6.974884788176526e-16,0.0,0.0,-39.69904012
t50,31.658932936013603,8.198186344031164,-4.477793555853254e-11,0.0,0.0,0.0,6.553045671174377e-16,0.0,0.0,-39.85711928
t51,31.66244512725736,8.331601052786864,-4.422480585474049e-11,0.0,0.0,0.0,6.929886336141517e-16,0.0,0.0,-39.99404618
t52,31.665340243795292,8.43478579624923,-4.452610182318305e-11,0.0,0.0,0.0,7.232734860852917e-16,0.0,0.0,-40.10012604
t53,31.69756244032416,8.623507269720864,-4.5035660283178855e-11,0.0,0.0,0.0,7.397839476887461e-16,0.0,0.0,-40.32106971
t54,31.674188069945924,8.754572600099266,-4.517892041638141e-11,0.0,0.0,0.0,7.526935206049153e-16,0.0,0.0,-40.42876067
t55,31.677194345173497,8.957967834872013,-4.551099506535861e-11,0.0,0.0,0.0,7.536559392622743e-16,0.0,0.0,-40.63516218
t56,31.67991318908765,9.106803580957235,-4.4884903674087573e-11,0.0,0.0,0.0,7.316410432753836e-16,0.0,0.0,-40.78671677
t57,31.706246006866117,9.246126863179054,-4.517808519646831e-11,0.0,0.0,0.0,7.564474487293805e-16,0.0,0.0,-40.95237287
t58,31.68754108418671,9.460012895858782,-4.550334969018667e-11,0.0,0.0,0.0,6.997355849100089e-16,0.0,0.0,-41.14755398
t59,31.691288571247426,9.71663794879837,-4.579920598628432e-11,0.0,0.0,0.0,6.853149503509997e-16,0.0,0.0,-41.40792652
t60,31.695711566851404,9.987129643194702,-4.610067951785814e-11,0.0,0.0,0.0,6.677510832357746e-16,0.0,0.0,-41.68284121
