Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal
Zone,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,2790.5865615892626,6.072349803020516,1349.913942502467,1.1272683842029996e-10,0.0
t2,0.0,0.0,0.0,0.0,2789.9883360450735,6.021566993797568,1340.195688211878,1.1366120721940715e-10,0.0
t3,0.0,0.0,0.0,0.0,2789.388569183185,5.970908335878117,1330.7217113109639,1.1363136752322223e-10,0.0
t4,0.0,0.0,0.0,0.0,2788.786160876936,5.920257100402729,1321.4655427901716,1.1404703768909452e-10,0.0
t5,0.0,0.0,0.0,0.0,2788.1516934703764,5.869617528380774,1312.3839534584363,1.1494683684738999e-10,0.0
t6,0.0,0.0,0.0,0.0,2787.5456189848333,5.818520323910885,1303.452897142829,1.1415643331717917e-10,0.0
t7,0.0,0.0,0.0,0.0,2786.938940163484,5.7673698769717845,1294.6963033520885,1.1387582564620938e-10,0.0
t8,0.0,0.0,0.0,0.0,2786.328730214869,5.716188398800629,1286.0701034091721,1.1406857295073688e-10,0.0
t9,0.0,0.0,0.0,0.0,2785.6855303685525,5.664989330920626,1277.5737329121623,1.1472116377187071e-10,0.0
t10,0.0,0.0,0.0,0.0,2785.06862654688,5.613842529877757,1269.1824370171792,1.158762216691834e-10,0.0
t11,0.0,0.0,0.0,0.0,2784.4525313158306,5.562231200961667,1260.8515263167853,1.1528915834370373e-10,0.0
t12,0.0,0.0,0.0,0.0,2783.834881705175,5.510643751042586,1252.6419967630527,1.1515062513735564e-10,0.0
t13,0.0,0.0,0.0,0.0,2783.1866790026193,5.459096223429662,1244.5978064564708,1.1538259936497699e-10,0.0
t14,0.0,0.0,0.0,0.0,2782.570724206248,5.407629415461246,1236.5688892583028,1.1729107981659541e-10,0.0
t15,0.0,0.0,0.0,0.0,2781.958657397499,5.35633006121714,1228.639631443777,1.1949595587599101e-10,0.0
t16,0.0,0.0,0.0,0.0,2781.3476204256895,5.3049141137488665,1220.6893650171087,1.1982209939930312e-10,0.0
t17,0.0,0.0,0.0,0.0,2780.7042855399895,5.253540669533946,1212.7554281044581,1.2044989452310009e-10,0.0
t18,0.0,0.0,0.0,0.0,2780.0891914385606,5.202275161683768,1204.8069186942794,1.2134259518107844e-10,0.0
t19,0.0,0.0,0.0,0.0,2779.473099559974,5.151116891784528,1196.876097519147,1.2241816036456538e-10,0.0
t20,0.0,0.0,0.0,0.0,2778.85594568555,5.100068777965016,1189.0332664355838,1.236777900726033e-10,0.0
t21,0.0,0.0,0.0,0.0,2778.208939068996,5.049122401871002,1181.2656609513954,1.2309331734191e-10,0.0
t22,0.0,0.0,0.0,0.0,2777.5897745974225,4.9981850574390645,1173.5628719931742,1.2273110210230022e-10,0.0
t23,0.0,0.0,0.0,0.0,2776.9678311476414,4.9470686719343995,1165.8772563001644,1.22719488252355e-10,0.0
t24,0.0,0.0,0.0,0.0,2776.341665597947,4.8956890559258595,1158.2066347310415,1.231326440183766e-10,0.0
t25,0.0,0.0,0.0,0.0,2775.6793810222134,4.843936438309298,1150.5263927222657,1.240448959175041e-10,0.0
t26,0.0,0.0,0.0,0.0,2775.0462640490146,4.7922699745111075,1142.8057088786563,1.2300913803453386e-10,0.0
t27,0.0,0.0,0.0,0.0,2774.4164801144916,4.74054519622229,1135.0972373096724,1.22371900214096e-10,0.0
t28,0.0,0.0,0.0,0.0,2773.7911207198053,4.688707317459638,1127.45445138047,1.2209599646553985e-10,0.0
t29,0.0,0.0,0.0,0.0,2773.1384228629227,4.636777445064284,1119.847670301634,1.2237643574579094e-10,0.0
t30,0.0,0.0,0.0,0.0,2772.518433283452,4.584616562603272,1112.242420340025,1.2293188410619798e-10,0.0
t31,0.0,0.0,0.0,0.0,2771.9015372853146,4.532414179493388,1104.6462733254436,1.2173219234205307e-10,0.0
t32,0.0,0.0,0.0,0.0,2771.2871863877053,4.479915226407065,1097.0482785650463,1.2096128642266664e-10,0.0
t33,0.0,0.0,0.0,0.0,2770.6423470384702,4.427184185298724,1089.4382944553083,1.206124262259476e-10,0.0
t34,0.0,0.0,0.0,0.0,2770.0277253596464,4.37410387164945,1081.740873445924,1.2038145394930112e-10,0.0
t35,0.0,0.0,0.0,0.0,2769.415877454933,4.320727744771039,1074.0400096692144,1.204151805491494e-10,0.0
t36,0.0,0.0,0.0,0.0,2768.807341975143,4.2670010499085995,1066.2939791420943,1.192224198806895e-10,0.0
t37,0.0,0.0,0.0,0.0,2768.170050374873,4.212854906319047,1058.5295649946584,1.1840314767244571e-10,0.0
t38,0.0,0.0,0.0,0.0,2767.5639257407033,4.158482293287093,1050.719133357859,1.1783538913522743e-10,0.0
t39,0.0,0.0,0.0,0.0,2766.961104668621,4.10386781280294,1042.874784257982,1.175249543285851e-10,0.0
t40,0.0,0.0,0.0,0.0,2766.360897026348,4.0490716449851805,1034.9540984478194,1.1747016518808538e-10,0.0
t41,0.0,0.0,0.0,0.0,2765.732145902078,3.9938191909999943,1027.0289433977357,1.162327751404863e-10,0.0
t42,0.0,0.0,0.0,0.0,2765.137321918719,3.938220476592854,1019.0408860570833,1.1527218503128324e-10,0.0
t43,0.0,0.0,0.0,0.0,2764.5452906124065,3.882291042383129,1010.9744165850954,1.1467346626436731e-10,0.0
t44,0.0,0.0,0.0,0.0,2763.955250463412,3.826090453516105,1002.8317845076363,1.1444535314808406e-10,0.0
t45,0.0,0.0,0.0,0.0,2763.3349892148717,3.769669762931344,994.5871201770528,1.1481267284078477e-10,0.0
t46,0.0,0.0,0.0,0.0,2762.7457120118893,3.7124462996534753,986.2808150305142,1.1338077750839307e-10,0.0
t47,0.0,0.0,0.0,0.0,2762.1580669297696,3.654834686686291,977.8861058740316,1.1238733749183992e-10,0.0
t48,0.0,0.0,0.0,0.0,2761.570979581455,3.5968627228377077,969.38545205125,1.1179354091932927e-10,0.0
t49,0.0,0.0,0.0,0.0,2760.9525695489324,3.538675277425253,960.7309748276491,1.1183262242839584e-10,0.0
t50,0.0,0.0,0.0,0.0,2760.374796958914,3.4803084534377766,951.8782695385968,1.1204234663112237e-10,0.0
t51,0.0,0.0,0.0,0.0,2759.809693925652,3.421270954778558,942.881218936439,1.1086776985666367e-10,0.0
t52,0.0,0.0,0.0,0.0,2759.257877523852,3.362080808724478,933.7721636518255,1.1016763029871144e-10,0.0
t53,0.0,0.0,0.0,0.0,2758.690020679523,3.3031582760464118,924.4577087174537,1.1017053555565527e-10,0.0
t54,0.0,0.0,0.0,0.0,2758.1617199535726,3.243536302902225,915.0014909079192,1.1036169675256772e-10,0.0
t55,0.0,0.0,0.0,0.0,2757.646594700395,3.1835918387689497,905.3245138124468,1.110055232298391e-10,0.0
t56,0.0,0.0,0.0,0.0,2757.144932357303,3.122757272658255,895.4866488340773,1.1031469652632042e-10,0.0
t57,0.0,0.0,0.0,0.0,2756.6331189444318,3.061852428176509,885.4974157838374,1.1015627862739214e-10,0.0
t58,0.0,0.0,0.0,0.0,2756.1561922082406,2.9999185377359234,875.2767269614261,1.1033055819960615e-10,0.0
t59,0.0,0.0,0.0,0.0,2755.6916997329886,2.9373629727397383,864.777719538636,1.1093042309739885e-10,0.0
t60,0.0,0.0,0.0,0.0,2755.2389660101326,2.8742436099806916,853.9852632023083,1.1198324754798527e-10,0.0
t61,0.0,0.0,0.0,0.0,2754.768510414809,2.810375477333818,842.7136460233341,1.119855607965563e-10,0.0
t62,0.0,0.0,0.0,0.0,2754.349876472358,2.7452085123928747,830.9438098300533,1.1235399382759966e-10,0.0
t63,0.0,0.0,0.0,0.0,2753.95860656363,2.6793155021259007,818.7592451432689,1.1307392847632196e-10,0.0
t64,0.0,0.0,0.0,0.0,2753.59380129257,2.612769449592479,806.1297221425898,1.1407259441144367e-10,0.0
t65,0.0,0.0,0.0,0.0,2753.2275093235626,2.546103576381494,793.1044492516601,1.1556274912557208e-10,0.0
t66,0.0,0.0,0.0,0.0,2752.9166112204584,2.476700100775346,779.5231503849724,1.154065242456265e-10,0.0
t67,0.0,0.0,0.0,0.0,2752.6335650948836,2.4064102551457047,765.2893733888193,1.1553686593564858e-10,0.0
t68,0.0,0.0,0.0,0.0,2752.3767344299486,2.335165551269897,750.4172043480427,1.159329396494343e-10,0.0
t69,0.0,0.0,0.0,0.0,2752.1186310292733,2.26293463067744,735.0117547345685,1.1658356837742526e-10,0.0
t70,0.0,0.0,0.0,0.0,2751.916530269382,2.189673084710543,718.9016030760524,1.17446089985581e-10,0.0
t71,0.0,0.0,0.0,0.0,2751.745711916954,2.1133387205802374,702.132606634111,1.165683189491755e-10,0.0
t72,0.0,0.0,0.0,0.0,2751.6026482729726,2.0357012724073376,684.6330654670307,1.1577523548775979e-10,0.0
t73,0.0,0.0,0.0,0.0,2751.4605430125657,1.9565661460107233,666.1257461786357,1.1545907865947347e-10,0.0
t74,0.0,0.0,0.0,0.0,2751.353438581337,1.8759129099821468,646.6633726855488,1.1570807972150063e-10,0.0
t75,0.0,0.0,0.0,0.0,2751.256951370979,1.7936958893785284,626.4684020239152,1.1659610226595767e-10,0.0
t76,0.0,0.0,0.0,0.0,2751.1667733238874,1.7067624530963723,605.5989636113685,1.1560645900738935e-10,0.0
t77,0.0,0.0,0.0,0.0,2751.0587157925356,1.617662164154706,584.2255865713271,1.1523866365867901e-10,0.0
t78,0.0,0.0,0.0,0.0,2750.986580400975,1.5261817002604383,562.370953721684,1.1519753921244e-10,0.0
t79,0.0,0.0,0.0,0.0,2750.922071423522,1.4319077433568919,539.8435036540634,1.1554167927244195e-10,0.0
t80,0.0,0.0,0.0,0.0,2750.8329939874625,1.3572866709047697,517.4002673457987,1.185751494067613e-10,0.0
t81,0.0,0.0,0.0,0.0,2750.755466371252,1.2635250879892108,495.25776332879775,1.1840323663282818e-10,0.0
t82,0.0,0.0,0.0,0.0,2750.722793126356,1.163340025945866,473.30480406091806,1.1769992564731282e-10,0.0
t83,0.0,0.0,0.0,0.0,2750.7147773981173,1.0598366958805598,451.64522655785544,1.1695644143005067e-10,0.0
t84,0.0,0.0,0.0,0.0,2750.7325770510292,0.9511385631495086,430.27246502814353,1.1636639587705962e-10,0.0
t85,0.0,0.0,0.0,0.0,2750.792456190912,0.815468218625174,408.68336565885437,1.1512743849419541e-10,0.0
t86,0.0,0.0,0.0,0.0,2751.1365045198218,0.6381174621590433,398.57636016537265,1.1274326834827323e-10,0.0
t87,0.0,0.0,0.0,0.0,2752.526739595813,0.638117462172224,396.8649192598778,1.1052128033853686e-10,0.0
t88,0.0,0.0,0.0,0.0,2753.8828531878044,0.6381174621886242,395.6127630932811,1.0635072952198164e-10,0.0
t89,0.0,0.0,0.0,0.0,2755.2048453077955,0.6381174622042418,395.0600281153942,1.0092151264049221e-10,0.0
t90,0.0,0.0,0.0,0.0,2756.4927159497865,0.638117462219087,394.9943263926671,9.266978918974552e-11,0.0
t91,0.0,0.0,0.0,0.0,2757.7464651197793,0.7801110070932248,395.07278078410155,1.0151899493660145e-10,0.0
t92,0.0,0.0,0.0,0.0,2758.966092805772,0.9665898297704609,395.47476760348246,1.0841942357452319e-10,0.0
t93,0.0,0.0,0.0,0.0,2760.151599013764,1.1385435719601031,396.3636354754009,1.1400870815380245e-10,0.0
t94,0.0,0.0,0.0,0.0,2761.302983749757,1.2989456705014513,397.70795558695437,1.1835592065944998e-10,0.0
t95,0.0,0.0,0.0,0.0,2762.42024700175,1.4509158466036196,399.5019501019863,1.2225244598094573e-10,0.0
t96,0.0,0.0,0.0,0.0,2763.5033887817426,1.58633030547119,401.8509772198824,1.2326249893712814e-10,0.0
t97,0.0,0.0,0.0,0.0,2764.552409083735,1.7158480326919445,404.6278688460654,1.2496295410606607e-10,0.0
t98,0.0,0.0,0.0,0.0,2765.5711305857276,1.8415130892883165,407.3722846248437,1.2617359112296355e-10,0.0
t99,0.0,0.0,0.0,0.0,2766.5595532817206,1.9633907653929719,410.4285403694242,1.2764601607323306e-10,0.0
t100,0.0,0.0,0.0,0.0,2767.5176771717133,2.082077355724026,413.8271462201233,1.294812327049763e-10,0.0
t101,0.0,0.0,0.0,0.0,2768.445502261706,2.1932216129158144,417.96222633988896,1.2952233176940586e-10,0.0
t102,0.0,0.0,0.0,0.0,2769.343028545699,2.3026180229400155,422.59774122946453,1.2943523383434364e-10,0.0
t103,0.0,0.0,0.0,0.0,2770.2102560296917,2.4098707870417218,427.7357486357519,1.2977362726856917e-10,0.0
t104,0.0,0.0,0.0,0.0,2771.0471847076847,2.515119983381665,434.3558427126742,1.3056127729519103e-10,0.0
t105,0.0,0.0,0.0,0.0,2771.8538145796765,2.617920784751337,442.8860191639834,1.3245313462878605e-10,0.0
t106,0.0,0.0,0.0,0.0,2772.6301456516694,2.717015146744295,452.7313423744782,1.3125516967797438e-10,0.0
t107,0.0,0.0,0.0,0.0,2773.3761779176625,2.814445400247816,464.09788512664903,1.3060314047492967e-10,0.0
t108,0.0,0.0,0.0,0.0,2774.0919113776554,2.9103396421309644,476.89649980560426,1.3043118927935543e-10,0.0
