Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal
Zone,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,-0.16304347826209523,-0.1630434782608806,-0.3907114942326375,0.0
t2,0.0,0.0,0.0,0.0,0.0,-0.16304347826209656,-0.1630434782608806,-0.39682301194465086,0.0
t3,0.0,0.0,0.0,0.0,0.0,-0.16304347826209775,-0.16304347826088056,-0.4045324524254621,0.0
t4,0.0,0.0,0.0,0.0,0.0,-0.16304347826209878,-0.16304347826088053,-0.4124162222866945,0.0
t5,0.0,0.0,0.0,0.0,0.0,-0.1630434782620997,-0.1630434782608805,-0.42084822069419203,0.0
t6,0.0,0.0,0.0,0.0,0.0,-0.1630434782620914,-0.16304347826088048,-0.3922968141273109,0.0
t7,0.0,0.0,0.0,0.0,0.0,-0.16304347826209198,-0.16304347826088048,-0.4000427726563823,0.0
t8,0.0,0.0,0.0,0.0,0.0,-0.1630434782620924,-0.16304347826088045,-0.4072374232066421,0.0
t9,0.0,0.0,0.0,0.0,0.0,-0.16304347826209264,-0.16304347826088042,-0.414310042627606,0.0
t10,0.0,0.0,0.0,0.0,0.0,-0.16304347826209278,-0.1630434782608804,-0.4216268772072407,0.0
t11,0.0,0.0,0.0,0.0,0.0,-0.1630434782620834,-0.16304347826088036,-0.39080126244331115,0.0
t12,0.0,0.0,0.0,0.0,0.0,-0.16304347826208324,-0.16304347826088036,-0.39659028632549675,0.0
t13,0.0,0.0,0.0,0.0,0.0,-0.16304347826208287,-0.16304347826088034,-0.40112897474703546,0.0
t14,0.0,0.0,0.0,0.0,0.0,-0.16304347826208238,-0.1630434782608803,-0.4053475219990158,0.0
t15,0.0,0.0,0.0,0.0,0.0,-0.16304347826208174,-0.16304347826088028,-0.4110281545379516,0.0
t16,0.0,0.0,0.0,0.0,0.0,-0.1630434782620712,-0.16304347826088025,-0.3790063755053341,0.0
t17,0.0,0.0,0.0,0.0,0.0,-0.16304347826207022,-0.16304347826088025,-0.3850861477316338,0.0
t18,0.0,0.0,0.0,0.0,0.0,-0.16304347826206908,-0.16304347826088023,-0.3906501134156373,0.0
t19,0.0,0.0,0.0,0.0,0.0,-0.1630434782620678,-0.1630434782608802,-0.3959683780547478,0.0
t20,0.0,0.0,0.0,0.0,0.0,-0.16304347826206636,-0.16304347826088017,-0.4014669489549583,0.0
t21,0.0,0.0,0.0,0.0,0.0,-0.16304347826205456,-0.16304347826088014,-0.3694320503072769,0.0
t22,0.0,0.0,0.0,0.0,0.0,-0.16304347826205282,-0.16304347826088011,-0.3742155839406799,0.0
t23,0.0,0.0,0.0,0.0,0.0,-0.16304347826205087,-0.1630434782608801,-0.3788012507877466,0.0
t24,0.0,0.0,0.0,0.0,0.0,-0.1630434782620488,-0.16304347826088006,-0.38369696124383446,0.0
t25,0.0,0.0,0.0,0.0,0.0,-0.16304347826204654,-0.16304347826088003,-0.3895185751195336,0.0
t26,0.0,0.0,0.0,0.0,0.0,-0.16304347826203347,-0.16304347826088,-0.35935572884977485,0.0
t27,0.0,0.0,0.0,0.0,0.0,-0.16304347826203092,-0.16304347826087998,-0.36576544963604274,0.0
t28,0.0,0.0,0.0,0.0,0.0,-0.1630434782620282,-0.16304347826087995,-0.3721590046019429,0.0
t29,0.0,0.0,0.0,0.0,0.0,-0.16304347826202528,-0.16304347826087992,-0.3789694315646375,0.0
t30,0.0,0.0,0.0,0.0,0.0,-0.16304347826202226,-0.16304347826087992,-0.38637004194151703,0.0
t31,0.0,0.0,0.0,0.0,0.0,-0.16304347826200785,-0.16304347826087984,-0.35915657837948844,0.0
