Constraint,CapRes_1
t1,1.250472201333955e-9
t2,1.2657688485441507e-9
t3,1.2040162331087237e-9
t4,1.2136991875737864e-9
t5,1.2236396177318576e-9
t6,1.1907111416224486e-9
t7,1.1973796905821328e-9
t8,1.2052978715873832e-9
t9,1.2150153211621142e-9
t10,1.218513321787229e-9
t11,1.1835912076967152e-9
t12,1.1908154909116711e-9
t13,1.200204255985139e-9
t14,1.2899708590987434e-9
t15,1.3004672271846147e-9
t16,1.2890043790591454e-9
t17,1.2963132127891172e-9
t18,1.3023508865251034e-9
t19,1.3138073092473796e-9
t20,1.3179404221970758e-9
t21,1.3019877717762903e-9
t22,1.29938390469198e-9
t23,1.2570202330584754e-9
t24,1.2375071003389913e-9
t25,1.0138081685685486e-9
t26,1.160739846287035e-9
t27,1.1390456828113939e-9
t28,1.130148108401664e-9
t29,9.510478611712734e-10
t30,1.1156460715192498e-9
t31,1.0815072518641808e-9
t32,1.0798961524805781e-9
t33,9.138256324018016e-10
t34,1.0576697173399794e-9
t35,1.0494155407332533e-9
t36,1.0305103702308746e-9
t37,9.028607224985879e-10
t38,1.020346190899408e-9
t39,1.0232583720159386e-9
t40,1.0280528229966575e-9
t41,8.670586247406176e-10
t42,1.015048043744089e-9
t43,1.0241659378970493e-9
t44,1.0352273464330722e-9
t45,8.759172366365631e-10
t46,1.0227554449175011e-9
t47,1.0326365641925426e-9
t48,1.046388169513648e-9
t49,8.991236608674993e-10
t50,1.0786951038289129e-9
t51,1.080975220403469e-9
t52,1.1143819091771917e-9
t53,9.654263833409796e-10
t54,1.157910242821807e-9
t55,1.1799135749042917e-9
t56,1.186379848792443e-9
t57,1.0202337675255276e-9
t58,1.220164416485283e-9
t59,1.2351578642469943e-9
t60,1.2546257316357931e-9
t61,1.0334843507136457e-9
t62,1.2547295290612878e-9
t63,1.2742705650537205e-9
t64,1.3298705164281745e-9
t65,1.1038938039218008e-9
t66,1.3317081133668528e-9
t67,1.3413846892093584e-9
t68,1.344268185781026e-9
t69,1.34523442116412e-9
t70,1.339267925114944e-9
t71,1.2847130961071174e-9
t72,1.2663595310683262e-9
t73,1.2526370707500306e-9
t74,1.3052414533579219e-9
t75,1.3435680052601333e-9
t76,1.307833451990216e-9
t77,1.3588545091171433e-9
t78,1.4079765573569502e-9
t79,1.461337987716617e-9
t80,1.3623358134554097e-9
t81,1.2896403296134183e-9
t82,1.058442808812996e-9
