Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,15538.567229964616,0.22874444343471165,6.124135104455897e6,0.0,6.139673900430305e6
t1,0.0,0.0,0.0,0.0,0.0,1.821206455267557e-6,1.757272025224865e-6,54.11983811458947,0.0,54.11984169306795
t2,0.0,0.0,0.0,0.0,0.0,1.8060761638042285e-6,1.7658936850321146e-6,54.53926758586938,0.0,54.53927115783923
t3,0.0,0.0,0.0,0.0,0.0,1.8110816340503195e-6,1.7620205264142096e-6,55.00876490915603,0.0,55.00876848225818
t4,0.0,0.0,0.0,0.0,0.0,1.7921200857613552e-6,1.7709502007369126e-6,55.22363690737707,0.0,55.22364047044736
t5,0.0,0.0,0.0,0.0,0.0,1.7700759285760073e-6,1.7802203036588286e-6,55.34578957594874,0.0,55.34579312624497
t6,0.0,0.0,0.0,0.0,0.0,1.8361925162253148e-6,1.7482690506782172e-6,56.73829184848296,0.0,56.738295432944525
t7,0.0,0.0,0.0,0.0,0.0,1.8304695895097978e-6,1.7567618575489763e-6,56.95876128249499,0.0,56.95876486972644
t8,0.0,0.0,0.0,0.0,0.0,1.8241488826057595e-6,1.7650016741543158e-6,57.15715387651909,0.0,57.15715746566965
t9,0.0,0.0,0.0,0.0,0.0,1.8147055193396905e-6,1.7734801231872108e-6,57.279416885393225,0.0,57.27942047357887
t10,0.0,0.0,0.0,0.0,0.0,1.8034054353330793e-6,1.7815995902911066e-6,57.35461158067161,0.0,57.354615165676634
t11,0.0,0.0,0.0,0.0,0.0,1.871956579638277e-6,1.7488479354991891e-6,58.54110112632996,0.0,58.541104747134476
t12,0.0,0.0,0.0,0.0,0.0,1.8680653219146643e-6,1.7565094527174691e-6,58.597332360688235,0.0,58.59733598526301
t13,0.0,0.0,0.0,0.0,0.0,1.8607285926450077e-6,1.7639552233565308e-6,58.676564854093314,0.0,58.676568478777135
t14,0.0,0.0,0.0,0.0,0.0,1.8440835282605164e-6,1.78343193689809e-6,58.97435713097362,0.0,58.974360758489084
t15,0.0,0.0,0.0,0.0,0.0,1.830215737463772e-6,1.7927367078627336e-6,59.12399989589961,0.0,59.12400351885206
t16,0.0,0.0,0.0,0.0,0.0,1.8869066424804208e-6,1.7592276725752786e-6,60.32119183010015,0.0,60.321195476234465
t17,0.0,0.0,0.0,0.0,0.0,1.8663205359367827e-6,1.7675194470053286e-6,60.13087281357731,0.0,60.1308764474173
t18,0.0,0.0,0.0,0.0,0.0,1.8443848099002473e-6,1.7713307013564767e-6,59.99112482490207,0.0,59.99112844061759
t19,0.0,0.0,0.0,0.0,0.0,1.8246362921900418e-6,1.776128201701178e-6,59.80038675635104,0.0,59.80039035711553
t20,0.0,0.0,0.0,0.0,0.0,1.8005522228835107e-6,1.7804552752469959e-6,59.56427704692143,0.0,59.56428062792894
t21,0.0,0.0,0.0,0.0,0.0,1.8333220182393892e-6,1.74520455883745e-6,60.477640187542086,0.0,60.47764376606866
t22,0.0,0.0,0.0,0.0,0.0,1.8008923679684828e-6,1.7501850585081257e-6,60.23216720269796,0.0,60.232170753775385
t23,0.0,0.0,0.0,0.0,0.0,1.7595770184563764e-6,1.7498816010908786e-6,60.05133572078847,0.0,60.05133923024709
t24,0.0,0.0,0.0,0.0,0.0,1.7395308397819173e-6,1.7490702774145987e-6,59.885427429120526,0.0,59.88543091772164
t25,0.0,0.0,0.0,0.0,0.0,1.5929811452231256e-6,1.7486452164521737e-6,59.705438712094065,0.0,59.705442053720425
t26,0.0,0.0,0.0,0.0,0.0,1.8126785979649908e-6,1.7243580876322138e-6,60.40398050773121,0.0,60.403984044767896
t27,0.0,0.0,0.0,0.0,0.0,1.8140691491051963e-6,1.7261498336612675e-6,59.99683847287444,0.0,59.99684201309342
t28,0.0,0.0,0.0,0.0,0.0,1.821784062983274e-6,1.7300689451604726e-6,61.299434514635145,0.0,61.29943806648815
t29,0.0,0.0,0.0,0.0,0.0,1.7721673882166954e-6,1.7290944762609443e-6,60.84105553098364,0.0,60.841059032245504
t30,0.0,0.0,0.0,0.0,0.0,1.8492093330727047e-6,1.7335215719323516e-6,60.331399200053234,0.0,60.33140278278414
t31,0.0,0.0,0.0,0.0,0.0,1.9313046120070217e-6,1.710058032568624e-6,61.10122314886344,0.0,61.10122679022608
t32,0.0,0.0,0.0,0.0,0.0,1.9359885802473203e-6,1.7130593686455964e-6,60.80390301068189,0.0,60.80390665972984
t33,0.0,0.0,0.0,0.0,0.0,1.9318503601393285e-6,1.7117881127943923e-6,60.75236312674371,0.0,60.75236677038219
t34,0.0,0.0,0.0,0.0,0.0,1.9460602736079576e-6,1.7251278773839435e-6,60.43671514107489,0.0,60.436718812263045
t35,0.0,0.0,0.0,0.0,0.0,1.9436384378846847e-6,1.731615979187753e-6,60.17092363719178,0.0,60.170927312446196
t36,0.0,0.0,0.0,0.0,0.0,1.979624369139664e-6,1.7053896905235692e-6,60.964837117958936,0.0,60.964840802973
t37,0.0,0.0,0.0,0.0,0.0,1.9701691361200534e-6,1.7407695502175606e-6,60.504458836862916,0.0,60.5044625478016
t38,0.0,0.0,0.0,0.0,0.0,1.9756842765399015e-6,1.7184768609664913e-6,60.289453178771694,0.0,60.28945687293283
t39,0.0,0.0,0.0,0.0,0.0,1.9728137009244002e-6,1.7254547162725332e-6,59.92460223963109,0.0,59.92460593789951
t40,0.0,0.0,0.0,0.0,0.0,1.965606972495224e-6,1.732755996618231e-6,59.43546392356446,0.0,59.43546762192743
t41,0.0,0.0,0.0,0.0,0.0,1.987447269142706e-6,1.6917079491886958e-6,60.257239810364396,0.0,60.25724348951962
t42,0.0,0.0,0.0,0.0,0.0,1.9900955350627675e-6,1.7136340555882355e-6,59.51630858994924,0.0,59.51631229367883
t43,0.0,0.0,0.0,0.0,0.0,1.9839100322623555e-6,1.7186152461971787e-6,59.246255254126076,0.0,59.24625895665135
t44,0.0,0.0,0.0,0.0,0.0,1.9786508746583205e-6,1.7242115356929458e-6,58.9125343251989,0.0,58.912538028061306
t45,0.0,0.0,0.0,0.0,0.0,1.9741860475626115e-6,1.715339338482494e-6,58.62901022368344,0.0,58.62901391320882
t46,0.0,0.0,0.0,0.0,0.0,2.0047107474269514e-6,1.7057743568913023e-6,59.20284230286489,0.0,59.20284601334999
t47,0.0,0.0,0.0,0.0,0.0,1.9999690826411673e-6,1.7100348905545782e-6,58.79422406161448,0.0,58.794227771618445
t48,0.0,0.0,0.0,0.0,0.0,1.9949352086643017e-6,1.7147094500327006e-6,58.36690058105754,0.0,58.3669042907022
t49,0.0,0.0,0.0,0.0,0.0,1.9873571333288047e-6,1.7085290824704657e-6,57.97893988837759,0.0,57.9789435842638
t50,0.0,0.0,0.0,0.0,0.0,1.98276989638332e-6,1.7251471375740512e-6,57.181876957742226,0.0,57.18188066565926
t51,0.0,0.0,0.0,0.0,0.0,2.003460375160797e-6,1.7032089442525269e-6,57.716149065135134,0.0,57.71615277180445
t52,0.0,0.0,0.0,0.0,0.0,1.9916956144320837e-6,1.7098371365271778e-6,57.03172099887303,0.0,57.031724700405775
t53,0.0,0.0,0.0,0.0,0.0,1.987787184391498e-6,1.7143566928971545e-6,56.59003154979853,0.0,56.59003525194241
t54,0.0,0.0,0.0,0.0,0.0,1.958706615437842e-6,1.7247441019214583e-6,55.85324972579619,0.0,55.8532534092469
t55,0.0,0.0,0.0,0.0,0.0,1.927275799976037e-6,1.7319703040790182e-6,55.12518822163862,0.0,55.12519188088473
t56,0.0,0.0,0.0,0.0,0.0,1.9570548706629467e-6,1.7137610995340922e-6,55.62200679703634,0.0,55.62201046785231
t57,0.0,0.0,0.0,0.0,0.0,1.8837947811700485e-6,1.755520430233182e-6,55.041211199301294,0.0,55.041214838616504
t58,0.0,0.0,0.0,0.0,0.0,1.9191172867986303e-6,1.730147979134645e-6,54.14469228845748,0.0,54.144695937722744
t59,0.0,0.0,0.0,0.0,0.0,1.8736407332229458e-6,1.7377123616005639e-6,53.3146857761024,0.0,53.314689387455495
t60,0.0,0.0,0.0,0.0,0.0,1.8431744745529079e-6,1.7438598341549345e-6,52.3440018608768,0.0,52.34400544791111
t61,0.0,0.0,0.0,0.0,0.0,1.7763832422777648e-6,1.7243199119824607e-6,52.81826583994807,0.0,52.81826934065123
t62,0.0,0.0,0.0,0.0,0.0,1.8823451346426526e-6,1.7251173517454506e-6,51.28665569604442,0.0,51.2866593035069
t63,0.0,0.0,0.0,0.0,0.0,1.8503750345079648e-6,1.7312333694625269e-6,46.720085616627344,0.0,46.72008919823575
t64,0.0,0.0,0.0,0.0,0.0,1.84459732200519e-6,1.7412800356040118e-6,46.20401687052747,0.0,46.20402045640483
t65,0.0,0.0,0.0,0.0,0.0,1.7259463748474185e-6,1.750068448519765e-6,45.48575975161951,0.0,45.48576322763434
t66,0.0,0.0,0.0,0.0,0.0,1.8829710999451e-6,1.7175861091296547e-6,45.502539516602205,0.0,45.50254311715941
t67,0.0,0.0,0.0,0.0,0.0,1.8615156317112363e-6,1.7269081202258691e-6,43.76442962814037,0.0,43.76443321656412
t68,0.0,0.0,0.0,0.0,0.0,1.8412466250178481e-6,1.7314624687176392e-6,41.98934519248303,0.0,41.98934876519212
t69,0.0,0.0,0.0,0.0,0.0,1.8214685295808595e-6,1.7360442311030954e-6,40.228048244611365,0.0,40.22805180212413
t70,0.0,0.0,0.0,0.0,0.0,1.8010975940465946e-6,1.7427340003090749e-6,38.323016606473324,0.0,38.32302015030492
t71,0.0,0.0,0.0,0.0,0.0,1.8477009657529455e-6,1.7087199863725093e-6,38.18782161234596,0.0,38.187825168766906
t72,0.0,0.0,0.0,0.0,0.0,1.8418157183328595e-6,1.7154636580863061e-6,36.320367569448834,0.0,36.32037112672821
t73,0.0,0.0,0.0,0.0,0.0,1.839323889764258e-6,1.7122784852637854e-6,36.22650034923874,0.0,36.22650390084112
t74,0.0,0.0,0.0,0.0,0.0,1.829981979998473e-6,1.714927163237066e-6,32.88321654526077,0.0,32.88322009016992
t75,0.0,0.0,0.0,0.0,0.0,1.8299016612242812e-6,1.7128217270232511e-6,30.041084799216353,0.0,30.04108834193974
t76,0.0,0.0,0.0,0.0,0.0,1.8574707021149189e-6,1.7087155932132577e-6,28.82613662602566,0.0,28.82614019221196
t77,0.0,0.0,0.0,0.0,0.0,1.8031163455677467e-6,1.7072914583238282e-6,26.51862474243667,0.0,26.518628252844472
t78,0.0,0.0,0.0,0.0,0.0,1.7922941626543929e-6,1.7052000254209826e-6,24.76136102618849,0.0,24.761364523682676
t79,0.0,0.0,0.0,0.0,0.0,1.7111626440769536e-6,1.7066984838716687e-6,23.424799370473014,0.0,23.42480278833414
t80,0.0,0.0,0.0,0.0,0.0,2.0147164134133416e-6,1.7780732211697993e-6,21.766846767761763,0.0,21.7668505605514
t81,0.0,0.0,0.0,0.0,0.0,2.0722689290776906e-6,1.6879251498496721e-6,21.1328923624591,0.0,21.13289612265318
t82,0.0,0.0,0.0,0.0,0.0,2.0451743073396234e-6,1.676505033655838e-6,23.61732339376059,0.0,23.61732711543993
t83,0.0,0.0,0.0,0.0,0.0,2.03874234916263e-6,1.7488417344509752e-6,22.923829635893156,0.0,22.923833423477237
t84,0.0,0.0,0.0,0.0,0.0,2.0333716769259904e-6,1.7536054436005917e-6,22.144257768414263,0.0,22.14426155539138
t85,0.0,0.0,0.0,0.0,0.0,2.034913065841923e-6,1.7220966845934885e-6,22.32974354642219,0.0,22.32974730343194
t86,0.0,0.0,0.0,0.0,0.0,1.9299703398743432e-6,1.729395476596647e-6,21.275582690473737,0.0,21.27558634983955
t87,0.0,0.0,0.0,0.0,0.0,1.869939912207413e-6,1.735066726213401e-6,21.66639260459461,0.0,21.666396209601245
t88,0.0,0.0,0.0,0.0,0.0,1.894104117457548e-6,1.70744437004281e-6,21.701916610745148,0.0,21.701920212293633
t89,0.0,0.0,0.0,0.0,0.0,1.854581903394498e-6,1.7174427864576647e-6,22.7442501104432,0.0,22.74425368246789
t90,0.0,0.0,0.0,0.0,0.0,1.8353363337666322e-6,1.7294731678317236e-6,23.908482697949047,0.0,23.90848626275855
t91,0.0,0.0,0.0,0.0,0.0,1.8250407733885813e-6,1.7070394257331999e-6,26.836765138311296,0.0,26.836768670391496
t92,0.0,0.0,0.0,0.0,0.0,1.807538357061277e-6,1.7155523492129682e-6,28.397928744492006,0.0,28.397932267582714
t93,0.0,0.0,0.0,0.0,0.0,1.7509089386468973e-6,1.7213267167945447e-6,30.58351909499272,0.0,30.58352256722838
t94,0.0,0.0,0.0,0.0,0.0,1.697019935284529e-6,1.731100660229041e-6,32.64240702487818,0.0,32.642410452998774
t95,0.0,0.0,0.0,0.0,0.0,1.7523855570989298e-6,1.7366205918777365e-6,34.840843556572715,0.0,34.84084704557886
t96,0.0,0.0,0.0,0.0,0.0,1.7622853459629343e-6,1.7165834166870278e-6,38.81351537483166,0.0,38.81351885370042
t97,0.0,0.0,0.0,0.0,0.0,1.7395135551020867e-6,1.7224602053999274e-6,40.686697897639064,0.0,40.686701359612826
t98,0.0,0.0,0.0,0.0,0.0,1.7547671677240162e-6,1.729773162776448e-6,41.358804722373165,0.0,41.358808206913494
t99,0.0,0.0,0.0,0.0,0.0,1.7070057524119655e-6,1.7360455860052242e-6,41.759869588606435,0.0,41.75987303165777
