Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,0
AnnualSum,489129.58195901325,1.703821129437988e6,0.0,159327.7304069762,0.0,0.0,0.0,0.0,0.0,2.3522784418039774e6
t1,7.206568464504718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.206568464504718
t2,7.237070483047697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.237070483047697
t3,7.267572491213647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.267572491213647
t4,7.298074510399316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.298074510399316
t5,7.328576518707545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.328576518707545
t6,7.359078537386716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.359078537386716
t7,7.389580545599208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.389580545599208
t8,7.420082565049596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.420082565049596
t9,7.450584573287759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.450584573287759
t10,7.481086581284815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.481086581284815
t11,7.5115885999249725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5115885999249725
t12,7.542090619340581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.542090619340581
t13,7.572592627314056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.572592627314056
t14,7.067197848676304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.067197848676304
t15,6.561803071095123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.561803071095123
t16,6.056408292335422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.056408292335422
t17,5.5510135269530645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5510135269530645
t18,5.045618749580822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.045618749580822
t19,4.540223972572387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.540223972572387
t20,4.0348291960340985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0348291960340985
t21,3.529434419345334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.529434419345334
t22,3.0240396430484706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0240396430484706
t23,2.518644878926396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.518644878926396
t24,2.013250102186019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013250102186019
t25,1.5078553266280597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5078553266280597
t26,1.4187444414150796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4187444414150796
t27,1.3296335578466254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3296335578466254
t28,1.2405226741717923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2405226741717923
t29,1.1514117921651144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1514117921651144
t30,1.0623009068791915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0623009068791915
t31,0.9731900230497446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9731900230497446
t32,0.8840791278770972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8840791278770972
t33,0.7949682456034598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7949682456034598
t34,0.7058573603730905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7058573603730905
t35,0.6167464766576984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6167464766576984
t36,0.5276355925296595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5276355925296595
t37,0.4385247101482441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4385247101482441
t38,0.44683863407067603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44683863407067603
t39,0.4551525477585299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4551525477585299
t40,0.4634664728259228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4634664728259228
t41,0.4717803874535667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4717803874535667
t42,0.4800943113101785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4800943113101785
t43,0.488408224941312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488408224941312
t44,0.4967221385627727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4967221385627727
t45,0.505036064818603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505036064818603
t46,0.5133499884258557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5133499884258557
t47,0.5216639020210618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5216639020210618
t48,0.5299778269417692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5299778269417692
t49,0.5382917419383804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5382917419383804
t50,0.6993204785177111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6993204785177111
t51,0.8603492048709758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8603492048709758
t52,1.0213779428077878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0213779428077878
t53,1.1824066709330336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1824066709330336
t54,1.3434354071256014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3434354071256014
t55,1.5044641449158107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5044641449158107
