Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,0
AnnualSum,1116.8077056842583,221760.45430952034,779721.2754186686,37848.74908226717,11080.204741759357,13151.843302811161,0.19360929776902058,3.9194464668099424e6,6.505088470790232e6,1.1489214465770183e7
t1,9.004889978240974e-8,0.0,0.0,0.0,1.0457355972045676e-6,1.5172563954613045e-6,1.4554440821327693e-6,34.566825919552,60.52138341500691,95.08821344304388
t2,9.089161702040756e-8,0.0,0.0,0.0,8.784591522482477e-7,1.5019173998949668e-6,1.4501260093730326e-6,34.76004411153335,60.52138341490948,95.28143144783701
t3,9.073129496393981e-8,0.0,0.0,0.0,8.704108473533028e-7,1.5011933900277681e-6,1.45825629632253e-6,34.99804189671708,60.52138341491442,95.51942923222333
t4,9.093132075283794e-8,0.0,0.0,0.0,8.79099151993289e-7,1.5022710391551257e-6,1.451660570370161e-6,35.00697334154262,60.52138341488922,95.52836068039392
t5,9.062872068978888e-8,0.0,0.0,0.0,1.0478072157497042e-6,1.5069723567100144e-6,1.4445396370986088e-6,34.992369901276355,60.52138341504087,95.51375740626517
t6,9.133524577272585e-8,0.0,0.0,0.0,8.823780638079186e-7,1.4735544317777572e-6,1.4733191784014951e-6,36.21021865725051,60.5213834151603,96.73160599299773
t7,9.112838155089464e-8,0.0,0.0,0.0,8.722852559444792e-7,1.501219471340667e-6,1.4661364222412003e-6,36.262644433853495,60.52138341526141,96.78403177988443
t8,9.10636887381906e-8,0.0,0.0,0.0,8.805963483757516e-7,1.521106043415381e-6,1.4593677856121406e-6,36.336442898353276,60.52138341499826,96.8578302654854
t9,9.083115444166194e-8,0.0,0.0,0.0,1.0498117588829706e-6,1.5308318761854941e-6,1.452268384103986e-6,36.36407728467765,60.52138341512206,96.88546482354289
t10,9.083972622738687e-8,0.0,0.0,0.0,8.821259658469641e-7,1.5540635898197162e-6,1.4457543114040338e-6,36.30806793778962,60.52138341500742,96.82945532558062
t11,9.158526494730071e-8,0.0,0.0,0.0,8.728871825141363e-7,1.5085774324212197e-6,1.4745285792938845e-6,37.43043049452773,60.52138341501477,97.95181785712096
t12,9.155535310628994e-8,0.0,0.0,0.0,8.811433608656826e-7,1.5373801313863609e-6,1.46728389997725e-6,37.36833201303145,60.52138341491089,97.88971940530509
t13,9.158750438309185e-8,0.0,0.0,0.0,1.051094486178369e-6,1.5500224579157273e-6,1.4596936778852219e-6,37.31777714151022,60.5213834149987,97.83916470890705
t14,9.251927565764906e-8,0.0,0.0,0.0,8.807461954306331e-7,1.555088568661745e-6,1.441166299468796e-6,37.564152204127325,60.52138341477001,98.08553958841767
t15,9.239447523836577e-8,0.0,0.0,0.0,8.697830468706422e-7,1.5638040091146855e-6,1.4334639818319939e-6,37.61302232455989,60.521383414791835,98.13440969879724
t16,9.344819437188503e-8,0.0,0.0,0.0,8.787335034051986e-7,1.5063255215580346e-6,1.4609149891655565e-6,38.823575681921575,60.52138341498729,99.34496303633108
t17,9.250463770162066e-8,0.0,0.0,0.0,1.0498209868094486e-6,1.5224200351699935e-6,1.4521910870301338e-6,38.64544815559865,60.521383414858995,99.16683568739438
t18,9.217089923320912e-8,0.0,0.0,0.0,8.784401805796008e-7,1.5328563859771781e-6,1.4434930633976188e-6,38.48572295871415,60.52138341497853,99.00711032065321
t19,9.147335226740124e-8,0.0,0.0,0.0,8.661928133471257e-7,1.531525824859664e-6,1.4423586187121548e-6,38.27456686062235,60.521383414891545,98.79595420706451
t20,9.030565911128178e-8,0.0,0.0,0.0,8.727677717965188e-7,1.5342359652027308e-6,1.441486926287629e-6,37.953422914308184,60.521383414886145,98.47481026799065
t21,8.928844207398254e-8,0.0,0.0,0.0,1.0457948302259133e-6,1.4632073633230875e-6,1.4734840737889789e-6,38.82229353944304,60.521383414924934,99.34368102614268
t22,8.787932395787651e-8,0.0,0.0,0.0,8.757375067685047e-7,1.4816678451037125e-6,1.4705728480500649e-6,38.48429505303032,60.521383414906175,99.00568238379402
t23,8.567548480294197e-8,0.0,0.0,0.0,8.631002963735581e-7,1.479671871333164e-6,1.469230761702467e-6,38.28556386765293,60.52138341484646,98.8069511801778
t24,8.47098805456571e-8,0.0,0.0,0.0,8.691659073741522e-7,1.5200614204501517e-6,1.4662221156354531e-6,38.10528121273999,60.521383414828705,98.62666856772802
t25,8.256185824395503e-8,0.0,0.0,0.0,1.0330863002124591e-6,1.4305004433612593e-6,1.466968313220424e-6,37.965561295765845,60.52138341481472,98.48694872369748
t26,8.393845236831374e-8,0.0,0.0,0.0,8.723470295061694e-7,1.551503678189659e-6,1.4891964398499086e-6,38.67327631304597,60.521383414771094,99.19466372480267
t27,8.367052101328319e-8,0.0,0.0,0.0,8.616281030692192e-7,1.593576429940161e-6,1.4854619972613403e-6,38.25283296382742,60.521383414921765,98.77422040308625
t28,8.350896812752658e-8,0.0,0.0,0.0,8.67191502996813e-7,1.6170274371136193e-6,1.479899447965565e-6,39.49189110398319,60.52138341482468,100.01327856643523
t29,8.167926039461673e-8,0.0,0.0,0.0,1.0261476249944626e-6,1.4876266552381488e-6,1.4797963414753091e-6,39.02902406210898,60.52138341485579,99.55041155221465
t30,8.31287974398328e-8,0.0,0.0,0.0,8.673886666224983e-7,1.6480900055878678e-6,1.470580838475471e-6,38.48667682867575,60.52138341493218,99.00806431279624
