BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,7.556615962047922e6,3.9325985037220498e6,-6.139673900430295e6,0.0,0.0,0.0,4.869173029354651e-7,0.0,0.0,-5.34954056538688e6
t1,60.5213845507914,34.56682889225248,-54.11984169306795,0.0,0.0,0.0,0.0,0.0,0.0,-40.96837175
t2,60.52138438426025,34.760047063576756,-54.53927115783923,0.0,0.0,0.0,0.0,0.0,0.0,-40.74216029
t3,60.52138437605656,34.99804485616677,-55.00876848225819,0.0,0.0,0.0,0.0,0.0,0.0,-40.51066075
t4,60.52138438491969,35.006976295474225,-55.22364047044736,0.0,0.0,0.0,0.0,0.0,0.0,-40.30472021
t5,60.52138455347681,34.99237285278835,-55.34579312624498,0.0,0.0,0.0,0.0,0.0,0.0,-40.16796428
t6,60.521384388873614,36.210221604124115,-56.738295432944525,0.0,0.0,0.0,0.0,0.0,0.0,-39.99331056
t7,60.52138437867505,36.26264740120939,-56.95876486972644,0.0,0.0,0.0,0.0,0.0,0.0,-39.82526691
t8,60.5213843866583,36.33644587882711,-57.15715746566965,0.0,0.0,0.0,0.0,0.0,0.0,-39.7006728
t9,60.521384555764975,36.36408026777791,-57.27942047357887,0.0,0.0,0.0,0.0,0.0,0.0,-39.60604435
t10,60.521384387973114,36.308070937607525,-57.354615165676634,0.0,0.0,0.0,0.0,0.0,0.0,-39.47484016
t11,60.521384379487216,37.43043347763374,-58.541104747134476,0.0,0.0,0.0,0.0,0.0,0.0,-39.41071311
t12,60.52138438760961,37.36833501769548,-58.59733598526301,0.0,0.0,0.0,0.0,0.0,0.0,-39.29238342
t13,60.52138455768069,37.31778015122636,-58.67656847877713,0.0,0.0,0.0,0.0,0.0,0.0,-39.16259623
t14,60.52138438803548,37.564155200382196,-58.97436075848909,0.0,0.0,0.0,0.0,0.0,0.0,-39.11117883
t15,60.52138437696936,37.613025321827884,-59.12400351885206,0.0,0.0,0.0,0.0,0.0,0.0,-39.01040618
t16,60.521384387168986,38.82357864916209,-60.321195476234465,0.0,0.0,0.0,0.0,0.0,0.0,-39.02376756
t17,60.52138455718462,38.64545113020977,-60.13087644741729,0.0,0.0,0.0,0.0,0.0,0.0,-39.03595924
t18,60.52138438558961,38.4857259350636,-59.99112844061759,0.0,0.0,0.0,0.0,0.0,0.0,-39.01598188
t19,60.52138437255771,38.27456983450679,-59.80039035711553,0.0,0.0,0.0,0.0,0.0,0.0,-38.99556385
t20,60.52138437795958,37.95342589003108,-59.56428062792893,0.0,0.0,0.0,0.0,0.0,0.0,-38.91052964
t21,60.52138455000821,38.822296476134476,-60.47764376606866,0.0,0.0,0.0,0.0,0.0,0.0,-38.86603726
t22,60.521384378523,38.484298005271015,-60.232170753775385,0.0,0.0,0.0,0.0,0.0,0.0,-38.77351163
t23,60.52138436362224,38.285566816555566,-60.051339230247095,0.0,0.0,0.0,5.7472153614937404e-12,0.0,0.0,-38.75561195
t24,60.521384368704496,38.10528419902352,-59.88543091772164,0.0,0.0,0.0,5.7495713171739215e-12,0.0,0.0,-38.74123765
t25,60.52138453046288,37.9655641932346,-59.705442053720425,0.0,0.0,0.0,5.932486038784672e-12,0.0,0.0,-38.78150667
t26,60.52138437105658,38.67327935374608,-60.403984044767896,0.0,0.0,0.0,5.721291778219973e-12,0.0,0.0,-38.79067968
t27,60.52138436022039,38.25283604286585,-59.99684201309342,0.0,0.0,0.0,5.715028120303347e-12,0.0,0.0,-38.77737839
t28,60.52138436552515,39.491894200910075,-61.29943806648815,0.0,0.0,0.0,5.711534553590127e-12,0.0,0.0,-38.7138405
t29,60.52138452268267,39.029027029531974,-60.841059032245504,0.0,0.0,0.0,5.9131653364126526e-12,0.0,0.0,-38.70935252
t30,60.52138436544965,38.486679947346595,-60.33140278278414,0.0,0.0,0.0,5.7053634094962945e-12,0.0,0.0,-38.67666153
