Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal
Zone,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,2353.3072178781745,18.387530006625628,6.686167734219912e-5,64.44107871421657,0.0
t2,0.0,0.0,0.0,0.0,2353.117305298102,18.38753003569716,6.691007566053638e-5,64.62243764349554,0.0
t3,0.0,0.0,0.0,0.0,2352.9205315396775,18.38753007016032,6.694607335318253e-5,64.88189719992401,0.0
t4,0.0,0.0,0.0,0.0,2352.7155977528128,18.387530086007498,6.69974556135451e-5,65.3020900488974,0.0
t5,0.0,0.0,0.0,0.0,2352.505032929713,18.38753007646392,6.706510651345621e-5,65.83825933306095,0.0
t6,0.0,0.0,0.0,0.0,2352.2808320042013,18.387530164071435,6.707208015051333e-5,65.96611949028419,0.0
t7,0.0,0.0,0.0,0.0,2352.0502295159995,18.38753021634419,6.709467455021483e-5,66.20482297396379,0.0
t8,0.0,0.0,0.0,0.0,2351.8116531170517,18.387530241185026,6.713220675824969e-5,66.50999245223747,0.0
t9,0.0,0.0,0.0,0.0,2351.5675620557663,18.38753024676641,6.718525588016455e-5,66.87842935470499,0.0
t10,0.0,0.0,0.0,0.0,2351.3098557832604,18.387530216699858,6.72528554256193e-5,67.37703369700525,0.0
t11,0.0,0.0,0.0,0.0,2351.045854372501,18.387530299141833,6.725904707052433e-5,67.42187647990956,0.0
t12,0.0,0.0,0.0,0.0,2350.774028764334,18.387530346698075,6.728016199937227e-5,67.58932735217084,0.0
t13,0.0,0.0,0.0,0.0,2350.4966800818775,18.387530373761358,6.731637724194156e-5,67.8833578085577,0.0
t14,0.0,0.0,0.0,0.0,2350.2093482647892,18.38753038000454,6.739064951576954e-5,68.10765325817745,0.0
t15,0.0,0.0,0.0,0.0,2349.91895624554,18.387530364016055,6.748185426327283e-5,68.39057526919727,0.0
t16,0.0,0.0,0.0,0.0,2349.624195205764,18.387530462659818,6.751239264686214e-5,68.11805913087542,0.0
t17,0.0,0.0,0.0,0.0,2349.3268531040167,18.387530524869252,6.756004200191873e-5,67.91594718723945,0.0
t18,0.0,0.0,0.0,0.0,2349.0198517554404,18.38753055555503,6.762065204782145e-5,67.80169334876842,0.0
t19,0.0,0.0,0.0,0.0,2348.70997333112,18.387530569518436,6.768690888609071e-5,67.79879417807132,0.0
t20,0.0,0.0,0.0,0.0,2348.396010584234,18.387530558378693,6.775809412378792e-5,68.00843717272323,0.0
t21,0.0,0.0,0.0,0.0,2348.0792436571196,18.387530654592165,6.77620691942347e-5,67.8626823984531,0.0
t22,0.0,0.0,0.0,0.0,2347.7525376963213,18.387530700904207,6.777379064899474e-5,67.9430473443223,0.0
t23,0.0,0.0,0.0,0.0,2347.42301360623,18.387530711376073,6.77866917636261e-5,68.1271610863869,0.0
t24,0.0,0.0,0.0,0.0,2347.089430785804,18.38753065950377,6.780211672793942e-5,68.40390151375834,0.0
t25,0.0,0.0,0.0,0.0,2346.754585484219,18.387530570154638,6.781633955183583e-5,68.7113008637263,0.0
t26,0.0,0.0,0.0,0.0,2346.4143042646224,18.38753055140191,6.778405721001192e-5,68.69288987860381,0.0
t27,0.0,0.0,0.0,0.0,2346.0769047571134,18.387530488198166,6.775748248793286e-5,68.87431945211898,0.0
t28,0.0,0.0,0.0,0.0,2345.741611889675,18.387530406600987,6.774055956099618e-5,68.5490031838481,0.0
t29,0.0,0.0,0.0,0.0,2345.4124395406207,18.38753042000949,6.772285219494397e-5,68.4355675309988,0.0
t30,0.0,0.0,0.0,0.0,2345.076931951014,18.387530329879898,6.771923460799622e-5,68.5923408551967,0.0
t31,0.0,0.0,0.0,0.0,2344.7436637359565,18.387530327101103,6.766723391694041e-5,68.41546423724286,0.0
t32,0.0,0.0,0.0,0.0,2344.4124641213607,18.387530309670765,6.76238175458598e-5,68.37158038162787,0.0
t33,0.0,0.0,0.0,0.0,2344.0884452566916,18.387530345825,6.75783873867311e-5,68.29720765857982,0.0
t34,0.0,0.0,0.0,0.0,2343.756852202653,18.387530314439815,6.755915794183605e-5,68.30017762901042,0.0
t35,0.0,0.0,0.0,0.0,2343.427573738043,18.387530273985853,6.755243765334148e-5,68.42040488478261,0.0
t36,0.0,0.0,0.0,0.0,2343.0999979412604,18.38753027419933,6.749446807060838e-5,68.13364997027473,0.0
t37,0.0,0.0,0.0,0.0,2342.780667192277,18.387530306270346,6.745060476687555e-5,67.99498000220228,0.0
