Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal
Zone,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,-0.014349568876065852,-0.011789578613886017,7.858636698081304e-9,0.0
t2,0.0,0.0,0.0,0.0,0.0,-0.014349569968245665,-0.012708858113581549,7.858578754288245e-9,0.0
t3,0.0,0.0,0.0,0.0,0.0,-0.014349571091580653,-0.013616270619421429,7.860084325568604e-9,0.0
t4,0.0,0.0,0.0,0.0,0.0,-0.014349572226985349,-0.014520472941817547,7.816616331952629e-9,0.0
t5,0.0,0.0,0.0,0.0,0.0,-0.014349573385212729,-0.015424782086455464,7.689880804615208e-9,0.0
t6,0.0,0.0,0.0,0.0,0.0,-0.014349568862355236,-0.01185520012958497,8.60204044430941e-9,0.0
t7,0.0,0.0,0.0,0.0,0.0,-0.014349570010896482,-0.012752480760532843,8.625002609078599e-9,0.0
t8,0.0,0.0,0.0,0.0,0.0,-0.014349571146480925,-0.013645635295020811,8.614419559180064e-9,0.0
t9,0.0,0.0,0.0,0.0,0.0,-0.014349572279852289,-0.014537138769317911,8.543057482174148e-9,0.0
t10,0.0,0.0,0.0,0.0,0.0,-0.014349573418807495,-0.01542853494471757,8.379308584372903e-9,0.0
t11,0.0,0.0,0.0,0.0,0.0,-0.014349568854364917,-0.011835777039602834,9.240277273156366e-9,0.0
t12,0.0,0.0,0.0,0.0,0.0,-0.01434956997560298,-0.012721483540996639,9.232924575877458e-9,0.0
t13,0.0,0.0,0.0,0.0,0.0,-0.014349571083508228,-0.013601756088750052,9.231591572476435e-9,0.0
t14,0.0,0.0,0.0,0.0,0.0,-0.014349572193995267,-0.014476820863280927,9.213160776935995e-9,0.0
t15,0.0,0.0,0.0,0.0,0.0,-0.01434957332564409,-0.01534800734827598,9.035869219870541e-9,0.0
t16,0.0,0.0,0.0,0.0,0.0,-0.014349568764266291,-0.011720568549461907,9.85184747078865e-9,0.0
t17,0.0,0.0,0.0,0.0,0.0,-0.014349569920095279,-0.012559912726400477,9.761597849131302e-9,0.0
t18,0.0,0.0,0.0,0.0,0.0,-0.014349571088518464,-0.013510343195603694,9.636443306657919e-9,0.0
t19,0.0,0.0,0.0,0.0,0.0,-0.0143495722799206,-0.014431109803542607,9.452310145566489e-9,0.0
t20,0.0,0.0,0.0,0.0,0.0,-0.014349573501357777,-0.015332227389336994,9.17350369003186e-9,0.0
t21,0.0,0.0,0.0,0.0,0.0,-0.014349569058111331,-0.01172446756345478,9.954034596962557e-9,0.0
t22,0.0,0.0,0.0,0.0,0.0,-0.014349570331927543,-0.012618223470230191,9.860707302600223e-9,0.0
t23,0.0,0.0,0.0,0.0,0.0,-0.014349571622220614,-0.013227169697674552,9.758942443488403e-9,0.0
t24,0.0,0.0,0.0,0.0,0.0,-0.014349572905283638,-0.01384783212908704,9.588913363717598e-9,0.0
t25,0.0,0.0,0.0,0.0,0.0,-0.014349574282577863,-0.014504644585923704,9.311364876239492e-9,0.0
t26,0.0,0.0,0.0,0.0,0.0,-0.014349569915492251,-0.010634653193857892,1.0022403359344112e-8,0.0
t27,0.0,0.0,0.0,0.0,0.0,-0.01434957118767862,-0.01133195953038766,9.85428733339434e-9,0.0
t28,0.0,0.0,0.0,0.0,0.0,-0.014349572414390327,-0.012034343389800046,9.529031158407075e-9,0.0
t29,0.0,0.0,0.0,0.0,0.0,-0.01434957373810989,-0.012754795407402611,9.258001835727302e-9,0.0
