Constraint,CapRes_1
t1,1.9419127684333394e-10
t2,1.9906886159579997e-10
t3,1.9268391196291544e-10
t4,1.9490817233263624e-10
t5,1.9645452134184197e-10
t6,1.942409824571149e-10
t7,1.950196516710907e-10
t8,1.9595669820995982e-10
t9,1.9712255469097372e-10
t10,1.9775629212923082e-10
t11,1.952871280440315e-10
t12,1.962297794493946e-10
t13,1.9745469501319772e-10
t14,2.0777233846567233e-10
t15,2.0918757845508447e-10
t16,2.0829261066793811e-10
t17,2.096208754881425e-10
t18,2.106190149543996e-10
t19,2.120748272170357e-10
t20,2.124964856185897e-10
t21,2.1061803654902942e-10
t22,2.0998788099012504e-10
t23,2.0530246680798097e-10
t24,2.0339553443732735e-10
t25,1.838950046920152e-10
t26,1.965827348172758e-10
t27,1.940867705042579e-10
t28,1.9244047155865416e-10
t29,1.7760303956010952e-10
t30,1.8806137881488954e-10
t31,1.8449917318106794e-10
t32,1.8291372321065137e-10
t33,1.7031170991521111e-10
t34,1.7901997618225436e-10
t35,1.7745238131111523e-10
t36,1.7566073838521418e-10
t37,1.668937837613306e-10
t38,1.7373904452914726e-10
t39,1.7385599723778342e-10
t40,1.743204716515297e-10
t41,1.639671301949935e-10
t42,1.7389774856508043e-10
t43,1.7439856099964253e-10
t44,1.7523558939703944e-10
t45,1.6493211449047068e-10
t46,1.7563263491958907e-10
t47,1.76923955540306e-10
t48,1.7891014781146105e-10
t49,1.7002241809278109e-10
t50,1.8410957137505857e-10
t51,1.8748005282116855e-10
t52,1.9190424905127695e-10
t53,1.8153337116507287e-10
t54,1.9839491857799996e-10
t55,2.0151398636180368e-10
t56,2.030315334570635e-10
t57,1.884969613192553e-10
t58,2.0649198770811553e-10
t59,2.0783041462737373e-10
t60,2.0966614655085066e-10
t61,1.9155041588358134e-10
t62,2.149111013020794e-10
t63,2.1687475483533652e-10
t64,2.19183604732933e-10
t65,1.9981950837948773e-10
t66,2.2004338563558597e-10
t67,2.2217638125530583e-10
t68,2.2332599760041481e-10
t69,2.2432067975379278e-10
t70,2.249487616665716e-10
t71,2.2110405563070569e-10
t72,2.2048227937258037e-10
t73,2.2266915023997136e-10
t74,2.3066795578855247e-10
t75,2.3755549581903846e-10
t76,2.3176991745734505e-10
t77,2.3811619513534945e-10
t78,2.4523930578836095e-10
t79,2.5426070039068244e-10
t80,2.4811559458089554e-10
t81,2.2994465214683072e-10
t82,2.1358528662542993e-10
t83,2.1205795049362368e-10
t84,2.1188052853004458e-10
t85,2.099719679880527e-10
t86,2.2289747011718588e-10
t87,2.3665599213947263e-10
t88,2.4113524419032757e-10
t89,2.4937500511802865e-10
t90,2.866116497369549e-10
t91,2.835073493751166e-10
t92,2.8903204275899737e-10
t93,2.6434815734280966e-10
t94,2.9248400119137504e-10
t95,2.9534839369973407e-10
t96,2.89647699546148e-10
t97,2.6980168121809694e-10
t98,2.910546708566492e-10
t99,2.878472611394142e-10
t100,2.862277353443821e-10
t101,2.5432792603435766e-10
t102,2.6937062740991344e-10
t103,2.645368688955091e-10
t104,2.626632201183998e-10
t105,2.3932792423725583e-10
t106,2.4945051230407106e-10
t107,2.461178214780637e-10
t108,2.4396812834555397e-10
t109,2.2141749640940767e-10
t110,2.4641629412750886e-10
t111,2.430883869642353e-10
t112,2.464603042397319e-10
t113,2.2842213290373852e-10
t114,2.5378043274879317e-10
t115,2.5773100211563297e-10
t116,2.5410071370757435e-10
t117,2.3966306532275267e-10
t118,2.5784216352352773e-10
t119,2.598091146542017e-10
t120,2.6308073983472505e-10
t121,2.373324980380093e-10
t122,2.613195883737553e-10
t123,2.606559017342289e-10
t124,2.6093922850484257e-10
t125,2.3512877595520467e-10
t126,2.573843374915588e-10
t127,2.5738589570750706e-10
t128,2.563216303513816e-10
t129,2.2778378002719447e-10
t130,2.5420391544146617e-10
t131,2.479538547295631e-10
t132,2.4678837659610536e-10
t133,2.1827775247815614e-10
t134,2.477008143591678e-10
t135,2.49215799260885e-10
t136,2.443741142365472e-10
t137,2.249751535897852e-10
t138,2.467485165719013e-10
t139,2.4737770952625315e-10
t140,2.4996204912435913e-10
t141,2.199975743941634e-10
t142,2.480399890351173e-10
t143,2.500676188110062e-10
t144,2.530008940164074e-10
t145,2.263323414675156e-10
t146,2.5114701728763374e-10
t147,2.516824424067855e-10
t148,2.537235167917519e-10
t149,2.2643215902203193e-10
t150,2.570727899813181e-10
t151,2.5038685837450895e-10
t152,2.5190929952990436e-10
t153,2.2584897975968876e-10
t154,2.541791147027602e-10
t155,2.549123805612675e-10
t156,2.485712874131953e-10
t157,2.2389747077563278e-10
t158,2.5139229572431965e-10
t159,2.5165589040855234e-10
t160,2.5260487186107197e-10
t161,2.2128821762134123e-10
t162,2.4821729855271787e-10
t163,2.4826560113473335e-10
t164,2.4950584017102117e-10
t165,2.2029159857799576e-10
t166,2.442740231497195e-10
t167,2.4470856257857987e-10
t168,2.452736101356895e-10
t169,2.2296481120431055e-10
t170,2.449980081718363e-10
t171,2.3256695337294916e-10
t172,2.3055107927558138e-10
t173,2.3014837672444547e-10
t174,2.2876283801783292e-10
t175,2.290532156770578e-10
t176,2.2222439362948073e-10
t177,2.242628803040289e-10
t178,2.2559590453438604e-10
t179,2.270623453833214e-10
t180,2.287294665702487e-10
t181,2.2301354143709794e-10
t182,2.2695499478351135e-10
t183,2.2618209990091636e-10
t184,2.2382124174562626e-10
t185,2.225488219055487e-10
t186,2.154618980914912e-10
t187,2.158607590699468e-10
t188,2.149944010600103e-10
t189,2.1498911508782982e-10
t190,2.1461498079048768e-10
t191,2.09650124868445e-10
t192,2.0898173302208102e-10
t193,2.081667889295276e-10
t194,2.1242083249945888e-10
t195,2.2235627174360044e-10
t196,2.214517936706963e-10
t197,2.324158163795988e-10
t198,2.3779340931272097e-10
t199,2.4457739031434745e-10
t200,2.5213742222068377e-10
t201,2.515212389167742e-10
t202,2.597768960019278e-10
t203,2.662330757657068e-10
t204,2.5963785389823973e-10
t205,2.2487858264818868e-10
t206,2.2347249903412118e-10
t207,2.205327885857972e-10
t208,2.2232268380448362e-10
t209,2.224761837871646e-10
t210,2.1834022362798854e-10
t211,2.511920745330842e-10
t212,2.549689721374493e-10
t213,2.2915516452670362e-10
t214,2.562800382648761e-10
t215,2.552665358911145e-10
t216,2.4736176826734684e-10
t217,2.232389559938987e-10
t218,2.4743631717555434e-10
t219,2.490132963642505e-10
t220,2.5234518053068847e-10
t221,2.3097132064425602e-10
t222,2.6199043287444213e-10
t223,2.654658258908403e-10
t224,2.67550291920299e-10
t225,2.3863969411743417e-10
t226,2.6700601897025903e-10
t227,2.674271446395476e-10
t228,2.6737210672212303e-10
t229,2.40863116213304e-10
t230,2.6596593227305e-10
t231,2.6261615471269603e-10
t232,2.6282861847292405e-10
t233,2.358008300118869e-10
t234,2.619481078445225e-10
t235,2.6133407912469355e-10
t236,2.585643921206073e-10
t237,2.3343759308181723e-10
t238,2.579604949131062e-10
t239,2.5743225431869344e-10
t240,2.569929125301021e-10
t241,2.3083237473737946e-10
t242,2.537455883562044e-10
t243,2.53386565872427e-10
t244,2.5367524915484965e-10
t245,2.257724203298625e-10
