Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,4079.8477075371975,171724.67379526372,4.218145206835008e6,0.0,4.393949728337809e6
t1,0.0,0.0,0.0,0.0,0.0,3.38605693880037e-8,4.6348861353557494e-8,42.85236944909934,0.0,42.85236952930877
t2,0.0,0.0,0.0,0.0,0.0,3.307053685289388e-8,4.643968883456717e-8,43.09825484207821,0.0,43.098254921588435
t3,0.0,0.0,0.0,0.0,0.0,3.290990835622515e-8,4.5270547206166575e-8,43.52587412107739,0.0,43.52587419925785
t4,0.0,0.0,0.0,0.0,0.0,3.282634569744922e-8,4.5470771912460036e-8,43.85499324786045,0.0,43.85499332615756
t5,0.0,0.0,0.0,0.0,0.0,3.266993053465566e-8,4.561814902521291e-8,44.15432193807208,0.0,44.15432201636016
t6,0.0,0.0,0.0,0.0,0.0,3.318295385700926e-8,4.5584358956097923e-8,44.753448538912245,0.0,44.75344861767956
t7,0.0,0.0,0.0,0.0,0.0,3.338202371045741e-8,4.565087642748371e-8,45.064840508324906,0.0,45.06484058735781
t8,0.0,0.0,0.0,0.0,0.0,3.356758025089106e-8,4.568585113915453e-8,45.34722724450105,0.0,45.34722732375448
t9,0.0,0.0,0.0,0.0,0.0,3.367557317657162e-8,4.571883463605134e-8,45.577460219673924,0.0,45.577460299068335
t10,0.0,0.0,0.0,0.0,0.0,3.3715937660833915e-8,4.570171444312163e-8,45.80860875990659,0.0,45.80860883932424
t11,0.0,0.0,0.0,0.0,0.0,3.465271481146737e-8,4.557067924798199e-8,46.21314365964822,0.0,46.21314373987161
t12,0.0,0.0,0.0,0.0,0.0,3.5036249374194195e-8,4.549749370970534e-8,46.38589138121009,0.0,46.38589146174383
t13,0.0,0.0,0.0,0.0,0.0,3.521235867206815e-8,4.533286296310376e-8,46.56509366536124,0.0,46.56509374590646
t14,0.0,0.0,0.0,0.0,0.0,3.4877203950694835e-8,4.651933196791494e-8,46.98272226573298,0.0,46.98272234712952
t15,0.0,0.0,0.0,0.0,0.0,3.451070012033421e-8,4.6395063953867615e-8,47.11411373671439,0.0,47.11411381762015
t16,0.0,0.0,0.0,0.0,0.0,3.4858677395421285e-8,4.6269120755168804e-8,47.32727364331025,0.0,47.32727372443805
t17,0.0,0.0,0.0,0.0,0.0,3.467237370431805e-8,4.622309982812651e-8,47.179460529596255,0.0,47.17946061049173
t18,0.0,0.0,0.0,0.0,0.0,3.440162082051476e-8,4.598526436990803e-8,47.03893163144879,0.0,47.03893171183568
t19,0.0,0.0,0.0,0.0,0.0,3.419304484001493e-8,4.580281203865816e-8,46.87676588974399,0.0,46.87676596973985
t20,0.0,0.0,0.0,0.0,0.0,3.392843096789428e-8,4.5635758075422866e-8,46.71248614051256,0.0,46.71248622007675
t21,0.0,0.0,0.0,0.0,0.0,3.408690843667304e-8,4.5446094909202504e-8,46.74264031903801,0.0,46.74264039857101
t22,0.0,0.0,0.0,0.0,0.0,3.38220636358596e-8,4.533812782932613e-8,46.44141787388482,0.0,46.441417953045004
t23,0.0,0.0,0.0,0.0,0.0,3.386356816860381e-8,4.503608929348527e-8,46.00556302190214,0.0,46.0055631008018
t24,0.0,0.0,0.0,0.0,0.0,3.4047728902225476e-8,4.470185307590177e-8,45.506601244068186,0.0,45.50660132281777
t25,0.0,0.0,0.0,0.0,0.0,3.5009723914949056e-8,4.4206136942922095e-8,44.897600348634356,0.0,44.89760042785022
t26,0.0,0.0,0.0,0.0,0.0,3.4761921423822175e-8,4.479061703585574e-8,44.762330897867265,0.0,44.76233097741981
t27,0.0,0.0,0.0,0.0,0.0,3.491138449151267e-8,4.462132016423239e-8,44.35351159575806,0.0,44.35351167529077
t28,0.0,0.0,0.0,0.0,0.0,3.539068350849465e-8,4.4575000263361384e-8,44.807863958365274,0.0,44.80786403833096
t29,0.0,0.0,0.0,0.0,0.0,3.632887097944962e-8,4.421515130533801e-8,44.45183425168628,0.0,44.4518343322303
t30,0.0,0.0,0.0,0.0,0.0,3.639003283619921e-8,4.427226411825689e-8,44.10718036476847,0.0,44.107180445430764
t31,0.0,0.0,0.0,0.0,0.0,3.754755743094843e-8,4.486625242393216e-8,44.188924072304474,0.0,44.188924154718286
t32,0.0,0.0,0.0,0.0,0.0,3.796481087483184e-8,4.470440285861456e-8,43.9365997335997,0.0,43.93659981626891
t33,0.0,0.0,0.0,0.0,0.0,3.89290445419798e-8,4.4298905516024215e-8,43.7308830887644,0.0,43.73088317199235
t34,0.0,0.0,0.0,0.0,0.0,3.864760676137663e-8,4.4694914159478354e-8,43.468646768144716,0.0,43.468646851487236
t35,0.0,0.0,0.0,0.0,0.0,3.8940292512958974e-8,4.4687717597241345e-8,43.230058589477075,0.0,43.230058673105084
t36,0.0,0.0,0.0,0.0,0.0,3.936846697313085e-8,4.4949680880107936e-8,43.28180537966646,0.0,43.281805463984604
t37,0.0,0.0,0.0,0.0,0.0,4.00720955824331e-8,4.645132942100035e-8,42.92519705059825,0.0,42.92519713712167
t38,0.0,0.0,0.0,0.0,0.0,3.966838939283882e-8,4.4941165859769955e-8,42.767068356628116,0.0,42.76706844123767
t39,0.0,0.0,0.0,0.0,0.0,3.979720286635623e-8,4.492272589663076e-8,42.572307993970064,0.0,42.57230807868999
t40,0.0,0.0,0.0,0.0,0.0,3.9889071628963316e-8,4.492276891763487e-8,42.335994077593575,0.0,42.33599416240542
t41,0.0,0.0,0.0,0.0,0.0,4.055225444199957e-8,4.44721011383309e-8,42.4634600538345,0.0,42.463460138858856
t42,0.0,0.0,0.0,0.0,0.0,4.0318967655613915e-8,4.517468543706308e-8,42.14807715549355,0.0,42.148077240987206
t43,0.0,0.0,0.0,0.0,0.0,4.0306269264452706e-8,4.4989344131990475e-8,41.98827594703639,0.0,41.988276032332
t44,0.0,0.0,0.0,0.0,0.0,4.031808347275595e-8,4.4825716846706094e-8,41.77588250215341,0.0,41.77588258729721
t45,0.0,0.0,0.0,0.0,0.0,4.104009297573452e-8,4.4025850752538334e-8,41.44859259331467,0.0,41.44859267838062
t46,0.0,0.0,0.0,0.0,0.0,4.089157398139288e-8,4.503290301987704e-8,41.608419563010415,0.0,41.60841964893489
t47,0.0,0.0,0.0,0.0,0.0,4.0973567515088204e-8,4.478077657994693e-8,41.36365288275523,0.0,41.36365296850958
t48,0.0,0.0,0.0,0.0,0.0,4.102157768986415e-8,4.4539475880039844e-8,41.074439837604544,0.0,41.0744399231656
t49,0.0,0.0,0.0,0.0,0.0,4.154066941433179e-8,4.3607265272407897e-8,40.684992032560054,0.0,40.684992117707985
t50,0.0,0.0,0.0,0.0,0.0,4.109529952165917e-8,4.409462201671352e-8,40.30721872246247,0.0,40.30721880765239
t51,0.0,0.0,0.0,0.0,0.0,4.1395155881144513e-8,4.443985486763593e-8,40.49052585076396,0.0,40.49052593659897
t52,0.0,0.0,0.0,0.0,0.0,4.127056602836252e-8,4.427297255322091e-8,40.238114567350785,0.0,40.238114652894325
t53,0.0,0.0,0.0,0.0,0.0,4.157610611994072e-8,4.400742369953593e-8,40.00799531477207,0.0,40.0079954003556
t54,0.0,0.0,0.0,0.0,0.0,4.0661036617761226e-8,4.4091695258378706e-8,39.715095600906,0.0,39.715095685658724
t55,0.0,0.0,0.0,0.0,0.0,4.019863400648036e-8,4.4013679971039616e-8,39.41060389751967,0.0,39.41060398173199
t56,0.0,0.0,0.0,0.0,0.0,4.041425937763187e-8,4.470161486735718e-8,39.63367186354671,0.0,39.63367194866258
t57,0.0,0.0,0.0,0.0,0.0,3.9839798100000736e-8,4.6490901150144955e-8,39.353581451344,0.0,39.3535815376747
t58,0.0,0.0,0.0,0.0,0.0,3.969088990830278e-8,4.4753470045411363e-8,38.94230211463997,0.0,38.94230219908433
t59,0.0,0.0,0.0,0.0,0.0,3.897062884500489e-8,4.4733740246956286e-8,38.5068470596872,0.0,38.50684714339157
t60,0.0,0.0,0.0,0.0,0.0,3.8380998785573696e-8,4.46186762611541e-8,37.95282588888061,0.0,37.95282597188028
t61,0.0,0.0,0.0,0.0,0.0,3.770291658246313e-8,4.5131741081363236e-8,37.81396106060118,0.0,37.81396114343584
t62,0.0,0.0,0.0,0.0,0.0,3.8663548903718625e-8,4.491227648454392e-8,36.9211317443061,0.0,36.92113182788193
t63,0.0,0.0,0.0,0.0,0.0,3.783896290948871e-8,4.4735696826636923e-8,34.35151094189407,0.0,34.351511024468735
t64,0.0,0.0,0.0,0.0,0.0,3.71014157556761e-8,4.479275974841057e-8,34.011434593455924,0.0,34.0114346753501
t65,0.0,0.0,0.0,0.0,0.0,3.664654947086035e-8,4.465517384285429e-8,33.36098729173665,0.0,33.36098737303837
t66,0.0,0.0,0.0,0.0,0.0,3.7572745669593544e-8,4.4475941231537546e-8,33.14307472963948,0.0,33.143074811688166
t67,0.0,0.0,0.0,0.0,0.0,3.752239252551462e-8,4.44332248521286e-8,31.909917221276512,0.0,31.90991730323213
t68,0.0,0.0,0.0,0.0,0.0,3.734570083284704e-8,4.472760832492351e-8,30.627784633217406,0.0,30.627784715290716
t69,0.0,0.0,0.0,0.0,0.0,3.7103655117394384e-8,4.472457071703477e-8,29.344817130110748,0.0,29.344817211938974
t70,0.0,0.0,0.0,0.0,0.0,3.6810573354950114e-8,4.480753053509589e-8,27.90615100725308,0.0,27.906151088871184
t71,0.0,0.0,0.0,0.0,0.0,3.7412174991293227e-8,4.463257270435696e-8,27.43514851506583,0.0,27.435148597110576
t72,0.0,0.0,0.0,0.0,0.0,3.7352563747256344e-8,4.44802356631848e-8,25.956008802355214,0.0,25.956008884188012
