Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,0
AnnualSum,449394.5731056035,8.799395243292697e6,0.0,178905.55889247273,0.0,0.0,0.0,0.0,0.0,9.427695375290774e6
t1,6.627878053482984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.627878053482984
t2,6.669579329713692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.669579329713692
t3,6.73730027678589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73730027678589
t4,6.790264942592605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.790264942592605
t5,6.840457160626031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.840457160626031
t6,6.9456857910052925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9456857910052925
t7,7.003749692465856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.003749692465856
t8,7.056704592102271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.056704592102271
t9,7.1040709089266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1040709089266
t10,7.141742719842368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.141742719842368
t11,7.225487398775305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.225487398775305
t12,7.263278851737055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.263278851737055
t13,7.291150471730896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.291150471730896
t14,6.681151661590602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.681151661590602
t15,6.084655411375933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.084655411375933
t16,5.529096606278454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.529096606278454
t17,4.944702780415113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.944702780415113
t18,4.368510716434043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.368510716434043
t19,3.8038158943147105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8038158943147105
t20,3.255505384752751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.255505384752751
t21,2.7587486805391763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7587486805391763
t22,2.286371776398638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.286371776398638
t23,1.8660293886596784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8660293886596784
t24,1.4575739533188958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4575739533188958
t25,1.044935459518772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.044935459518772
t26,1.018035454054076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.018035454054076
t27,0.9558935680508003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9558935680508003
t28,0.8929427430786402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8929427430786402
t29,0.7882908251928341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7882908251928341
t30,0.7804439798950772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7804439798950772
t31,0.7110750143105204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7110750143105204
t32,0.6462272806287577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6462272806287577
t33,0.5507615240089132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5507615240089132
t34,0.5184201954315041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5184201954315041
t35,0.4536812180618843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4536812180618843
t36,0.3828251767887338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3828251767887338
t37,0.31677372224010936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31677372224010936
t38,0.32413532283996416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32413532283996416
t39,0.33104580229606495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33104580229606495
t40,0.33795353357633073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33795353357633073
t41,0.3409706559775295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3409706559775295
t42,0.34942682645232126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34942682645232126
t43,0.35588771598194896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35588771598194896
t44,0.3622607446345717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3622607446345717
t45,0.3665924457837368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3665924457837368
t46,0.37342053431519556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37342053431519556
t47,0.37948012941197573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37948012941197573
t48,0.3849630644620432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3849630644620432
t49,0.38793853551904717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38793853551904717
t50,0.5112622302391225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5112622302391225
t51,0.6227635274874731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6227635274874731
t52,0.7374589768737045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7374589768737045
t53,0.7928334396784773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7928334396784773
t54,0.9457090003239597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9457090003239597
t55,1.0508690535481517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0508690535481517
t56,1.1496095269975415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1496095269975415
t57,1.232597912648765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232597912648765
t58,1.3587087753545888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3587087753545888
t59,1.4619240473299255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4619240473299255
t60,1.5614568083864642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5614568083864642
t61,1.6666692649378905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666692649378905
t62,1.8054277025076784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8054277025076784
t63,1.9460097736512019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9460097736512019
t64,2.0764662388387234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0764662388387234
t65,2.2224545580080255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2224545580080255
t66,2.393887095648261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.393887095648261
t67,2.5415744899362207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5415744899362207
t68,2.687419997032529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.687419997032529
t69,2.8305075717583192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8305075717583192
t70,2.9663326178947003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9663326178947003
t71,3.1571978274849344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1571978274849344
t72,3.301419598471781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.301419598471781
t73,3.390974822228444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.390974822228444
t74,3.252897200341503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.252897200341503
t75,3.1162462943305242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1162462943305242
t76,3.0265429971964526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0265429971964526
