Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,0
AnnualSum,163249.24292497942,153496.73508241074,779721.2754186686,18270.920596770604,14430.319090465466,3453.1830996700123,145347.76390150064,2.6996129324205923e6,5.765907921311835e6,9.743490293846894e6
t1,2.3779193431432923,0.0,0.0,0.0,5.894331199156172e-8,0.002117448334800055,0.1720514246242613,27.490608970953595,53.77804403330948,83.82074127930873
t2,2.374335376793995,0.0,0.0,0.0,5.476221071476687e-8,0.0020423936757461856,0.17164379264603224,27.514349560401183,53.77804403330939,83.84041521158856
t3,2.3447317253819335,0.0,0.0,0.0,5.4551871398699626e-8,0.0020011976360314225,0.1884024399170464,27.72335549846146,53.778044033309385,84.03653494925773
t4,2.329884369456627,0.0,0.0,0.0,5.477220363708621e-8,0.001976873217456081,0.1871698899490088,27.86263831545278,53.77804403330935,84.15971353615743
t5,2.317809447083337,0.0,0.0,0.0,5.8995770926671204e-8,0.0019662203498345327,0.18613952271844014,28.03832701390376,53.77804403330935,84.32228629636049
t6,2.250698126585487,0.0,0.0,0.0,5.483469571411268e-8,0.0018922747400129212,0.18866666659692244,28.52745802161329,53.77804403330945,84.74675917767985
t7,2.2307515207850575,0.0,0.0,0.0,5.457982895259183e-8,0.0019203512475142385,0.18798729672723852,28.69140424070899,53.7780440333092,84.89010749735783
t8,2.215913931030053,0.0,0.0,0.0,5.479041902673478e-8,0.0019524331040676312,0.18764862089338416,28.864341050627168,53.7780440333096,85.04790012375469
t9,2.2066649098658595,0.0,0.0,0.0,5.902317911717379e-8,0.0019677496516806825,0.1872032623160997,29.009624634902277,53.77804403330942,85.18350464906851
t10,2.2071103946102273,0.0,0.0,0.0,5.4831328860977513e-8,0.0019852109628015822,0.18712313802153135,29.10918616758917,53.77804403330943,85.28344899932449
t11,2.1614830255587,0.0,0.0,0.0,5.457419879069864e-8,0.0019413268835319552,0.189741642176201,29.49264676736987,53.77804403330946,85.62385684987197
t12,2.161808882478362,0.0,0.0,0.0,5.4773017073242296e-8,0.001987311842983919,0.18943930162051142,29.54699529771968,53.778044033309456,85.67827488174402
t13,2.1720545581446546,0.0,0.0,0.0,5.9006995968086325e-8,0.001997522456363566,0.18912671427856195,29.5864670887103,53.77804403330947,85.72768997590634
t14,2.15047914001273,0.0,0.0,0.0,5.475517907751556e-8,0.0019881220005087234,0.1788746814773438,29.984515145574417,53.77804403330972,86.0939011771299
t15,2.1154011619551794,0.0,0.0,0.0,5.4476397469083976e-8,0.001960362292068567,0.1809518658530187,30.048162519734316,53.77804403330947,86.12451999762044
t16,2.0393857387804393,0.0,0.0,0.0,5.4666866721453576e-8,0.001855963520431226,0.18442135125091808,30.347334142910174,53.778044033309385,86.35104128443821
t17,1.9922053505928339,0.0,0.0,0.0,5.8894179248526334e-8,0.0018444450613125092,0.1843086271133158,30.2590173355208,53.77804403330942,86.21541985049186
t18,1.9368231863016858,0.0,0.0,0.0,5.464800678215271e-8,0.0018259733931567876,0.18392528787283266,30.15429505631049,53.77804403330946,86.05491359183563
t19,1.8699437801487993,0.0,0.0,0.0,5.434997664620359e-8,0.0018110747020779526,0.18602708131790135,30.036503795911702,53.77804403330929,85.87232981973975
t20,1.7866800614385385,0.0,0.0,0.0,5.4509771646664696e-8,0.0018031236199420927,0.18804402839230136,29.868444558806882,53.778044033309676,85.62301586007712
t21,1.6518625373798943,0.0,0.0,0.0,5.874489861425893e-8,0.0017217123828211728,0.19144709690317568,29.985602219850342,53.77804403330954,85.60867765857067
t22,1.492665213248212,0.0,0.0,0.0,5.455488091918453e-8,0.0017546615721363496,0.1924476176358849,29.750018002724243,53.77804403330949,85.21492958304485
t23,1.2814333869362269,0.0,0.0,0.0,5.425065481794942e-8,0.0017821881552780145,0.19410132082215667,29.50581406732764,53.778044033309676,84.76117505080163
t24,1.05831459400479,0.0,0.0,0.0,5.438904824865523e-8,0.0018469779629002325,0.19520812933441692,29.214425183816665,53.77804403331035,84.24783897281817
t25,0.8393788595326946,0.0,0.0,0.0,5.8380437637439867e-8,0.0018703552408569888,0.1992299506775998,28.860583840708795,53.778044033309115,83.6791070978495
t26,0.7549201011710609,0.0,0.0,0.0,5.441488522837988e-8,0.001870268194673161,0.1948434959510277,28.82333270437834,53.77804403330966,83.55301065741965
t27,0.7057032233480072,0.0,0.0,0.0,5.414643146419585e-8,0.0019277710694719924,0.19560202089107698,28.449612962525283,53.77804403330996,83.13089006529023
t28,0.6572952844938377,0.0,0.0,0.0,5.4269425613164035e-8,0.0020087847575515905,0.19534704827594568,28.8890093332238,53.77804403331042,83.521704538331
t29,0.6505884385533142,0.0,0.0,0.0,5.80996127263031e-8,0.0018946550914562814,0.19842730429067795,28.53223236288503,53.77804403330906,83.16118685222915
t30,0.5470765200247415,0.0,0.0,0.0,5.425107137724781e-8,0.002113862828156293,0.19559463201271418,28.261012873003914,53.77804403330998,82.78384197543058
t31,0.5050867217829687,0.0,0.0,0.0,5.405378248123711e-8,0.0021303111469932606,0.19258270151125964,28.377525142913314,53.77804403330909,82.8553689647174
t32,0.45857567741712774,0.0,0.0,0.0,5.4165692588977495e-8,0.002161213491331181,0.19274405876700815,28.17216063911742,53.778044033310415,82.603685676269
t33,0.44268267021064256,0.0,0.0,0.0,5.7871100723524864e-8,0.002096728778591485,0.19815899931141784,28.019932102510527,53.77804403330977,82.44091459199205
t34,0.3636652349617221,0.0,0.0,0.0,5.41490703067325e-8,0.0021909083270723858,0.19266062455491836,27.8938764161844,53.778044033309484,82.23043727148666
t35,0.3170454485050123,0.0,0.0,0.0,5.3937640757939256e-8,0.002199082368574077,0.19282102987281854,27.70361854511077,53.77804403331003,81.99372819310484
t36,0.2765427259518333,0.0,0.0,0.0,5.409083143855701e-8,0.0021993499283219638,0.19117543094098388,27.837290289762436,53.77804403331027,82.08525188398468
t37,0.23123541667412806,0.0,0.0,0.0,5.770871505189918e-8,0.0021475471147917747,0.2060363526009415,27.558448479712794,53.778044033309804,81.77591188712117
t38,0.23426343819997097,0.0,0.0,0.0,5.4100777238953336e-8,0.0022111763222133207,0.19087451472186953,27.4274866945826,53.77804403330998,81.63287991123741
t39,0.2377425666482936,0.0,0.0,0.0,5.390752119980236e-8,0.0022084897217995534,0.1910245135703145,27.260942151531875,53.77804403330999,81.46996180868979
t40,0.24122445749372554,0.0,0.0,0.0,5.4025321731841445e-8,0.002202344744121251,0.19112066361400018,27.092559079218066,53.77804403331007,81.3051506324053
t41,0.24859694299695026,0.0,0.0,0.0,5.767716863690144e-8,0.0021332793032027278,0.19990530446875251,27.240731201102445,53.77804403330994,81.46941081885845
t42,0.2505303946478562,0.0,0.0,0.0,5.410612179177386e-8,0.002194327056057334,0.18957797708992621,26.961661904776896,53.77804403331008,81.18200869098693
t43,0.25445911302265195,0.0,0.0,0.0,5.393103550964248e-8,0.002190792764475168,0.19086042568578893,26.87002305361763,53.778044033309854,81.09557747233143
t44,0.25847569227445266,0.0,0.0,0.0,5.405659099462293e-8,0.0021843218937820565,0.1917497332843231,26.724777332477803,53.778044033309946,80.9552311672969
t45,0.2645336132509853,0.0,0.0,0.0,5.7616589797403305e-8,0.0021049998269453054,0.20106500827538687,26.510206056100458,53.77804403330972,80.75595376838008
t46,0.26809514684522423,0.0,0.0,0.0,5.417545229974309e-8,0.002166274176252596,0.19079114969878497,26.706867380728987,53.778044033310564,80.94596403893527
t47,0.2724251596528675,0.0,0.0,0.0,5.402808427879476e-8,0.0021636173813318763,0.19256262393210508,26.539777780205032,53.77804403330985,80.78497326850926
t48,0.27733184672849776,0.0,0.0,0.0,5.417334384689096e-8,0.0021576991950627363,0.19411029179097,26.345078417967475,53.778044033309875,80.59672234316523
t49,0.28474598357591724,0.0,0.0,0.0,5.7753075639680184e-8,0.00208233092202796,0.20262527260854962,26.116534559538245,53.778044033309996,80.38403223770781
t50,0.3626542868915198,0.0,0.0,0.0,5.428405651086313e-8,0.0021449830494257543,0.19654078239448633,25.824953947722896,53.77804403330947,80.16433808765186
t51,0.4523849734575728,0.0,0.0,0.0,5.4202613377345414e-8,0.0021275140785303568,0.19412499349830317,26.057890548051894,53.77804403331018,80.4845721165991
t52,0.5389215221070194,0.0,0.0,0.0,5.4385818761578284e-8,0.0021203179273137913,0.19494918496744582,25.82420558019668,53.778044033309186,80.33824069289346
t53,0.68477904311665,0.0,0.0,0.0,5.802076628234359e-8,0.0020030799271093798,0.19724040075654584,25.66699849522447,53.7780440333102,80.32906511035574
t54,0.7331354805068455,0.0,0.0,0.0,5.4523581077733743e-8,0.0020766973136167664,0.19510067971454834,25.435499410290145,53.77804403330999,80.14385635565873
t55,0.8292074253183317,0.0,0.0,0.0,5.4404579741110866e-8,0.002049746682846604,0.19518147364167754,25.24128342837444,53.778044033309584,80.04576616173146
t56,0.9316989356833453,0.0,0.0,0.0,5.4642199388457146e-8,0.0020085338777256867,0.19118369749453248,25.517453463654764,53.77804403330981,80.42038871866238
t57,1.0499425480677995,0.0,0.0,0.0,5.835516701454787e-8,0.001923903878487187,0.2030195533691136,25.27302431069418,53.778044033309875,80.30595440767462
t58,1.1250636691763798,0.0,0.0,0.0,5.47813832990099e-8,0.001969854094087617,0.1905288136307859,24.994249754091673,53.77804403330953,80.08985617908384
t59,1.2230803952367206,0.0,0.0,0.0,5.464824228107126e-8,0.001937135346597391,0.19042487743414946,24.72128716741593,53.778044033309826,79.91477366339146
