BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,6.895076414424783e6,2.8484138794217487e6,-4.393949728337784e6,0.0,0.0,0.0,2.495941759668657e-8,0.0,0.0,-5.34954056538688e6
t1,56.15596343539608,27.664777843912656,-42.852369529308774,0.0,0.0,0.0,0.0,0.0,0.0,-40.96837175
t2,56.1523794648656,27.68803574672296,-43.098254921588435,0.0,0.0,0.0,0.0,0.0,0.0,-40.74216029
t3,56.12277581324319,27.913759136014537,-43.52587419925785,0.0,0.0,0.0,0.0,0.0,0.0,-40.51066075
t4,56.10792845753818,28.051785078619247,-43.85499332615757,0.0,0.0,0.0,0.0,0.0,0.0,-40.30472021
t5,56.09585353938846,28.226432756972034,-44.15432201636016,0.0,0.0,0.0,0.0,0.0,0.0,-40.16796428
t6,56.02874221472963,28.718016962950223,-44.75344861767956,0.0,0.0,0.0,0.0,0.0,0.0,-39.99331056
t7,56.008795608674085,28.881311888683744,-45.06484058735781,0.0,0.0,0.0,0.0,0.0,0.0,-39.82526691
t8,55.99395801913007,29.05394210462462,-45.34722732375448,0.0,0.0,0.0,0.0,0.0,0.0,-39.7006728
t9,55.98470900219846,29.198795646870057,-45.577460299068335,0.0,0.0,0.0,0.0,0.0,0.0,-39.60604435
t10,55.985154482750985,29.298294516573502,-45.80860883932424,0.0,0.0,0.0,0.0,0.0,0.0,-39.47484016
t11,55.93952711344236,29.684329736429603,-46.21314373987161,0.0,0.0,0.0,0.0,0.0,0.0,-39.41071311
t12,55.939852970560835,29.738421911183174,-46.38589146174383,0.0,0.0,0.0,0.0,0.0,0.0,-39.29238342
t13,55.95009865046112,29.777591325445226,-46.56509374590646,0.0,0.0,0.0,0.0,0.0,0.0,-39.16259623
t14,55.92852322807763,30.165377949052267,-46.98272234712952,0.0,0.0,0.0,0.0,0.0,0.0,-39.11117883
t15,55.89344524974105,30.231074747879404,-47.11411381762015,0.0,0.0,0.0,0.0,0.0,0.0,-39.01040618
t16,55.817429826756694,30.533611457681523,-47.32727372443805,0.0,0.0,0.0,0.0,0.0,0.0,-39.02376756
t17,55.770249442796434,30.44517040769543,-47.17946061049173,0.0,0.0,0.0,0.0,0.0,0.0,-39.03595924
t18,55.714867274259156,30.34004631757648,-47.03893171183567,0.0,0.0,0.0,0.0,0.0,0.0,-39.01598188
t19,55.64798786780807,30.22434195193168,-46.87676596973985,0.0,0.0,0.0,0.0,0.0,0.0,-38.99556385
t20,55.564724149257984,30.058291710819127,-46.71248622007675,0.0,0.0,0.0,0.0,0.0,0.0,-38.91052964
t21,55.429906629434335,30.17877102913634,-46.74264039857101,0.0,0.0,0.0,0.0,0.0,0.0,-38.86603726
t22,55.27070930111258,29.944220281932264,-46.44141795304501,0.0,0.0,0.0,0.0,0.0,0.0,-38.77351163
t23,55.05947747449656,29.701697576305076,-46.0055631008018,0.0,0.0,0.0,2.7053650725993823e-13,0.0,0.0,-38.75561195
t24,54.83635868170419,29.411480291113982,-45.506601322817765,0.0,0.0,0.0,2.705983634790462e-13,0.0,0.0,-38.74123765
t25,54.617422951222245,29.06168414662725,-44.897600427850215,0.0,0.0,0.0,2.7995311487650794e-13,0.0,0.0,-38.78150667
t26,54.532964188895605,29.020046468524043,-44.7623309774198,0.0,0.0,0.0,2.698927432479214e-13,0.0,0.0,-38.79067968
t27,54.4837473108044,28.64714275448583,-44.35351167529076,0.0,0.0,0.0,2.697392799650916e-13,0.0,0.0,-38.77737839
t28,54.435339372073685,29.0863651662573,-44.807864038330955,0.0,0.0,0.0,2.696650511956345e-13,0.0,0.0,-38.7138405
t29,54.42863252996199,28.732554322267163,-44.4518343322303,0.0,0.0,0.0,2.777203897351006e-13,0.0,0.0,-38.70935252
t30,54.325120607585795,28.458721367844785,-44.107180445430764,0.0,0.0,0.0,2.6954034987893404e-13,0.0,0.0,-38.67666153
t31,54.28313080914584,28.572238155571565,-44.188924154718286,0.0,0.0,0.0,2.693566551204187e-13,0.0,0.0,-38.66644481
t32,54.236619764893234,28.367065911375757,-43.93659981626892,0.0,0.0,0.0,2.69331886103098e-13,0.0,0.0,-38.66708586
t33,54.22072676139151,28.220187830600537,-43.73088317199235,0.0,0.0,0.0,2.766473658576053e-13,0.0,0.0,-38.71003142
t34,54.141709322420276,28.088727949066392,-43.468646851487236,0.0,0.0,0.0,2.6924230593702174e-13,0.0,0.0,-38.76179042
t35,54.095089535752685,27.898638657352166,-43.230058673105084,0.0,0.0,0.0,2.691989985277852e-13,0.0,0.0,-38.76366952
t36,54.05458681335294,28.03066507063174,-43.281805463984604,0.0,0.0,0.0,2.690318452938069e-13,0.0,0.0,-38.80344642
t37,54.009279507692646,27.76663237942853,-42.92519713712168,0.0,0.0,0.0,2.762257924455334e-13,0.0,0.0,-38.85071475
t38,54.01230752561073,27.620572385626684,-42.76706844123767,0.0,0.0,0.0,2.689800648640095e-13,0.0,0.0,-38.86581147
t39,54.0157866538658,27.45417515482399,-42.57230807868999,0.0,0.0,0.0,2.6897951862276924e-13,0.0,0.0,-38.89765373
t40,54.01926854482912,27.285882087576187,-42.33599416240541,0.0,0.0,0.0,2.689793716482837e-13,0.0,0.0,-38.96915647
t41,54.026641033984056,27.4427697848744,-42.463460138858856,0.0,0.0,0.0,2.760239010669883e-13,0.0,0.0,-39.00595068
t42,54.02857448206406,27.15343420892288,-42.148077240987206,0.0,0.0,0.0,2.6885802576905885e-13,0.0,0.0,-39.03393145
t43,54.03250320026354,27.063074272067894,-41.988276032332,0.0,0.0,0.0,2.6890332316437525e-13,0.0,0.0,-39.10730144
t44,54.03651977964099,26.918711387655907,-41.77588258729721,0.0,0.0,0.0,2.6894941123239655e-13,0.0,0.0,-39.17934858
t45,54.0425777041773,26.71337606420279,-41.448592678380614,0.0,0.0,0.0,2.760872539848349e-13,0.0,0.0,-39.30736109
t46,54.04613923433124,26.899824804604023,-41.60841964893489,0.0,0.0,0.0,2.6888027103367e-13,0.0,0.0,-39.33754439
t47,54.0504692469908,26.734504021518468,-41.36365296850958,0.0,0.0,0.0,2.689466755797631e-13,0.0,0.0,-39.4213203
