Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal
Zone,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,2511.969477938491,1.6206289847154092,236.54345114900013,42.97963781256592,0.0
t2,0.0,0.0,0.0,0.0,2511.7741572273612,1.6184090220146772,236.35688185181056,43.06530473572654,0.0
t3,0.0,0.0,0.0,0.0,2511.571416517925,1.6162338374700196,236.15209663268007,43.23180965951163,0.0
t4,0.0,0.0,0.0,0.0,2511.3604995343403,1.6140850924338923,235.9486511419599,43.48750636348402,0.0
t5,0.0,0.0,0.0,0.0,2511.1446163477494,1.6119479264577996,235.74632561575638,43.76305514656199,0.0
t6,0.0,0.0,0.0,0.0,2510.9156574264416,1.609891136616538,235.54125319400165,43.906491450675176,0.0
t7,0.0,0.0,0.0,0.0,2510.679516353613,1.6078038290154073,235.33691921785163,44.09410855644902,0.0
t8,0.0,0.0,0.0,0.0,2510.4353035527556,1.6056816500018556,235.1329533676072,44.2914640387659,0.0
t9,0.0,0.0,0.0,0.0,2510.1862404425246,1.6035428226663386,234.9294716028032,44.491401420877196,0.0
t10,0.0,0.0,0.0,0.0,2509.9240576665675,1.6013850156819562,234.72607692960798,44.751805719316,0.0
t11,0.0,0.0,0.0,0.0,2509.654794577548,1.5992749096455712,234.5198360561241,44.85651218782224,0.0
t12,0.0,0.0,0.0,0.0,2509.3775705127364,1.5971148203106609,234.31392381357827,45.03148117064073,0.0
t13,0.0,0.0,0.0,0.0,2509.095629338027,1.5949436326447661,234.10835133976434,45.30047224204185,0.0
t14,0.0,0.0,0.0,0.0,2508.8038562925017,1.5927826625573278,233.9139223809563,45.406006122660216,0.0
t15,0.0,0.0,0.0,0.0,2508.5081702641874,1.5906518657288364,233.71723561292998,45.537093962363834,0.0
t16,0.0,0.0,0.0,0.0,2508.207881949223,1.5886345461461768,233.51677766500745,45.46474519837432,0.0
t17,0.0,0.0,0.0,0.0,2507.90607026102,1.5866297464564532,233.31644224333505,45.38454195265073,0.0
t18,0.0,0.0,0.0,0.0,2507.5944715295973,1.5846450244177306,233.1165234944754,45.322818437421645,0.0
t19,0.0,0.0,0.0,0.0,2507.2790567049874,1.5826764964165514,232.9143201873554,45.278601404327205,0.0
t20,0.0,0.0,0.0,0.0,2506.9591811107302,1.5807166106525101,232.7099245463052,45.31303461822866,0.0
t21,0.0,0.0,0.0,0.0,2506.637975714899,1.5788452155093993,232.50182991756867,45.22514409864615,0.0
t22,0.0,0.0,0.0,0.0,2506.3065469104336,1.576938005786495,232.29264776631197,45.190755894348676,0.0
t23,0.0,0.0,0.0,0.0,2505.971339924197,1.5750008759026322,232.08166811119935,45.112938727710834,0.0
t24,0.0,0.0,0.0,0.0,2505.6317293215698,1.5729933224842598,231.86948540304851,45.00018824319455,0.0
t25,0.0,0.0,0.0,0.0,2505.2922757103966,1.5709603598661872,231.6529311495034,44.84253872121604,0.0
t26,0.0,0.0,0.0,0.0,2504.9473725326175,1.5689274916355536,231.44114478206833,44.62323755903693,0.0
t27,0.0,0.0,0.0,0.0,2504.604653732898,1.5668321204176567,231.22853393084068,44.544030632487015,0.0
t28,0.0,0.0,0.0,0.0,2504.263775811428,1.564648691284095,231.01620022372367,44.279060132649484,0.0
t29,0.0,0.0,0.0,0.0,2503.930534010589,1.5625893169985516,230.80051841191175,44.17523708039223,0.0
t30,0.0,0.0,0.0,0.0,2503.5907008887093,1.5602916734902554,230.58791559175884,44.13471528095211,0.0
t31,0.0,0.0,0.0,0.0,2503.2526397277566,1.5579761524394502,230.378586609654,44.01394811015404,0.0
t32,0.0,0.0,0.0,0.0,2502.916410470633,1.55562704226778,230.1690822390689,43.94802709813635,0.0
t33,0.0,0.0,0.0,0.0,2502.588906211587,1.5533480250622929,229.95369206318105,43.90781844100972,0.0
t34,0.0,0.0,0.0,0.0,2502.253571287739,1.5509666385234473,229.74427838195805,43.81539033529499,0.0
t35,0.0,0.0,0.0,0.0,2501.920007913233,1.5485763674261532,229.53469034712205,43.7699140254882,0.0
t36,0.0,0.0,0.0,0.0,2501.5880443127303,1.5461858058969669,229.32689100701816,43.59874546701832,0.0
t37,0.0,0.0,0.0,0.0,2501.2657583791934,1.5438515524212002,229.1029384925754,43.49084250785605,0.0
t38,0.0,0.0,0.0,0.0,2500.9369960379568,1.5414481363919734,228.89546623531055,43.4201388249303,0.0
t39,0.0,0.0,0.0,0.0,2500.612357279935,1.5390476406990963,228.68783093580217,43.40180753069151,0.0
t40,0.0,0.0,0.0,0.0,2500.2919545722557,1.5366538244143015,228.48009112537676,43.40490394374378,0.0
t41,0.0,0.0,0.0,0.0,2499.9840446092744,1.5343350798710684,228.26280279186852,43.32475798543333,0.0
t42,0.0,0.0,0.0,0.0,2499.6689307362476,1.5319499788602955,228.0567398148934,43.34114232885694,0.0
t43,0.0,0.0,0.0,0.0,2499.3578055649155,1.529568719458938,227.84928287184252,43.34423426946402,0.0
t44,0.0,0.0,0.0,0.0,2499.0508096725143,1.5271944936235509,227.64085928994706,43.35896860558949,0.0
t45,0.0,0.0,0.0,0.0,2498.7572744433,1.5249064880902785,227.4223104084124,43.38008511011566,0.0
t46,0.0,0.0,0.0,0.0,2498.4549974220668,1.5225518798667736,227.21492876538744,43.283236534612755,0.0
t47,0.0,0.0,0.0,0.0,2498.156444532536,1.520200159539275,227.0056216066491,43.19943661556081,0.0
t48,0.0,0.0,0.0,0.0,2497.86190487663,1.5178548720671017,226.79463220002654,43.127640463185095,0.0
t49,0.0,0.0,0.0,0.0,2497.581164415042,1.5155915071084003,226.5743873786142,43.029965889810335,0.0
t50,0.0,0.0,0.0,0.0,2497.3035134231636,1.5132600416014828,226.36075613396986,42.99454843312669,0.0
t51,0.0,0.0,0.0,0.0,2497.0415289668135,1.5109475643822758,226.14975074713897,42.81460592867299,0.0
t52,0.0,0.0,0.0,0.0,2496.7956833379826,1.508642908951902,225.9378494998638,42.72484060730795,0.0
t53,0.0,0.0,0.0,0.0,2496.576316154457,1.5064656864115833,225.72345780039788,42.64748874009501,0.0
t54,0.0,0.0,0.0,0.0,2496.3593910686327,1.504208444131023,225.5113918847508,42.62519095795713,0.0
