Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal
Zone,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.13799440362412427,0.1379999454187823,4.226013009456994e-9,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.13799438426094388,0.13799994530139295,4.287581562665856e-9,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.13799436491173497,0.13799994518789416,4.354912875898028e-9,0.0
t4,0.0,0.0,0.0,0.0,0.0,0.13799434564907995,0.13799994507561938,4.416971171269389e-9,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.13799432645804638,0.1379999449648818,4.4485417463651725e-9,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.13799431821239924,0.13799994489481235,4.743089304066325e-9,0.0
t7,0.0,0.0,0.0,0.0,0.0,0.13799429928230256,0.13799994478701774,4.81646440228419e-9,0.0
t8,0.0,0.0,0.0,0.0,0.0,0.1379942805054304,0.1379999446804963,4.8765630841229805e-9,0.0
t9,0.0,0.0,0.0,0.0,0.0,0.13799426185844152,0.13799994457533418,4.913581660956772e-9,0.0
t10,0.0,0.0,0.0,0.0,0.0,0.1379942433256322,0.13799994447167932,4.915606322546661e-9,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.1379942358505311,0.13799994440901434,5.16359763443773e-9,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.13799421760211028,0.13799994430757287,5.186901134768535e-9,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.1379941995098338,0.13799994420715997,5.184561384119456e-9,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.13799418154854687,0.13799994410797678,5.176818457660294e-9,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.13799416365040942,0.13799994401079016,5.108407169937463e-9,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.13799415684930247,0.13799994395599766,5.269135794787153e-9,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.1379941391204984,0.13799994386306935,5.198856226618465e-9,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.1379941214752507,0.1379999437689578,5.118813275681241e-9,0.0
t19,0.0,0.0,0.0,0.0,0.0,0.1379941038905417,0.13799994367681437,5.0199689808709194e-9,0.0
t20,0.0,0.0,0.0,0.0,0.0,0.13799408634935154,0.13799994358626855,4.8884610260315304e-9,0.0
t21,0.0,0.0,0.0,0.0,0.0,0.13799407994673737,0.13799994353782147,5.008396171958183e-9,0.0
t22,0.0,0.0,0.0,0.0,0.0,0.13799406252353769,0.13799994344922642,4.898154073148707e-9,0.0
t23,0.0,0.0,0.0,0.0,0.0,0.13799404516849567,0.13799994336749427,4.764419621372055e-9,0.0
t24,0.0,0.0,0.0,0.0,0.0,0.13799402793969853,0.13799994328612367,4.603950829325672e-9,0.0
t25,0.0,0.0,0.0,0.0,0.0,0.13799401065082412,0.1379999432047326,4.41582877610069e-9,0.0
t26,0.0,0.0,0.0,0.0,0.0,0.13799400471279863,0.1379999431660693,4.520185888452175e-9,0.0
t27,0.0,0.0,0.0,0.0,0.0,0.13799398783306754,0.13799994308473693,4.422788456272061e-9,0.0
t28,0.0,0.0,0.0,0.0,0.0,0.1379939711519452,0.1379999430036068,4.305206368540451e-9,0.0
t29,0.0,0.0,0.0,0.0,0.0,0.13799395440849585,0.13799994292253476,4.196724749267805e-9,0.0
t30,0.0,0.0,0.0,0.0,0.0,0.13799393784607403,0.13799994284120448,4.0655262757565755e-9,0.0
t31,0.0,0.0,0.0,0.0,0.0,0.13799393264516083,0.1379999428023997,4.196995271602811e-9,0.0
t32,0.0,0.0,0.0,0.0,0.0,0.13799391638283137,0.13799994272119853,4.105170273566088e-9,0.0
t33,0.0,0.0,0.0,0.0,0.0,0.13799390007056067,0.13799994264008497,4.0223205006020584e-9,0.0
