Constraint,CapRes_1
t1,5.771817181146099e-10
t2,6.005853009467546e-10
t3,5.736098056912371e-10
t4,5.837619771156396e-10
t5,5.914967969823282e-10
t6,5.806702501453599e-10
t7,5.848868920643332e-10
t8,5.900662346058045e-10
t9,5.961458341096073e-10
t10,5.994452299300638e-10
t11,5.870831809318108e-10
t12,5.920685749774727e-10
t13,5.985822172892752e-10
t14,6.442042191987139e-10
t15,6.519106884109617e-10
t16,6.478649223883593e-10
t17,6.540940402770163e-10
t18,6.594050311674176e-10
t19,6.673089291192686e-10
t20,6.701786906451824e-10
t21,6.616877502605371e-10
t22,6.606806241237591e-10
t23,6.405105811850098e-10
t24,6.348137563508993e-10
t25,5.420228688831997e-10
t26,6.085322037238851e-10
t27,6.014569635079607e-10
t28,5.98547806675409e-10
t29,5.237956519718915e-10
t30,5.855890466957021e-10
t31,5.698996394057398e-10
t32,5.63361793656007e-10
t33,4.991826399745062e-10
t34,5.470147100105941e-10
t35,5.40464499892048e-10
t36,5.311480555006419e-10
t37,4.866705736693053e-10
t38,5.230213808168238e-10
t39,5.238081175661533e-10
t40,5.261990401493475e-10
t41,4.727767641808086e-10
t42,5.238271776524447e-10
t43,5.264943128545584e-10
t44,5.30829079329246e-10
t45,4.776356291362129e-10
t46,5.329018281163863e-10
t47,5.389832289063566e-10
t48,5.485163667844373e-10
t49,4.981560421549762e-10
t50,5.699996071419431e-10
t51,5.81111460047874e-10
t52,5.985721884487821e-10
t53,5.372607815854497e-10
t54,6.178338925143103e-10
t55,6.271790097303023e-10
t56,6.275603602766203e-10
t57,5.535775809707883e-10
t58,6.377916653790093e-10
t59,6.422647754695359e-10
t60,6.496428057306308e-10
t61,5.581526606943899e-10
t62,6.668489557074989e-10
t63,6.724120436651689e-10
t64,6.80524207200864e-10
t65,5.87950126854113e-10
t66,6.778474493488628e-10
t67,6.839374570574758e-10
t68,6.848126553632936e-10
t69,6.847377470902537e-10
t70,6.816496775204381e-10
t71,6.600104482883428e-10
t72,6.526259825457651e-10
t73,6.554101338795553e-10
t74,6.849129073757971e-10
t75,7.100555246576252e-10
t76,6.774806339131592e-10
t77,7.03210932520599e-10
t78,7.338111555274632e-10
t79,7.736135447775188e-10
