Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
onshore_wind,1,0.0,0.0,14.22964452141638,14.22964452141638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv_sat,1,0.0,0.0,274.76515431404437,274.76515431404437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_btm,1,32.11,0.0,0.0,32.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_btm_curt,1,0.0,0.0,8.12,8.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro,1,0.0,0.0,5.999999999247005,5.999999999247005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,1,0.0,0.0,3.5058689430573575,3.5058689430573575,0.0,0.0,3.5058738856080502,3.5058738856080502,0.0,0.0,0.0,0.0
battery8,1,0.0,0.0,80.88542316818217,80.88542316818217,0.0,0.0,331.6302349910372,331.6302349910372,0.0,0.0,0.0,0.0
pumped_hydro,1,0.0,0.0,102.51892471355706,102.51892471355706,0.0,0.0,50.00923164674501,50.00923164674501,0.0,0.0,0.0,0.0
geothermal,1,0.0,0.0,107.20707698625698,107.20707698625698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,32.11,0.0,597.2320926457613,629.3420926457613,0.0,0.0,385.14534052339025,385.14534052339025,0.0,0.0,0.0,0.0
