Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,7040.5508688722675,248639.5387016825,3.3351381987939626e6,0.0,3.5908182883645175e6
t1,0.0,0.0,0.0,0.0,0.0,0.013813854818391038,0.3608498541059135,33.29146860713076,0.0,33.66613231605507
t2,0.0,0.0,0.0,0.0,0.0,0.013297353930251912,0.36346448539484755,33.813973976589715,0.0,34.19073581591482
t3,0.0,0.0,0.0,0.0,0.0,0.013084174880058488,0.343243935636468,34.770221598806735,0.0,35.12654970932326
t4,0.0,0.0,0.0,0.0,0.0,0.012769757962583205,0.34608389248874055,35.18576074116509,0.0,35.54461439161641
t5,0.0,0.0,0.0,0.0,0.0,0.012418485088421204,0.34915392777773213,35.52264688713422,0.0,35.884219300000375
t6,0.0,0.0,0.0,0.0,0.0,0.012707907765267753,0.34612218872184447,36.350055791063504,0.0,36.708885887550615
t7,0.0,0.0,0.0,0.0,0.0,0.01265452928511391,0.34768111840660154,36.73882380905853,0.0,37.09915945675024
t8,0.0,0.0,0.0,0.0,0.0,0.01257016302897052,0.3488364706998877,37.07522226148902,0.0,37.43662889521787
t9,0.0,0.0,0.0,0.0,0.0,0.012435983780660817,0.3500205992120937,37.34068516255919,0.0,37.703141745551946
t10,0.0,0.0,0.0,0.0,0.0,0.012249190394315705,0.3507396211532994,37.58496568152597,0.0,37.94795449307359
t11,0.0,0.0,0.0,0.0,0.0,0.01275379733720567,0.3455628472350403,38.18657229595253,0.0,38.54488894052477
t12,0.0,0.0,0.0,0.0,0.0,0.012774399428253319,0.3452150562993283,38.40298572700426,0.0,38.76097518273184
t13,0.0,0.0,0.0,0.0,0.0,0.01274666473945567,0.3444354638297906,38.628220132350265,0.0,38.98540226091951
t14,0.0,0.0,0.0,0.0,0.0,0.012455614579998208,0.36491259366067147,38.86470428180908,0.0,39.24207249004975
t15,0.0,0.0,0.0,0.0,0.0,0.01213926930510962,0.3635722782488438,39.05840986718763,0.0,39.43412141474158
t16,0.0,0.0,0.0,0.0,0.0,0.012451562078694299,0.3581986746727992,39.518537563934736,0.0,39.88918780068623
t17,0.0,0.0,0.0,0.0,0.0,0.01219732286700859,0.3574680030957226,39.51011751705198,0.0,39.879782843014716
t18,0.0,0.0,0.0,0.0,0.0,0.011870227736835272,0.35357826536970927,39.51565358970749,0.0,39.88110208281404
t19,0.0,0.0,0.0,0.0,0.0,0.011592927553283458,0.35155814747868086,39.51860719223109,0.0,39.88175826726305
t20,0.0,0.0,0.0,0.0,0.0,0.011314599305868029,0.3507142658287922,39.55412854787542,0.0,39.91615741301008
t21,0.0,0.0,0.0,0.0,0.0,0.011478217531296573,0.34606896426192685,39.95682452152138,0.0,40.314371703314606
t22,0.0,0.0,0.0,0.0,0.0,0.011109293926650088,0.3469208637126668,40.031180206175094,0.0,40.38921036381441
t23,0.0,0.0,0.0,0.0,0.0,0.010855239917032388,0.34504334328927194,40.05649970345716,0.0,40.41239828666347
t24,0.0,0.0,0.0,0.0,0.0,0.010725064859855506,0.3426108091897668,40.0588032494253,0.0,40.41213912347492
t25,0.0,0.0,0.0,0.0,0.0,0.010771748149615784,0.3404628810801581,39.95435220143003,0.0,40.3055868306598
t26,0.0,0.0,0.0,0.0,0.0,0.01083408475727325,0.3458103369318942,40.205832556234384,0.0,40.56247697792355
t27,0.0,0.0,0.0,0.0,0.0,0.01077864566306267,0.34279072533816685,40.09499691862328,0.0,40.44856628962451
t28,0.0,0.0,0.0,0.0,0.0,0.010979643268933656,0.3420910950736902,40.71015888833323,0.0,41.063229626675856
t29,0.0,0.0,0.0,0.0,0.0,0.01110719994750309,0.33883574469585237,40.485143019943244,0.0,40.8350859645866
t30,0.0,0.0,0.0,0.0,0.0,0.011105345206722251,0.33588943910491076,40.35624522260294,0.0,40.70324000691457
t31,0.0,0.0,0.0,0.0,0.0,0.011911687139412529,0.34177248080649986,40.5858695007624,0.0,40.93955366870831
t32,0.0,0.0,0.0,0.0,0.0,0.01202477977261823,0.33851712734179407,40.51766462238204,0.0,40.868206529496454
t33,0.0,0.0,0.0,0.0,0.0,0.012246157007067928,0.3332498161442642,40.429819895803135,0.0,40.77531586895447
t34,0.0,0.0,0.0,0.0,0.0,0.012078845934728246,0.3372444275751274,40.341472694732154,0.0,40.690795968242014
t35,0.0,0.0,0.0,0.0,0.0,0.012104021396981404,0.33695233598898244,40.256092967758676,0.0,40.60514932514464
t36,0.0,0.0,0.0,0.0,0.0,0.012549970093046101,0.33689212518334005,40.379739305749595,0.0,40.72918140102598
t37,0.0,0.0,0.0,0.0,0.0,0.012712156347701389,0.3628897970071189,40.12926780842764,0.0,40.504869761782466
t38,0.0,0.0,0.0,0.0,0.0,0.012401500648858083,0.3358206571237808,40.05628669879612,0.0,40.40450885656876
t39,0.0,0.0,0.0,0.0,0.0,0.012363538581766465,0.3349647960993893,39.926131137813286,0.0,40.273459472494444
t40,0.0,0.0,0.0,0.0,0.0,0.012324955114224944,0.3350118542935765,39.72605835484731,0.0,40.07339516425511
t41,0.0,0.0,0.0,0.0,0.0,0.012856374029373776,0.3244148009720306,39.78166833856905,0.0,40.11893951357045
t42,0.0,0.0,0.0,0.0,0.0,0.012568430592147909,0.3352922115071418,39.51286564326083,0.0,39.86072628536012
t43,0.0,0.0,0.0,0.0,0.0,0.01242455829560358,0.33155961329223854,39.36678737492962,0.0,39.71077154651746
t44,0.0,0.0,0.0,0.0,0.0,0.012355411245276426,0.32902019221739653,39.15898642594974,0.0,39.500362029412415
t45,0.0,0.0,0.0,0.0,0.0,0.012586888977871096,0.31792325028658575,38.80988262537393,0.0,39.140392764638385
t46,0.0,0.0,0.0,0.0,0.0,0.012677420149144095,0.32988144204691056,38.90116146555199,0.0,39.24372032774805
t47,0.0,0.0,0.0,0.0,0.0,0.01259538692654527,0.32541867754511394,38.67216036392877,0.0,39.01017442840043
t48,0.0,0.0,0.0,0.0,0.0,0.012543999372910878,0.3218276203549071,38.37255381975604,0.0,38.70692543948386
t49,0.0,0.0,0.0,0.0,0.0,0.012635795330134664,0.3117838061923597,37.93078425136939,0.0,38.25520385289188
t50,0.0,0.0,0.0,0.0,0.0,0.012252679427907937,0.315323020498247,37.43081439462761,0.0,37.75839009455377
t51,0.0,0.0,0.0,0.0,0.0,0.012577041763777105,0.31895367046605166,37.38611836601293,0.0,37.71764907824276
t52,0.0,0.0,0.0,0.0,0.0,0.012422323820393918,0.3162792703310829,36.954517695883844,0.0,37.28321929003532
t53,0.0,0.0,0.0,0.0,0.0,0.012471075951602762,0.31492258363612846,36.41653528965278,0.0,36.743928949240505
