Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,0
AnnualSum,593000.7568290517,8.97172870628353e6,0.0,193493.10906438172,0.0,0.0,0.0,0.0,0.0,9.758222572176963e6
t1,9.011097668339614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011097668339614
t2,9.049237412583768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.049237412583768
t3,9.087377142913505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.087377142913505
t4,9.125516887502378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.125516887502378
t5,9.16365661803592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.16365661803592
t6,9.20179636247141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.20179636247141
t7,9.23993609297023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23993609297023
t8,9.278075837639369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.278075837639369
t9,9.31621556810317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31621556810317
t10,9.354355298468793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.354355298468793
t11,9.392495042784752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.392495042784752
t12,9.430634787336274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.430634787336274
t13,9.468774517578042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.468774517578042
t14,8.836828562029266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.836828562029266
t15,8.204882606589827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.204882606589827
t16,7.572936650756411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.572936650756411
t17,6.94099070972728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94099070972728
t18,6.309044754307289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.309044754307289
t19,5.677098799026013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.677098799026013
t20,5.0451528439545905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0451528439545905
t21,4.413206888861913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.413206888861913
t22,3.781260934351089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.781260934351089
t23,3.1493149949183503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1493149949183503
t24,2.5173690404918383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5173690404918383
t25,1.8854230907763656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8854230907763656
t26,1.7739987798198604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7739987798198604
t27,1.6625744741639383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6625744741639383
t28,1.551150168343853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.551150168343853
t29,1.43972586706369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43972586706369
t30,1.3283015574831927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3283015574831927
t31,1.2168772505997731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2168772505997731
t32,1.105452929772308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.105452929772308
t33,0.9940286274534452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940286274534452
t34,0.8826043161091952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8826043161091952
t35,0.7711800095242367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7711800095242367
t36,0.6597557003057417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6597557003057417
t37,0.5483313997151043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5483313997151043
t38,0.558727131723615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558727131723615
t39,0.5691228552604325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5691228552604325
t40,0.5795185929863461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5795185929863461
t41,0.5899143207175033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5899143207175033
t42,0.6003100523419369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6003100523419369
t43,0.6107057756277935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6107057756277935
t44,0.6211014988432267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6211014988432267
t45,0.6314972429270672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6314972429270672
t46,0.6418929723904969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6418929723904969
t47,0.6522886954691235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6522886954691235
t48,0.6626844324592929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6626844324592929
t49,0.6730801629668256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6730801629668256
t50,0.8744305947256704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8744305947256704
t51,1.0757810178224787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0757810178224787
t52,1.2771314560786313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2771314560786313
t53,1.478481883398113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.478481883398113
t54,1.679832315532117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.679832315532117
t55,1.8811827524185203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8811827524185203
t56,2.0825331746127103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0825331746127103
t57,2.2838836163383993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2838836163383993
t58,2.485234034689338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.485234034689338
t59,2.686584471790833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.686584471790833
t60,2.8879348946265853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8879348946265853
t61,3.0892853347459996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0892853347459996
t62,3.3653357667280157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3653357667280157
t63,3.6413862027064554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6413862027064554
t64,3.917436638707904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.917436638707904
t65,4.193487075137402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.193487075137402
t66,4.469537510986634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.469537510986634
t67,4.745587947356365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.745587947356365
t68,5.021638383830849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.021638383830849
t69,5.297688820437084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.297688820437084
t70,5.573739256966963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.573739256966963
t71,5.8497896935604805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8497896935604805
t72,6.125840130228363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.125840130228363
t73,6.40189056686076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.40189056686076
t74,6.36008045618318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36008045618318
t75,6.318270331258872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.318270331258872
t76,6.2764602193689445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2764602193689445
t77,6.234650094568141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.234650094568141
t78,6.192839983694645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192839983694645
t79,6.151029873087857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.151029873087857
t80,6.109219749230451,0.1546875956295894,0.0,0.0045520392392955685,0.0,0.0,0.0,0.0,0.0,6.268459384099336
t81,6.067409642658001,0.30937569607933707,0.0,0.009104183007839332,0.0,0.0,0.0,0.0,0.0,6.385889521745177
t82,6.025599516328992,0.4640635250052568,0.0,0.013656327143503646,0.0,0.0,0.0,0.0,0.0,6.503319368477753
t83,5.983789406733055,0.618751357453173,0.0,0.018208471460435655,0.0,0.0,0.0,0.0,0.0,6.620749235646664
t84,5.9419792829815234,0.7734394659206413,0.0,0.02276061586083006,0.0,0.0,0.0,0.0,0.0,6.738179364762995
t85,5.900169176121364,0.9281273002325628,0.0,0.027312760273210238,0.0,0.0,0.0,0.0,0.0,6.855609236627137
t86,5.638449536084158,3.9229366766738174,0.0,0.17948959168382844,0.0,0.0,0.0,0.0,0.0,9.740875804441803
t87,5.376729902618638,6.917746064521569,0.0,0.331666420063005,0.0,0.0,0.0,0.0,0.0,12.626142387203211
t88,5.115010269375047,9.912555183734163,0.0,0.48384324902229064,0.0,0.0,0.0,0.0,0.0,15.5114087021315
t89,4.853290622010904,12.907364577517448,0.0,0.6360200862819412,0.0,0.0,0.0,0.0,0.0,18.396675285810296
t90,4.591570988699837,15.902173964457337,0.0,0.7881969154608657,0.0,0.0,0.0,0.0,0.0,21.281941868618038
t91,4.329851355931152,18.89698335889183,0.0,0.9403737446113274,0.0,0.0,0.0,0.0,0.0,24.16720845943431
t92,4.068131722852629,22.736820895660745,0.0,1.09618566287573,0.0,0.0,0.0,0.0,0.0,27.901138281389102
t93,3.8064120899205407,26.576658433598563,0.0,1.2519975813031234,0.0,0.0,0.0,0.0,0.0,31.635068104822228
t94,3.5446924563648206,30.416495969475076,0.0,1.4078094994809136,0.0,0.0,0.0,0.0,0.0,35.368997925320805
t95,3.2829728089195753,34.25633350638236,0.0,1.5636214097268046,0.0,0.0,0.0,0.0,0.0,39.10292772502874
t96,3.0212531759556582,38.096171042946295,0.0,1.7194333278691978,0.0,0.0,0.0,0.0,0.0,42.83685754677115
t97,2.759533547137447,41.93600858581999,0.0,1.8752452461091667,0.0,0.0,0.0,0.0,0.0,46.5707873790666
t98,2.605098001207299,43.98381733904665,0.0,1.7607751220996435,0.0,0.0,0.0,0.0,0.0,48.34969046235359
t99,2.450662445557836,46.03162582346387,0.0,1.6463049898574846,0.0,0.0,0.0,0.0,0.0,50.12859325887919
t100,2.2962269042251995,48.079434582527306,0.0,1.5318348657800727,0.0,0.0,0.0,0.0,0.0,51.907496352532576
t101,2.1417913537656914,50.12724334686999,0.0,1.4173647419891025,0.0,0.0,0.0,0.0,0.0,53.68639944262478
t102,1.9873558075143325,52.17505182582006,0.0,1.3028946093328597,0.0,0.0,0.0,0.0,0.0,55.465302242667256
t103,1.8329202662575081,54.22286058486843,0.0,1.1884244852681272,0.0,0.0,0.0,0.0,0.0,57.24420533639407
t104,1.6784847108288803,61.13403510613185,0.0,1.240397072783414,0.0,0.0,0.0,0.0,0.0,64.05291688974414
t105,1.524049175082069,68.04520935751017,0.0,1.292369660956376,0.0,0.0,0.0,0.0,0.0,70.86162819354863
t106,1.3703144797858584,74.95638387389636,0.0,1.3443422558753788,0.0,0.0,0.0,0.0,0.0,77.6710406095576
t107,1.2151780701903372,81.86755839518695,0.0,1.3963148434169539,0.0,0.0,0.0,0.0,0.0,84.47905130879424
t108,1.0607425107619868,88.77873264165632,0.0,1.4482874309432925,0.0,0.0,0.0,0.0,0.0,91.2877625833616
t109,0.9063069829321602,95.68990716825188,0.0,1.5002600270277346,0.0,0.0,0.0,0.0,0.0,98.09647417821178
t110,0.9306450794146638,97.55907021264873,0.0,1.723057348704565,0.0,0.0,0.0,0.0,0.0,100.21277264076797
t111,0.9549831929573387,99.4282332630083,0.0,1.9458546707402504,0.0,0.0,0.0,0.0,0.0,102.32907112670588
t112,0.9793213071687316,101.29739658765438,0.0,2.168652000721303,0.0,0.0,0.0,0.0,0.0,104.44536989554442
t113,1.0036594367322391,103.1665596423929,0.0,2.391449322660228,0.0,0.0,0.0,0.0,0.0,106.56166840178535
t114,1.027997536080957,105.03572268723373,0.0,2.6142466444555947,0.0,0.0,0.0,0.0,0.0,108.67796686777028
t115,1.0523356506775297,106.90488573713272,0.0,2.837043966427471,0.0,0.0,0.0,0.0,0.0,110.79426535423772
t116,1.076673749602355,107.54244008574581,0.0,2.9456732200314057,0.0,0.0,0.0,0.0,0.0,111.56478705537957
t117,1.1010118766579522,108.17999443827108,0.0,3.05430246644168,0.0,0.0,0.0,0.0,0.0,112.33530878137071
t118,1.1253499783170953,108.8175487821498,0.0,3.1629317194583293,0.0,0.0,0.0,0.0,0.0,113.10583047992522
t119,1.14968809273851,109.45510313044582,0.0,3.2715609652008117,0.0,0.0,0.0,0.0,0.0,113.87635218838514
t120,1.1740262069361256,110.09265747876609,0.0,3.3801902110302278,0.0,0.0,0.0,0.0,0.0,114.64687389673243
t121,1.1983643311333458,110.73021183141708,0.0,3.4888194658916944,0.0,0.0,0.0,0.0,0.0,115.41739562844212
t122,1.1490946304680494,111.86118724150424,0.0,3.4936838400336367,0.0,0.0,0.0,0.0,0.0,116.50396571200594
t123,1.0998249408670846,112.99216238110623,0.0,3.4985482234723277,0.0,0.0,0.0,0.0,0.0,117.59053554544563
t124,1.0505552364508202,114.1231377954743,0.0,3.503412598833464,0.0,0.0,0.0,0.0,0.0,118.67710563075859
t125,1.0012855624361485,115.25411321418945,0.0,3.508276983510279,0.0,0.0,0.0,0.0,0.0,119.76367576013588
t126,0.9520158551427884,116.38508834958854,0.0,3.5131413574466044,0.0,0.0,0.0,0.0,0.0,120.85024556217793
t127,0.9027461650514724,117.51606376396946,0.0,3.518005740892314,0.0,0.0,0.0,0.0,0.0,121.93681566991324
t128,0.853476474249146,122.61701895517037,0.0,3.5325811408842904,0.0,0.0,0.0,0.0,0.0,127.0030765703038
t129,0.8042068079317327,127.71797415074371,0.0,3.547156542129415,0.0,0.0,0.0,0.0,0.0,132.06933750080486
t130,0.7549370930267871,132.8189293372701,0.0,3.56173194081521,0.0,0.0,0.0,0.0,0.0,137.1355983711121
t131,0.705667386937266,137.91988425406154,0.0,3.5763073405896546,0.0,0.0,0.0,0.0,0.0,142.2018589815885
t132,0.656397695487126,143.02083944523378,0.0,3.590882740486355,0.0,0.0,0.0,0.0,0.0,147.26811988120727
t133,0.6071280349777367,148.12179464077488,0.0,3.605458149970251,0.0,0.0,0.0,0.0,0.0,152.33438082572286
t134,0.6233846484679777,147.21713668516023,0.0,3.62771956692245,0.0,0.0,0.0,0.0,0.0,151.46824090055065
t135,0.639641307180512,146.31247900894692,0.0,3.6499809853128333,0.0,0.0,0.0,0.0,0.0,150.60210130144026
t136,0.655897949434807,145.40782105830863,0.0,3.67224241152804,0.0,0.0,0.0,0.0,0.0,149.73596141927146
t137,0.672154624029316,144.503163111698,0.0,3.6945038394356278,0.0,0.0,0.0,0.0,0.0,148.86982157516294
t138,0.6884112383272628,143.5985054309608,0.0,3.7167652562918096,0.0,0.0,0.0,0.0,0.0,148.00368192557988
t139,0.7046678968614053,142.6938474799836,0.0,3.739026674604332,0.0,0.0,0.0,0.0,0.0,147.13754205144932
t140,0.7209245406592448,142.99478896110145,0.0,3.8503254840666337,0.0,0.0,0.0,0.0,0.0,147.56603898582733
t141,0.7371812120954119,143.29573072157837,0.0,3.9616242949774203,0.0,0.0,0.0,0.0,0.0,147.99453622865119
t142,0.7534378277850254,143.596672198214,0.0,4.072923102714511,0.0,0.0,0.0,0.0,0.0,148.42303312871354
t143,0.7696944864933211,143.89761367930114,0.0,4.184221912136606,0.0,0.0,0.0,0.0,0.0,148.85153007793105
t144,0.785951130296382,144.19855543514814,0.0,4.295520721611629,0.0,0.0,0.0,0.0,0.0,149.28002728705616
t145,0.8022077997819957,144.4994969203823,0.0,4.406819533084132,0.0,0.0,0.0,0.0,0.0,149.70852425324844
t146,0.9545254951273485,146.10224904612707,0.0,4.412427714279874,0.0,0.0,0.0,0.0,0.0,151.4692022555343
t147,1.1068432157923853,147.70500090117267,0.0,4.418035905853167,0.0,0.0,0.0,0.0,0.0,153.22988002281824
t148,1.2591609343707113,149.30775303093213,0.0,4.423644089334491,0.0,0.0,0.0,0.0,0.0,154.99055805463732
t149,1.4114786447434615,150.9105048895016,0.0,4.429252282880671,0.0,0.0,0.0,0.0,0.0,156.75123581712572
t150,1.5637963526945693,152.51325701546872,0.0,4.434860464372656,0.0,0.0,0.0,0.0,0.0,158.51191383253595
t151,1.7161140678638347,154.11600887083458,0.0,4.440468655775273,0.0,0.0,0.0,0.0,0.0,160.27259159447368
t152,1.8684317833327684,154.40106865107015,0.0,4.38280255156567,0.0,0.0,0.0,0.0,0.0,160.6523029859686
t153,2.020749504226517,154.6861281601126,0.0,4.325136449103126,0.0,0.0,0.0,0.0,0.0,161.03201411344224
t154,2.173067213581811,154.97118793646294,0.0,4.2674703430845025,0.0,0.0,0.0,0.0,0.0,161.41172549312927
t155,2.3253849145254364,155.25624744199453,0.0,4.209804238895268,0.0,0.0,0.0,0.0,0.0,161.79143659541523
t156,2.4777026298024536,155.5413072225622,0.0,4.15213814268559,0.0,0.0,0.0,0.0,0.0,162.17114799505026
t157,2.6300203495625203,155.82636673177595,0.0,4.094472039998313,0.0,0.0,0.0,0.0,0.0,162.5508591213368
t158,2.7345864464651157,155.74672824593523,0.0,4.056941219993833,0.0,0.0,0.0,0.0,0.0,162.53825591239416
t159,2.839152533945211,155.66708948929946,0.0,4.019410401521394,0.0,0.0,0.0,0.0,0.0,162.52565242476606
t160,2.943718635704509,155.58745100750255,0.0,3.981879583101056,0.0,0.0,0.0,0.0,0.0,162.5130492263081
t161,3.048284741684305,155.5078125296017,0.0,3.9443487658270793,0.0,0.0,0.0,0.0,0.0,162.50044603711308
t162,3.1528508248312934,155.42817376906845,0.0,3.9068179460768824,0.0,0.0,0.0,0.0,0.0,162.4878425399766
t163,3.2574169265872364,155.3485352872698,0.0,3.869287127597088,0.0,0.0,0.0,0.0,0.0,162.47523934145414
t164,3.3619830283696563,154.19457769133416,0.0,3.8787362497352946,0.0,0.0,0.0,0.0,0.0,161.4352969694391
t165,3.4665491198294074,153.04061982445242,0.0,3.8881853730892164,0.0,0.0,0.0,0.0,0.0,160.39535431737104
t166,3.571115217675274,151.8866622247091,0.0,3.8976344938811858,0.0,0.0,0.0,0.0,0.0,159.35541193626557
t167,3.6756813193830786,150.73270435395636,0.0,3.9070836241558333,0.0,0.0,0.0,0.0,0.0,158.31546929749527
t168,3.780247406819018,149.5787467579342,0.0,3.916532738212701,0.0,0.0,0.0,0.0,0.0,157.27552690296594
t169,3.88481350858863,148.42478888726933,0.0,3.9259818684421486,0.0,0.0,0.0,0.0,0.0,156.2355842643001
t170,4.095032400883041,151.1465377692632,0.0,3.7700473786904394,0.0,0.0,0.0,0.0,0.0,159.01161754883668
t171,4.305251293941763,153.86828692687735,0.0,3.6141128888020364,0.0,0.0,0.0,0.0,0.0,161.78765110962112
t172,4.5154702009126435,156.5900358093549,0.0,3.4581783990569055,0.0,0.0,0.0,0.0,0.0,164.56368440932445
t173,4.7256890935911695,159.31178469178832,0.0,3.3022439093940097,0.0,0.0,0.0,0.0,0.0,167.3397176947735
t174,4.935907986225416,162.03353384894345,0.0,3.146309427922984,0.0,0.0,0.0,0.0,0.0,170.11575126309185
t175,5.1461268789159424,164.7552827313827,0.0,2.99037493835753,0.0,0.0,0.0,0.0,0.0,172.89178454865615
t176,5.356345771957723,165.06361347199402,0.0,2.916410938734955,0.0,0.0,0.0,0.0,0.0,173.3363701826867
t177,5.5665646646764335,165.37194421228006,0.0,2.842446939264184,0.0,0.0,0.0,0.0,0.0,173.78095581622068
t178,5.777235391181791,165.68027495245906,0.0,2.7684829397783655,0.0,0.0,0.0,0.0,0.0,174.2259932834192
t179,5.990680058829848,165.98860541787735,0.0,2.6945189403071974,0.0,0.0,0.0,0.0,0.0,174.6738044170144
t180,6.1972213567870265,166.29693615811203,0.0,2.6205549408571396,0.0,0.0,0.0,0.0,0.0,175.1147124557562
t181,6.407440249843294,166.60526689872594,0.0,2.546590941268859,0.0,0.0,0.0,0.0,0.0,175.55929808983808
t182,6.3704975027733886,169.21357074425083,0.0,2.6347957968199496,0.0,0.0,0.0,0.0,0.0,178.21886404384418
t183,6.333554755760378,171.82187458980079,0.0,2.7230006523341186,0.0,0.0,0.0,0.0,0.0,180.8784299978953
t184,6.296612008753538,174.4301787100977,0.0,2.8112055078075575,0.0,0.0,0.0,0.0,0.0,183.53799622665878
t185,6.259669261830937,177.0384825557175,0.0,2.899410363352162,0.0,0.0,0.0,0.0,0.0,186.1975621809006
t186,6.222726515136327,179.64678640159235,0.0,2.9876152187216416,0.0,0.0,0.0,0.0,0.0,188.8571281354503
t187,6.185783782294871,182.25509024707992,0.0,3.075820082408423,0.0,0.0,0.0,0.0,0.0,191.5166941117832
t188,6.148841035070655,178.3538553378241,0.0,2.919289414277743,0.0,0.0,0.0,0.0,0.0,187.4219857871725
t189,6.111898287812578,174.4526204285419,0.0,2.762758746204125,0.0,0.0,0.0,0.0,0.0,183.3272774625586
t190,6.074955540497981,170.55138579396174,0.0,2.6062280781826175,0.0,0.0,0.0,0.0,0.0,179.23256941264233
t191,6.038012793444641,166.65015088489014,0.0,2.4496974100603817,0.0,0.0,0.0,0.0,0.0,175.13786108839517
t192,6.001070046122423,162.74891597552033,0.0,2.2931667420129007,0.0,0.0,0.0,0.0,0.0,171.04315276365568
t193,5.964127298718245,158.84768106609454,0.0,2.1366360821068064,0.0,0.0,0.0,0.0,0.0,166.94844444691958
t194,6.004143619954205,145.11826364403504,0.0,1.9676543686415604,0.0,0.0,0.0,0.0,0.0,153.09006163263078
t195,6.044159941262038,131.38884649675157,0.0,1.7986726551627616,0.0,0.0,0.0,0.0,0.0,139.23167909317635
t196,6.084176262812371,117.65942907483272,0.0,1.629690941341489,0.0,0.0,0.0,0.0,0.0,125.37329627898659
