Resource,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro,geothermal,Total
Zone,1,1,1,1,1,1,1,1,1,0
AnnualSum,20003.64431527033,45113.73305734368,779721.2754186686,3683.3704248605154,5234.507882032441,5959.122255635548,210448.5055845436,2.1344884472351037e6,5.735706247552296e6,8.940358853725754e6
t1,2.9020141255994143e-7,0.0,0.0,0.0,1.1683766216318666e-7,4.928284283216456e-7,4.266137224994588e-7,21.0309642420462,53.6035384975258,74.63450406605322
t2,2.906273016743339e-7,0.0,0.0,0.0,1.0800412860579904e-7,4.712840511478203e-7,4.2595595137114846e-7,21.329356312523494,53.60353849752255,74.93289610591748
t3,2.9073796107609854e-7,0.0,0.0,0.0,1.0755218831351101e-7,4.65377608339872e-7,4.52388133536604e-7,22.033670645733498,53.60353849753852,75.63721045932792
t4,2.9081912895927473e-7,0.0,0.0,0.0,1.0802741557849771e-7,4.6519570283183975e-7,4.518499771601258e-7,22.245794788201476,53.603538497536306,75.84933460163
t5,2.9072598341703635e-7,0.0,0.0,0.0,1.1689104688354697e-7,4.673101612487052e-7,4.5062697929645656e-7,22.448643756899205,53.603538497523125,76.0521835799765
t6,2.909605369590815e-7,0.0,0.0,0.0,1.0821068152419367e-7,4.5163185076035656e-7,4.565150221386098e-7,23.09865664269743,53.60353849754942,76.70219644756494
t7,2.909021114105541e-7,0.0,0.0,0.0,1.0765520765649329e-7,4.6624946177024553e-7,4.560843224578125e-7,23.320886548332837,53.603538497510584,76.92442636673452
t8,2.9090301479375777e-7,0.0,0.0,0.0,1.0810619699522493e-7,4.770073435076803e-7,4.558814047825007e-7,23.53376186581636,53.603538497514165,77.13730169522849
t9,2.908796096271859e-7,0.0,0.0,0.0,1.1700784360434042e-7,4.83651041073062e-7,4.552678726018528e-7,23.70564625123385,53.60353849751479,77.309186095555
t10,2.909543863865499e-7,0.0,0.0,0.0,1.0817178847617915e-7,4.918794596669709e-7,4.5488865789653653e-7,23.819254809665342,53.6035384975266,77.42279465308623
t11,2.9130846716888204e-7,0.0,0.0,0.0,1.0769165296272043e-7,4.756534041675165e-7,4.6087481410362984e-7,24.35206221748957,53.603538497494284,77.9556020505122
t12,2.9142698801600844e-7,0.0,0.0,0.0,1.0812462504369887e-7,4.896537015103938e-7,4.6048644532697365e-7,24.44981875553397,53.603538497503294,78.05335860272902
t13,2.9162561470513e-7,0.0,0.0,0.0,1.1705561718933162e-7,4.951066305409104e-7,4.5935890967385835e-7,24.544458630264273,53.603538497507316,78.14799849091835
t14,2.918742056651153e-7,0.0,0.0,0.0,1.0809045234207487e-7,4.958655188050053e-7,4.4437559314593617e-7,24.749711482325655,53.6035384975167,78.35325132004813
t15,2.92013459439303e-7,0.0,0.0,0.0,1.0749326571741838e-7,4.926333638441727e-7,4.463792270011924e-7,24.840987758697118,53.60353849752981,78.44452759474625
t16,2.9254668815866527e-7,0.0,0.0,0.0,1.0798581538515184e-7,4.625994563674873e-7,4.5235101412549256e-7,25.309415547685145,53.603538497491485,78.9129553606596
t17,2.925052773768072e-7,0.0,0.0,0.0,1.1696549945039448e-7,4.6548683774288356e-7,4.5215492112826095e-7,25.312202258394315,53.60353849751827,78.91574208302512
t18,2.926250819788171e-7,0.0,0.0,0.0,1.0794640053395076e-7,4.630567515784935e-7,4.5106472202679233e-7,25.2935441506226,53.6035384975042,78.89708396281976
t19,2.9260617190313697e-7,0.0,0.0,0.0,1.0728719176723617e-7,4.6111445200751555e-7,4.536989392676459e-7,25.273782305049128,53.6035384975031,78.87732211725898
t20,2.9237740847415093e-7,0.0,0.0,0.0,1.0762164964056656e-7,4.6344330034875526e-7,4.557854666464935e-7,25.223147236274542,53.603538497514265,78.82668705301663
t21,2.921698996258962e-7,0.0,0.0,0.0,1.1669265016206763e-7,4.3949709993619497e-7,4.6179492790172596e-7,25.576869155664713,53.60353849750684,79.18040896332613
t22,2.9138053694130284e-7,0.0,0.0,0.0,1.0773989921321414e-7,4.497103101414129e-7,4.620581242845208e-7,25.55918218543298,53.603538497484706,79.16272199380656
t23,2.897427346689791e-7,0.0,0.0,0.0,1.0704669587555379e-7,4.5924723417913673e-7,4.634496888551303e-7,25.564470419701806,53.603538497477764,79.16801023666592
t24,2.8886906017347695e-7,0.0,0.0,0.0,1.0733804206616841e-7,4.763743675525783e-7,4.6348102387500385e-7,25.549836939934096,53.60353849746696,79.15337677346355
t25,2.8328434713394923e-7,0.0,0.0,0.0,1.15817503378196e-7,4.910407890126513e-7,4.6587418115203903e-7,25.483553647175547,53.60353849746207,79.08709350065443
t26,2.877427951896308e-7,0.0,0.0,0.0,1.0744444890331399e-7,4.811585279526998e-7,4.6047892429402363e-7,25.749616823630255,53.60353849747286,79.35315665792781
t27,2.869006602104946e-7,0.0,0.0,0.0,1.0685915063974459e-7,5.033392996866899e-7,4.6151666850525616e-7,25.622404823553868,53.603538497448135,79.22594467961778
t28,2.862226885241092e-7,0.0,0.0,0.0,1.0712832798814007e-7,5.276251479051568e-7,4.6011473453272197e-7,26.173530248129467,53.60353849745001,79.77707012667037
t29,2.8100479443093385e-7,0.0,0.0,0.0,1.1530743848506266e-7,5.015556958453316e-7,4.623933912414807e-7,25.940898626850274,53.603538497466374,79.54443848457797
t30,2.840872345847597e-7,0.0,0.0,0.0,1.0706007499798585e-7,5.648980034366141e-7,4.599614859045118e-7,25.776361623442277,53.60353849746678,79.37990153691585
t31,2.8447259696569813e-7,0.0,0.0,0.0,1.0668687376257055e-7,5.619179258045532e-7,4.5730736235045413e-7,26.002458570856906,53.60353849746692,79.60599847870859
t32,2.8457236070967406e-7,0.0,0.0,0.0,1.069460916834108e-7,5.814132516867116e-7,4.5765617354846916e-7,25.931752461440993,53.60353849746154,79.53529238949041
t33,2.80393166307731e-7,0.0,0.0,0.0,1.14923298260998e-7,5.600338292373968e-7,4.6421789809990754e-7,25.881807371915393,53.60353849745977,79.48534728894336
t34,2.852393592538117e-7,0.0,0.0,0.0,1.0691567773664999e-7,6.041693903932166e-7,4.570036876944133e-7,25.849046437452316,53.60353849745013,79.45258638823056
t35,2.853262606468615e-7,0.0,0.0,0.0,1.0642152716283483e-7,6.109575317729054e-7,4.561374877868348e-7,25.765278888849835,53.60353849745477,79.36881884514742
t36,2.8804669855877337e-7,0.0,0.0,0.0,1.0686737034881537e-7,6.068886812596948e-7,4.576219681978183e-7,25.92908786414956,53.60353849744835,79.53262782102263
t37,2.8213927895371917e-7,0.0,0.0,0.0,1.1468316034184305e-7,5.927889895026324e-7,4.801929712710231e-7,25.75204454453503,53.603538497445605,79.35558451178503
t38,2.8729913485530107e-7,0.0,0.0,0.0,1.0688765974865652e-7,6.205596571718748e-7,4.5664459546007694e-7,25.666780357731973,53.603538497440596,79.27032032656362
t39,2.8670103948019765e-7,0.0,0.0,0.0,1.0644501684077512e-7,6.239394752395901e-7,4.567246723059716e-7,25.567573231238416,53.603538497449414,79.17111320249803
t40,2.861434924423732e-7,0.0,0.0,0.0,1.0671770535481402e-7,6.254238933440395e-7,4.555734192634702e-7,25.4390116629497,53.60353849746009,79.0425516342683
t41,2.8135105741436607e-7,0.0,0.0,0.0,1.1470921869451614e-7,5.951832797415543e-7,4.71947622299766e-7,25.521350232918984,53.603538497449534,79.1248901935597
t42,2.868949904340406e-7,0.0,0.0,0.0,1.0696159202097148e-7,6.250543575275403e-7,4.555319987902606e-7,25.29111776344261,53.60353849746921,78.89465773535476
t43,2.865478559973438e-7,0.0,0.0,0.0,1.0655675563873512e-7,6.289177237482675e-7,4.582108933759652e-7,25.214533008797343,53.60353849749233,78.8180729865229
t44,2.8627114479913673e-7,0.0,0.0,0.0,1.0685189655830234e-7,6.303042686015092e-7,4.592499336956766e-7,25.076170629236216,53.60353849747492,78.67971060938838
t45,2.7935567102275734e-7,0.0,0.0,0.0,1.1452706337309021e-7,6.060982456857718e-7,4.7125509808594886e-7,24.84421388590411,53.60353849749506,78.44775385463525
t46,2.870606079122758e-7,0.0,0.0,0.0,1.0715073932964374e-7,6.262758046821397e-7,4.594451817202257e-7,24.977724740313764,53.60353849751146,78.58126471775756
